Symbols,Pointsize,Cost,Weight
ZC,50,Ags,
LE,400,Ags,
HE,400,Ags,
ZS,50,Ags,
ZW,50,Ags,
SB,1120,Ags,
FGBS,1000,Bond,
FGBL,1000,Bond,
FGBM,1000,Bond,
ZN,1000,Bond,
ZB,1000,Bond,
ZF,1000,Bond,
ZT,2000,Bond,
NQ,20,Equity,
ES,50,Equity,
YM,5,Equity,
AD,100000,FX,
EC,125000,FX,
BP,62500,FX,
CD,100000,FX,
JY,12500000,FX,
HG,25000,Metals,
GC,100,Metals,
PA,100,Metals,
PL,50,Metals,
CL,1000,OilGas,
XRB,42000,OilGas,
HO,42000,OilGas,
NG,10000,OilGas,
FESX,10,Equity,
FDAX,25,Equity,
STW,10,Equity,
SIN,2,Equity,
SGP,10,Equity,
SCN,1,Equity,
HSI,50,Equity,
SNK,500,Equity,
