Symbols,Bigpointvalue,Cost,Weight
2330,1000,0.003,1
2317,1000,0.003,1
6505,1000,0.003,1
2412,1000,0.003,1
3008,1000,0.003,1
2882,1000,0.003,1
1303,1000,0.003,1
1301,1000,0.003,1
1326,1000,0.003,1
2881,1000,0.003,1
2308,1000,0.003,1
2002,1000,0.003,1
3045,1000,0.003,1
2891,1000,0.003,1
2454,1000,0.003,1
2886,1000,0.003,1
1216,1000,0.003,1
2311,1000,0.003,1
2382,1000,0.003,1
2912,1000,0.003,1
4904,1000,0.003,1
2892,1000,0.003,1
2357,1000,0.003,1
2105,1000,0.003,1
2474,1000,0.003,1
2207,1000,0.003,1
4938,1000,0.003,1
2880,1000,0.003,1
5880,1000,0.003,1
2395,1000,0.003,1
2884,1000,0.003,1
2801,1000,0.003,1
2885,1000,0.003,1
2325,1000,0.003,1
2303,1000,0.003,1
1402,1000,0.003,1
2408,1000,0.003,1
3481,1000,0.003,1
1101,1000,0.003,1
2354,1000,0.003,1
2409,1000,0.003,1
2883,1000,0.003,1
9904,1000,0.003,1
2887,1000,0.003,1
2301,1000,0.003,1
2823,1000,0.003,1
2890,1000,0.003,1
9910,1000,0.003,1
1102,1000,0.003,1
1476,1000,0.003,1
8464,1000,0.003,1
2356,1000,0.003,1
2324,1000,0.003,1
2888,1000,0.003,1
9921,1000,0.003,1
3231,1000,0.003,1
1227,1000,0.003,1
3034,1000,0.003,1
6239,1000,0.003,1
2498,1000,0.003,1
2377,1000,0.003,1
5871,1000,0.003,1
3702,1000,0.003,1
2618,1000,0.003,1
2227,1000,0.003,1
1504,1000,0.003,1
2379,1000,0.003,1
2542,1000,0.003,1
2915,1000,0.003,1
2347,1000,0.003,1
3532,1000,0.003,1
9945,1000,0.003,1
4958,1000,0.003,1
2385,1000,0.003,1
2610,1000,0.003,1
1434,1000,0.003,1
2633,1000,0.003,1
2834,1000,0.003,1
9914,1000,0.003,1
1590,1000,0.003,1
2344,1000,0.003,1
2603,1000,0.003,1
2353,1000,0.003,1
2049,1000,0.003,1
3682,1000,0.003,1
2201,1000,0.003,1
2106,1000,0.003,1
1605,1000,0.003,1
2723,1000,0.003,1
3044,1000,0.003,1
1722,1000,0.003,1
2059,1000,0.003,1
2204,1000,0.003,1
9917,1000,0.003,1
2327,1000,0.003,1
2371,1000,0.003,1
2615,1000,0.003,1
6415,1000,0.003,1
1802,1000,0.003,1
1704,1000,0.003,1
1717,1000,0.003,1
9933,1000,0.003,1
2451,1000,0.003,1
2923,1000,0.003,1
2634,1000,0.003,1
2383,1000,0.003,1
6414,1000,0.003,1
1319,1000,0.003,1
6409,1000,0.003,1
2809,1000,0.003,1
5264,1000,0.003,1
2352,1000,0.003,1
3189,1000,0.003,1
2360,1000,0.003,1
6285,1000,0.003,1
2449,1000,0.003,1
5522,1000,0.003,1
2345,1000,0.003,1
6456,1000,0.003,1
1536,1000,0.003,1
2103,1000,0.003,1
2812,1000,0.003,1
1789,1000,0.003,1
1723,1000,0.003,1
2867,1000,0.003,1
2845,1000,0.003,1
9938,1000,0.003,1
6452,1000,0.003,1
3706,1000,0.003,1
2015,1000,0.003,1
8454,1000,0.003,1
6116,1000,0.003,1
3005,1000,0.003,1
6176,1000,0.003,1
6269,1000,0.003,1
1314,1000,0.003,1
2376,1000,0.003,1
2448,1000,0.003,1
1909,1000,0.003,1
2101,1000,0.003,1
2355,1000,0.003,1
1710,1000,0.003,1
2439,1000,0.003,1
1477,1000,0.003,1
2838,1000,0.003,1
9907,1000,0.003,1
1707,1000,0.003,1
2606,1000,0.003,1
2903,1000,0.003,1
2889,1000,0.003,1
