Date,Open,High,Low,Close,Vol
2000/11/08,-0.3496,0.1799,-0.3496,0.1799,0
2000/11/09,0.1766,0.1766,0.1766,0.1766,1
2000/11/10,0.1754,0.1754,0.1754,0.1754,1
2000/11/13,0.1734,0.1734,0.1724,0.1724,2
2000/11/17,0.1734,0.1734,0.1705,0.1713,0
2000/11/22,0.1734,0.1794,0.1631,0.1794,0
2000/11/24,0.1734,0.1794,0.1734,0.1758,0
2000/11/28,0.1734,0.1744,0.1734,0.1744,2
2000/12/01,0.1744,0.1884,0.1744,0.1884,1
2000/12/08,0.1734,0.1992,0.1734,0.198,0
2000/12/15,0.1734,0.1955,0.1734,0.1955,0
2000/12/22,0.1734,0.207,0.1734,0.2066,0
2000/12/29,0.1734,0.2102,0.1734,0.2102,0
2001/01/05,0.1734,0.2219,0.1734,0.2219,0
2001/01/09,0.1734,0.2219,0.1734,0.2144,0
2001/01/12,0.1734,0.2109,0.1734,0.2061,0
2001/01/19,0.1994,0.2091,0.1994,0.2066,0
2001/01/26,0.1994,0.1994,0.1942,0.1942,0
2001/02/01,0.1942,0.2048,0.1942,0.2048,0
2001/02/02,0.2048,0.2048,0.2024,0.2024,0
2001/02/09,0.2024,0.2024,0.1839,0.1863,0
2001/02/16,0.1863,0.1863,0.1735,0.1798,0
2001/02/21,0.1798,0.1798,0.174,0.1741,0
2001/02/23,0.1741,0.1759,0.1738,0.1759,0
2001/03/02,0.1759,0.1791,0.1759,0.1791,0
2001/03/09,0.1791,0.1791,0.1587,0.1587,0
2001/03/13,0.1587,0.1587,0.1534,0.1536,0
2001/03/14,0.1534,0.1536,0.1469,0.1469,4
2001/03/15,0.1534,0.1534,0.1421,0.1421,15
2001/03/16,0.1446,0.1446,0.1421,0.1427,256
2001/03/21,0.1446,0.1489,0.1446,0.1489,2
2001/03/22,0.1489,0.1489,0.1419,0.1424,2
2001/03/26,0.1424,0.1519,0.1424,0.1519,2
2001/03/27,0.1519,0.1519,0.1479,0.1489,1
2001/03/28,0.1519,0.1519,0.1434,0.1452,1
2001/03/29,0.1452,0.1452,0.1412,0.1412,2
2001/03/30,0.1412,0.1422,0.1359,0.1362,1
2001/04/02,0.1362,0.1362,0.1356,0.1356,0
2001/04/03,0.1356,0.1375,0.1356,0.1375,0
2001/04/04,0.1404,0.1404,0.1394,0.1394,1
2001/04/05,0.1404,0.141,0.1404,0.141,1
2001/04/06,0.1404,0.1481,0.1404,0.1481,1
2001/04/09,0.1404,0.1441,0.1404,0.1441,1
2001/04/10,0.1404,0.1446,0.1404,0.1441,1
2001/04/11,0.1404,0.1538,0.1404,0.1538,1
2001/04/12,0.1404,0.1597,0.1404,0.1597,1
2001/04/16,0.1404,0.1611,0.1404,0.1611,1
2001/04/17,0.1404,0.1538,0.1404,0.1538,1
2001/04/18,0.1503,0.1533,0.1503,0.1533,1
2001/04/19,0.1503,0.1656,0.1503,0.1656,1
