Date,Open,High,Low,Close,Vol
2000/10/05,1.2315,1.2355,1.2285,1.2301,17
2000/10/06,1.2315,1.2315,1.2225,1.2239,19
2000/10/13,1.2315,1.2497,1.2311,1.2311,2
2000/10/16,1.2315,1.2325,1.2205,1.2311,2
2000/10/18,1.2315,1.2405,1.2185,1.2283,2
2000/10/19,1.2315,1.2315,1.2195,1.2219,2
2000/10/20,1.2315,1.2315,1.2205,1.2241,2
2000/10/30,1.2315,1.2375,1.2305,1.2325,2
2000/10/31,1.2315,1.2335,1.2279,1.2279,2
2000/11/01,1.2315,1.2315,1.2225,1.2281,2
2000/11/02,1.2315,1.2315,1.2225,1.2281,2
2000/11/03,1.2315,1.2315,1.2225,1.2251,2
2000/11/07,1.2315,1.2315,1.2055,1.2093,2
2000/11/09,1.2315,1.2315,1.1965,1.2029,2
2000/11/10,1.2315,1.2315,1.2075,1.2075,2
2000/11/22,1.2075,1.2075,1.1885,1.1921,0
2000/11/24,1.1921,1.1921,1.1805,1.1815,0
2000/11/28,1.2315,1.2315,1.1995,1.1999,0
2000/11/30,1.2315,1.2315,1.1955,1.2049,0
2000/12/07,1.2315,1.2315,1.2225,1.2231,0
2001/01/03,1.2315,1.2825,1.2315,1.2737,0
2001/01/04,1.2315,1.2725,1.2315,1.2725,0
2001/01/09,1.2315,1.2735,1.2315,1.2615,0
2001/01/12,1.2315,1.2655,1.2315,1.2491,0
2001/01/17,1.2315,1.2491,1.2315,1.2409,0
2001/01/25,1.2315,1.2315,1.2215,1.2289,0
2001/01/26,1.2315,1.2315,1.2265,1.2295,0
2001/01/29,1.2295,1.2301,1.2265,1.2295,0
2001/01/31,1.2295,1.2345,1.2295,1.2325,0
2001/02/02,1.2325,1.2483,1.2325,1.2353,0
2001/02/09,1.2353,1.2353,1.2125,1.2137,0
2001/02/12,1.2195,1.2225,1.2125,1.2195,0
2001/02/16,1.2215,1.2245,1.2205,1.2225,2
2001/02/21,1.2215,1.2215,1.2085,1.2159,2
2001/02/28,1.2215,1.2215,1.2105,1.2121,0
2001/03/06,1.2215,1.2365,1.2215,1.2363,2
2001/03/07,1.2315,1.2365,1.2275,1.2315,2
2001/03/09,1.2315,1.2385,1.2315,1.2377,22
2001/03/12,1.2321,1.2321,1.2315,1.2321,8
2001/03/14,1.2321,1.2321,1.2135,1.2177,13
2001/03/16,1.2177,1.2177,1.1945,1.1967,3
2001/03/19,1.1965,1.1995,1.1885,1.1965,1
2001/03/20,1.1973,1.2035,1.1885,1.1973,1
2001/03/21,1.1985,1.2015,1.1965,1.1985,19
2001/03/27,1.2025,1.2065,1.1965,1.2025,1
2001/03/28,1.2025,1.2065,1.1995,1.2009,2
2001/03/29,1.2025,1.2085,1.1965,1.2055,2
2001/03/30,1.1885,1.2085,1.1855,1.1885,0
2001/04/02,1.1885,1.1885,1.1861,1.1861,0
2001/04/03,1.1861,1.2017,1.1861,1.2017,0
2001/04/04,1.2017,1.2029,1.2017,1.2029,0
2001/04/05,1.2029,1.2029,1.1969,1.1969,0
2001/04/06,1.1969,1.2061,1.1969,1.2061,0
2001/04/09,1.2061,1.2151,1.2061,1.2151,0
2001/04/10,1.2151,1.2151,1.2145,1.2151,0
2001/04/11,1.2151,1.2151,1.2055,1.2055,0
2001/04/12,1.2055,1.2081,1.2055,1.2081,0
2001/04/16,1.2081,1.2081,1.2037,1.2037,0
2001/04/17,1.2037,1.2037,1.1989,1.1989,0
2001/04/18,1.1989,1.1989,1.1959,1.1959,0
2001/04/19,1.1959,1.2125,1.1959,1.2125,0
2001/04/20,1.2125,1.2125,1.2105,1.2105,0
2001/04/23,1.2105,1.2105,1.2079,1.2079,0
2001/04/24,1.2079,1.2079,1.2043,1.2043,0
2001/04/25,1.2043,1.2085,1.2043,1.2085,0
2001/04/26,1.2065,1.2097,1.2065,1.2097,1
2001/04/27,1.2029,1.2029,1.2015,1.2015,1
2001/04/30,1.2029,1.2029,1.1991,1.1991,1
2001/05/01,1.2029,1.2029,1.2027,1.2027,1
2001/05/02,1.2029,1.2029,1.2013,1.2013,1
2001/05/03,1.1995,1.2041,1.1995,1.2041,1
2001/05/04,1.1995,1.2065,1.1995,1.2065,1
2001/05/07,1.2105,1.2105,1.2053,1.2053,5
2001/05/08,1.1935,1.1935,1.1925,1.1929,17
2001/05/09,1.1879,1.1885,1.1877,1.1885,6
2001/05/10,1.1879,1.1903,1.1879,1.1903,6
2001/05/11,1.1879,1.1879,1.1871,1.1871,6
2001/05/14,1.1855,1.1867,1.1855,1.1867,1
2001/05/15,1.1867,1.1911,1.1851,1.1911,12
2001/05/16,1.1925,1.1979,1.1869,1.1979,2
2001/05/17,1.1925,1.1983,1.1925,1.1983,2
2001/05/18,1.2019,1.2069,1.2019,1.2069,1
2001/05/21,1.2019,1.2067,1.2019,1.2067,1
2001/05/22,1.2075,1.2075,1.1947,1.1947,27
2001/05/23,1.1875,1.1915,1.1861,1.1861,20
2001/05/24,1.1827,1.1831,1.1765,1.1765,5
2001/05/25,1.1825,1.1899,1.1727,1.1899,3
2001/05/29,1.1825,1.1905,1.1825,1.1905,3
2001/05/30,1.1925,1.1951,1.1925,1.1951,11
2001/05/31,1.1865,1.1865,1.1843,1.1843,6
2001/06/01,1.1857,1.1857,1.1857,1.1857,6
2001/06/04,1.1885,1.1885,1.1801,1.1823,6
2001/06/05,1.1847,1.1847,1.1741,1.1785,6
2001/06/06,1.1819,1.1823,1.1555,1.1587,6
2001/06/07,1.1587,1.1619,1.1473,1.1579,6
2001/06/08,1.1575,1.1615,1.1455,1.1491,6
2001/06/11,1.1485,1.1559,1.1393,1.1423,6
2001/06/12,1.1411,1.1473,1.1361,1.1409,6
2001/06/13,1.1423,1.1599,1.1391,1.1583,6
2001/06/14,1.1593,1.1701,1.1553,1.1697,6
2001/06/15,1.1689,1.1781,1.1667,1.1723,6
2001/06/18,1.1715,1.1755,1.1683,1.1721,6
2001/06/19,1.1731,1.1733,1.1617,1.1677,6
2001/06/20,1.1691,1.1693,1.1581,1.1667,6
2001/06/21,1.1635,1.1857,1.1629,1.1845,6
2001/06/22,1.1825,1.1873,1.1765,1.1793,6
2001/06/25,1.1795,1.1853,1.1791,1.1817,6
2001/06/26,1.1809,1.1849,1.1781,1.1831,6
2001/06/27,1.1837,1.1905,1.1803,1.1843,6
2001/06/28,1.1849,1.1881,1.1747,1.1769,6
2001/06/29,1.1765,1.1839,1.1715,1.1819,6
2001/07/02,1.1833,1.1865,1.1787,1.1847,0
2001/07/03,1.1853,1.1855,1.1735,1.1747,0
2001/07/05,1.1755,1.1775,1.1679,1.1691,0
2001/07/06,1.1715,1.1827,1.1655,1.1811,0
2001/07/09,1.1801,1.1815,1.1741,1.1773,0
2001/07/10,1.1783,1.1819,1.1767,1.1799,0
2001/07/11,1.1801,1.1881,1.1763,1.1771,0
2001/07/12,1.1769,1.1785,1.1725,1.1767,6
2001/07/13,1.1771,1.1771,1.1667,1.1711,6
2001/07/16,1.1717,1.1727,1.1671,1.1703,6
2001/07/17,1.1719,1.1755,1.1625,1.1687,6
2001/07/18,1.1711,1.1909,1.1691,1.1867,6
2001/07/19,1.1905,1.2013,1.1831,1.1975,6
2001/07/20,1.1981,1.2051,1.1955,1.2005,6
2001/07/23,1.1955,1.1959,1.1871,1.1885,6
2001/07/24,1.1901,1.1955,1.1851,1.1931,6
2001/07/25,1.1913,1.1987,1.1885,1.1971,6
2001/07/26,1.1975,1.2009,1.1941,1.1981,6
2001/07/27,1.1973,1.1997,1.1921,1.1937,6
2001/07/30,1.1931,1.1973,1.1905,1.1967,6
2001/07/31,1.1963,1.2001,1.1933,1.1953,6
2001/08/01,1.1955,1.2049,1.1953,1.2043,6
2001/08/02,1.2045,1.2057,1.1979,1.2019,6
2001/08/03,1.2023,1.2023,1.1955,1.1993,6
2001/08/06,1.1981,1.1981,1.1875,1.1905,6
2001/08/07,1.1889,1.1901,1.1829,1.1877,6
2001/08/08,1.1869,1.1893,1.1835,1.1869,6
2001/08/09,1.1889,1.1995,1.1841,1.1967,6
2001/08/10,1.1967,1.1987,1.1939,1.1947,6
2001/08/13,1.1947,1.1979,1.1911,1.1927,6
2001/08/14,1.1917,1.2007,1.1877,1.1999,6
2001/08/15,1.2001,1.2123,1.1987,1.2113,6
2001/08/16,1.2115,1.2227,1.2111,1.2179,6
2001/08/17,1.2169,1.2197,1.2103,1.2175,6
2001/08/20,1.2173,1.2183,1.2139,1.2153,6
2001/08/21,1.2155,1.2257,1.2147,1.2207,6
2001/08/22,1.2253,1.2299,1.2189,1.2201,6
2001/08/23,1.2201,1.2213,1.2151,1.2189,6
2001/08/24,1.2169,1.2197,1.2123,1.2149,6
2001/08/27,1.2157,1.2169,1.2129,1.2163,0
2001/08/28,1.2153,1.2251,1.2091,1.2225,0
2001/08/29,1.2245,1.2289,1.2211,1.2239,0
2001/08/30,1.2223,1.2327,1.2195,1.2303,0
2001/08/31,1.2293,1.2339,1.2215,1.2263,0
2001/09/04,1.2247,1.2283,1.2135,1.2141,0
2001/09/05,1.2169,1.2305,1.2121,1.2299,0
2001/09/06,1.2289,1.2299,1.2183,1.2279,0
2001/09/07,1.2283,1.2367,1.2225,1.2333,0
2001/09/10,1.2329,1.2401,1.2295,1.2305,0
2001/09/11,1.2289,1.2497,1.2077,1.2077,0
2001/09/12,1.2077,1.2077,1.2077,1.2077,0
2001/09/13,1.2405,1.2453,1.2385,1.2423,0
2001/09/14,1.2421,1.2507,1.2383,1.2431,0
2001/09/17,1.2455,1.2495,1.2345,1.2381,0
2001/09/18,1.2383,1.2479,1.2313,1.2403,0
2001/09/19,1.2399,1.2437,1.2331,1.2405,0
2001/09/20,1.2393,1.2401,1.2345,1.2367,0
2001/09/21,1.2373,1.2373,1.2229,1.2271,0
2001/09/24,1.2281,1.2379,1.2247,1.2343,0
2001/09/25,1.2339,1.2427,1.2317,1.2417,0
2001/09/26,1.2415,1.2487,1.2415,1.2465,0
2001/09/27,1.2459,1.2483,1.2431,1.2457,0
2001/09/28,1.2457,1.2465,1.2371,1.2445,0
2001/10/01,1.2445,1.2531,1.2421,1.2499,0
2001/10/02,1.2509,1.2525,1.2335,1.2411,0
2001/10/03,1.2407,1.2507,1.2383,1.2467,0
2001/10/04,1.2489,1.2507,1.2421,1.2485,0
2001/10/05,1.2479,1.2533,1.2467,1.2525,0
2001/10/08,1.2539,1.2549,1.2439,1.2525,0
2001/10/09,1.2475,1.2475,1.2279,1.2311,0
2001/10/10,1.2309,1.2323,1.2207,1.2233,0
2001/10/11,1.2237,1.2249,1.2125,1.2167,0
2001/10/12,1.2169,1.2269,1.2153,1.2233,0
2001/10/15,1.2243,1.2267,1.2191,1.2211,0
2001/10/16,1.2211,1.2223,1.2153,1.2207,0
2001/10/17,1.2231,1.2251,1.2167,1.2201,0
2001/10/18,1.2201,1.2231,1.2147,1.2187,0
2001/10/19,1.2177,1.2177,1.2061,1.2081,0
2001/10/22,1.2061,1.2083,1.1941,1.1979,0
2001/10/23,1.1987,1.2003,1.1931,1.1983,0
2001/10/24,1.1991,1.2041,1.1937,1.2017,0
2001/10/25,1.2035,1.2067,1.1973,1.2025,0
2001/10/26,1.2007,1.2113,1.1989,1.2111,0
