Date,Open,High,Low,Close,Vol
1979/12/19,7730,7730,7711,7711,0
1979/12/20,7703,7708,7703,7708,0
1979/12/21,7718,7718,7708,7708,0
1979/12/26,7724,7724,7724,7724,0
1979/12/27,7748,7750,7679,7679,0
1979/12/28,7663,7663,7654,7654,0
1979/12/31,7673,7678,7566,7566,0
1980/1/2,7575,7575,7575,7575,0
1980/1/3,7628,7628,7619,7619,0
1980/1/4,7623,7623,7623,7623,0
1980/1/7,7666,7666,7666,7666,0
1980/1/8,7703,7703,7703,7703,0
1980/1/9,7712,7713,7679,7679,0
1980/1/10,7683,7698,7680,7680,0
1980/1/11,7683,7717,7683,7717,0
1980/1/14,7687,7687,7687,7687,0
1980/1/15,7708,7709,7703,7709,0
1980/1/16,7683,7708,7683,7689,0
1980/1/17,7693,7693,7683,7688,0
1980/1/18,7703,7715,7673,7673,0
1980/1/21,7693,7698,7653,7653,0
1980/1/22,7673,7673,7642,7653,0
1980/1/23,7673,7673,7673,7673,0
1980/1/24,7718,7718,7678,7678,0
1980/1/25,7703,7718,7688,7688,0
1980/1/28,7713,7714,7713,7714,0
1980/1/29,7733,7793,7733,7793,0
1980/1/30,7793,7793,7793,7793,0
1980/1/31,7798,7798,7743,7743,0
1980/2/1,7753,7753,7729,7729,0
1980/2/4,7743,7817,7743,7816,0
1980/2/5,7822,7822,7802,7802,0
1980/2/6,7783,7813,7783,7793,0
1980/2/7,7798,7798,7763,7763,0
1980/2/8,7783,7783,7758,7758,0
1980/2/11,7793,7813,7783,7813,0
1980/2/13,7873,7885,7847,7847,0
1980/2/14,7853,7858,7823,7838,0
1980/2/15,7833,7833,7750,7751,0
1980/2/19,7758,7773,7663,7663,0
1980/2/20,7623,7644,7613,7613,0
1980/2/21,7688,7693,7623,7631,0
1980/2/22,7653,7683,7583,7613,0
1980/2/25,7633,7655,7618,7655,0
1980/2/26,7653,7663,7641,7641,0
1980/2/27,7663,7683,7663,7683,0
1980/2/28,7658,7658,7633,7633,0
1980/2/29,7623,7633,7593,7593,0
1980/3/3,7673,7681,7663,7667,0
1980/3/4,7628,7663,7628,7658,0
1980/3/5,7683,7713,7683,7707,0
1980/3/6,7673,7677,7648,7648,0
1980/3/7,7613,7628,7593,7618,0
1980/3/10,7623,7628,7588,7588,0
1980/3/11,7638,7638,7618,7618,0
1980/3/12,7633,7633,7604,7604,0
1980/3/13,7603,7603,7517,7531,0
1980/3/14,7543,7583,7543,7578,0
1980/3/17,7533,7533,7533,7533,0
1980/3/18,7583,7595,7583,7595,0
1980/3/19,7613,7613,7613,7613,0
1980/3/20,7648,7648,7578,7578,0
1980/3/21,7622,7622,7622,7622,0
1980/3/24,7583,7663,7583,7648,0
1980/3/25,7608,7619,7581,7581,0
1980/3/26,7603,7603,7573,7573,0
1980/3/27,7543,7573,7513,7518,0
1980/3/28,7513,7513,7468,7468,0
1980/3/31,7468,7513,7468,7478,0
1980/4/1,7473,7473,7453,7458,0
1980/4/2,7473,7488,7468,7483,0
1980/4/3,7483,7495,7483,7495,0
1980/4/7,7503,7506,7502,7504,0
1980/4/8,7511,7537,7511,7537,0
1980/4/9,7548,7548,7505,7511,0
1980/4/10,7503,7503,7468,7488,0
1980/4/11,7473,7493,7472,7473,0
1980/4/14,7473,7473,7436,7438,0
1980/4/15,7408,7433,7408,7414,0
1980/4/16,7428,7458,7428,7442,0
1980/4/17,7458,7458,7438,7438,0
1980/4/18,7388,7413,7381,7381,0
1980/4/21,7363,7364,7318,7348,0
1980/4/22,7341,7373,7341,7373,0
1980/4/23,7363,7383,7344,7378,0
1980/4/24,7363,7377,7348,7373,0
1980/4/25,7453,7458,7383,7388,0
1980/4/28,7343,7343,7318,7328,0
1980/4/29,7328,7333,7312,7333,0
1980/4/30,7321,7321,7253,7265,0
1980/5/1,7218,7238,7188,7208,0
1980/5/2,7238,7238,7190,7221,0
1980/5/5,7223,7225,7198,7201,0
1980/5/6,7233,7233,7183,7188,0
1980/5/7,7201,7223,7201,7218,0
1980/5/8,7268,7273,7248,7258,0
1980/5/9,7242,7248,7223,7248,0
1980/5/12,7233,7251,7193,7199,0
1980/5/13,7183,7183,7133,7138,0
1980/5/14,7143,7151,7133,7133,0
1980/5/15,7098,7108,7093,7103,0
1980/5/16,7093,7143,7093,7143,0
1980/5/19,7093,7093,7058,7063,0
1980/5/20,6983,7003,6975,6975,0
1980/5/21,6975,7003,6975,6994,0
1980/5/22,6998,6998,6958,6971,0
1980/5/23,6948,6958,6938,6948,0
1980/5/27,6943,6946,6924,6925,0
1980/5/28,6958,6958,6923,6940,0
1980/5/29,6953,6984,6953,6983,0
1980/5/30,7023,7043,6895,6895,0
1980/6/2,6883,6913,6878,6908,0
1980/6/3,6933,6933,6916,6928,0
1980/6/4,6953,6982,6933,6959,0
1980/6/5,6963,7047,6961,7047,0
1980/6/6,6993,7108,6993,7088,0
1980/6/9,7108,7118,7018,7063,0
1980/6/10,7018,7068,7017,7068,0
1980/6/11,7046,7066,7041,7053,0
1980/6/12,7058,7058,6965,6983,0
1980/6/13,6993,6993,6978,6990,0
1980/6/16,6993,7028,6993,7018,0
1980/6/17,7003,7028,6988,6991,0
1980/6/18,6958,6978,6958,6970,0
1980/6/19,6973,7023,6973,7023,0
1980/6/20,6983,7003,6983,7001,0
1980/6/23,7001,7053,7001,7042,0
1980/6/24,7033,7045,7028,7045,0
1980/6/25,7043,7043,6980,6983,0
1980/6/26,6923,6940,6913,6919,0
1980/6/27,6918,6928,6831,6863,0
1980/6/30,6853,6858,6818,6831,0
1980/7/1,6859,6880,6839,6878,0
1980/7/2,6858,6908,6853,6879,0
1980/7/3,6875,6912,6875,6912,0
1980/7/7,6883,6933,6853,6918,0
1980/7/8,6913,6931,6865,6873,0
1980/7/9,6863,6902,6863,6893,0
1980/7/10,6893,6897,6888,6897,0
1980/7/11,6883,6932,6868,6903,0
1980/7/14,6891,6991,6873,6987,0
1980/7/15,6968,7033,6968,7018,0
1980/7/16,7004,7023,6979,7003,0
1980/7/17,6988,6988,6985,6985,0
1980/7/18,6958,6974,6934,6949,0
1980/7/21,6948,6977,6948,6955,0
1980/7/22,6968,6990,6960,6983,0
1980/7/23,6988,7007,6973,6988,0
1980/7/24,6978,6983,6900,6903,0
1980/7/25,6873,6908,6864,6869,0
1980/7/28,6865,6869,6825,6838,0
1980/7/29,6818,6893,6818,6879,0
1980/7/30,6848,6863,6791,6791,0
1980/7/31,6748,6783,6723,6734,0
1980/8/1,6718,6758,6703,6738,0
1980/8/4,6733,6745,6694,6707,0
1980/8/5,6703,6758,6703,6757,0
1980/8/6,6748,6763,6737,6743,0
1980/8/7,6733,6783,6705,6758,0
1980/8/8,6738,6767,6734,6735,0
1980/8/11,6743,6793,6743,6763,0
1980/8/12,6778,6808,6773,6793,0
1980/8/13,6794,6803,6713,6738,0
1980/8/14,6738,6759,6723,6733,0
1980/8/15,6738,6768,6733,6734,0
1980/8/18,6738,6747,6710,6713,0
1980/8/19,6673,6697,6658,6675,0
1980/8/20,6673,6693,6659,6663,0
1980/8/21,6666,6683,6655,6683,0
1980/8/22,6678,6698,6674,6679,0
1980/8/25,6683,6702,6683,6688,0
1980/8/26,6688,6712,6688,6702,0
1980/8/27,6708,6728,6703,6703,0
1980/8/28,6694,6700,6663,6673,0
1980/8/29,6666,6695,6666,6678,0
1980/9/2,6671,6678,6645,6656,0
1980/9/3,6656,6692,6656,6672,0
1980/9/4,6678,6698,6668,6678,0
1980/9/5,6691,6766,6684,6737,0
1980/9/8,6737,6823,6690,6813,0
1980/9/9,6794,6805,6773,6783,0
1980/9/10,6788,6828,6785,6806,0
1980/9/11,6788,6803,6763,6799,0
1980/9/12,6833,6882,6833,6882,0
1980/9/15,6848,6917,6833,6879,0
1980/9/16,6853,6881,6840,6855,0
1980/9/17,6843,6870,6818,6836,0
1980/9/18,6842,6853,6803,6853,0
1980/9/19,6841,6873,6835,6863,0
1980/9/22,6881,6933,6876,6911,0
1980/9/23,6893,6923,6883,6883,0
1980/9/24,6851,6868,6840,6861,0
1980/9/25,6868,6878,6844,6845,0
1980/9/26,6757,6788,6757,6757,0
1980/9/29,6683,6710,6669,6669,0
1980/9/30,6653,6691,6633,6671,0
1980/10/1,6693,6712,6675,6688,0
1980/10/2,6681,6708,6658,6698,0
1980/10/3,6703,6736,6703,6723,0
1980/10/6,6742,6749,6694,6699,0
1980/10/7,6694,6716,6684,6708,0
1980/10/8,6687,6698,6678,6696,0
1980/10/9,6713,6758,6713,6738,0
1980/10/10,6733,6763,6708,6711,0
1980/10/13,6723,6742,6714,6731,0
1980/10/14,6733,6753,6733,6748,0
1980/10/15,6758,6761,6713,6724,0
1980/10/16,6731,6732,6689,6691,0
1980/10/17,6666,6708,6658,6696,0
1980/10/20,6683,6698,6666,6682,0
1980/10/21,6690,6723,6686,6708,0
1980/10/22,6713,6727,6702,6702,0
1980/10/23,6703,6715,6685,6690,0
1980/10/24,6700,6703,6687,6700,0
1980/10/27,6698,6710,6676,6682,0
1980/10/28,6644,6653,6594,6594,0
1980/10/29,6593,6612,6570,6589,0
1980/10/30,6603,6628,6589,6623,0
1980/10/31,6648,6679,6638,6674,0
1980/11/3,6658,6672,6613,6628,0
1980/11/5,6578,6583,6543,6574,0
1980/11/6,6528,6553,6515,6524,0
1980/11/7,6505,6553,6505,6538,0
1980/11/10,6518,6538,6495,6503,0
1980/11/11,6493,6521,6481,6493,0
1980/11/12,6543,6573,6543,6568,0
1980/11/13,6618,6623,6573,6579,0
1980/11/14,6558,6596,6503,6523,0
1980/11/17,6513,6543,6513,6528,0
1980/11/18,6514,6521,6478,6503,0
1980/11/19,6488,6530,6483,6518,0
1980/11/20,6499,6516,6488,6502,0
1980/11/21,6473,6491,6463,6472,0
1980/11/24,6476,6483,6433,6439,0
1980/11/25,6443,6458,6443,6450,0
1980/11/26,6448,6450,6419,6421,0
1980/11/28,6398,6408,6378,6383,0
1980/12/1,6378,6402,6368,6378,0
1980/12/2,6413,6442,6408,6436,0
1980/12/3,6433,6447,6398,6410,0
1980/12/4,6418,6428,6401,6401,0
1980/12/5,6404,6423,6389,6418,0
1980/12/8,6383,6401,6373,6378,0
1980/12/9,6369,6391,6364,6385,0
1980/12/10,6388,6418,6373,6378,0
1980/12/11,6343,6349,6323,6329,0
1980/12/12,6338,6393,6330,6391,0
1980/12/15,6418,6433,6403,6404,0
1980/12/16,6372,6393,6359,6362,0
1980/12/17,6373,6388,6373,6378,0
1980/12/18,6383,6398,6374,6393,0
1980/12/19,6396,6418,6396,6398,0
1980/12/22,6425,6426,6394,6408,0
