Date,Open,High,Low,Close,Vol
2000/05/23,0.63065,0.63065,0.62735,0.62735,1
2000/05/24,0.62735,0.62835,0.62555,0.62555,4
2000/05/26,0.62735,0.62895,0.62735,0.62895,2
2000/06/02,0.62735,0.64005,0.62735,0.64005,0
2000/06/09,0.62735,0.64055,0.62735,0.64055,0
2000/06/13,0.64385,0.64385,0.64355,0.64355,5
2000/06/16,0.64385,0.64445,0.64045,0.64445,0
2000/06/23,0.64385,0.64385,0.63675,0.63675,0
2000/06/30,0.64385,0.64385,0.63675,0.63785,0
2000/07/03,0.64385,0.64385,0.63785,0.63785,0
2000/07/07,0.64385,0.64385,0.63595,0.63755,0
2000/07/14,0.64385,0.64385,0.63695,0.63695,0
2000/07/21,0.64385,0.64385,0.64145,0.64205,0
2000/07/27,0.64235,0.64235,0.64185,0.64185,4
2000/07/28,0.64235,0.64235,0.63965,0.63965,4
2000/08/04,0.63385,0.63385,0.63335,0.63335,1
2000/08/10,0.63635,0.63715,0.63635,0.63715,1
2000/08/11,0.63635,0.63715,0.63635,0.63685,1
2000/08/18,0.63635,0.64035,0.63635,0.63985,0
2000/08/22,0.64035,0.64035,0.63905,0.63905,1
2000/08/23,0.63435,0.63465,0.63435,0.63465,4
2000/08/24,0.63465,0.63465,0.63385,0.63385,1
2000/08/25,0.63465,0.63495,0.63385,0.63495,2
2000/09/01,0.63495,0.64095,0.63495,0.64015,0
2000/09/08,0.64015,0.64015,0.63815,0.63835,0
2000/09/11,0.63735,0.63835,0.63735,0.63735,0
2000/09/12,0.63635,0.63635,0.63635,0.63635,5
2000/09/15,0.63635,0.63635,0.63345,0.63495,0
2000/09/20,0.63485,0.63635,0.63485,0.63515,2
2000/09/22,0.63485,0.63485,0.63165,0.63255,0
2000/09/25,0.63485,0.63485,0.63195,0.63255,0
2000/09/26,0.63285,0.63345,0.63285,0.63285,1
2000/09/27,0.62985,0.62985,0.62985,0.62985,5
2000/09/28,0.62685,0.62685,0.62635,0.62635,20
2000/09/29,0.62575,0.62635,0.62415,0.62575,5
2000/10/03,0.62355,0.62585,0.62355,0.62575,80
2000/10/04,0.62685,0.62885,0.62685,0.62785,111
2000/10/06,0.62785,0.62785,0.62785,0.62785,10
2000/10/11,0.62535,0.62535,0.62535,0.62535,5
2000/10/12,0.62235,0.62235,0.62235,0.62235,33
2000/10/13,0.61935,0.62335,0.61935,0.62165,3
2000/10/16,0.61935,0.61935,0.61785,0.61785,3
2000/10/17,0.61935,0.62085,0.61785,0.61815,12
2000/10/18,0.61875,0.61985,0.61875,0.61965,705
2000/10/19,0.62185,0.62185,0.62105,0.62105,2
2000/10/20,0.62095,0.62185,0.62095,0.62095,3
2000/10/23,0.62285,0.62285,0.62285,0.62285,11
2000/10/24,0.62115,0.62115,0.62115,0.62115,1
2000/10/25,0.61715,0.61985,0.61685,0.61965,3
2000/10/26,0.61645,0.61645,0.61605,0.61645,6
2000/10/27,0.61455,0.61785,0.61385,0.61405,23
2000/10/30,0.61385,0.61585,0.61285,0.61285,28
2000/10/31,0.61385,0.61735,0.61385,0.61585,9
2000/11/01,0.61515,0.61515,0.61235,0.61235,44
2000/11/02,0.61095,0.61235,0.60935,0.61235,147
2000/11/03,0.61015,0.61185,0.61015,0.61185,6
2000/11/06,0.61235,0.61385,0.61235,0.61235,5
2000/11/07,0.61305,0.61305,0.61205,0.61205,2
2000/11/08,0.60715,0.60735,0.60645,0.60735,8
2000/11/09,0.60735,0.60735,0.60575,0.60575,73
2000/11/10,0.60585,0.60635,0.60565,0.60635,4
2000/11/13,0.60485,0.60495,0.60485,0.60495,24
2000/11/14,0.60585,0.60585,0.60585,0.60585,10
2000/11/15,0.60275,0.60275,0.60275,0.60275,8
2000/11/16,0.60265,0.60265,0.60125,0.60125,33
2000/11/17,0.60025,0.60035,0.59935,0.59985,22
2000/11/20,0.59985,0.60105,0.59985,0.59985,3
2000/11/21,0.60205,0.60385,0.60135,0.60335,7
2000/11/22,0.60455,0.60465,0.60455,0.60465,7
2000/11/24,0.60785,0.60935,0.60785,0.60865,7
2000/11/27,0.60935,0.61055,0.60935,0.60985,19
2000/11/28,0.60985,0.61235,0.60905,0.61025,5
2000/11/29,0.60805,0.60805,0.60785,0.60785,2
2000/11/30,0.61085,0.61085,0.61045,0.61045,80
2000/12/01,0.61035,0.61035,0.60655,0.60655,38
2000/12/04,0.60575,0.60685,0.60365,0.60575,212
2000/12/05,0.60605,0.60605,0.60585,0.60605,126
2000/12/06,0.61275,0.61315,0.61275,0.61315,154
2000/12/07,0.61135,0.61525,0.61135,0.61525,4
2000/12/08,0.61515,0.61735,0.61515,0.61665,4
2000/12/11,0.61705,0.61725,0.61535,0.61555,28
2000/12/12,0.61235,0.61435,0.61235,0.61375,6
2000/12/13,0.61535,0.61585,0.61535,0.61535,1
2000/12/14,0.61815,0.61815,0.61815,0.61815,21
2000/12/15,0.61535,0.61565,0.61535,0.61535,19
2000/12/18,0.61325,0.61325,0.61325,0.61325,1
