Date,Open,High,Low,Close,Vol,
1994/8/31,31.37,31.44,30.92,31.44,0,
1994/9/1,31.54,31.62,31.02,31.16,0,
1994/9/2,31.27,31.77,31.16,31.17,0,
1994/9/6,30.52,30.64,30.22,30.34,0,
1994/9/7,30.48,30.48,29.68,29.83,0,
1994/9/8,30.12,30.21,29.92,29.99,0,
1994/9/9,30.52,30.52,29.22,29.7,0,
1994/9/12,29.97,30.59,29.97,30.19,0,
1994/9/13,30.82,31.32,30.67,31.07,0,
1994/9/14,31.15,31.32,30.92,31.2,0,
1994/9/15,31.25,31.5,31.09,31.46,0,
1994/9/16,31.67,31.67,30.37,30.6,0,
1994/9/19,30.72,30.94,30.68,30.72,0,
1994/9/20,30.27,30.32,29.82,30.21,0,
1994/9/21,30.02,30.22,29.37,29.51,0,
1994/9/22,29.77,30,29.52,29.75,0,
1994/9/23,30.3,30.35,30.02,30.09,0,
1994/9/26,30.17,30.31,29.87,30.03,0,
1994/9/27,29.87,30.12,29.72,29.83,0,
1994/9/28,30.33,31.32,30.07,30.87,0,
1994/9/29,30.82,30.83,30.17,30.43,0,
1994/9/30,30.42,31.17,30.37,31.02,0,
1994/10/3,30.8,30.97,30.42,30.62,0,
1994/10/4,30.47,30.74,30.47,30.58,0,
1994/10/5,30.32,30.4,29.42,29.42,0,
1994/10/6,29.62,29.67,29.27,29.33,0,
1994/10/7,28.97,29.67,28.82,29.64,0,
1994/10/11,30.18,30.67,30.16,30.32,0,
1994/10/12,30.17,30.22,29.95,30.1,0,
1994/10/13,30.07,30.77,30.02,30.17,0,
1994/10/14,30.12,30.31,29.77,30.11,0,
1994/10/17,29.87,30.07,29.74,30.02,0,
1994/10/18,30.33,30.52,29.93,29.94,0,
1994/10/19,29.4,29.7,29.19,29.29,0,
1994/10/20,29.91,29.91,28.92,29.19,0,
1994/10/21,29.17,29.58,28.75,29.56,0,
1994/10/24,29.75,29.75,29.26,29.29,0,
1994/10/25,28.92,29.39,28.82,29.3,0,
1994/10/26,29.42,29.67,29.17,29.45,0,
1994/10/27,29.57,29.64,29.47,29.52,0,
1994/10/28,29.6,30.02,29.27,29.88,0,
1994/10/31,29.67,29.73,29.53,29.69,0,
1994/11/1,29.32,29.41,29.09,29.09,0,
1994/11/2,28.87,29.19,28.77,28.98,0,
1994/11/3,29.21,29.22,28.97,29.2,0,
1994/11/4,29.2,29.52,28.82,28.87,0,
1994/11/7,28.74,28.85,28.67,28.79,0,
1994/11/8,28.85,29.27,28.75,29.23,0,
1994/11/9,29.63,29.63,29.36,29.47,0,
1994/11/10,29.27,29.91,29.24,29.37,0,
1994/11/11,29.14,29.15,28.98,29.02,0,
1994/11/14,29.24,29.71,29.21,29.7,0,
1994/11/15,29.97,30.67,29.68,30.47,0,
1994/11/16,30.24,30.52,29.53,29.57,0,
1994/11/17,29.23,29.37,29.07,29.36,0,
1994/11/18,29.51,29.65,29.34,29.62,0,
1994/11/21,29.53,29.79,29.45,29.49,0,
1994/11/22,29.47,29.62,29.29,29.31,0,
1994/11/23,29.97,30.37,29.89,30.32,0,
1994/11/24,30.25,30.25,30.15,30.18,0,
1994/11/25,30.35,30.48,30.35,30.48,0,
1994/11/28,30.15,30.15,29.75,29.83,0,
1994/11/29,29.65,29.66,29.4,29.51,0,
1994/11/30,29.55,29.95,29.45,29.88,0,
