Date,Open,High,Low,Close,Vol
1997/01/10,91.44,91.76,91.31,91.43,41900
1997/01/13,91.59,91.9,90.49,90.53,57966
1997/01/14,90.57,90.69,90.24,90.45,34884
1997/01/15,90.64,91.44,89.99,91.29,64702
1997/01/16,91.09,91.34,90.74,90.86,36379
1997/01/17,90.59,91.19,90.28,90.75,42219
1997/01/20,90.57,91.02,90.52,90.75,43673
1997/01/21,90.55,91,90.47,90.54,53336
1997/01/22,90.77,90.9,90.12,90.56,58141
1997/01/23,90.48,91.07,90.48,90.5,45919
1997/01/24,90.48,90.72,90.33,90.37,28430
1997/01/27,90.26,90.58,89.94,90.26,44441
1997/01/28,90.46,90.47,90.2,90.22,23532
1997/01/29,90.47,90.87,90.42,90.79,39325
1997/01/30,90.82,91.32,90.75,91.19,41663
1997/01/31,91.06,91.17,90.42,90.47,51647
1997/02/03,90.37,90.67,90.3,90.47,33582
1997/02/04,90.62,90.75,90.14,90.34,41365
1997/02/05,90.32,90.55,90.14,90.23,37049
1997/02/06,89.87,89.92,89.37,89.42,56676
1997/02/07,89.32,89.55,88.47,88.55,68652
1997/02/10,88.73,88.85,87.97,88.78,55802
1997/02/11,88.92,88.94,88.57,88.74,34449
1997/02/12,88.35,89.07,88.12,88.18,62773
1997/02/13,88.2,88.42,87.82,88.34,44218
1997/02/14,88.54,88.8,88.42,88.73,32520
1997/02/18,88.48,88.97,88.26,88.82,37223
1997/02/19,88.75,89.06,88.7,89.03,32857
1997/02/20,88.86,88.93,88.33,88.39,57403
1997/02/21,88.25,88.34,88.03,88.09,36313
1997/02/24,88.15,88.15,87.35,87.41,52626
1997/02/25,87.55,88.02,87.52,87.7,50258
1997/02/26,87.9,88.1,87.45,87.81,60703
1997/02/27,87.83,87.98,87.54,87.59,30770
1997/02/28,87.4,87.48,86.95,87,41922
1997/03/03,87.12,87.15,86.66,86.95,46027
1997/03/04,87.15,87.6,86.78,87.36,55366
1997/03/05,87.5,87.59,87.03,87.19,50658
1997/03/06,87.02,87.85,86.95,87.64,60247
1997/03/07,87.6,88.07,87.5,87.98,49023
1997/03/10,87.8,87.97,87.15,87.19,46648
1997/03/11,87.08,87.13,86.75,86.81,42829
1997/03/12,86.56,87.55,86.56,87.32,55217
1997/03/13,87.6,87.75,87.35,87.4,37720
1997/03/14,87.6,88.12,87.56,87.99,54823
1997/03/17,88.04,88.12,87.57,87.64,27454
1997/03/18,87.64,88.69,87.59,88.56,64694
1997/03/19,88.69,89.14,88.42,88.61,73767
1997/03/20,88.49,88.87,88.25,88.64,58647
1997/03/21,88.64,88.76,88.22,88.3,40982
1997/03/24,88.14,88.22,87.82,87.85,35393
1997/03/25,87.82,88.07,87.74,87.78,39132
1997/03/26,87.81,88.21,87.39,87.43,61168
1997/03/27,87.52,87.64,87.32,87.49,44969
1997/03/31,87.59,87.67,87.14,87.2,32061
1997/04/01,87.23,87.43,87,87.07,42606
1997/04/02,87.14,87.21,86.16,86.26,73594
1997/04/03,86.49,86.58,86.17,86.26,53627
1997/04/04,86.4,86.5,85.76,85.91,51286
1997/04/07,86.09,86.41,85.95,86.02,49836
1997/04/08,86.24,86.29,86.02,86.14,32706
1997/04/09,86.39,86.56,85.91,86.06,54103
1997/04/10,86.04,86.69,85.75,86.36,64653
1997/04/11,86.41,86.53,86.24,86.32,31584
1997/04/14,86.51,86.82,86.47,86.69,37084
1997/04/15,86.54,86.88,86.38,86.62,45912
1997/04/16,86.41,86.44,86.12,86.14,33494
1997/04/17,86.04,86.37,85.89,86.21,31789
1997/04/18,86.45,86.76,86.44,86.7,33333
1997/04/21,86.88,87.25,86.85,87.1,55230
1997/04/22,87.23,87.28,86.58,86.62,64730
1997/04/23,86.73,86.81,86.43,86.76,38220
1997/04/24,86.83,87.08,86.7,87.06,34020
1997/04/25,86.98,87.25,86.85,87.02,38059
1997/04/28,86.93,87.06,86.85,86.94,20026
1997/04/29,86.91,87.51,86.89,87.47,55392
1997/04/30,87.41,87.56,87.18,87.24,45978
1997/05/01,87.08,87.32,86.89,86.94,38207
1997/05/02,86.91,86.93,86.47,86.63,60812
1997/05/05,86.68,86.91,86.58,86.66,31838
1997/05/06,86.61,86.87,86.51,86.69,40542
1997/05/07,86.8,86.93,86.63,86.65,35918
1997/05/08,86.73,87.42,86.68,87.37,67862
1997/05/09,87.38,87.58,87.21,87.46,48470
1997/05/12,87.79,88.58,87.75,88.41,58318
1997/05/13,88.34,88.43,88.15,88.4,40839
1997/05/14,88.01,88.48,87.88,88.42,45231
1997/05/15,88.31,88.51,88.21,88.33,34796
1997/05/16,88.28,89.43,88.19,89.15,42659
1997/05/19,88.93,89.12,88.78,88.87,61851
1997/05/20,88.67,89.12,88.52,88.56,67590
1997/05/21,88.64,88.92,88.43,88.83,50261
1997/05/22,88.87,89.05,88.79,88.83,35923
1997/05/23,88.75,88.94,88.5,88.6,38950
1997/05/27,88.28,88.35,87.62,87.76,63556
1997/05/28,87.84,87.95,87.62,87.76,39918
1997/05/29,87.62,88.25,87.54,87.94,54684
1997/05/30,87.93,87.99,87.73,87.85,31765
1997/06/02,87.95,88.14,87.8,87.95,26617
1997/06/03,87.89,87.89,87.25,87.3,72840
1997/06/04,87.22,87.35,87.05,87.09,42854
