Date,Open,High,Low,Close,Vol
2000/09/12,0.89305,0.89305,0.88805,0.88805,100
2000/09/13,0.89155,0.89215,0.89005,0.89215,94
2000/09/15,0.88655,0.88655,0.88655,0.88655,80
2000/09/18,0.88655,0.88655,0.88255,0.88255,110
2000/09/19,0.88655,0.88655,0.87855,0.88155,110
2000/09/20,0.88655,0.88655,0.87455,0.87755,110
2000/09/21,0.88655,0.88705,0.87455,0.88505,110
2000/09/22,0.91655,0.91655,0.90855,0.91655,100
2000/09/25,0.91655,0.91655,0.90155,0.90355,100
2000/09/26,0.91655,0.91655,0.90155,0.90905,100
2000/09/27,0.91655,0.91655,0.90905,0.91095,100
2000/09/28,0.91655,0.91655,0.91205,0.91205,0
2000/09/29,0.91205,0.91205,0.90505,0.91035,0
2000/10/02,0.91035,0.91155,0.90855,0.90855,0
2000/10/03,0.90855,0.91155,0.90305,0.90305,0
2000/10/04,0.90405,0.90405,0.90205,0.90405,5
2000/10/05,0.90405,0.90405,0.90305,0.90305,5
2000/10/06,0.89755,0.89805,0.89585,0.89585,1
2000/10/10,0.89755,0.89905,0.89585,0.89905,1
2000/10/11,0.89755,0.89925,0.89755,0.89925,1
2000/10/12,0.89755,0.89925,0.89055,0.89055,0
2000/10/13,0.89755,0.89925,0.88255,0.88255,0
2000/10/16,0.87605,0.87655,0.87605,0.87605,36
2000/10/17,0.87605,0.88105,0.87605,0.88105,36
2000/10/18,0.85955,0.86455,0.85955,0.86005,42
2000/10/19,0.85955,0.86955,0.85955,0.86955,44
2000/10/20,0.86505,0.86825,0.86505,0.86505,8
2000/10/23,0.86505,0.86785,0.86505,0.86785,8
2000/10/24,0.86505,0.86505,0.86005,0.86205,8
2000/10/25,0.85505,0.85505,0.85305,0.85305,8
2000/10/26,0.85505,0.85505,0.85275,0.85275,3
2000/10/27,0.85505,0.86635,0.85505,0.86635,3
2000/10/30,0.86805,0.86805,0.86805,0.86805,3
2000/10/31,0.87405,0.87455,0.87355,0.87365,3
2000/11/01,0.88605,0.88605,0.87405,0.87435,3
2000/11/02,0.88625,0.88625,0.88625,0.88625,3
2000/11/03,0.89005,0.89105,0.89005,0.89005,0
2000/11/06,0.85505,0.89105,0.85505,0.88475,0
2000/11/07,0.85505,0.88705,0.85505,0.88605,0
2000/11/08,0.85505,0.88705,0.85505,0.88055,0
2000/11/09,0.85505,0.88855,0.85505,0.88855,0
2000/11/10,0.85505,0.88855,0.85505,0.88805,0
2000/11/13,0.88665,0.88665,0.88665,0.88665,0
2000/11/14,0.85505,0.88355,0.85505,0.88355,0
2000/11/15,0.88405,0.88455,0.88205,0.88215,0
2000/11/16,0.88325,0.88325,0.88325,0.88325,0
2000/11/17,0.85505,0.88325,0.85505,0.87455,0
2000/11/20,0.85505,0.87355,0.85505,0.87355,0
2000/11/21,0.87455,0.87455,0.86875,0.87105,21
2000/11/22,0.87455,0.87455,0.86725,0.86975,21
2000/11/24,0.86505,0.86515,0.86505,0.86515,1
2000/11/27,0.86505,0.87605,0.86505,0.87605,1
2000/11/28,0.86505,0.88155,0.86505,0.88115,49
2000/11/29,0.88075,0.88755,0.88075,0.88255,50
2000/11/30,0.88075,0.89505,0.88075,0.89505,30
2000/12/01,0.89505,0.90255,0.89505,0.89715,20
2000/12/04,0.89715,0.91505,0.89715,0.91225,131
2000/12/05,0.91505,0.91505,0.90705,0.90705,160
2000/12/06,0.91505,0.91505,0.90565,0.90565,13
2000/12/07,0.91505,0.92005,0.91425,0.91785,30
2000/12/08,0.91785,0.92005,0.91025,0.91025,50
2000/12/11,0.91785,0.92005,0.90305,0.90305,5
2000/12/12,0.91785,0.91785,0.90195,0.90195,2
2000/12/13,0.90195,0.90195,0.90005,0.90005,2
2000/12/14,0.90195,0.91315,0.90195,0.91315,40
2000/12/15,0.91315,0.92355,0.91315,0.92155,103
2000/12/18,0.92355,0.92355,0.91755,0.91755,43
2000/12/20,0.92065,0.93105,0.91425,0.92955,42
2000/12/21,0.92065,0.93905,0.92065,0.93555,64
2000/12/22,0.93765,0.94815,0.93555,0.94705,65
2000/12/26,0.93765,0.95295,0.93765,0.95295,151
2000/12/27,0.95275,0.95495,0.95275,0.95335,280
2000/12/29,0.95415,0.95415,0.95205,0.95205,280
2001/01/02,0.95415,0.97255,0.95415,0.96975,346
2001/01/03,0.96265,0.97625,0.95355,0.97225,5
2001/01/04,0.97225,0.97245,0.96655,0.97125,57
2001/01/05,0.96785,0.97865,0.96785,0.97835,201
2001/01/08,0.97235,0.97865,0.96955,0.97075,440
2001/01/09,0.97235,0.97235,0.96105,0.96135,2
2001/01/10,0.96135,0.96355,0.95965,0.96005,2
2001/01/11,0.96135,0.97535,0.96135,0.97385,246
2001/01/12,0.97105,0.97305,0.96845,0.96905,107
2001/01/16,0.97155,0.97155,0.95855,0.96235,101
2001/01/17,0.96235,0.96235,0.95225,0.96155,2
2001/01/18,0.96235,0.96475,0.96165,0.96205,35
2001/01/19,0.96305,0.96305,0.95455,0.95605,37
2001/01/22,0.95935,0.95935,0.94855,0.95465,1
2001/01/23,0.95465,0.95925,0.95465,0.95925,1
2001/01/24,0.95925,0.95925,0.94355,0.94355,1
2001/01/25,0.95925,0.95925,0.93555,0.94245,1
2001/01/26,0.94105,0.94405,0.94025,0.94105,2
2001/01/29,0.94105,0.94405,0.93765,0.93765,2
2001/01/30,0.94105,0.94105,0.93725,0.93725,2
2001/01/31,0.95195,0.95255,0.94755,0.95255,7
2001/02/01,0.95195,0.96025,0.94755,0.95975,11
2001/02/02,0.95195,0.96045,0.94755,0.96045,1
2001/02/05,0.95755,0.95835,0.95725,0.95725,2
2001/02/06,0.95755,0.95835,0.94905,0.94905,2
2001/02/07,0.95225,0.95225,0.94955,0.95225,1
2001/02/08,0.95225,0.95225,0.93655,0.93655,1
2001/02/09,0.94205,0.94505,0.94205,0.94205,1
