Date,Open,High,Low,Close,Vol
1997/09/09,1087,1094.5,1086,1087.25,7034
1997/09/10,1087,1087.5,1067.75,1068.5,11387
1997/09/11,1069.25,1070.75,1053.75,1061.75,2523
1997/09/12,1061.25,1079.5,1057.25,1077.25,928
1997/09/15,1077,1083.25,1072.5,1075,8911
1997/09/16,1074.75,1103.5,1073.75,1099.5,11874
1997/09/17,1099.5,1106,1095,1099.5,11093
1997/09/18,1099.25,1114,1098.25,1101.25,11620
1997/09/19,1101.25,1106.75,1096.5,1104,10005
1997/09/22,1103.75,1115.5,1103.75,1109.75,12126
1997/09/23,1108.75,1110.75,1100,1105.5,10198
1997/09/24,1105,1114,1095.5,1098,14580
1997/09/25,1097.25,1101,1089,1090,14114
1997/09/26,1089.75,1100,1089.75,1096.75,12097
1997/09/29,1096.75,1108,1093.75,1105.25,11152
1997/09/30,1104.5,1108.75,1096.25,1098,15239
1997/10/01,1099,1110,1098,1107,14015
1997/10/02,1106.75,1113,1104.5,1112.5,9651
1997/10/03,1112.75,1129,1105.25,1119,13792
1997/10/06,1120.25,1127.25,1120,1125,9245
1997/10/07,1125,1135.75,1121,1133,11896
1997/10/08,1133,1135.25,1118.25,1125.75,16204
1997/10/09,1125.75,1126.75,1112.75,1121.5,9407
1997/10/10,1122.25,1124.5,1107.5,1120.25,6506
1997/10/13,1120.25,1125.25,1117.5,1119.75,3914
1997/10/14,1119.75,1125,1112,1121,11923
1997/10/15,1119.25,1120.25,1111.5,1117,9715
1997/10/16,1117,1124.75,1098.75,1103.25,12998
1997/10/17,1102.5,1103.5,1079,1092.25,13573
1997/10/20,1107,1107,1105.75,1105.75,11772
1997/10/21,1107.75,1124,1107.75,1123,10576
1997/10/22,1122.5,1124,1114,1117.75,10284
1997/10/23,1116.5,1117.75,1091,1099,13567
1997/10/24,1099.5,1112.5,1085,1087.5,14924
1997/10/27,1086,1087.5,1017.5,1017.5,15394
1997/10/28,1005.5,1076.5,987.5,1068,17082
1997/10/29,1068,1085.5,1059.75,1068,16552
1997/10/30,1068,1072,1045.5,1046.5,13868
1997/10/31,1045.5,1069.75,1033.25,1067.5,14353
1997/11/03,1067.25,1091.5,1064.75,1089.25,11469
1997/11/04,1089.5,1090.25,1079.75,1089.25,11354
1997/11/05,1085,1099.5,1081.75,1090.5,11065
1997/11/06,1090,1091,1080.75,1085.75,8873
1997/11/07,1085.75,1086.5,1060,1074.75,13527
1997/11/10,1073.5,1084,1066.25,1069.75,9940
1997/11/11,1069.5,1073.25,1067.75,1070,6889
1997/11/12,1070,1073,1049,1051.75,14190
1997/11/13,1050.5,1066,1046,1062.75,13929
1997/11/14,1063.5,1076,1063.5,1076,11389
1997/11/17,1075.5,1098,1075.5,1093.5,9936
1997/11/18,1093.5,1098,1083.5,1086,10836
1997/11/19,1085.75,1095,1079.75,1091.25,11297
1997/11/20,1091.5,1109,1090.5,1106.5,10550
1997/11/21,1106,1114.5,1101,1113,9902
1997/11/24,1112,1112.5,1090.5,1093.25,7759
1997/11/25,1093.5,1101,1088.25,1095.25,10626
1997/11/26,1095.5,1103.25,1092.25,1098.5,6905
1997/11/28,1098.25,1105.75,1097.25,1098.5,2113
1997/12/01,1099,1123,1099,1123,10503
1997/12/02,1123.5,1125.5,1115.5,1118.5,10021
1997/12/03,1118.25,1124.75,1112.5,1121,12160
1997/12/04,1121,1129.25,1116,1120.5,12238
1997/12/05,1119.75,1132.5,1106.5,1130,14021
1997/12/08,1130,1133.25,1124,1128,8595
1997/12/09,1128.25,1129.75,1118,1122.5,11308
1997/12/10,1122.25,1123.25,1107,1113.75,11609
1997/12/11,1113.25,1113.75,1094.75,1098,3858
1997/12/12,1092,1108.5,1090.25,1099,1270
1997/12/15,1099.25,1111,1093,1106.75,10702
1997/12/16,1106,1118.25,1105.75,1113,9155
1997/12/17,1112.75,1120.5,1107,1108,9590
1997/12/18,1107.75,1109,1093,1097.5,12068
1997/12/19,1096.5,1096.5,1090,1090,15892
1997/12/22,1089.25,1095.25,1089.25,1095.25,9434
1997/12/23,1095.25,1097.5,1076.5,1077.5,6200
1997/12/24,1077.25,1086,1074,1074.75,3671
1997/12/26,1076.5,1082,1075.5,1078.5,1907
1997/12/29,1078,1099,1073.75,1098.25,1907
1997/12/30,1099,1113,1098,1111.75,6556
1997/12/31,1112,1116.5,1107.75,1111.5,5283
1998/01/02,1111.75,1117.25,1105,1117.25,4654
1998/01/05,1119.5,1125.25,1109,1119.5,12496
1998/01/06,1119.5,1120.25,1103,1103.5,12950
1998/01/07,1103.25,1107.25,1093,1106.5,13629
1998/01/08,1106.25,1109.75,1093,1093.75,13767
1998/01/09,1094.5,1095.5,1058,1062,18484
1998/01/12,1061.5,1080.75,1047,1078,20954
1998/01/13,1078,1092.5,1077,1092,12493
1998/01/14,1092.5,1098.75,1086.25,1095.75,12534
1998/01/15,1096,1096.5,1087.25,1087.5,11962
1998/01/16,1087.5,1105.25,1085,1101,10032
1998/01/20,1101,1118.5,1099.25,1117.75,10321
1998/01/21,1117,1117.75,1100,1108,14658
1998/01/22,1109.75,1110,1096.75,1098.75,15422
1998/01/23,1098.5,1105,1087.5,1097,15769
1998/01/26,1093.5,1102.25,1086,1096,12059
1998/01/27,1095.75,1112.25,1093.25,1106.25,15501
1998/01/28,1106.5,1117.5,1105.5,1114.5,13140
1998/01/29,1114.5,1131.5,1112.25,1119.5,13732
1998/01/30,1120.25,1126,1116.5,1120.25,14178
1998/02/02,1120.5,1141.5,1120.25,1136.5,12241
1998/02/03,1135.25,1144.25,1133.75,1143.25,11133
1998/02/04,1143.5,1147.25,1135.25,1142.25,13851
1998/02/05,1142,1151.75,1136.5,1142,13655
1998/02/06,1141.5,1151.5,1140.5,1151,13169
1998/02/09,1151.5,1154.5,1142.75,1147.5,11431
1998/02/10,1147.25,1160.25,1145,1156.75,12783
1998/02/11,1156.5,1159,1152,1156.25,9479
1998/02/12,1156,1164,1143.75,1159.25,13278
1998/02/13,1159.25,1160.75,1153.25,1154.75,6939
1998/02/17,1155,1166,1150,1160,9204
1998/02/18,1160,1168.5,1156.5,1167.75,12052
1998/02/19,1168,1170.5,1157.25,1163.25,11393
1998/02/20,1162.75,1170.5,1157.25,1170,11520
1998/02/23,1169.75,1178.25,1166.25,1173.75,11424
1998/02/24,1174,1174.25,1162.75,1166.25,13681
1998/02/25,1165.75,1182,1165.25,1178,9898
1998/02/26,1178,1185,1174.5,1184.5,10694
1998/02/27,1183,1187.5,1178.5,1183,10142
1998/03/02,1181.75,1189.5,1179,1182.5,10898
1998/03/03,1182,1189,1177.25,1188,12346
1998/03/04,1187.75,1188,1176,1180.5,13469
1998/03/05,1178.25,1178.5,1164.5,1171.25,16113
1998/03/06,1171,1190.5,1167,1189.75,13961
1998/03/09,1186.5,1194,1183.5,1186.5,11339
1998/03/10,1186.5,1199.75,1185.75,1197.5,5483
1998/03/11,1197.5,1203.5,1196.75,1201,18511
1998/03/12,1201,1206,1196,1205,3177
1998/03/13,1204.75,1212.5,1199.5,1202,1559
1998/03/16,1201,1213.5,1197.75,1212.75,11015
1998/03/17,1212.25,1215.25,1207,1215.25,12254
1998/03/18,1215,1219,1210.25,1218.75,10975
1998/03/19,1218.25,1223,1216.75,1222.75,9655
1998/03/20,1224.75,1234.75,1221.5,1232.25,12649
1998/03/23,1231.5,1234.5,1225,1229.25,12448
1998/03/24,1229.5,1240.25,1228.5,1238,11597
1998/03/25,1238,1246.25,1223.5,1234.75,16114
1998/03/26,1234.75,1239,1228,1231.75,12935
1998/03/27,1231.75,1240.5,1219.75,1228.5,12520
1998/03/30,1227.25,1232,1221.25,1226.75,9612
1998/03/31,1226.5,1243.25,1225.25,1231.5,13402
1998/04/01,1230.75,1242.25,1225.25,1239.25,14196
1998/04/02,1240,1253.75,1237,1252,12974
1998/04/03,1252,1258.5,1249,1255.75,13143
1998/04/06,1255.5,1263.5,1247.75,1248,12649
1998/04/07,1248.25,1252,1231.5,1240,15526
1998/04/08,1239.5,1244.5,1226,1232.75,14438
1998/04/09,1233.5,1242.25,1232.5,1240.5,9949
1998/04/13,1240,1245.25,1228.5,1238.25,12475
1998/04/14,1238.25,1247,1237.25,1246,11592
1998/04/15,1244.75,1249.75,1240.5,1249.25,12867
1998/04/16,1249.25,1250,1232.75,1236.5,15857
1998/04/17,1237.5,1252.5,1226.75,1251.5,14482
1998/04/20,1251.5,1253.75,1246,1250,11974
1998/04/21,1250,1258.5,1246.75,1256.5,14906
1998/04/22,1256,1261,1254.25,1257.5,10524
1998/04/23,1257,1257.25,1244.5,1247.5,15465
1998/04/24,1246.5,1251.5,1230,1233.75,15528
1998/04/27,1233,1234.75,1202.5,1214.5,20446
1998/04/28,1214.5,1224,1208,1212,17633
1998/04/29,1212.25,1225,1209.75,1217.75,16528
1998/04/30,1217.75,1245,1215.5,1240.25,14637
1998/05/01,1240.25,1251.25,1238.75,1250.5,9821
1998/05/04,1250.5,1258,1247,1249,14285
1998/05/05,1248.75,1249.25,1235.75,1241,16189
1998/05/06,1241,1245.5,1227.25,1227.75,16308
1998/05/07,1219.75,1232,1218.25,1219.25,15160
1998/05/08,1219.75,1237.75,1217,1236.5,14932
1998/05/11,1236.5,1245.75,1228.25,1233.25,14761
1998/05/12,1232.5,1244,1227.5,1243,16837
1998/05/13,1243,1249,1239.5,1245,14355
1998/05/14,1245,1250.25,1237,1240.5,16456
1998/05/15,1240.5,1244.5,1231,1233.5,12291
1998/05/18,1231.5,1238.25,1221.5,1229.25,13501
1998/05/19,1230.5,1239.75,1228.5,1236.5,15008
1998/05/20,1235.75,1245.75,1231.5,1245,15040
1998/05/21,1246,1249.75,1235.5,1239.25,14163
1998/05/22,1239,1242.25,1231.75,1235,8076
1998/05/26,1233.5,1241.75,1213,1215,14598
1998/05/27,1216,1219.5,1196,1217.5,21843
1998/05/28,1218.25,1224.25,1212,1221.75,15808
1998/05/29,1222,1228.75,1211.75,1211.75,9938
1998/06/01,1211,1222.5,1205.5,1216.25,17755
1998/06/02,1216.25,1223.5,1212,1216.75,17710
1998/06/03,1216.5,1221.25,1199,1199.25,14502
1998/06/04,1199,1220,1198.25,1218.75,18017
1998/06/05,1218.5,1239,1215.5,1238.5,16626
1998/06/08,1238.25,1243.5,1235.5,1238,11913
1998/06/09,1237.75,1243,1233.75,1240.5,12003
1998/06/10,1240.5,1248.75,1230.5,1234,18740
1998/06/11,1234.25,1237,1211,1213,3898
1998/06/12,1214,1223,1202,1221.5,1815
1998/06/15,1221.5,1223.5,1193.25,1194.5,19159
1998/06/16,1194.25,1209.75,1192,1208.75,20631
1998/06/17,1208.5,1236,1207.75,1231.25,17820
1998/06/18,1231.25,1236.25,1225.25,1227.25,13415
1998/06/19,1227.5,1233.25,1217,1221.5,11683
1998/06/22,1219.75,1230.75,1217,1226,15263
1998/06/23,1225.75,1241,1224,1239.25,16122
1998/06/24,1239.25,1256.75,1235.5,1254.75,18975
1998/06/25,1256,1263.75,1247.75,1252.75,18661
