Date,Open,High,Low,Close,Vol
1997/03/20,5627.82,5627.82,5529.82,5562.82,0
1997/03/21,5607.82,5634.82,5595.82,5607.82,0
1997/03/24,5627.82,5641.82,5613.82,5619.32,0
1997/03/25,5646.82,5698.32,5643.32,5696.82,0
1997/03/26,5666.82,5766.32,5664.82,5757.82,0
1997/03/27,5777.82,5777.82,5718.32,5726.82,0
1997/04/01,5607.82,5626.82,5570.82,5596.82,0
1997/04/02,5622.82,5634.32,5512.82,5517.82,0
1997/04/03,5522.82,5548.32,5478.82,5526.82,0
1997/04/04,5532.32,5578.82,5517.82,5556.82,0
1997/04/10,5673.82,5679.82,5642.82,5665.32,0
1997/04/11,5657.82,5684.82,5611.82,5620.32,0
1997/04/14,5572.82,5614.82,5563.82,5610.82,0
1997/04/15,5656.82,5684.82,5635.32,5675.82,0
1997/04/16,5681.82,5688.82,5632.82,5659.82,0
1997/04/17,5662.82,5703.82,5657.82,5678.82,0
1997/04/18,5652.32,5680.82,5648.32,5674.82,0
1997/04/21,5637.82,5661.82,5608.82,5640.82,0
1997/04/22,5632.82,5676.32,5627.82,5664.82,0
1997/04/23,5718.82,5719.82,5671.82,5672.82,0
1997/04/24,5672.82,5724.82,5672.82,5706.82,0
1997/04/25,5682.82,5698.82,5649.32,5662.32,0
1997/04/28,5695.82,5697.82,5667.82,5686.82,0
1997/04/29,5692.82,5749.82,5684.82,5733.82,0
1997/04/30,5762.82,5766.82,5712.82,5755.82,0
1997/05/02,5769.82,5821.82,5755.32,5808.82,0
1997/05/05,5832.82,5886.82,5828.32,5878.32,0
1997/05/06,5910.82,5926.82,5848.82,5857.82,0
1997/05/07,5864.82,5872.82,5833.32,5839.82,0
1997/05/09,5847.82,5880.82,5829.82,5841.32,0
1997/05/12,5832.82,5906.32,5832.82,5896.32,0
1997/05/13,5910.82,5921.82,5863.82,5866.82,0
1997/05/14,5872.82,5918.82,5868.82,5895.82,0
1997/05/15,5880.32,5882.82,5853.32,5873.82,0
1997/05/16,5937.82,5937.82,5865.32,5871.82,0
1997/05/20,5862.82,5864.32,5815.32,5828.82,0
1997/05/21,5859.82,5919.32,5855.82,5912.32,0
1997/05/22,5908.82,5939.82,5876.32,5882.82,0
1997/05/23,5887.82,5941.82,5882.82,5935.82,0
1997/05/27,5995.32,5999.32,5958.82,5976.82,0
1997/05/28,5995.82,6006.32,5929.32,5940.82,0
1997/05/30,5941.82,5948.82,5847.82,5865.82,0
1997/06/02,5862.82,5930.82,5835.32,5909.82,0
1997/06/03,5892.82,5967.32,5892.82,5965.32,0
1997/06/04,5970.32,5977.82,5950.32,5963.32,0
1997/06/05,5952.82,6000.82,5945.82,5982.32,0
1997/06/06,5994.82,6021.32,5984.82,6009.82,0
1997/06/09,6030.82,6042.82,5966.82,5972.82,0
1997/06/10,5978.82,5989.82,5948.82,5975.82,0
1997/06/11,5976.82,5992.82,5965.82,5981.82,0
1997/06/12,6002.82,6046.32,5994.82,6040.32,0
1997/06/13,6064.82,6068.32,6035.82,6051.82,0
1997/06/16,6058.82,6079.82,6045.32,6050.82,0
1997/06/17,6057.82,6070.32,6005.82,6021.82,0
1997/06/18,6017.82,6038.82,6009.82,6029.32,0
1997/06/19,6040.82,6098.32,6040.82,6080.82,0
1997/06/20,6079.82,6102.82,6043.32,6092.82,0
1997/06/23,6092.82,6098.32,6038.32,6053.82,0
1997/06/24,6004.82,6076.82,5996.82,6054.82,0
1997/06/25,6070.82,6122.82,6067.82,6114.82,0
1997/06/26,6102.32,6121.82,6096.82,6102.32,0
1997/06/27,6115.82,6130.82,6085.32,6107.82,0
1997/06/30,6127.82,6127.82,6053.82,6068.82,0
1997/07/01,6086.82,6139.82,6076.82,6138.82,0
1997/07/02,6134.82,6169.82,6131.32,6158.82,0
1997/07/03,6172.82,6249.82,6168.32,6234.82,0
1997/07/04,6234.82,6250.82,6208.32,6244.82,0
1997/07/07,6244.82,6301.32,6231.32,6294.82,0
1997/07/08,6284.82,6331.32,6276.82,6324.82,0
1997/07/09,6348.82,6367.82,6304.82,6320.82,0
1997/07/10,6313.82,6330.32,6282.32,6301.32,0
1997/07/11,6329.82,6372.32,6322.82,6367.82,0
1997/07/14,6394.82,6448.32,6390.82,6446.82,0
1997/07/15,6426.82,6457.32,6399.82,6436.82,0
1997/07/16,6450.82,6536.32,6449.32,6521.82,0
1997/07/17,6554.32,6574.82,6478.82,6498.32,0
1997/07/18,6508.32,6508.82,6403.82,6422.82,0
1997/07/21,6458.82,6514.82,6380.82,6438.82,0
1997/07/22,6475.82,6607.82,6470.32,6603.32,0
1997/07/23,6704.82,6738.82,6657.82,6694.82,0
1997/07/24,6689.82,6750.82,6604.82,6607.82,0
1997/07/25,6654.82,6683.82,6609.82,6672.82,0
1997/07/28,6719.82,6719.82,6653.82,6693.82,0
1997/07/29,6689.82,6702.82,6640.82,6677.32,0
1997/07/30,6704.82,6762.32,6697.32,6745.32,0
1997/07/31,6753.82,6772.82,6682.82,6694.82,0
1997/08/01,6704.82,6726.82,6539.82,6632.82,0
1997/08/04,6674.82,6679.82,6564.82,6600.32,0
1997/08/05,6635.82,6664.32,6580.82,6627.82,0
1997/08/06,6633.82,6664.82,6592.32,6662.82,0
1997/08/07,6669.82,6757.32,6668.82,6719.82,0
1997/08/08,6670.32,6699.82,6590.32,6619.82,0
1997/08/11,6558.82,6642.32,6554.82,6604.82,0
1997/08/12,6634.32,6675.82,6632.32,6662.82,0
1997/08/13,6610.82,6626.82,6497.82,6520.82,0
1997/08/14,6559.32,6574.82,6459.82,6472.82,0
1997/08/15,6494.82,6518.82,6349.82,6354.82,0
1997/08/18,6279.82,6384.32,6247.32,6361.32,0
1997/08/19,6399.82,6474.82,6395.82,6474.82,0
