Date,Open,High,Low,Close,Vol
1998/07/15,3166.89,3201.89,3166.89,3182.89,1119
1998/07/16,3096.89,3201.89,3096.89,3178.89,952
1998/07/17,3201.89,3251.89,3196.89,3239.89,837
1998/07/20,3236.89,3259.89,3236.89,3256.89,1118
1998/07/21,3254.89,3254.89,3212.89,3236.89,583
1998/07/22,3221.89,3221.89,3086.89,3147.89,471
1998/07/23,3142.89,3165.89,3131.89,3151.89,822
1998/07/24,3112.89,3159.89,3112.89,3131.89,433
1998/07/27,3130.89,3153.89,3066.89,3066.89,1482
1998/07/28,3111.89,3116.89,3036.89,3051.89,819
1998/07/29,3026.89,3079.89,3026.89,3056.89,549
1998/07/30,3076.89,3103.89,3066.89,3103.89,815
1998/07/31,3116.89,3116.89,3051.89,3066.89,1439
1998/08/03,2986.89,3001.89,2976.89,2984.89,427
1998/08/04,2981.89,3026.89,2981.89,2984.89,122
1998/08/05,2906.89,2921.89,2866.89,2904.89,1143
1998/08/06,2882.89,2896.89,2791.89,2821.89,973
1998/08/07,2850.89,2906.89,2848.89,2906.89,1346
1998/08/10,2876.89,2886.89,2826.89,2826.89,1420
1998/08/11,2786.89,2786.89,2704.89,2734.89,1450
1998/08/12,2784.89,2801.89,2756.89,2790.89,2002
1998/08/13,2746.89,2797.89,2726.89,2781.89,1472
1998/08/14,2816.89,2861.89,2816.89,2851.89,2096
1998/08/17,2786.89,2836.89,2779.89,2816.89,1124
1998/08/18,2886.89,2935.89,2881.89,2935.89,1162
1998/08/19,2966.89,2970.89,2938.89,2957.89,806
1998/08/20,2971.89,2971.89,2888.89,2906.89,531
1998/08/21,2866.89,2878.89,2751.89,2756.89,2386
1998/08/24,2778.89,2795.89,2706.89,2746.89,605
1998/08/26,2816.89,2816.89,2731.89,2746.89,630
1998/08/27,2676.89,2676.89,2616.89,2616.89,1699
1998/08/28,2567.89,2567.89,2531.89,2536.89,1670
1998/08/31,2571.89,2571.89,2503.89,2511.89,873
1998/09/01,2428.89,2514.89,2361.89,2490.89,1733
1998/09/02,2571.89,2596.89,2556.89,2574.89,1735
1998/09/03,2521.89,2551.89,2471.89,2496.89,1664
1998/09/04,2531.89,2576.89,2521.89,2566.89,2059
1998/09/07,2611.89,2611.89,2561.89,2582.89,751
1998/09/08,2584.89,2666.89,2581.89,2661.89,1940
1998/09/09,2616.89,2639.89,2586.89,2586.89,1403
1998/09/10,2531.89,2547.89,2416.89,2440.89,1861
1998/09/11,2416.89,2461.89,2346.89,2421.89,1581
1998/09/14,2481.89,2521.89,2456.89,2507.89,2202
1998/09/15,2501.89,2501.89,2446.89,2486.89,3471
1998/09/16,2531.89,2541.89,2500.89,2509.89,5594
1998/09/18,2290.89,2344.89,2279.89,2314.89,2843
1998/09/21,2254.89,2259.89,2134.89,2195.89,1779
1998/09/22,2284.89,2289.89,2249.89,2260.89,1340
1998/09/23,2319.89,2354.89,2287.89,2354.89,1953
1998/09/24,2409.89,2434.89,2322.89,2322.89,893
1998/09/25,2259.89,2279.89,2209.89,2277.89,1311
1998/09/28,2297.89,2324.89,2244.89,2317.89,0
1998/09/29,2286.89,2319.89,2279.89,2305.89,709
1998/09/30,2259.89,2264.89,2204.89,2204.89,3210
