Date,Open,High,Low,Close,Vol
1997/03/18,52.05,52.05,51.47,51.69,0
1997/03/19,52.04,52.04,51.47,51.48,0
1997/03/20,51.38,51.52,51.21,51.39,0
1997/03/21,51.66,51.95,51.55,51.65,0
1997/03/24,51.71,51.89,51.59,51.83,0
1997/03/25,52,52.2,51.98,52.17,0
1997/03/26,52.2,52.2,51.65,51.96,0
1997/03/27,52.06,52.17,51.6,51.68,0
1997/04/01,51.26,51.39,50.95,51.17,0
1997/04/02,51.32,51.41,50.99,51.15,0
1997/04/03,51.2,51.24,50.76,50.92,0
1997/04/04,50.96,51.28,50.78,51.06,0
1997/04/10,51.98,52.09,51.72,51.81,0
1997/04/11,51.88,52.05,51.45,51.56,0
1997/04/14,51.56,51.7,51.4,51.64,0
1997/04/15,51.68,52.61,51.68,52.51,0
1997/04/16,52.57,52.71,52.23,52.37,0
1997/04/17,52.83,52.83,52.5,52.64,0
1997/04/18,52.45,52.69,52.39,52.52,0
1997/04/21,52.51,52.51,52.1,52.11,0
1997/04/22,52.05,52.38,52.01,52.36,0
1997/04/23,52.55,52.65,52.44,52.56,0
1997/04/24,52.47,52.75,52.23,52.3,0
1997/04/25,52.17,52.23,51.95,52.15,0
1997/04/28,52.2,52.27,51.97,52.12,0
1997/04/29,52.3,52.74,52.15,52.7,0
1997/04/30,52.79,52.98,52.53,52.97,0
1997/05/02,53.41,53.49,53.13,53.3,0
1997/05/05,53.57,53.58,53.39,53.45,0
1997/05/06,53.56,53.6,53.31,53.58,0
1997/05/07,53.49,53.54,53.37,53.41,0
1997/05/09,53.64,53.81,53.38,53.43,0
1997/05/12,53.46,54.02,53.46,53.91,0
1997/05/13,53.93,54.05,53.78,53.86,0
1997/05/14,53.78,54.28,53.71,54.26,0
1997/05/15,54.17,54.21,53.8,54.05,0
1997/05/16,54.19,54.35,53.45,53.54,0
1997/05/20,53.29,53.4,53.06,53.31,0
1997/05/21,53.52,53.64,52.82,52.87,0
1997/05/22,52.95,52.95,52.33,52.43,0
1997/05/23,52.5,52.74,52.36,52.65,0
1997/05/27,52.42,52.52,52.25,52.51,0
1997/05/28,52.47,52.69,52.13,52.59,0
1997/05/30,52.35,52.53,52.18,52.39,0
1997/06/02,52.17,52.61,52.13,52.5,0
1997/06/03,52.57,53.19,52.54,53.17,0
1997/06/04,53.16,53.25,52.97,53.15,0
1997/06/05,53.12,53.43,53.02,53.25,0
1997/06/06,53.3,53.62,53.11,53.59,0
1997/06/09,53.8,53.8,53.39,53.51,0
1997/06/10,53.38,53.66,53.38,53.63,0
1997/06/11,53.49,53.8,53.44,53.51,0
1997/06/12,53.53,54.18,53.45,54.14,0
1997/06/13,54.11,54.48,53.96,54.29,0
1997/06/16,54.29,54.6,54.2,54.46,0
1997/06/17,54.55,54.62,53.98,54.08,0
1997/06/18,54.07,54.19,53.84,54.08,0
1997/06/19,54.27,54.33,53.69,53.76,0
1997/06/20,53.83,54.1,53.6,54.09,0
1997/06/23,54.1,54.2,53.83,54.07,0
1997/06/24,53.98,54.41,53.85,54.4,0
1997/06/25,54.34,54.51,54.29,54.47,0
1997/06/26,54.35,54.69,54.32,54.63,0
1997/06/27,54.5,54.74,54.5,54.6,0
1997/06/30,54.69,54.74,54.19,54.27,0
1997/07/01,54.32,54.67,54.16,54.65,0
1997/07/02,54.68,54.91,54.59,54.79,0
1997/07/03,54.84,55.21,54.72,55.17,0
1997/07/04,55.09,55.27,55.07,55.17,0
1997/07/07,55.16,55.67,55.16,55.58,0
1997/07/08,55.57,55.67,55.33,55.48,0
1997/07/09,55.48,55.9,55.48,55.61,0
1997/07/10,55.64,55.68,55.28,55.46,0
1997/07/11,55.55,55.75,55.41,55.74,0
1997/07/14,55.8,55.88,55.26,55.42,0
1997/07/15,55.25,55.26,54.9,55.03,0
1997/07/16,55.2,55.36,55.09,55.19,0
1997/07/17,55.37,55.73,55.37,55.59,0
1997/07/18,55.54,55.64,55.42,55.47,0
1997/07/21,55.53,55.55,55.28,55.45,0
1997/07/22,55.47,55.86,55.45,55.76,0
1997/07/23,56.24,56.33,55.92,56,0
1997/07/24,55.91,56.22,55.72,55.81,0
1997/07/25,55.78,55.8,55.37,55.65,0
1997/07/28,55.59,55.67,55.43,55.59,0
1997/07/29,55.72,55.9,55.65,55.89,0
1997/07/30,56,56.22,55.86,56.11,0
1997/07/31,56.12,56.26,55.64,55.8,0
1997/08/01,55.9,55.91,55.02,55.1,0
1997/08/04,55.02,55.18,54.76,54.91,0
1997/08/05,54.99,55.06,54.33,54.46,0
1997/08/06,54.4,54.86,54.26,54.75,0
1997/08/07,54.79,54.92,54.58,54.85,0
1997/08/08,54.45,54.86,54.35,54.35,0
1997/08/12,54.72,55.08,54.67,54.99,0
1997/08/13,54.75,54.97,54.45,54.71,0
1997/08/14,55.15,55.15,54.82,55.14,0
1997/08/15,55.15,55.23,54.74,54.9,0
1997/08/18,55.05,55.43,54.94,55.36,0
1997/08/19,55.67,55.67,55.15,55.64,0
1997/08/20,55.6,55.68,55.35,55.39,0
1997/08/21,55.41,55.55,55.27,55.3,0
