Date,Open,High,Low,Close,Vol
1997/03/21,70.15,70.24,70.05,70.08,0
1997/03/24,70.12,70.22,70.06,70.14,0
1997/03/25,70.26,70.39,70.2,70.37,0
1997/03/26,70.22,70.46,70.12,70.27,0
1997/03/27,70.35,70.48,70.21,70.25,0
1997/04/01,70.02,70.17,69.96,70.09,0
1997/04/02,70.15,70.22,70.03,70.12,0
1997/04/03,70.14,70.17,69.92,70.05,0
1997/04/04,70.11,70.25,70.03,70.19,0
1997/04/07,70.23,70.66,70.2,70.6,0
1997/04/08,70.62,70.74,70.49,70.53,0
1997/04/09,70.52,70.75,70.5,70.59,0
1997/04/10,70.6,70.64,70.48,70.53,0
1997/04/11,70.58,70.63,70.32,70.36,0
1997/04/14,70.33,70.44,70.31,70.42,0
1997/04/15,70.46,70.91,70.43,70.87,0
1997/04/16,70.91,70.95,70.74,70.83,0
1997/04/17,70.93,71.07,70.89,71,0
1997/04/18,70.92,71.11,70.92,71.03,0
1997/04/21,71.02,71.07,70.81,70.83,0
1997/04/22,70.79,70.96,70.67,70.93,0
1997/04/23,71.03,71.05,70.86,71,0
1997/04/24,70.97,71.08,70.84,70.87,0
1997/04/25,70.81,70.84,70.7,70.81,0
1997/04/28,70.86,70.88,70.69,70.79,0
1997/04/29,70.84,71.09,70.78,71.08,0
1997/04/30,71.14,71.26,70.98,71.25,0
1997/05/02,71.43,71.49,71.28,71.34,0
1997/05/05,71.52,71.52,71.36,71.4,0
1997/05/06,71.49,71.49,71.33,71.48,0
1997/05/07,71.42,71.52,71.38,71.41,0
1997/05/09,71.51,71.68,71.41,71.42,0
1997/05/12,71.39,71.73,71.39,71.63,0
1997/05/13,71.64,71.72,71.56,71.6,0
1997/05/14,71.52,71.8,71.52,71.8,0
1997/05/15,71.76,71.76,71.53,71.67,0
1997/05/16,71.72,71.79,71.27,71.35,0
1997/05/20,71.23,71.37,71.15,71.31,0
1997/05/21,71.45,71.5,71.1,71.12,0
1997/05/22,71.08,71.2,70.87,70.97,0
1997/05/23,71.01,71.16,70.92,71.11,0
1997/05/27,71.05,71.12,70.95,71.05,0
1997/05/28,71.04,71.21,70.89,71.14,0
1997/05/30,71.02,71.15,70.97,71.1,0
1997/06/02,70.97,71.21,70.95,71.18,0
1997/06/03,71.2,71.57,71.17,71.53,0
1997/06/04,71.5,71.6,71.44,71.53,0
