Date,Open,High,Low,Close,Vol
1997/04/10,93.355,93.365,93.325,93.345,0
1997/04/11,93.345,93.365,93.275,93.295,0
1997/04/14,93.295,93.325,93.275,93.285,0
1997/04/15,93.295,93.445,93.295,93.435,0
1997/04/16,93.435,93.465,93.385,93.445,0
1997/04/17,93.495,93.525,93.455,93.485,0
1997/04/18,93.465,93.525,93.465,93.525,0
1997/04/21,93.535,93.545,93.435,93.455,0
1997/04/22,93.425,93.485,93.425,93.475,0
1997/04/23,93.505,93.515,93.445,93.455,0
1997/04/24,93.465,93.495,93.415,93.435,0
1997/04/25,93.425,93.425,93.395,93.405,0
1997/04/28,93.415,93.415,93.365,93.385,0
1997/04/29,93.395,93.475,93.355,93.465,0
1997/04/30,93.535,93.535,93.435,93.505,0
1997/05/02,93.565,93.575,93.505,93.515,0
1997/05/05,93.575,93.575,93.525,93.535,0
1997/05/06,93.555,93.575,93.525,93.575,0
1997/05/07,93.565,93.565,93.535,93.555,0
1997/05/09,93.595,93.645,93.585,93.595,0
1997/05/12,93.585,93.655,93.585,93.655,0
1997/05/13,93.655,93.675,93.635,93.645,0
1997/05/14,93.625,93.705,93.615,93.695,0
1997/05/15,93.695,93.695,93.615,93.655,0
1997/05/16,93.665,93.675,93.515,93.565,0
1997/05/20,93.545,93.565,93.515,93.555,0
1997/05/21,93.595,93.595,93.525,93.535,0
1997/05/22,93.505,93.555,93.485,93.495,0
1997/05/23,93.515,93.555,93.495,93.545,0
1997/05/27,93.545,93.565,93.505,93.525,0
1997/05/28,93.525,93.575,93.495,93.565,0
1997/05/30,93.575,93.575,93.485,93.525,0
1997/06/02,93.495,93.555,93.475,93.545,0
1997/06/03,93.575,93.655,93.545,93.645,0
1997/06/04,93.685,93.685,93.615,93.675,0
1997/06/05,93.675,93.715,93.655,93.705,0
1997/06/06,93.725,93.785,93.695,93.775,0
1997/06/09,93.815,93.865,93.775,93.795,0
1997/06/10,93.795,93.835,93.795,93.835,0
1997/06/11,93.825,93.855,93.805,93.825,0
1997/06/12,93.835,93.915,93.815,93.895,0
1997/06/13,93.895,93.915,93.855,93.885,0
1997/06/16,93.875,93.895,93.845,93.855,0
1997/06/17,93.865,93.885,93.775,93.795,0
1997/06/18,93.775,93.835,93.775,93.835,0
