Date,Open,High,Low,Close,Vol
2005/9/9,88.32,88.72,87.98,88.64,11179
2005/9/12,88.56,88.6,87.06,87.12,8447
2005/9/13,87.28,87.62,86.64,87.58,9189
2005/9/14,87.38,88,87.34,87.7,8569
2005/9/15,87.38,87.82,87.1,87.1,7191
2005/9/16,87.18,87.28,86.8,86.84,6821
2005/9/19,87.16,87.9,87.06,87.82,4355
2005/9/20,87.68,88.06,87.68,88.04,4186
2005/9/21,88.4,89.12,88.3,89.04,7515
2005/9/22,89.2,89.46,88.68,89.06,5805
2005/9/23,88.96,89.02,88.42,88.48,5829
2005/9/26,88.16,88.24,87.16,87.28,6826
2005/9/27,87.26,87.72,86.66,87.5,6725
2005/9/28,87.34,87.92,86.92,87.9,6206
2005/9/29,87.86,88.38,87.28,87.4,9837
2005/9/30,87.6,88,87.48,87.48,5390
2005/10/3,87.7,87.88,86.72,87.06,4725
2005/10/4,87.58,87.58,86.62,87.18,4837
2005/10/5,87.32,87.72,87.28,87.34,5030
2005/10/6,87.6,87.68,86.96,87.08,9708
2005/10/7,86.88,87.68,86.88,87.46,5956
2005/10/10,87.36,87.8,87.36,87.68,6333
2005/10/11,87.62,87.76,87.02,87.1,5752
2005/10/12,87.02,87.06,86.48,86.56,11948
2005/10/13,86.4,86.44,85.4,85.46,7684
2005/10/14,85.72,86.2,85.18,85.24,5662
2005/10/17,85.46,85.9,85.44,85.58,4262
2005/10/18,85.58,85.76,85.22,85.74,5092
2005/10/19,86.04,86.24,85.8,86.02,11532
2005/10/20,86.08,86.08,85.2,85.9,8525
2005/10/21,86,86.92,85.98,86.8,7790
2005/10/24,86.68,86.86,86.24,86.36,3141
2005/10/25,86.42,86.5,85.24,85.4,6819
2005/10/26,85.1,85.2,84.48,84.68,7509
2005/10/27,84.84,84.98,84.12,84.18,9828
2005/10/28,84.38,84.84,84.02,84.26,8146
2005/10/31,84.3,84.98,84.28,84.72,3861
2005/11/1,84.72,85.3,84.26,84.54,9925
2005/11/2,84.58,84.78,83.92,84.18,8456
2005/11/3,83.82,84.44,83.74,83.92,5751
2005/11/4,83.76,84.2,83.28,83.62,6219
2005/11/7,83.58,83.58,83.58,83.58,0
2005/11/8,83.72,84.28,83.4,84.22,7998
2005/11/9,84.28,84.34,83.32,83.5,5405
2005/11/10,84.1,84.1,83.34,83.56,4289
2005/11/11,83.8,83.96,83.66,83.72,1595
2005/11/14,83.84,84.24,83.24,83.36,3958
2005/11/15,84.62,84.62,83.22,83.8,7454
2005/11/16,83.82,84.92,83.6,84.8,6968
2005/11/17,84.88,84.9,84,84.58,6437
2005/11/18,84.46,84.8,83.18,83.54,6022
2005/11/21,83.56,84.2,83.3,84.12,4707
2005/11/22,84.08,84.3,83.84,84.1,3706
2005/11/23,84.44,84.46,84.14,84.38,3347
2005/11/24,84.4,85.44,84.28,85.38,3405
2005/11/25,85.36,85.58,85.04,85.2,3804
2005/11/28,85.06,85.32,84.76,85.2,4356
2005/11/29,85.26,85.64,84.28,84.48,4197
2005/11/30,84.56,84.88,84.44,84.86,4237
2005/12/1,84.88,85.74,84.6,85.28,4714
2005/12/2,85.32,85.64,84.96,85.56,4751
2005/12/5,85.3,85.44,84.88,85.18,11355
2005/12/6,85.1,85.94,85.1,85.82,8849
2005/12/7,85.94,85.94,85.42,85.5,8239
2005/12/8,85.64,86.06,85.58,85.9,4028
2005/12/9,85.74,86.1,85.1,85.16,3175
2005/12/12,85.24,85.66,85.24,85.64,782
2005/12/13,85.56,86.12,85.32,85.88,2665
2005/12/14,86.28,86.58,86.16,86.38,2196
2005/12/15,86.54,86.76,86.22,86.38,2756
2005/12/16,86.68,87.12,86.42,86.88,3950
2005/12/19,86.96,87.3,86.92,87.24,1686
2005/12/20,87.2,87.36,86.82,87.2,2632
2005/12/21,87.16,87.2,86.56,86.62,1917
2005/12/22,86.76,87.46,86.48,87.04,1733
