Date,Open,High,Low,Close,Vol
1997/01/16,628.7,630.6,628,629.1,28836
1997/01/17,629.6,631.2,629.2,630.5,32041
1997/01/20,628.4,629,627.5,628.7,20400
1997/01/21,629,630.4,626.8,627.9,36723
1997/01/22,625,627,624.6,625.8,42476
1997/01/23,625,626.9,621.4,626.6,59338
1997/01/24,628.2,629.4,627.3,627.5,36811
1997/01/27,627.9,631.9,627.9,631.4,38862
1997/01/28,630.9,631.7,627.1,627.9,21695
1997/01/29,625.2,626.7,624.9,625.4,35698
1997/01/30,623.6,624.1,619.5,619.7,62952
1997/01/31,620.7,620.9,617.6,618.2,32926
1997/02/03,618.3,621,617.8,620.7,28101
1997/02/04,620.8,621.4,618.3,618.6,29890
1997/02/05,617.7,618.9,616.7,618.6,22968
1997/02/06,618.1,618.1,616.2,617.3,24658
1997/02/07,614.2,616.4,612.2,616.2,43083
1997/02/10,615.2,615.8,614.6,615.3,14084
1997/02/11,613.8,614.5,612.5,614.1,26805
1997/02/12,612,620.2,610.9,617.6,73940
1997/02/13,617.4,617.8,614.9,615.2,28382
1997/02/14,616.4,620.8,616.4,618.9,64657
1997/02/18,620.5,621,618.3,619.9,19431
1997/02/19,620.5,621.3,619.5,619.8,28730
1997/02/20,619.5,626.2,618.7,624.8,62907
1997/02/21,625.9,629,624.9,626.3,51891
1997/02/24,626.9,629.4,626.7,627.4,18574
1997/02/25,627.7,629.3,626.6,628.3,26584
1997/02/26,628.3,630.9,626.7,628.2,44700
1997/02/27,631.7,636.7,631.7,633.2,92637
1997/02/28,634.8,637.7,632,637.3,52963
1997/03/03,636.7,638.2,635.8,636,34470
1997/03/04,634.5,634.8,632.3,632.7,32165
1997/03/05,629.8,629.9,624.7,626.6,54594
1997/03/06,626.1,627.2,625.2,625.8,25440
1997/03/07,624.1,625.7,621.3,622.1,43297
1997/03/10,623.1,625.5,623,625.3,27076
1997/03/11,627.2,627.7,623.8,627.3,37620
1997/03/12,626,626.7,624.1,625.4,29421
1997/03/13,625,627.5,624.6,626.7,29335
1997/03/14,626.2,626.9,624.7,625.2,15117
1997/03/17,625.2,625.2,620.2,620.5,37938
1997/03/18,620.5,623.3,618.5,622.6,50500
1997/03/19,621.7,626.7,621.3,625.1,35997
