Date,Open,High,Low,Close,Vol
2001/12/28,93.2285,93.2535,93.1835,93.2335,48743
2001/12/31,93.2185,93.2685,93.2185,93.2585,23360
2002/1/2,93.2435,93.2435,93.2035,93.2385,76446
2002/1/3,93.2035,93.2735,93.1935,93.2735,93784
2002/1/4,93.2385,93.3085,93.1985,93.2285,120438
2002/1/7,93.2385,93.3085,93.2085,93.3035,106010
2002/1/8,93.3035,93.3085,93.2935,93.2935,118936
2002/1/9,93.2885,93.2985,93.2735,93.2935,112544
2002/1/10,93.2985,93.3335,93.2985,93.3135,131821
2002/1/11,93.3135,93.4585,93.2935,93.3285,214745
2002/1/14,93.4785,93.4935,93.4535,93.4635,162560
2002/1/15,93.4485,93.4685,93.4485,93.4535,148564
2002/1/16,93.4485,93.4835,93.4035,93.4035,232997
2002/1/17,93.4035,93.4185,93.3535,93.3535,164073
2002/1/18,93.3585,93.3885,93.3585,93.3735,82832
2002/1/22,93.3635,93.3635,93.3035,93.3335,134622
2002/1/23,93.3335,93.3335,93.3135,93.3135,105558
2002/1/24,93.3085,93.3285,93.2785,93.2785,213335
2002/1/25,93.2835,93.2835,93.2335,93.2635,115417
2002/1/28,93.2635,93.2635,93.2335,93.2585,71934
2002/1/29,93.2535,93.3135,93.2485,93.3135,106766
2002/1/30,93.3035,93.3085,93.2635,93.2635,138421
2002/1/31,93.2635,93.2635,93.2185,93.2285,97284
2002/2/1,93.2135,93.2535,93.1935,93.2485,152487
2002/2/4,93.2535,93.2785,93.2435,93.2785,91466
2002/2/5,93.2785,93.2885,93.2635,93.2885,106482
2002/2/6,93.2885,93.3035,93.2635,93.2885,73893
2002/2/7,93.2885,93.2985,93.2635,93.2785,59701
2002/2/8,93.2935,93.3085,93.2735,93.2985,71537
2002/2/11,93.2935,93.2985,93.2835,93.2885,41718
2002/2/12,93.2935,93.3135,93.2835,93.2935,73486
2002/2/13,93.2835,93.2885,93.2635,93.2635,99854
2002/2/14,93.2685,93.2735,93.2535,93.2635,62507
2002/2/15,93.2635,93.2885,93.2535,93.2885,76673
2002/2/18,93.2785,93.2805,93.2735,93.2805,0
2002/2/19,93.2785,93.2855,93.2735,93.2755,63925
2002/2/20,93.2735,93.2755,93.2685,93.2735,53895
2002/2/21,93.2735,93.2855,93.2685,93.2805,56093
2002/2/22,93.2835,93.2885,93.2805,93.2885,63243
2002/2/25,93.2855,93.2905,93.2585,93.2785,46924
2002/2/26,93.2735,93.2835,93.2485,93.2535,241943
2002/2/27,93.2535,93.3685,93.2335,93.3635,254834
2002/2/28,93.3635,93.3685,93.2835,93.2935,212119
2002/3/1,93.2885,93.2935,93.1535,93.1635,270345
2002/3/4,93.1385,93.1635,93.1185,93.1335,182440
2002/3/5,93.1335,93.1535,93.1035,93.1085,229225
2002/3/6,93.1335,93.1735,93.1135,93.1185,187389
2002/3/7,93.1235,93.1285,92.9135,92.9235,363618
2002/3/8,92.9235,92.9235,92.7785,92.7785,300641
2002/3/11,92.7835,92.8285,92.7835,92.8035,128307
2002/3/12,92.8485,92.8735,92.7485,92.8285,139782
2002/3/13,92.8235,92.9485,92.7585,92.9435,263261
2002/3/14,92.9485,92.9485,92.8135,92.8185,184863
2002/3/15,92.8035,92.8035,92.7035,92.7885,217454
2002/3/18,92.8035,92.8185,92.7685,92.7935,92686
2002/3/19,92.7785,92.8285,92.7685,92.8235,155992
2002/3/20,92.8485,92.8585,92.7035,92.7135,235872
2002/3/21,92.7035,92.7235,92.6485,92.6885,181651
2002/3/22,92.6735,92.6785,92.6235,92.6635,114551
2002/3/25,92.6685,92.6685,92.6135,92.6385,87149
2002/3/26,92.6385,92.7435,92.6335,92.7385,187288
