Date,Open,High,Low,Close,Vol
2002/03/04,172.7,172.875,172.6,172.65,0
2002/03/05,172.15,172.15,171.7,171.8,0
2002/03/06,171.5,171.8,170.7,170.7,0
2002/03/07,171.2,171.6,171,171.4,0
2002/03/08,171.25,171.25,170.9,171.05,0
2002/03/11,170.925,171.025,170.575,170.575,0
2002/03/12,170.35,170.55,170.25,170.275,0
2002/03/13,169.325,169.325,169.325,169.325,0
2002/03/14,169.325,169.325,169.325,169.325,0
2002/03/19,166.575,166.575,166.575,166.575,0
2002/03/20,167.1,167.1,167.1,167.1,0
2002/03/21,167.025,167.025,167.025,167.025,0
2002/03/22,166.25,166.25,166.25,166.25,0
2002/03/25,166.675,166.675,166.675,166.675,0
2002/03/26,165.45,165.45,165.45,165.45,0
2002/03/27,165.1,165.1,165.1,165.1,0
2002/03/28,164.775,164.775,164.775,164.775,0
2002/04/01,165.025,165.025,165.025,165.025,0
2002/04/02,164.775,164.8,164.6,164.8,0
2002/04/03,164.05,164.05,164.05,164.05,0
2002/04/04,162.05,162.05,162.05,162.05,0
2002/04/05,161.125,161.125,161.125,161.125,0
2002/04/08,159.65,159.65,159.65,159.65,0
2002/04/09,160.15,160.15,160.15,160.15,0
2002/04/10,158.15,158.15,158.15,158.15,0
2002/04/11,156.15,156.15,156.15,156.15,0
2002/04/12,157.125,157.125,157.125,157.125,0
2002/04/15,159.025,159.025,158.575,158.575,0
2002/04/16,158.9,158.9,158.9,158.9,0
2002/04/17,159.975,160.35,159.975,160.25,0
2002/04/18,160.725,160.725,160.725,160.725,0
2002/04/19,161.175,161.175,161.175,161.175,0
2002/04/22,159.775,159.775,159.775,159.775,0
2002/04/23,157.775,157.775,157.775,157.775,0
2002/04/24,158.1,158.1,158.1,158.1,0
2002/04/25,158.45,158.45,158.45,158.45,0
2002/04/26,157.025,157.025,157.025,157.025,0
2002/04/29,155.375,155.375,155.375,155.375,0
2002/04/30,155.25,156.325,154.975,156.325,0
2002/05/01,156.3,156.3,156.3,156.3,0
2002/05/02,157.55,157.55,157.55,157.55,0
2002/05/03,157.525,157.525,157.525,157.525,0
2002/05/06,158.075,158.175,157.175,157.9,0
2002/05/07,158.025,158.025,156.775,157.025,0
2002/05/08,156.725,156.725,156.725,156.725,0
2002/05/09,157,157,157,157,0
2002/05/10,157.9,157.9,157.9,157.9,0
2002/05/13,158.625,158.625,158.625,158.625,0
2002/05/14,157.75,157.75,157.75,157.75,0
2002/05/15,157.7,157.7,157.7,157.7,0
2002/05/16,156.825,156.825,156.825,156.825,0
2002/05/17,156.75,156.75,156.75,156.75,0
2002/05/20,154.75,154.75,154.75,154.75,0
2002/05/21,152.75,152.75,152.75,152.75,0
2002/05/22,152.35,152.35,152.35,152.35,0
2002/05/23,152.5,152.5,152.5,152.5,0
2002/05/24,152.175,152.175,152.175,152.175,0
2002/05/28,150.175,150.175,150.175,150.175,0
2002/05/29,150.025,150.025,150.025,150.025,0
2002/05/30,149.65,149.65,149.65,149.65,0
2002/05/31,150.75,150.75,150.75,150.75,0
2002/06/03,151.4,151.4,151.4,151.4,0
2002/06/04,150.275,150.275,150.275,150.275,0
2002/06/05,150.55,150.55,150.55,150.55,0
2002/06/06,151.75,152.2,151.475,152.1,0
2002/06/07,152.025,152.425,151.75,151.75,0
2002/06/10,149.825,149.825,149.825,149.825,0
2002/06/11,149.975,149.975,149.975,149.975,0
2002/06/12,150.525,150.525,150.525,150.525,0
2002/06/13,151.975,152.15,151.8,152.15,0
2002/06/14,152.05,152.05,152.05,152.05,0
2002/06/17,152.55,152.55,152.55,152.55,0
2002/06/18,153.675,153.675,153.675,153.675,0
2002/06/19,153.225,153.225,153.225,153.225,0
2002/06/20,154.025,154.025,154.025,154.025,0
2002/06/21,153.175,153.175,153.175,153.175,0
2002/06/24,153.025,153.025,153.025,153.025,0
2002/06/25,151.675,151.675,151.675,151.675,0
2002/06/26,151.275,151.275,151.275,151.275,0
2002/06/27,151.2,151.2,151.2,151.2,0
2002/06/28,151.575,151.575,151.575,151.575,0
2002/07/01,153.575,153.575,153.575,153.575,0
2002/07/02,154.25,154.25,154.25,154.25,0
2002/07/03,154.2,154.2,154.2,154.2,0
2002/07/05,156.2,156.2,156.2,156.2,0
2002/07/08,155.8,155.8,155.8,155.8,0
2002/07/09,154.425,154.425,154.425,154.425,0
2002/07/10,155.7,155.7,155.7,155.7,0
2002/07/11,156.275,156.275,156.275,156.275,0
2002/07/12,156.2,156.2,156.2,156.2,0
2002/07/15,156.475,156.475,156.475,156.475,0
2002/07/16,155.2,155.2,155.2,155.2,0
2002/07/17,154.7,154.7,154.7,154.7,0
2002/07/18,155.775,155.775,155.775,155.775,0
2002/07/19,155.625,155.625,155.625,155.625,0
2002/07/22,154.125,154.125,154.125,154.125,0
2002/07/23,154.2,154.2,154.2,154.2,0
2002/07/24,153.425,153.425,153.425,153.425,0
2002/07/25,154.475,154.475,154.475,154.475,0
2002/07/26,154.375,154.375,154.375,154.375,0
2002/07/29,154.2,154.2,154.2,154.2,0
2002/07/30,154.625,154.625,154.625,154.625,0
2002/07/31,154.525,154.525,154.525,154.525,0
2002/08/01,152.6,152.6,152.6,152.6,0
2002/08/02,151.825,151.825,151.825,151.825,0
2002/08/05,151.075,151.075,151.075,151.075,0
2002/08/06,151.3,151.3,151.3,151.3,0
2002/08/07,150.875,150.875,150.875,150.875,0
2002/08/08,152.025,152.025,151.875,151.875,0
2002/08/09,152.275,152.275,152.275,152.275,0
2002/08/12,150.475,150.475,150.475,150.475,0
2002/08/13,150.275,150.275,150.275,150.275,0
2002/08/14,149.925,149.925,149.925,149.925,0
2002/08/15,149.6,149.6,149.6,149.6,0
2002/08/16,149.4,149.4,149.4,149.4,0
2002/08/19,149.425,149.425,149.425,149.425,0
2002/08/20,147.425,147.425,147.425,147.425,0
2002/08/21,147.7,147.7,147.7,147.7,0
2002/08/22,147.825,147.825,147.825,147.825,0
2002/08/23,147.375,147.375,147.375,147.375,0
2002/08/26,145.45,145.45,145.45,145.45,0
2002/08/27,145.05,145.05,145.05,145.05,0
2002/08/28,143.05,143.05,143.05,143.05,0
2002/08/29,143.475,143.475,143.475,143.475,0
2002/08/30,143.7,143.7,143.7,143.7,0
2002/09/03,142.875,142.875,142.875,142.875,0
2002/09/04,144.3,144.65,144.3,144.65,0
2002/09/05,145.525,145.525,145.525,145.525,0
2002/09/06,146.525,146.525,146.525,146.525,0
2002/09/09,145.375,145.375,145.375,145.375,0
2002/09/10,147.375,147.375,147.375,147.375,0
2002/09/11,147.9,147.9,147.9,147.9,0
2002/09/12,148.075,148.075,148.075,148.075,0
2002/09/13,148.35,148.35,148.35,148.35,0
2002/09/16,147.625,147.625,147.625,147.625,0
2002/09/17,147.65,147.65,147.65,147.65,0
2002/09/18,148.275,148.275,148.275,148.275,0
2002/09/19,148.675,148.675,148.675,148.675,0
2002/09/20,148.3,148.3,148.3,148.3,0
2002/09/23,146.3,146.3,146.3,146.3,0
2002/09/24,147.25,147.25,147.25,147.25,0
2002/09/25,148.825,148.825,148.825,148.825,0
2002/09/26,149.325,149.325,149.325,149.325,0
2002/09/27,149.2,149.2,149.2,149.2,0
2002/09/30,150.875,150.875,150.875,150.875,0
2002/10/01,149.775,149.775,149.775,149.775,0
