Date,Open,High,Low,Close,Vol
1994/11/23,1.1695,1.185,1.1575,1.164,8846
1994/11/28,1.193,1.2025,1.1575,1.1725,9557
1994/11/29,1.182,1.214,1.179,1.213,9215
1994/11/30,1.22,1.222,1.207,1.2155,6667
1994/12/01,1.203,1.2355,1.203,1.2325,7598
1994/12/02,1.222,1.241,1.22,1.233,6117
1994/12/05,1.221,1.2235,1.198,1.211,8021
1994/12/06,1.204,1.215,1.196,1.2065,5678
1994/12/07,1.19,1.197,1.181,1.1925,7251
1994/12/08,1.197,1.23,1.197,1.229,9650
1994/12/09,1.229,1.234,1.219,1.221,6198
1994/12/12,1.216,1.232,1.212,1.2235,5548
1994/12/13,1.207,1.222,1.195,1.2145,8837
1994/12/14,1.216,1.238,1.209,1.2355,8391
1994/12/15,1.252,1.265,1.2495,1.2545,10281
1994/12/16,1.256,1.261,1.246,1.2515,4633
1994/12/19,1.223,1.243,1.219,1.233,9355
1994/12/20,1.224,1.2365,1.216,1.226,7998
1994/12/21,1.231,1.248,1.227,1.2455,7091
1994/12/22,1.246,1.257,1.241,1.2455,3931
1994/12/23,1.2415,1.249,1.237,1.238,1627
1994/12/27,1.238,1.249,1.238,1.2475,1376
1994/12/28,1.248,1.275,1.248,1.272,7207
1994/12/29,1.271,1.277,1.2655,1.2735,3771
1994/12/30,1.274,1.283,1.266,1.279,3680
1995/01/03,1.2685,1.285,1.228,1.23,13625
1995/01/04,1.214,1.231,1.198,1.22,13726
1995/01/05,1.226,1.2475,1.226,1.241,6963
1995/01/06,1.237,1.265,1.237,1.256,8866
1995/01/09,1.25,1.285,1.246,1.2835,10968
1995/01/10,1.29,1.298,1.279,1.286,12304
1995/01/11,1.275,1.281,1.2615,1.269,8239
1995/01/12,1.26,1.281,1.256,1.273,8132
1995/01/13,1.283,1.286,1.27,1.2725,4875
1995/01/16,1.266,1.277,1.244,1.2495,8947
1995/01/17,1.248,1.288,1.248,1.2815,10394
1995/01/18,1.294,1.301,1.282,1.289,9702
1995/01/19,1.2925,1.322,1.287,1.32,14145
1995/01/20,1.306,1.315,1.302,1.307,5844
1995/01/23,1.298,1.307,1.288,1.2965,8407
1995/01/24,1.2995,1.32,1.2995,1.31,9377
1995/01/25,1.318,1.32,1.273,1.2765,13747
1995/01/26,1.281,1.294,1.263,1.2925,13294
1995/01/27,1.287,1.2925,1.2705,1.275,8591
1995/01/30,1.261,1.275,1.256,1.269,7197
1995/01/31,1.275,1.2865,1.249,1.256,10851
1995/02/01,1.243,1.252,1.213,1.215,16868
1995/02/02,1.224,1.232,1.2055,1.23,12264
1995/02/03,1.231,1.234,1.202,1.2055,10533
1995/02/06,1.173,1.215,1.173,1.211,19763
1995/02/07,1.202,1.21,1.175,1.1875,12735
1995/02/08,1.179,1.199,1.168,1.194,11407
1995/02/09,1.2015,1.211,1.193,1.2085,8449
1995/02/10,1.215,1.2455,1.213,1.237,14083
1995/02/13,1.225,1.2345,1.219,1.2205,6292
1995/02/14,1.218,1.2495,1.218,1.235,9533
1995/02/15,1.233,1.2405,1.226,1.2275,4888
1995/02/16,1.237,1.247,1.2285,1.239,5790
1995/02/17,1.232,1.239,1.22,1.2265,5317
1995/02/21,1.233,1.237,1.2245,1.227,5518
1995/02/22,1.225,1.231,1.204,1.2075,8480
1995/02/23,1.211,1.218,1.2015,1.2165,5854
1995/02/24,1.217,1.222,1.209,1.2205,6082
1995/02/27,1.221,1.244,1.217,1.22,5392
1995/02/28,1.2135,1.218,1.1935,1.195,11988
1995/03/01,1.1855,1.2295,1.185,1.2195,12365
1995/03/02,1.2125,1.2415,1.2095,1.226,11882
1995/03/03,1.2455,1.2525,1.2265,1.237,8642
1995/03/06,1.2455,1.2465,1.2165,1.2285,8701
1995/03/07,1.2335,1.2395,1.2195,1.2385,6794
1995/03/08,1.2375,1.2525,1.237,1.2515,7699
1995/03/09,1.2535,1.257,1.2405,1.2475,6339
1995/03/10,1.2495,1.2515,1.2415,1.2475,5457
1995/03/13,1.253,1.264,1.2515,1.2585,7639
1995/03/14,1.2655,1.2715,1.2565,1.2575,7540
1995/03/15,1.2575,1.261,1.2465,1.2485,4717
1995/03/16,1.2485,1.257,1.2435,1.254,4687
1995/03/17,1.2465,1.2585,1.2395,1.252,5915
