Date,Open,High,Low,Close,Vol
1997/01/13,1.9368,1.9483,1.9073,1.9083,31149
1997/01/14,1.9095,1.9118,1.8998,1.9055,22683
1997/01/15,1.9058,1.9263,1.8943,1.9255,28753
1997/01/16,1.9253,1.9263,1.9098,1.9105,17137
1997/01/17,1.9103,1.9108,1.8943,1.8957,17436
1997/01/20,1.8958,1.8958,1.8838,1.8845,10042
1997/01/21,1.8863,1.8868,1.8723,1.8759,12268
1997/01/22,1.8763,1.8858,1.8743,1.8847,9581
1997/01/23,1.8838,1.8938,1.8768,1.879,8969
1997/01/24,1.8788,1.8848,1.8753,1.8806,11044
1997/01/27,1.8808,1.8903,1.8673,1.8819,13183
1997/01/28,1.8828,1.8858,1.8783,1.8799,9576
1997/01/29,1.8823,1.8963,1.8803,1.8945,16583
1997/01/30,1.8948,1.9078,1.8928,1.9044,21582
1997/01/31,1.9028,1.9044,1.8818,1.8854,24614
1997/02/03,1.8823,1.8828,1.8748,1.8766,13594
1997/02/04,1.8828,1.8858,1.8593,1.8656,26256
1997/02/05,1.8658,1.8703,1.8563,1.857,16619
1997/02/06,1.8578,1.8688,1.8308,1.8383,20905
1997/02/07,1.8377,1.8478,1.8278,1.8291,18716
1997/02/10,1.8303,1.8463,1.8193,1.8414,23935
1997/02/11,1.8418,1.8473,1.8348,1.8424,17754
1997/02/12,1.8448,1.8598,1.8298,1.8323,26760
1997/02/13,1.8333,1.8358,1.8183,1.823,16579
1997/02/14,1.8268,1.8338,1.8213,1.8319,10336
1997/02/18,1.8261,1.8306,1.8146,1.8234,9328
1997/02/19,1.8256,1.8306,1.8221,1.8265,6099
1997/02/20,1.8266,1.8276,1.8106,1.8115,8256
1997/02/21,1.8106,1.8166,1.8056,1.8098,8684
1997/02/24,1.8098,1.8098,1.7886,1.7895,10897
1997/02/25,1.7921,1.8031,1.7886,1.7986,12666
1997/02/26,1.7976,1.8046,1.7891,1.7962,12058
1997/02/27,1.7971,1.7986,1.7886,1.7895,14150
1997/02/28,1.7856,1.7891,1.7766,1.778,19517
1997/03/03,1.7786,1.7826,1.7676,1.7754,11719
1997/03/04,1.7761,1.7851,1.7686,1.777,14346
1997/03/05,1.7776,1.7831,1.7671,1.769,14529
1997/03/06,1.7701,1.7846,1.7651,1.7779,15962
1997/03/07,1.7786,1.7886,1.7786,1.7844,15868
1997/03/10,1.7856,1.7881,1.7736,1.7744,12402
1997/03/11,1.7756,1.7766,1.7696,1.7719,12259
1997/03/12,1.7716,1.7911,1.7691,1.7844,17205
1997/03/13,1.7856,1.7936,1.7844,1.7858,11998
1997/03/14,1.7861,1.7996,1.7861,1.7969,11772
1997/03/17,1.7976,1.8026,1.7831,1.7866,11946
1997/03/18,1.7866,1.8091,1.7856,1.8054,15319
1997/03/19,1.8066,1.8156,1.8001,1.8065,12454
1997/03/20,1.8054,1.8099,1.7979,1.8032,7218
1997/03/21,1.8019,1.8074,1.7984,1.8014,6973
1997/03/24,1.8024,1.8029,1.7929,1.7961,9805
1997/03/25,1.7959,1.8064,1.7954,1.8027,13377
1997/03/26,1.8024,1.8079,1.7879,1.7889,13777
1997/03/27,1.789,1.7964,1.7869,1.7932,12357
1997/03/31,1.7934,1.7979,1.7849,1.7871,16360
1997/04/01,1.7869,1.7904,1.7814,1.7824,10125
1997/04/02,1.7839,1.7874,1.7669,1.7681,13628
1997/04/03,1.7709,1.7809,1.7684,1.7755,16640
1997/04/04,1.7764,1.7799,1.7689,1.7743,13763
1997/04/07,1.7744,1.7879,1.7734,1.7741,15711
1997/04/08,1.7759,1.7794,1.7694,1.7718,11800
1997/04/09,1.7729,1.7804,1.7724,1.774,11218
1997/04/10,1.7729,1.7959,1.7704,1.7915,20401
1997/04/11,1.7915,1.7949,1.7799,1.7816,18283
1997/04/14,1.7869,1.7934,1.7839,1.7896,11038
1997/04/15,1.7904,1.7949,1.7854,1.7914,13897
1997/04/16,1.7912,1.7913,1.7749,1.7777,12579
1997/04/17,1.7779,1.7889,1.7749,1.7829,14075
1997/04/18,1.7869,1.7929,1.7849,1.7897,13972
1997/04/21,1.7902,1.7992,1.7902,1.7944,6902
1997/04/22,1.7944,1.7977,1.7842,1.7854,8757
1997/04/23,1.7852,1.7912,1.7832,1.7895,9141
1997/04/24,1.7892,1.7982,1.7872,1.797,9820
1997/04/25,1.7967,1.8022,1.7927,1.794,10360
1997/04/28,1.7942,1.7967,1.7907,1.793,8991
1997/04/29,1.7912,1.8112,1.7912,1.8063,23510
1997/04/30,1.8052,1.8097,1.8012,1.8054,18505
1997/05/01,1.8042,1.8102,1.7987,1.7995,13378
1997/05/02,1.7987,1.8012,1.7832,1.7864,20686
1997/05/05,1.7902,1.7937,1.7847,1.7867,9211
1997/05/06,1.7872,1.7972,1.7842,1.7915,14251
1997/05/07,1.7922,1.7992,1.7862,1.787,12320
1997/05/08,1.7877,1.8032,1.7872,1.8,15677
1997/05/09,1.8007,1.8072,1.7962,1.8014,10511
1997/05/12,1.8017,1.8257,1.8017,1.8227,24755
1997/05/13,1.8227,1.8242,1.8162,1.821,14576
1997/05/14,1.8202,1.8222,1.8112,1.8204,12940
1997/05/15,1.8222,1.8262,1.8152,1.821,10770
1997/05/16,1.8207,1.8452,1.8187,1.8409,12056
1997/05/19,1.8382,1.8402,1.8337,1.8357,4569
1997/05/20,1.8357,1.8412,1.8302,1.8319,6969
1997/05/21,1.8322,1.8352,1.8227,1.832,9272
1997/05/22,1.8307,1.8367,1.8292,1.8337,7439
1997/05/23,1.8337,1.8352,1.8282,1.83,7516
1997/05/27,1.8267,1.8267,1.8042,1.8074,18006
1997/05/28,1.8077,1.8132,1.8067,1.8083,9039
1997/05/29,1.8097,1.8222,1.8032,1.8147,20155
1997/05/30,1.8152,1.8172,1.8112,1.8136,16497
1997/06/02,1.8112,1.8212,1.8112,1.8184,9355
1997/06/03,1.8182,1.8192,1.8002,1.8014,19826
1997/06/04,1.8007,1.8012,1.7927,1.7968,14930
1997/06/05,1.7977,1.7977,1.7872,1.7884,13513
1997/06/06,1.7882,1.7952,1.7697,1.7704,28143
1997/06/09,1.7712,1.7757,1.7682,1.7702,17151
1997/06/10,1.7692,1.7782,1.7692,1.7717,12368
1997/06/11,1.7717,1.7817,1.7672,1.7704,15148
1997/06/12,1.7722,1.7742,1.7687,1.7714,8306
1997/06/13,1.7742,1.7802,1.7692,1.7716,10359
1997/06/16,1.7717,1.7787,1.7682,1.7746,11815
1997/06/17,1.7747,1.7862,1.7747,1.7797,10958
1997/06/18,1.7742,1.7777,1.7667,1.7696,12134
1997/06/19,1.7706,1.7736,1.7656,1.7682,11297
1997/06/20,1.7691,1.7701,1.7616,1.7662,7849
1997/06/23,1.7701,1.7736,1.7656,1.7724,8465
1997/06/24,1.7741,1.7781,1.7681,1.7692,8977
1997/06/25,1.7696,1.7866,1.7681,1.7823,12417
1997/06/26,1.7806,1.7811,1.7716,1.7728,10283
1997/06/27,1.7736,1.7866,1.7736,1.7853,17999
1997/06/30,1.7806,1.7926,1.7806,1.7891,14385
1997/07/01,1.7896,1.8016,1.7886,1.799,13285
1997/07/02,1.7991,1.8036,1.7906,1.7998,21110
1997/07/03,1.8011,1.8011,1.7756,1.7782,14641
1997/07/07,1.7778,1.7806,1.7746,1.7784,9299
1997/07/08,1.7796,1.7851,1.7771,1.7806,14058
1997/07/09,1.7816,1.7846,1.7726,1.7771,14434
1997/07/10,1.7776,1.7791,1.7696,1.7717,10873
1997/07/11,1.7726,1.7781,1.7691,1.7741,12677
1997/07/14,1.7776,1.7806,1.7656,1.7673,17197
1997/07/15,1.7681,1.7831,1.7661,1.7801,13054
1997/07/16,1.7796,1.7816,1.7741,1.7774,10560
1997/07/17,1.7771,1.7946,1.7766,1.7895,15810
1997/07/18,1.7886,1.7901,1.7686,1.7728,15134
1997/07/21,1.7746,1.7756,1.7691,1.775,7691
1997/07/22,1.7761,1.7821,1.7731,1.7789,5824
1997/07/23,1.7796,1.7871,1.7771,1.7844,5631
1997/07/24,1.7844,1.7881,1.7831,1.7858,7641
1997/07/25,1.7841,1.8046,1.7816,1.7925,24351
1997/07/28,1.7941,1.7991,1.7851,1.7912,9294
1997/07/29,1.7926,1.7971,1.7911,1.7928,7861
1997/07/30,1.7936,1.8081,1.7936,1.8073,14109
1997/07/31,1.8081,1.8121,1.7866,1.808,28249
1997/08/01,1.8021,1.8141,1.8016,1.8117,10283
1997/08/04,1.8116,1.8336,1.8081,1.8305,19916
1997/08/05,1.8316,1.8321,1.8231,1.8293,13547
1997/08/06,1.8211,1.8291,1.8151,1.8159,13687
1997/08/07,1.8176,1.8176,1.7981,1.7991,17539
1997/08/08,1.8011,1.8046,1.7886,1.789,19015
1997/08/11,1.7891,1.7956,1.7886,1.7897,11792
1997/08/12,1.7897,1.7986,1.7891,1.7971,12710
1997/08/13,1.7991,1.8071,1.7936,1.8065,14746
1997/08/14,1.8061,1.8116,1.8035,1.8048,11172
1997/08/15,1.8026,1.8041,1.7951,1.7986,9790
1997/08/18,1.7976,1.7996,1.7901,1.7965,6210
1997/08/19,1.7966,1.8071,1.7966,1.8026,7290
1997/08/20,1.8021,1.8041,1.7961,1.7982,10139
1997/08/21,1.7972,1.7988,1.7786,1.7814,18274
1997/08/22,1.7861,1.7861,1.7791,1.7798,8544
1997/08/25,1.7811,1.7816,1.7646,1.7669,23703
1997/08/26,1.7684,1.7721,1.7631,1.7646,18690
1997/08/27,1.7663,1.7796,1.7626,1.7784,16254
1997/08/28,1.7784,1.7786,1.7701,1.7734,12525
1997/08/29,1.7741,1.7781,1.7691,1.7698,16660
1997/09/02,1.7686,1.7771,1.7661,1.7716,11158
1997/09/03,1.7716,1.7751,1.7696,1.7711,8350
1997/09/04,1.7711,1.7729,1.7616,1.763,12638
1997/09/05,1.7626,1.7856,1.7621,1.7754,24815
1997/09/08,1.7756,1.7776,1.7686,1.769,14701
1997/09/09,1.7701,1.7711,1.7631,1.7659,15121
1997/09/10,1.7661,1.7673,1.7516,1.7533,28909
1997/09/11,1.7558,1.7636,1.7546,1.7581,18740
1997/09/12,1.7591,1.7671,1.7576,1.7634,15471
1997/09/15,1.7631,1.7676,1.7606,1.7628,10468
1997/09/16,1.7631,1.7811,1.7611,1.7761,27036
1997/09/17,1.7766,1.7786,1.7691,1.7711,14897
1997/09/18,1.7716,1.7796,1.7691,1.772,19844
1997/09/19,1.7721,1.7741,1.7711,1.7718,3223
1997/09/22,1.7726,1.7871,1.7726,1.7828,15114
1997/09/23,1.7828,1.7901,1.7801,1.7821,12207
1997/09/24,1.7816,1.7891,1.7766,1.7876,14338
1997/09/25,1.7886,1.8016,1.7886,1.8008,13547
1997/09/26,1.7986,1.8201,1.7966,1.8158,30238
1997/09/29,1.8161,1.8201,1.8076,1.8196,21201
1997/09/30,1.8196,1.8241,1.8141,1.8148,24733
1997/10/01,1.8141,1.8156,1.8071,1.809,14250
1997/10/02,1.8236,1.8291,1.8236,1.8251,17907
1997/10/03,1.8241,1.8531,1.8236,1.8472,21122
1997/10/06,1.8481,1.8531,1.8201,1.824,20497
1997/10/07,1.8221,1.8306,1.8221,1.8231,13995
1997/10/08,1.8231,1.8341,1.8211,1.8287,13427
1997/10/09,1.8271,1.8326,1.8206,1.8279,14495
1997/10/10,1.8261,1.8296,1.8211,1.8266,11988
1997/10/13,1.8246,1.8246,1.8041,1.8098,14001
1997/10/14,1.8101,1.8161,1.7936,1.7972,20243
1997/10/15,1.7981,1.8036,1.7951,1.7965,14065
1997/10/16,1.7965,1.8116,1.7961,1.8072,13754
1997/10/17,1.8091,1.8211,1.7966,1.8011,12643
1997/10/20,1.7988,1.8092,1.7988,1.8067,10156
1997/10/21,1.8067,1.8117,1.8027,1.8063,9464
