Date,Open,High,Low,Close,Vol
1996/10/10,6981,7211,6976,7031,0
1996/10/11,6991,7046,6956,7019,0
1996/10/14,7116,7131,7056,7089,0
1996/10/15,7156,7291,7131,7289,0
1996/10/16,7271,7366,7156,7186,0
1996/10/17,7181,7261,7131,7259,0
1996/10/18,7321,7356,7256,7346,0
1996/10/21,7321,7356,7256,7321,0
1996/10/22,7284,7381,7201,7206,0
1996/10/23,7161,7281,7121,7271,0
1996/10/24,7231,7326,7196,7233,0
1996/10/25,7141,7179,7111,7151,0
1996/10/28,7196,7201,7039,7059,0
1996/10/29,7026,7029,6963,7001,0
1996/10/30,7053,7213,7053,7211,0
1996/10/31,7173,7278,7159,7248,0
1996/11/01,7313,7348,7293,7323,0
1996/11/04,7343,7368,7253,7288,0
1996/11/05,7303,7385,7248,7248,0
1996/11/06,7333,7563,7263,7553,0
1996/11/07,7613,7668,7476,7498,0
1996/11/08,7513,7568,7465,7528,0
1996/11/11,7493,7543,7423,7528,0
1996/11/12,7553,7558,7483,7531,0
1996/11/13,7533,7738,7523,7698,0
1996/11/14,7683,7748,7653,7715,0
1996/11/15,7743,7813,7628,7633,0
1996/11/18,7663,7851,7608,7783,0
1996/11/19,7743,7908,7741,7818,0
1996/11/20,7923,7983,7903,7958,0
1996/11/21,7988,8021,7813,7853,0
1996/11/22,7973,7983,7773,7833,0
1996/11/25,7913,8043,7893,8038,0
1996/11/26,8168,8318,8148,8308,0
1996/11/27,8233,8403,8173,8403,0
1996/11/28,8358,8528,8073,8128,0
1996/11/29,8108,8228,8073,8198,0
1996/12/02,8258,8333,8238,8333,0
1996/12/03,8308,8358,8198,8308,0
1996/12/04,8118,8223,8108,8223,0
1996/12/05,8168,8313,8168,8273,0
1996/12/06,8108,8128,7643,7808,0
1996/12/09,8078,8078,7738,7913,0
1996/12/10,8078,8158,8048,8148,0
1996/12/11,8158,8288,7838,7878,0
1996/12/12,7678,7903,7648,7858,0
1996/12/13,7558,7628,7448,7488,0
1996/12/16,7568,7708,7523,7703,0
1996/12/17,7608,7608,7508,7558,0
1996/12/18,7648,7686,7510,7548,0
1996/12/19,7658,7678,7513,7588,0
1996/12/20,7818,7933,7788,7913,0
1996/12/23,7938,8183,7883,8178,0
1996/12/24,8108,8253,8088,8168,0
1996/12/26,8108,8253,8088,8108,0
1996/12/27,8198,8268,8168,8173,0
1996/12/30,8103,8193,8068,8163,0
1997/01/02,7963,7998,7833,7833,0
1997/01/03,7858,7938,7818,7918,0
1997/01/06,8053,8183,8033,8173,0
1997/01/07,8173,8233,8068,8098,0
1997/01/08,8163,8211,8083,8093,0
1997/01/09,7993,8001,7693,7828,0
1997/01/10,7983,7993,7783,7878,0
1997/01/13,7913,8041,7833,7948,0
1997/01/14,7953,8008,7893,7948,0
1997/01/15,8093,8493,8073,8483,0
1997/01/16,8453,8763,8403,8473,0
1997/01/21,8483,8533,8403,8423,0
1997/01/22,8583,8643,8318,8323,0
1997/01/23,8353,8368,8253,8288,0
1997/01/24,7903,8138,7903,7968,0
1997/01/27,7878,7948,7843,7908,0
1997/01/28,7883,8098,7883,8068,0
1997/01/29,8023,8073,7838,7928,0
1997/01/30,8083,8103,7928,7973,0
1997/01/31,8113,8133,7943,7973,0
1997/02/03,7953,8133,7953,8078,0
1997/02/04,8083,8213,8067,8203,0
1997/02/05,8263,8328,8183,8303,0
1997/02/10,8483,8483,8233,8243,0
1997/02/11,8183,8253,7988,8063,0
1997/02/12,8093,8138,8013,8103,0
1997/02/13,8233,8283,7683,7803,0
1997/02/14,7933,7933,7568,7823,0
1997/02/17,7933,7943,7813,7888,0
1997/02/18,7733,7813,7583,7803,0
1997/02/19,7913,7913,7683,7763,0
1997/02/20,7703,8173,7663,8168,0
1997/02/21,8053,8158,8013,8108,0
1997/02/24,8123,8123,8038,8063,0
1997/02/25,8103,8233,8063,8218,0
1997/02/26,8263,8283,8185,8238,0
1997/02/27,8113,8223,8103,8168,0
1997/02/28,8073,8123,7943,7943,0
1997/03/03,7963,8173,7933,8158,0
1997/03/04,8088,8168,8063,8103,0
1997/03/05,8053,8103,7993,8073,0
1997/03/06,8263,8263,8063,8113,0
1997/03/07,8073,8078,7978,8001,0
1997/03/10,7908,7953,7863,7898,0
1997/03/11,7973,8008,7858,7893,0
1997/03/12,7853,7853,7728,7803,0
1997/03/13,7663,7723,7513,7518,0
1997/03/14,7273,7421,7233,7363,0
1997/03/17,7473,7518,7408,7513,0
1997/03/18,7473,7493,7318,7358,0
1997/03/19,7303,7424,7268,7343,0
1997/03/20,7263,7381,7043,7073,0
1997/03/21,7053,7173,7008,7123,0
1997/03/24,7113,7408,7113,7388,0
1997/03/25,7503,7548,7383,7428,0
1997/03/26,7348,7456,7338,7358,0
1997/03/27,7328,7358,7063,7116,0
1997/03/31,7358,7358,7116,7116,0
1997/04/01,6718,6718,6508,6628,0
1997/04/02,6698,6733,6628,6693,0
1997/04/03,6558,6913,6548,6668,0
1997/04/04,6708,6838,6678,6838,0
1997/04/07,6878,6993,6858,6923,0
1997/04/08,6983,7018,6893,7013,0
1997/04/09,7058,7083,6988,7028,0
1997/04/11,6958,7158,6938,7148,0
1997/04/14,6908,6988,6838,6883,0
1997/04/15,6938,7008,6933,6953,0
1997/04/16,7168,7268,7148,7233,0
1997/04/17,7298,7303,7088,7103,0
1997/04/18,7088,7218,7088,7193,0
1997/04/21,7208,7333,7198,7283,0
1997/04/22,7228,7276,7158,7228,0
1997/04/23,7448,7458,7298,7328,0
1997/04/24,7353,7391,7268,7383,0
1997/04/25,7348,7418,7283,7303,0
1997/04/28,7233,7290,7198,7208,0
1997/04/29,7288,7313,7188,7248,0
1997/04/30,7608,7608,7498,7528,0
1997/05/01,7548,7698,7498,7678,0
1997/05/02,7638,7783,7638,7768,0
1997/05/05,7908,8123,7908,8109,0
1997/05/06,8298,8383,8278,8328,0
1997/05/07,8288,8368,8288,8328,0
1997/05/08,8168,8398,8150,8393,0
1997/05/09,8608,8758,8553,8623,0
1997/05/12,8808,8818,8573,8613,0
1997/05/13,8658,8718,8578,8638,0
1997/05/14,8638,8908,8548,8898,0
1997/05/15,8828,8893,8663,8668,0
1997/05/16,8708,8810,8658,8748,0
1997/05/19,8628,8863,8588,8828,0
1997/05/20,8798,8968,8753,8958,0
1997/05/21,9098,9128,8903,8923,0
1997/05/22,8908,9073,8903,8963,0
1997/05/23,8878,9078,8878,9046,0
1997/05/27,9328,9368,9238,9278,0
1997/05/28,9328,9428,9238,9263,0
1997/05/29,9248,9258,9023,9138,0
1997/05/30,9078,9538,9068,9518,0
1997/06/02,9568,9723,9518,9643,0
1997/06/03,9558,9683,9273,9498,0
1997/06/04,9508,9673,9450,9498,0
1997/06/05,9358,9608,9358,9478,0
1997/06/06,9508,9638,9208,9218,0
1997/06/09,9638,9638,9218,9218,0
1997/06/10,9438,9478,9098,9133,0
1997/06/11,9088,9253,8938,9108,0
1997/06/12,9038,9073,8553,8558,0
1997/06/13,8683,8798,8418,8798,0
1997/06/16,8808,9068,8808,9063,0
1997/06/17,9048,9103,8888,8898,0
1997/06/18,8848,8933,8608,8833,0
1997/06/19,8838,9253,8773,9218,0
1997/06/20,9298,9963,9298,9928,0
1997/06/23,9948,10068,9713,9758,0
1997/06/24,9608,9753,9578,9618,0
1997/06/25,9818,9918,9718,9718,0
1997/06/26,9648,9983,9593,9798,0
1997/06/27,9768,9978,9728,9803,0
1997/06/30,9978,9978,9803,9803,0
1997/07/01,9978,9978,9803,9803,0
1997/07/02,9978,9978,9803,9803,0
1997/07/03,10048,10048,9443,9448,0
1997/07/04,9608,9673,9288,9378,0
1997/07/07,9318,9528,9258,9408,0
1997/07/08,9348,9408,9243,9363,0
1997/07/09,9413,9473,9173,9273,0
1997/07/10,9188,9443,9148,9438,0
1997/07/11,9458,9898,9428,9883,0
1997/07/14,9948,10128,9913,9953,0
1997/07/15,9948,10118,9808,10048,0
1997/07/16,10118,10158,9923,9968,0
1997/07/17,10088,10348,10048,10338,0
1997/07/18,10268,10338,10163,10203,0
1997/07/21,9988,10258,9978,10158,0
1997/07/22,10078,10168,9948,10003,0
1997/07/23,10168,10268,10123,10263,0
1997/07/24,10328,10383,10203,10253,0
1997/07/25,10208,10318,10183,10228,0
1997/07/28,10153,10333,10148,10228,0
1997/07/29,10238,10298,10206,10298,0
1997/07/30,10378,10618,10368,10608,0
1997/07/31,10668,10948,10658,10913,0
1997/08/01,10868,10998,10838,10878,0
1997/08/04,10828,10898,10653,10688,0
1997/08/05,10858,10928,10763,10818,0
1997/08/06,10818,11028,10818,11018,0
1997/08/07,11168,11243,11063,11123,0
1997/08/08,11008,11203,10943,11198,0
1997/08/11,10888,10953,10773,10818,0
1997/08/12,10968,11023,10728,10768,0
1997/08/13,10648,10953,10598,10948,0
1997/08/14,10838,10958,10778,10863,0
1997/08/15,10893,10958,10378,10408,0
1997/08/19,10028,10308,9873,9928,0
1997/08/20,10073,10368,10028,10368,0
1997/08/21,10508,10668,10108,10108,0
1997/08/22,9808,10048,9638,9793,0
1997/08/25,9898,10128,9758,10128,0
1997/08/26,10028,10158,9943,9943,0
1997/08/27,9838,10003,9738,9928,0
1997/08/28,9928,10048,9228,9238,0
1997/08/29,8698,8873,8318,8338,0
1997/09/01,8468,8638,7648,7688,0
1997/09/02,8118,8208,7018,8208,0
1997/09/03,8838,9298,8658,9228,0
1997/09/04,8988,9088,8598,8698,0
1997/09/05,8938,9148,8728,9118,0
1997/09/08,9258,9423,9058,9328,0
1997/09/09,9278,9568,9278,9528,0
1997/09/10,9518,9538,9138,9203,0
1997/09/11,8878,8991,8598,8648,0
1997/09/12,8538,8938,8368,8848,0
1997/09/15,9038,9218,9008,9088,0
1997/09/16,8998,9038,8708,8728,0
1997/09/17,9033,9033,8728,8728,0
1997/09/18,8938,8938,8348,8893,0
1997/09/19,9038,9058,8718,8718,0
1997/09/22,8658,8658,8388,8408,0
1997/09/23,8438,8653,8308,8518,0
1997/09/24,8518,8743,8518,8688,0
1997/09/25,8698,9168,8658,9118,0
1997/09/26,9138,9223,8983,9058,0
1997/09/29,9293,9398,9193,9288,0
1997/09/30,9253,9528,9248,9363,0
1997/10/03,9563,9563,9403,9473,0
1997/10/06,9573,9688,9213,9283,0
1997/10/07,9313,9353,9083,9308,0
1997/10/08,9163,9383,9093,9293,0
1997/10/09,9133,9163,8573,8613,0
1997/10/10,9163,9163,8613,8613,0
1997/10/13,8603,8603,8273,8533,0
1997/10/14,8593,8643,8073,8073,0
1997/10/15,8063,8103,7483,7683,0
1997/10/16,7643,8083,7533,8083,0
1997/10/17,7853,8173,7683,7798,0
1997/10/20,7733,7763,7243,7438,0
1997/10/21,7323,7383,6683,6943,0
1997/10/22,6643,6893,6073,6113,0
1997/10/23,5613,5763,4413,5013,0
1997/10/24,4563,5713,4543,5653,0
1997/10/27,5163,5293,4603,4643,0
1997/10/28,2613,3763,2413,3123,0
1997/10/29,4813,5353,4463,4903,0
1997/10/30,3943,4393,3743,3863,0
1997/10/31,3743,4723,3643,4533,0
1997/11/03,5113,5323,5103,5293,0
1997/11/04,5573,5668,4543,4573,0
1997/11/05,4243,4693,4243,4623,0
1997/11/06,4723,4723,4163,4343,0
1997/11/07,4063,4143,3543,3833,0
1997/11/10,3663,4113,3633,3793,0
1997/11/11,3893,4193,3653,3693,0
1997/11/12,3723,3743,3263,3313,0
1997/11/13,3243,3843,3213,3613,0
1997/11/14,3743,4033,3573,3853,0
1997/11/17,4423,4463,4243,4333,0
1997/11/18,4343,4363,4068,4093,0
1997/11/19,3793,4038,3713,3883,0
1997/11/20,4153,4163,3773,3983,0
1997/11/21,4393,4593,4298,4593,0
1997/11/24,4573,4623,4368,4583,0
1997/11/25,4243,4363,4193,4193,0
1997/11/26,4293,4613,4243,4613,0
1997/11/27,4653,4653,4298,4563,0
1997/11/28,4273,4523,4273,4443,0
1997/12/01,4513,4723,4473,4708,0
1997/12/02,4793,5273,4793,5238,0
1997/12/03,5203,5293,4993,5183,0
1997/12/04,5243,5513,5183,5473,0
1997/12/05,5548,5593,5373,5513,0
1997/12/08,5623,5818,5523,5743,0
1997/12/09,5613,5623,5358,5403,0
1997/12/10,5253,5308,4768,4773,0
1997/12/11,4523,4573,4103,4313,0
1997/12/12,3943,4543,3923,4533,0
1997/12/15,4423,4553,4193,4313,0
1997/12/16,4463,4473,4163,4318,0
1997/12/17,4603,4723,4493,4593,0
1997/12/18,4643,4723,4553,4633,0
1997/12/19,4273,4323,4193,4248,0
1997/12/22,4123,4223,3813,3958,0
1997/12/23,4073,4398,3978,4363,0
1997/12/24,4223,4293,4173,4243,0
1997/12/29,4273,4508,4263,4433,0
1997/12/30,4568,4753,4558,4616,0
1997/12/31,4888,4948,4478,4598,0
1998/01/02,4598,4748,4508,4578,0
1998/01/05,4508,4578,4048,4068,0
1998/01/06,3983,4038,3858,3938,0
1998/01/07,3728,3858,3288,3473,0
1998/01/08,3418,3498,2753,3208,0
1998/01/09,2878,2968,2588,2678,0
1998/01/12,2278,2318,1858,1908,0
1998/01/13,2578,2678,2343,2678,0
1998/01/14,2878,3288,2858,3158,0
1998/01/15,2978,3038,2368,2588,0
1998/01/16,2678,3028,2643,2928,0
1998/01/19,3378,3458,3248,3398,0
1998/01/20,3198,3628,3108,3268,0
1998/01/21,3388,3428,2958,3003,0
1998/01/22,2848,2868,2598,2638,0
1998/01/23,2658,2908,2478,2868,0
1998/01/26,3128,3178,2693,2718,0
1998/01/27,2778,3228,2778,3218,0
1998/02/02,3778,4738,3698,4308,0
1998/02/03,4808,4818,4378,4568,0
1998/02/04,4458,4703,4228,4228,0
1998/02/05,4158,4468,4078,4438,0
1998/02/06,4678,4678,4338,4343,0
1998/02/09,4478,4878,4478,4843,0
1998/02/10,4778,4858,4458,4778,0
1998/02/11,5228,5258,4658,4678,0
1998/02/12,4658,4678,4358,4553,0
1998/02/13,4298,4343,3993,4138,0
1998/02/17,4018,4258,4018,4128,0
1998/02/18,4198,4578,4148,4578,0
1998/02/19,4868,4928,4398,4428,0
1998/02/20,4278,4598,4198,4518,0
1998/02/23,4658,4758,4368,4368,0
1998/02/24,4478,4648,4338,4538,0
1998/02/25,4478,4818,4458,4808,0
1998/02/26,5008,5218,4868,5218,0
1998/02/27,5278,5328,5108,5203,0
1998/03/02,5418,5598,5283,5548,0
1998/03/03,5178,5373,5083,5138,0
1998/03/04,5258,5328,5028,5248,0
1998/03/05,4858,4928,4578,4578,0
1998/03/06,4608,4828,4558,4718,0
1998/03/09,4718,4938,4528,4928,0
1998/03/10,4918,4988,4758,4838,0
1998/03/11,5028,5113,4928,5078,0
1998/03/12,4978,5168,4678,4758,0
