Date,Open,High,Low,Close,Vol
1996/06/12,119,119.16,118.7,118.99,0
1996/06/13,118.96,119.01,118.73,118.77,0
1996/06/14,118.84,118.84,118.58,118.66,0
1996/06/17,118.76,118.95,118.69,118.85,0
1996/06/18,118.84,119,118.69,118.75,0
1996/06/19,118.3,118.49,118.29,118.46,0
1996/06/20,118.26,118.32,117.99,118.23,0
1996/06/21,118.23,118.48,118.19,118.37,0
1996/06/24,118.38,118.63,118.37,118.6,0
1996/06/25,118.61,118.64,118.44,118.48,0
1996/06/26,118.58,118.66,118.53,118.58,0
1996/06/27,118.54,118.57,118.29,118.4,0
1996/06/28,119.15,119.36,119.02,119.3,0
1996/07/01,119.4,119.42,119.1,119.21,0
1996/07/02,119.07,119.14,118.92,118.94,0
1996/07/03,118.85,118.94,118.79,118.87,0
1996/07/04,119,119.05,118.9,118.92,0
1996/07/05,118.86,118.89,118.61,118.66,0
1996/07/08,118.3,118.44,118.15,118.4,0
1996/07/09,118.41,118.55,118.28,118.33,0
1996/07/10,118.49,118.51,118.35,118.51,0
1996/07/11,118.52,118.61,118.47,118.47,0
1996/07/12,118.69,118.72,118.43,118.52,0
1996/07/15,118.3,118.34,118.15,118.29,0
1996/07/16,118.39,118.45,117.88,117.9,0
1996/07/17,118.03,118.12,117.78,117.99,0
1996/07/18,118,118.07,117.93,118.05,0
1996/07/19,118.13,118.4,118.13,118.36,0
1996/07/22,118.26,118.54,118.26,118.54,0
1996/07/23,118.49,118.5,118.23,118.3,0
1996/07/24,118.49,118.95,118.45,118.85,0
1996/07/25,118.81,119,118.72,118.78,0
1996/07/26,118.72,119.06,118.7,119.05,0
1996/07/29,119.09,119.24,118.93,119.13,0
1996/07/30,119.23,119.25,118.93,118.93,0
1996/07/31,119.07,119.23,119.02,119.08,0
1996/08/01,119.2,119.31,118.8,118.88,0
1996/08/02,119.15,119.25,118.98,119.13,0
1996/08/05,119.33,119.42,119.19,119.21,0
1996/08/06,119.16,119.28,119.09,119.21,0
1996/08/07,119.34,119.92,119.3,119.85,0
1996/08/08,120.04,120.08,119.83,119.99,0
1996/08/09,71.9,72.05,71.8,72,0
1996/08/12,72.02,72.38,72,72.26,0
1996/08/13,72.32,72.7,72.12,72.27,0
1996/08/14,72.27,72.3,72,72.14,0
1996/08/15,72.16,72.41,72.05,72.22,0
1996/08/16,72.12,72.53,72.08,72.47,0
1996/08/19,72.7,72.8,72.6,72.78,0
1996/08/20,72.81,72.92,72.56,72.77,0
1996/08/21,72.67,73.01,72.61,72.85,0
1996/08/22,72.77,72.92,72.61,72.63,0
1996/08/23,72.82,72.88,72.6,72.87,0
1996/08/26,72.88,72.91,72.7,72.72,0
1996/08/27,72.68,72.72,72.62,72.64,0
1996/08/28,72.58,73.99,72.5,73.91,0
1996/08/29,73.78,74.26,73.74,74.18,0
1996/08/30,74.24,74.48,74.18,74.43,0
1996/09/02,74.62,74.62,74.24,74.36,0
