Date,Open,High,Low,Close,Vol
1988/10/19,342.01,342.96,341.61,342.93,0
1988/10/20,343.06,343.11,342.06,342.97,0
1988/10/21,343.06,344.81,343.06,344.45,0
1988/10/24,344.11,344.66,342.86,342.89,0
1988/10/25,343.01,344.56,343.01,344.52,0
1988/10/26,344.31,344.51,343.63,344.24,0
1988/10/27,344.31,345.11,343.31,343.45,0
1988/10/28,343.06,344.06,341.61,341.7,0
1988/10/31,341.06,342.11,341.06,341.42,0
1988/11/1,341.06,342.56,341.06,342.43,0
1988/11/2,342.43,343.56,342.21,343.54,0
1988/11/3,343.54,343.81,342.91,343.12,0
1988/11/4,343.31,343.41,342.51,342.82,0
1988/11/7,342.82,345.06,342.82,345.06,0
1988/11/8,344.81,345.56,343.81,343.91,0
1988/11/9,343.91,344.81,343.67,344.79,0
1988/11/10,345.31,345.76,344.91,345.67,0
1988/11/11,345.81,346.66,344.91,346.6,0
1988/11/14,346.06,346.21,344.31,345.08,0
1988/11/15,345.31,345.36,343.96,344.75,0
1988/11/16,344.21,345.41,343.51,345.08,0
1988/11/17,344.66,344.81,343.31,343.35,0
1988/11/18,342.46,343.96,342.46,343.52,0
1988/11/21,343.76,344.41,343.01,344.01,0
1988/11/22,343.69,343.99,342.82,343.52,0
1988/11/23,342.79,343.09,341.09,341.93,0
1988/11/28,342.09,342.49,338.59,338.6,0
1988/11/29,339.34,339.84,338.39,339.15,0
1988/11/30,339.64,340.19,339.29,339.86,0
1988/12/1,338.69,340.79,338.69,340.03,0
1988/12/2,339.79,340.29,338.85,339.75,0
1988/12/5,339.84,340.24,339.34,339.65,0
1988/12/6,339.59,340.29,339.39,340.18,0
1988/12/7,340.19,340.59,339.94,340.43,0
1988/12/8,340.79,341.94,340.79,341.76,0
1988/12/9,341.79,344.34,341.34,343.36,0
1988/12/12,343.84,345.69,343.69,345.52,0
1988/12/13,345.59,346.79,344.79,344.91,0
1988/12/14,346.09,349.69,346.09,349.51,0
1988/12/15,351.09,351.59,348.79,350.15,0
1988/12/16,350.89,356.69,350.84,356.44,0
1988/12/19,362.09,365.59,358.99,361.17,0
1988/12/20,363.59,372.09,359.59,371.52,0
1988/12/21,373.59,376.09,368.69,372.03,0
1988/12/22,365.59,371.09,365.09,365.48,0
1988/12/23,366.34,366.49,363.89,365.46,0
1988/12/27,365.44,365.74,359.34,362.36,0
1988/12/28,365.09,368.34,365.09,368.13,0
1988/12/29,372.34,375.69,370.69,375.07,0
1988/12/30,376.34,378.59,373.09,375.43,0
1989/1/3,377.19,382.99,377.19,381.99,0
1989/1/4,379.84,380.39,373.29,376.22,0
1989/1/5,377.59,380.09,372.64,379.06,0
1989/1/6,379.59,381.49,373.59,373.81,0
1989/1/9,369.84,371.74,364.09,364.38,0
1989/1/10,361.09,367.99,359.99,366.57,0
1989/1/11,365.84,367.34,354.09,354.9,0
1989/1/12,356.59,360.59,352.59,358.2,0
1989/1/13,354.59,359.59,354.24,355.79,0
1989/1/16,354.09,358.09,353.39,356.8,0
1989/1/17,358.09,360.59,356.99,358.67,0
1989/1/18,356.84,358.84,355.79,358.29,0
1989/1/19,360.09,361.39,357.84,358.2,0
1989/1/20,359.19,359.69,356.29,358.39,0
1989/1/23,356.69,358.49,356.59,356.94,0
