Date,Open,High,Low,Close,Vol
2003/1/2,111.425,111.425,111.425,111.425,0
2003/1/3,112,112,112,112,0
2003/1/6,111.65,111.65,111.65,111.65,0
2003/1/7,111.7,111.7,111.7,111.7,0
2003/1/8,111.625,111.625,111.625,111.625,0
2003/1/9,111.9,111.9,111.9,111.9,0
2003/1/10,111.875,111.875,111.875,111.875,0
2003/1/13,111.55,111.55,111.55,111.55,0
2003/1/14,111.25,111.25,111.25,111.25,0
2003/1/15,109.75,109.75,109.75,109.75,0
2003/1/16,109.875,109.875,109.875,109.875,0
2003/1/17,109.6,109.6,109.6,109.6,0
2003/1/21,109.8,109.8,109.8,109.8,0
2003/1/22,110.575,110.575,110.575,110.575,0
2003/1/23,110.4,110.4,110.4,110.4,0
2003/1/24,110.15,110.15,110.15,110.15,0
2003/1/27,110.375,110.375,110.375,110.375,0
2003/1/28,110.375,110.375,110.375,110.375,0
2003/1/29,111.85,111.85,111.85,111.85,0
2003/1/30,111.8,111.8,111.8,111.8,0
2003/1/31,112,112,112,112,0
2003/2/3,111.975,111.975,111.975,111.975,0
2003/2/4,111.225,111.225,111.225,111.225,0
2003/2/5,110.775,110.775,110.775,110.775,0
2003/2/6,109.8,109.8,109.8,109.8,0
2003/2/7,109.125,109.125,109.125,109.125,0
2003/2/10,109.925,109.925,109.925,109.925,0
2003/2/11,110.125,110.125,110.125,110.125,0
2003/2/12,108.625,108.625,108.625,108.625,0
2003/2/13,107.8,107.8,107.8,107.8,0
2003/2/14,108.175,108.175,108.175,108.175,0
2003/2/18,107.9,107.9,107.9,107.9,0
2003/2/19,108.8,108.8,108.8,108.8,0
2003/2/20,109.225,109.225,109.225,109.225,0
2003/2/21,109.575,109.575,109.575,109.575,0
2003/2/24,110,110,110,110,0
2003/2/25,109.125,109.125,109.125,109.125,0
2003/2/26,109.45,109.45,109.45,109.45,0
2003/2/27,108.025,108.025,108.025,108.025,0
2003/2/28,107.85,107.85,107.85,107.85,0
2003/3/3,106.975,106.975,106.975,106.975,0
2003/3/4,107.075,107.075,107.075,107.075,0
2003/3/5,106.725,106.725,106.725,106.725,0
2003/3/6,106.625,106.625,106.625,106.625,0
2003/3/7,106.7,106.7,106.7,106.7,0
2003/3/10,106.25,106.25,106.25,106.25,0
2003/3/11,104.8,104.8,104.8,104.8,0
2003/3/12,105.175,105.175,105.175,105.175,0
2003/3/13,106.275,106.275,106.275,106.275,0
2003/3/14,106.525,106.525,106.525,106.525,0
2003/3/17,105.375,105.375,105.375,105.375,0
2003/3/18,105.825,105.825,105.825,105.825,0
