Date,Open,High,Low,Close,Vol
1997/01/14,26.556,26.646,26.481,26.589,19077
1997/01/15,26.726,26.846,26.676,26.807,25260
1997/01/16,26.686,26.726,26.486,26.537,21547
1997/01/17,26.446,26.496,26.276,26.453,23953
1997/01/20,26.206,26.296,26.156,26.266,21484
1997/01/21,26.166,26.166,26.026,26.112,27702
1997/01/22,26.096,26.196,26.041,26.104,26463
1997/01/23,26.008,26.098,25.998,26.001,7883
1997/01/24,25.948,26.038,25.928,26.025,11135
1997/01/27,26.088,26.168,26.068,26.083,13581
1997/01/28,26.068,26.108,25.998,26.014,11823
1997/01/29,25.963,25.983,25.878,25.906,11748
1997/01/30,25.903,25.968,25.868,25.954,11981
1997/01/31,25.918,25.933,25.838,25.853,10563
1997/02/03,25.773,25.813,25.758,25.781,11174
1997/02/04,25.848,25.968,25.848,25.965,17361
1997/02/05,25.978,25.988,25.868,25.898,16457
1997/02/06,25.828,25.848,25.788,25.829,13020
1997/02/07,25.738,25.748,25.638,25.65,19507
1997/02/10,25.708,25.728,25.618,25.635,15007
1997/02/11,25.628,25.698,25.608,25.692,16673
1997/02/12,25.693,25.718,25.553,25.558,23317
1997/02/13,25.538,25.558,25.448,25.467,21518
1997/02/14,25.468,25.518,25.418,25.434,13705
1997/02/18,25.328,25.438,25.318,25.432,24752
1997/02/19,25.478,25.518,25.393,25.484,26772
1997/02/20,25.43,25.46,25.38,25.391,12179
1997/02/21,25.38,25.41,25.36,25.399,9212
1997/02/24,25.39,25.41,25.28,25.295,16156
1997/02/25,25.31,25.35,25.295,25.345,13461
1997/02/26,25.35,25.375,25.32,25.354,9267
1997/02/27,25.31,25.33,25.295,25.318,9592
1997/02/28,25.335,25.345,25.28,25.301,7761
1997/03/03,25.31,25.32,25.26,25.283,11814
1997/03/04,25.3,25.43,25.3,25.423,22463
1997/03/05,25.42,25.434,25.285,25.319,24325
1997/03/06,25.32,25.42,25.3,25.366,14913
1997/03/07,25.36,25.479,25.35,25.427,21908
1997/03/10,25.43,25.52,25.37,25.417,21217
1997/03/11,25.37,25.43,25.36,25.399,15196
1997/03/12,25.45,25.49,25.415,25.435,16456
1997/03/13,25.48,25.504,25.41,25.422,12068
1997/03/14,25.43,25.445,25.405,25.44,7410
1997/03/17,25.479,25.48,25.38,25.389,18554
1997/03/18,25.36,25.395,25.35,25.377,17364
1997/03/19,25.365,25.38,25.345,25.376,13768
1997/03/20,25.365,25.4,25.355,25.377,5623
1997/03/21,25.375,25.38,25.29,25.306,9830
1997/03/24,25.3,25.315,25.255,25.271,13836
1997/03/25,25.3,25.335,25.3,25.314,9240
1997/03/26,25.34,25.35,25.29,25.313,10679
1997/03/27,25.32,25.365,25.32,25.358,9281
1997/03/31,25.38,25.38,25.32,25.356,7859
1997/04/01,25.37,25.38,25.305,25.312,10185
1997/04/02,25.295,25.32,25.28,25.297,11265
1997/04/03,25.295,25.355,25.285,25.335,13144
1997/04/04,25.345,25.375,25.34,25.372,8961
1997/04/07,25.41,25.42,25.355,25.376,14719
1997/04/08,25.4,25.405,25.34,25.346,14786
1997/04/09,25.345,25.35,25.32,25.331,12926
1997/04/10,25.33,25.34,25.31,25.33,10678
1997/04/11,25.35,25.37,25.331,25.363,11533
1997/04/14,25.37,25.39,25.355,25.383,11047
1997/04/15,25.37,25.375,25.355,25.367,12312
1997/04/16,25.375,25.44,25.37,25.435,18984
