Date,Open,High,Low,Close,Vol
2004/02/17,11905,11905,11905,11905,0
2004/02/18,11955,11955,11955,11955,0
2004/02/19,11920,11920,11920,11920,0
2004/02/20,11985,11985,11985,11985,0
2004/02/23,12055,12055,12055,12055,0
2004/02/24,11855,11855,11855,11855,0
2004/02/25,11895,11975,11875,11935,0
2004/02/26,12015,12055,11985,12050,0
2004/02/27,12210,12365,12210,12275,0
2004/03/01,12515,12585,12485,12580,0
2004/03/02,12550,12620,12545,12575,0
2004/03/03,12595,12595,12485,12535,0
2004/03/04,12630,12690,12625,12690,0
2004/03/05,12725,12840,12655,12825,0
2004/03/08,12770,12775,12645,12645,0
2004/03/09,12735,12735,12650,12705,0
2004/03/10,12640,12665,12510,12510,0
2004/03/11,12410,12425,12245,12265,0
2004/03/12,12360,12480,12330,12470,0
2004/03/15,12430,12460,12360,12390,0
2004/03/16,12400,12425,12350,12405,0
2004/03/17,12590,12760,12590,12740,0
2004/03/18,12660,12660,12510,12620,0
2004/03/19,12590,12595,12505,12530,0
2004/03/22,12465,12465,12295,12305,0
2004/03/23,12415,12490,12365,12465,0
2004/03/24,12435,12580,12425,12580,0
2004/03/25,12705,12980,12690,12905,0
2004/03/26,12940,13070,12870,13020,0
2004/03/29,12945,13120,12945,13120,0
2004/03/30,12915,12970,12860,12950,0
2004/03/31,12935,12995,12915,12945,0
2004/04/01,12920,13015,12900,12980,0
2004/04/02,13050,13240,13050,13240,0
2004/04/05,13170,13290,13145,13270,0
2004/04/06,13250,13295,13215,13285,0
2004/04/07,13195,13240,13105,13190,0
2004/04/08,13320,13330,13185,13225,0
2004/04/12,13250,13395,13250,13365,0
2004/04/13,13370,13430,13220,13250,0
2004/04/14,13255,13295,13170,13270,0
2004/04/15,13065,13120,12920,12950,0
2004/04/16,13055,13130,12985,13130,0
2004/04/19,12935,12990,12915,12965,0
2004/04/20,13170,13230,13045,13070,0
2004/04/21,13065,13240,13065,13220,0
2004/04/22,13200,13380,13130,13350,0
2004/04/23,13300,13340,13290,13335,0
2004/04/26,13365,13390,13320,13320,0
2004/04/27,13340,13340,13245,13250,0
2004/04/28,13190,13190,12925,12925,0
2004/04/29,12975,13025,12820,12825,0
2004/04/30,12840,12925,12730,12755,0
2004/05/03,12755,12820,12710,12730,0
2004/05/04,12800,12915,12790,12820,0
2004/05/05,12840,12960,12805,12960,0
2004/05/06,12750,12760,12615,12705,0
2004/05/07,12660,12725,12560,12580,0
2004/05/10,12070,12110,11960,12005,0
