Date,Open,High,Low,Close,Vol
1999/06/30,2853.25,2908.25,2828.25,2885.25,2785
1999/07/01,2885.75,2916.75,2854.75,2907.25,2456
1999/07/06,2943.25,2969.75,2936.25,2955.75,1247
1999/07/07,2924.75,2927.25,2900.75,2911.75,1247
1999/07/08,2927.75,2964.75,2910.25,2947.75,3440
1999/07/09,2954.75,2965.25,2943.75,2957.75,3604
1999/07/12,2982.75,2996.75,2948.75,2981.75,2126
1999/07/13,2953.75,2958.75,2932.25,2941.75,3650
1999/07/14,2957.25,2986.25,2941.75,2983.75,3552
1999/07/15,2993.75,3013.25,2988.25,3007.75,3067
1999/07/16,3007.75,3048.75,3006.25,3043.75,2875
1999/07/19,3035.25,3048.75,3001.75,3009.25,1798
1999/07/20,2961.75,2965.75,2918.25,2929.25,2699
1999/07/21,2916.25,2947.25,2901.75,2912.75,3934
1999/07/22,2875.75,2884.25,2858.75,2871.75,3047
1999/07/23,2884.75,2892.75,2843.25,2862.75,3224
1999/07/26,2840.75,2861.75,2825.25,2827.75,2485
1999/07/27,2835.75,2888.25,2833.75,2885.25,2851
1999/07/28,2879.25,2912.75,2851.75,2894.25,3644
1999/07/29,2885.75,2888.75,2828.75,2844.25,3190
1999/07/30,2863.75,2886.75,2841.75,2853.75,3528
1999/08/02,2826.25,2884.75,2820.25,2870.25,2712
1999/08/03,2841.75,2862.25,2783.75,2821.25,3088
1999/08/04,2821.75,2833.25,2792.75,2806.75,4979
1999/08/05,2766.75,2801.25,2724.25,2785.75,3463
1999/08/06,2810.75,2833.25,2774.75,2784.25,4686
1999/08/09,2795.75,2803.75,2765.75,2786.75,3736
1999/08/10,2701.75,2726.75,2691.75,2718.75,4108
1999/08/11,2756.75,2789.75,2744.25,2786.25,5955
1999/08/12,2808.25,2832.25,2793.75,2797.75,3989
1999/08/13,2777.25,2862.25,2773.75,2857.25,4343
1999/08/16,2877.75,2907.75,2866.75,2872.75,2947
1999/08/17,2889.75,2918.75,2848.75,2894.25,3878
1999/08/18,2909.75,2923.25,2879.75,2883.25,3717
1999/08/19,2881.75,2886.25,2837.75,2861.75,3717
1999/08/20,2855.25,2873.25,2842.25,2867.75,4291
1999/08/23,2896.75,2931.75,2895.25,2922.75,1928
1999/08/24,2947.75,3004.25,2939.25,2964.75,2778
1999/08/25,2974.75,3036.25,2966.25,3030.25,3037
1999/08/26,3029.75,3037.25,2984.75,2987.75,3321
1999/08/27,2984.75,3008.75,2959.25,2964.75,3282
1999/08/30,2964.75,2980.75,2922.75,2933.75,3161
1999/08/31,2938.75,2968.75,2892.25,2955.25,4640
1999/09/01,2954.75,2991.75,2948.75,2974.25,4280
1999/09/02,2973.25,2976.25,2921.75,2961.25,3404
1999/09/03,2963.25,3072.75,2955.75,3072.75,2633
1999/09/07,3090.75,3090.75,3056.75,3062.25,3397
1999/09/08,3059.75,3068.25,3015.75,3028.75,4583
1999/09/09,3024.75,3066.75,3013.75,3065.75,495
1999/09/10,3064.75,3123.75,3061.75,3096.75,241
1999/09/13,3109.25,3109.25,3049.75,3057.25,3680
1999/09/14,3060.75,3092.75,3041.25,3076.75,4505
1999/09/15,3075.75,3111.25,3022.75,3025.75,5095
1999/09/16,3024.75,3044.75,2974.25,3025.75,5922
1999/09/17,3028.75,3105.75,3024.25,3100.25,3096
1999/09/20,3116.75,3119.75,3082.75,3101.75,2335
1999/09/21,3109.75,3109.75,3034.75,3041.75,5116
1999/09/22,3041.75,3080.25,3014.75,3069.75,5365
1999/09/23,3068.75,3098.75,2947.25,2965.75,6163
1999/09/24,2964.75,2971.25,2906.75,2957.75,5969
1999/09/27,2958.75,3018.25,2958.75,2983.25,5198
1999/09/28,2982.75,3001.75,2917.75,2994.75,5805
1999/09/29,2995.75,3008.25,2946.75,2948.75,5981
1999/09/30,2948.75,2994.25,2936.75,2971.25,5848
1999/10/01,2968.25,2971.75,2911.25,2963.25,4173
1999/10/04,2963.25,3031.25,2956.25,3030.25,3672
1999/10/05,3027.75,3067.25,2989.75,3039.75,5343
1999/10/06,3036.25,3090.75,3032.75,3087.25,4548
1999/10/07,3087.25,3130.75,3064.75,3083.75,5926
1999/10/08,3081.75,3111.75,3036.75,3109.75,5220
1999/10/11,3109.75,3143.25,3099.75,3139.75,2303
1999/10/12,3140.75,3148.75,3077.25,3087.75,5026
1999/10/13,3063.75,3086.25,2997.25,3005.75,6726
1999/10/14,3017.75,3039.75,2976.75,3023.75,6473
1999/10/15,3026.75,3030.25,2936.75,2947.75,4699
1999/10/18,2938.25,2968.75,2850.25,2912.75,6291
1999/10/19,2912.25,2955.75,2891.25,2916.75,5848
1999/10/20,2927.75,3023.75,2927.75,3004.25,5597
1999/10/21,3002.25,3045.75,2944.75,3044.75,5618
1999/10/22,3042.75,3078.75,3024.75,3028.25,3986
1999/10/25,3029.25,3059.75,3001.75,3032.75,4615
1999/10/26,3031.25,3076.75,3007.75,3007.75,4965
1999/10/27,3006.75,3020.75,2969.75,3009.75,4763
1999/10/28,3009.75,3096.25,2988.75,3093.75,4763
1999/10/29,3091.75,3203.75,3082.75,3187.25,4403
1999/11/01,3181.75,3214.25,3164.75,3170.75,3570
1999/11/02,3164.75,3216.25,3158.25,3174.75,5503
1999/11/03,3172.75,3237.25,3171.75,3226.75,4812
1999/11/04,3225.25,3263.75,3223.75,3254.75,4588
1999/11/05,3254.75,3315.75,3241.75,3315.75,3888
1999/11/08,3282.25,3341.75,3272.25,3339.75,4281
1999/11/09,3336.75,3379.25,3284.75,3316.75,5861
1999/11/10,3317.75,3370.75,3301.75,3350.25,5598
1999/11/11,3342.25,3400.75,3342.25,3398.25,4746
1999/11/12,3395.75,3441.75,3333.75,3436.75,6213
1999/11/15,3440.25,3449.75,3415.25,3430.25,4665
1999/11/16,3423.75,3515.75,3420.75,3507.75,5622
1999/11/17,3451.75,3516.75,3451.75,3462.75,5443
1999/11/18,3461.25,3552.75,3455.25,3549.75,7416
1999/11/19,3546.75,3580.75,3524.25,3575.25,5760
1999/11/22,3583.75,3601.25,3550.75,3597.25,5208
1999/11/23,3597.75,3609.75,3514.25,3544.75,7267
1999/11/24,3542.75,3654.75,3521.75,3650.75,6032
1999/11/26,3651.25,3696.75,3644.25,3652.75,2099
1999/11/29,3655.75,3674.25,3598.75,3599.75,7106
1999/11/30,3602.75,3610.75,3499.75,3503.75,9115
1999/12/01,3502.75,3561.75,3493.25,3545.25,9468
1999/12/02,3547.25,3646.75,3542.25,3642.75,7442
1999/12/03,3641.75,3750.25,3625.75,3705.75,8294
1999/12/06,3706.25,3760.75,3688.75,3734.75,8294
1999/12/07,3731.75,3758.75,3692.25,3741.25,10986
1999/12/08,3736.75,3759.75,3691.75,3697.25,10673
1999/12/09,3693.75,3755.25,3636.75,3700.75,1587
1999/12/10,3691.75,3751.75,3662.75,3738.75,595
1999/12/13,3736.75,3792.25,3707.75,3775.25,9591
1999/12/14,3769.75,3808.75,3695.25,3709.25,11384
1999/12/15,3710.75,3771.75,3653.75,3765.25,12508
1999/12/16,3766.75,3867.75,3760.75,3866.75,10766
1999/12/17,3867.75,3943.25,3863.75,3898.25,8345
1999/12/20,3923.75,3923.75,3923.75,3923.75,7837
1999/12/21,3923.75,4082.25,3916.25,4076.75,8968
1999/12/22,4078.75,4110.75,4034.25,4103.25,8527
1999/12/23,4098.25,4166.75,4084.25,4120.75,5642
1999/12/27,4120.25,4163.25,4050.75,4125.75,8313
1999/12/28,4119.75,4158.75,4080.75,4106.75,8107
1999/12/29,4106.25,4232.75,4096.25,4229.25,7255
1999/12/30,4229.25,4289.25,4204.75,4219.75,7790
1999/12/31,4213.25,4256.75,4207.25,4238.75,3539
2000/01/03,4234.75,4379.75,4165.75,4322.25,15414
2000/01/04,4323.25,4327.25,4009.75,4044.25,15455
2000/01/05,4042.25,4102.75,3879.75,3992.75,15236
2000/01/06,3977.75,4037.75,3767.25,3800.25,15272
2000/01/07,3769.25,4059.25,3741.75,4046.75,14126
2000/01/10,4045.75,4289.25,4039.25,4250.75,15673
2000/01/11,4249.75,4250.75,4026.75,4066.75,16839
2000/01/12,4060.75,4099.75,3960.75,3992.75,15466
2000/01/13,3992.75,4135.75,3986.75,4128.75,13359
2000/01/14,4144.75,4269.75,4129.75,4237.25,12244
2000/01/18,4227.75,4304.25,4154.25,4284.75,14811
2000/01/19,4285.25,4335.25,4225.75,4329.25,14308
2000/01/20,4331.75,4397.75,4295.75,4364.75,16054
2000/01/21,4354.75,4398.75,4308.75,4377.75,10416
2000/01/24,4376.25,4422.75,4160.25,4165.75,15881
2000/01/25,4159.75,4281.75,4091.25,4273.25,17930
