Date,Open,High,Low,Close,Vol
1997/01/23,182.55,182.95,182.2,182.6,396
1997/01/24,182.95,184.7,182.95,184.5,628
1997/01/27,184.7,185.35,183.95,184.75,544
1997/01/28,184.75,184.95,183.45,183.7,201
1997/01/29,182.95,183.7,182.45,183.55,288
1997/01/30,182.95,183.55,182.45,182.7,166
1997/01/31,182.7,186.45,182.7,185.7,804
1997/02/03,185.7,187.75,185.45,187.55,483
1997/02/04,188.05,189.7,188.05,188.65,1149
1997/02/05,188.45,188.95,188.05,188.7,389
1997/02/06,190.45,192.45,190.45,191.7,906
1997/02/07,192.45,194.45,191.95,194.3,2336
1997/02/10,195.45,197.95,195.45,197.75,1646
1997/02/11,197.25,197.95,193.25,196.05,1967
1997/02/12,196.7,199.95,196.7,199.95,2068
1997/02/13,201.2,201.95,198.2,198.95,1597
1997/02/14,197.95,198.2,195.2,195.7,1343
1997/02/18,196.2,197.95,194.7,195.95,1663
1997/02/19,195.45,196.1,194.7,194.9,907
1997/02/20,192.95,194.95,191.7,194.95,1816
1997/02/21,195.7,198.7,195.45,197.95,772
1997/02/24,199.65,200.65,198.4,199.5,1475
1997/02/25,200.4,201.65,200.15,201.4,1256
1997/02/26,202.15,207.4,202.15,207.4,2950
1997/02/27,216.4,216.4,210.15,214.6,1578
1997/02/28,214.15,215.65,205.65,212.2,1674
1997/03/03,210.4,214.65,208.15,213.45,1134
1997/03/04,209.15,211.15,208.15,208.65,728
1997/03/05,206.15,206.4,202.65,202.65,1096
1997/03/06,205.15,211.65,205.15,209.15,1773
1997/03/07,208.15,209.15,207.4,207.9,272
1997/03/10,208.15,213.05,208.15,212.4,494
1997/03/11,217.15,218.4,216.35,218.4,1472
1997/03/12,214.15,216.65,210.65,211.55,1231
1997/03/13,210.65,214.15,209.9,213.15,1057
1997/03/14,211.65,213.15,211.4,211.55,209
1997/03/17,211.55,213.15,207.15,207.7,483
1997/03/18,207.7,207.7,201.7,202.65,2934
1997/03/19,204.15,207.65,203.15,207.05,1245
1997/03/20,211.65,212.65,209.15,209.65,561
1997/03/21,207.9,214.15,206.65,211.45,943
1997/03/24,207.15,208.15,206.4,206.4,404
1997/03/25,206.4,206.4,200.9,203.95,1492
1997/03/26,202.65,207.15,201.65,206.55,818
1997/03/27,204.25,206.55,204.25,205.35,1342
1997/03/31,204.35,205.15,203.4,204.85,286
1997/04/01,205.15,209.4,204.85,208.8,698
1997/04/02,207.65,209.4,204.65,204.9,709
1997/04/03,205.15,206.55,204.4,204.9,611
1997/04/04,205.9,208.05,205.15,206.1,772
1997/04/07,207.65,210.65,207.65,209.6,850
1997/04/08,214.15,214.65,210.65,210.95,2246
1997/04/09,212.15,216.95,212.15,216.7,1722
1997/04/10,212.35,213.15,210.85,212.6,934
1997/04/11,216.9,217.9,211.15,211.85,1298
1997/04/14,211.65,211.65,207.15,211.05,857
1997/04/15,208.9,208.9,205.35,207.2,1426
1997/04/16,206.15,210.4,205.9,208.15,1123
1997/04/17,208.25,213.15,208.15,210.65,927
1997/04/18,209.35,213.05,207.35,211.75,754
1997/04/21,213.15,213.9,212.65,212.9,428
1997/04/22,213.65,213.9,210.9,211.9,511
1997/04/23,212.4,212.55,210.35,212.15,340
1997/04/24,212.4,215.05,211.9,212.6,517
1997/04/25,215.65,218.6,214.65,216.35,1116
1997/04/28,214.15,214.65,212.65,213.45,340
1997/04/29,214.15,216.05,214.15,214.65,366
1997/04/30,212.9,214.15,211.9,213.35,637
1997/05/01,213.15,214.65,213.15,214.15,642
1997/05/02,214.15,215.15,213.65,214.05,232
1997/05/05,213.15,215.65,213.15,215.05,289
1997/05/06,215.05,215.15,212.25,213.35,871
1997/05/07,215.85,215.85,210.35,212.15,1771
1997/05/08,212.65,216.4,212.15,215.05,986
1997/05/09,218.65,221.05,218.25,221.05,1338
1997/05/12,224.15,230.05,223.15,229,2225
1997/05/13,223.65,231.9,222.15,228.7,1611
1997/05/14,230.65,232.15,229.2,231.05,1005
1997/05/15,230.15,231.15,229.15,230.4,640
1997/05/16,229.15,230.15,227.15,229.25,821
1997/05/19,227.25,235.25,226.4,235.15,1215
1997/05/20,236.65,239.05,235.15,238.9,1108
1997/05/21,237.15,238.65,234.65,237.25,926
1997/05/22,232.15,234.15,231.65,232.5,1249
1997/05/23,226.5,230.15,226.5,227.85,1211
1997/05/27,231.15,231.65,228.65,230.15,1088
1997/05/28,236.15,236.15,236.15,236.15,672
1997/05/29,245.15,245.15,242.15,245.15,1434
1997/05/30,239.15,240.15,233.15,233.15,2120
1997/06/02,232.15,232.15,221.25,224.45,2550
1997/06/03,228.65,231.15,226.15,229.8,1388
1997/06/04,229.8,234.15,225.15,232.95,1122
1997/06/05,230.15,234.15,228.15,233.3,431
1997/06/06,234.65,239.3,234.65,239.15,274
1997/06/09,242.15,246.15,232.15,235.05,877
1997/06/10,235.35,235.65,230.35,233.95,395
1997/06/11,238.15,239.15,231.15,238.65,686
1997/06/12,235.15,244.65,235.15,244.4,1244
1997/06/13,240.15,252.15,240.15,248.55,629
1997/06/16,247.65,247.65,237.15,240.95,545
1997/06/17,236.15,239.15,234.15,238.05,402
1997/06/18,237.15,237.15,229.25,229.6,1104
1997/06/19,235.9,235.9,227.35,230.35,663
1997/06/20,231.15,235.15,231.15,233,375
1997/06/23,233.15,237.65,233.15,236.7,425
1997/06/24,236.65,239.65,235.15,239.05,243
1997/06/25,241.15,244.15,237.15,241.3,431
1997/06/26,241.3,242.9,240.15,241.55,239
1997/06/27,241.15,241.15,236.15,236.35,289
1997/06/30,234.15,236.15,232.75,235.05,288
1997/07/01,237.65,243.15,236.15,236.45,323
1997/07/02,235.15,236.15,233.15,234.65,207
1997/07/03,234.4,234.65,233.15,233.15,166
1997/07/07,227.15,232.65,227.15,229.9,428
1997/07/08,226.65,226.65,223.9,223.9,847
1997/07/09,214.9,215.65,214.9,214.9,1077
1997/07/10,212.15,212.15,205.15,208.55,2179
1997/07/11,209.6,213.15,209.15,213.15,1187
1997/07/14,213.65,216.15,212.4,212.6,276
1997/07/15,212.65,214.85,211.65,212.45,311
1997/07/16,215.65,217.9,214.65,217.8,471
1997/07/17,216.15,222.15,215.15,220.5,566
1997/07/18,220.55,226.5,220.55,226.5,431
1997/07/21,228.15,233.85,228.15,231.45,486
1997/07/22,233.15,240.45,233.15,240.15,514
1997/07/23,240.65,240.9,235.15,239.65,537
1997/07/24,240.15,245.65,236.4,245.65,773
1997/07/25,250.15,254.15,246.4,249.8,2262
1997/07/28,250.65,255.15,249.05,253.75,453
1997/07/29,251.15,255.9,248.15,255.05,1292
1997/07/30,255.15,260.15,255.15,258.15,439
1997/07/31,260.15,263.15,258.25,260.75,720
1997/08/01,266.75,266.75,266.75,266.75,209
1997/08/04,275.75,275.75,275.75,275.75,490
1997/08/05,287.75,287.75,280.15,287.75,1071
1997/08/06,277.15,280.15,275.75,275.75,533
1997/08/07,267.15,273.15,265.4,272.65,821
1997/08/08,280.15,284.65,278.15,284.4,546
1997/08/11,283.95,284.95,281.65,282.15,307
1997/08/12,280.15,280.15,276.65,278.15,304
1997/08/13,277.65,278.15,274.55,276,548
1997/08/14,270,270,270,270,245
1997/08/15,269.65,271.15,262.15,265.45,1278
1997/08/18,261.35,265.15,260.35,263.65,644
1997/08/19,257.65,259.65,257.65,257.65,576
1997/08/20,253.15,264.15,248.65,263.3,1491
1997/08/21,266.15,270.15,259.15,259.85,545
1997/08/22,257.15,264.15,255.15,261.65,504
1997/08/25,259.15,264.15,257.35,260.15,210
1997/08/26,258.15,258.65,254.15,254.25,1009
1997/08/27,252.15,253.15,248.25,251.1,522
1997/08/28,250.65,255.15,249.65,249.95,484
1997/08/29,251.15,255.05,251.15,252.65,335
1997/09/02,251.15,251.65,249.65,251.15,428
1997/09/03,250.65,252.6,250.15,252.1,293
1997/09/04,253.15,253.15,246.65,250.6,595
1997/09/05,250.65,254.15,250.65,253.15,468
1997/09/08,252.15,252.15,249.65,250.25,335
1997/09/09,250.15,253.65,249.35,252.65,267
1997/09/10,251.3,253.65,250.75,253.45,117
1997/09/11,253.65,258.65,252.15,257.7,510
1997/09/12,258.15,260.15,256.15,257.55,278
1997/09/15,256.65,258.15,256.15,256.65,82
1997/09/16,256.65,257.15,253.65,254.1,258
