Date,Open,High,Low,Close,Vol
1997/01/17,399.4,401.5,399.2,400.3,1545
1997/01/20,398.1,399,396.3,396.5,1715
1997/01/21,396.7,398.5,395.6,396.6,2511
1997/01/22,395.9,396.3,394.6,394.9,2140
1997/01/23,395.2,396.5,392.6,395.6,4205
1997/01/24,397.1,398,396.6,397.7,1860
1997/01/27,397.1,399.6,397.1,399.4,1890
1997/01/28,399.1,399.1,395.3,395.6,2596
1997/01/29,393.3,395.1,393.1,393.9,1441
1997/01/30,391.6,392.6,389,390.5,2256
1997/01/31,390.6,391.6,386.1,387.6,3208
1997/02/03,388.1,390.8,387.6,390.5,1240
1997/02/04,390.6,392.5,389.6,390,1925
1997/02/05,389.6,391.5,389.1,391.2,3205
1997/02/06,391.1,391.6,389.1,389.7,2231
1997/02/07,388.6,391.5,387.6,391,2791
1997/02/10,390.6,395.9,390.1,394.6,3451
1997/02/11,393.1,395,392.1,393.9,3185
1997/02/12,393.9,411.6,393.2,406.9,14007
1997/02/13,408.1,409.1,404.6,404.7,3443
1997/02/14,406.6,407.6,402.9,407.1,2181
1997/02/18,408.1,409.6,404.6,406.5,2747
1997/02/19,406.6,407.1,403.6,404.3,2000
1997/02/20,403.1,409.1,401.1,407,3680
1997/02/21,408.6,410.6,407.1,409.1,3116
1997/02/24,410.3,414.6,410.1,413,3303
1997/02/25,413,417.1,410.6,416.9,4530
1997/02/26,416.9,423.1,416.1,421.8,8233
1997/02/27,432.1,434.9,425.6,431.4,8728
1997/02/28,435.1,436.1,424.1,431.5,4362
1997/03/03,430.3,431.6,425.6,426.9,3441
1997/03/04,425.1,426.6,423.1,424.4,2360
1997/03/05,421.1,421.6,415.6,419.2,3835
1997/03/06,418.6,424.1,418.1,421.4,3678
1997/03/07,419.6,422,413.1,413.6,3022
1997/03/10,415.1,418.6,414.6,418.6,1189
1997/03/11,422.6,424.1,419.6,421.7,2776
1997/03/12,420.8,421.6,417.6,419.2,2255
1997/03/13,419.3,423.9,417.7,421.3,1877
1997/03/14,421.1,423,418.6,419.1,2182
1997/03/17,419.1,419.6,416.1,416.7,1360
1997/03/18,415.6,415.6,408.1,413.3,5681
1997/03/19,412.6,418.1,411.1,417.7,3112
1997/03/20,419.4,421.1,416.1,416.8,2433
1997/03/21,415.6,418.5,414.1,417.4,2312
1997/03/24,414.1,414.1,412.6,413.6,2060
1997/03/25,413.6,414.6,409.6,410.6,4157
1997/03/26,409.8,413.1,409.1,412.3,5227
1997/03/27,410.7,411.7,408.4,409,3977
1997/03/31,408.7,409,402.7,404.5,6476
1997/04/01,404.2,409.1,404.2,408.4,3896
1997/04/02,406.7,408.4,402.3,403.9,2086
1997/04/03,403.7,404.7,398.7,401.1,3544
1997/04/04,400.2,400.7,396.2,397,3410
1997/04/07,398.2,403.2,397.4,400.7,2984
1997/04/08,403.2,403.2,400.4,401.5,815
1997/04/09,400.9,408.6,400.7,404.8,2026
1997/04/10,402.7,406.5,402.7,405.6,1367
1997/04/11,409.2,409.7,403.4,405.1,2078
1997/04/14,403.7,405.1,402.3,402.4,895
1997/04/15,401.3,401.7,396.7,399.7,2504
1997/04/16,399.2,405.1,398.7,404,1915
1997/04/17,404.7,416.7,403.7,410.6,9765
1997/04/18,409.7,411.7,406.7,409.4,2251
1997/04/21,411.2,413.7,411.2,412.7,1212
1997/04/22,412.2,413,407.7,408.6,956
1997/04/23,407.7,407.7,404.2,406.6,2061
1997/04/24,406,409.2,404.7,408,1622
1997/04/25,410.1,412.7,409.2,409.9,2378
1997/04/28,407.2,408.1,403.7,404.7,1371
1997/04/29,404.9,407.1,404.2,405.8,1593
1997/04/30,405.2,407.2,402.3,402.8,2040
1997/05/01,404.2,406.8,402.7,406.3,2233
1997/05/02,405.7,406.2,403.2,403.3,750
1997/05/05,403.2,405.7,401.2,405.3,1335
1997/05/06,406.2,407,403.7,405.2,1174
1997/05/07,405.7,406.2,402.7,405.1,1272
1997/05/08,407,411.7,406.5,411.7,3194
1997/05/09,414.2,422,413.7,421.6,5413
1997/05/12,422.7,429.7,421.7,423.3,6167
1997/05/13,420.2,426.7,419.2,424.1,3618
1997/05/14,425.7,427.2,424.7,426,1624
1997/05/15,426.7,429,424.2,426.1,1505
1997/05/16,425.7,425.7,421.7,423.4,1299
1997/05/19,420.2,425.1,417.7,423.4,2353
1997/05/20,423.4,430.1,423.4,428.2,5056
1997/05/21,427.4,427.4,422.2,424.3,1723
1997/05/22,423.2,423.7,418.7,421.2,2965
1997/05/23,416.7,421.2,416.2,420.6,1828
1997/05/27,425.7,433.2,424.7,429.2,3743
1997/05/28,434.2,443.2,428.7,442.7,5433
1997/05/29,444.2,450.2,438.7,442.5,5358
1997/05/30,441,443.7,431.4,433.4,3308
1997/06/02,432.2,433.2,423.2,430.9,1869
1997/06/03,433.3,440.7,431.2,433.9,2665
1997/06/04,433.4,445.2,430.7,443.8,1963
1997/06/05,449.2,468.8,448.2,468.8,3092
1997/06/06,476.2,506,474.4,487.1,4476
1997/06/09,488.8,489.2,479.2,483.3,1482
1997/06/10,472.2,474.2,462.3,471.1,2956
1997/06/11,476.2,481,467.2,476,2424
1997/06/12,465.2,467.2,461.2,465.3,1287
1997/06/13,461.2,472.2,456.2,458.5,3131
1997/06/16,458.2,461.2,447.2,456.1,3388
1997/06/17,449.2,451.2,441,443.3,1767
1997/06/18,439.2,442,435.2,439.1,2536
1997/06/19,442.2,445.7,438.2,444.9,1956
1997/06/20,445.2,454.9,445.2,447.4,2533
1997/06/23,447.7,450.7,445.2,447.4,1266
1997/06/24,444.7,444.7,432.8,441.6,2577
1997/06/25,441.2,448.7,440.7,443.7,2113
1997/06/26,447.2,449.7,442.4,445.2,1744
1997/06/27,443.4,447.2,442.3,444.7,1789
1997/06/30,444.7,454.7,444.7,451,1997
1997/07/01,455.2,460.2,448.7,450.1,1765
1997/07/02,445.2,448.7,441.2,444.9,1548
1997/07/03,446.2,446.7,442.3,442.9,751
