Date,Open,High,Low,Close,Vol
1994/11/2,29.462,29.587,29.462,29.493,2064
1994/11/3,29.837,29.868,29.618,29.649,921
1994/11/4,30.149,30.212,29.868,29.962,2162
1994/11/7,29.681,29.743,29.681,29.743,632
1994/11/8,30.056,30.118,29.993,30.087,2097
1994/11/9,30.587,30.587,30.399,30.431,2277
1994/11/10,30.556,30.587,30.306,30.337,2801
1994/11/11,30.368,30.399,30.274,30.399,539
1994/11/14,30.681,30.806,30.587,30.587,2079
1994/11/15,31.056,31.118,30.899,30.899,1580
1994/11/16,31.181,31.306,31.118,31.181,1595
1994/11/17,30.837,30.868,30.743,30.774,1699
1994/11/18,31.368,31.431,31.243,31.243,1651
1994/11/21,31.368,31.431,31.337,31.337,1408
1994/11/22,31.556,31.618,31.493,31.556,923
1994/11/23,32.243,32.399,32.181,32.181,1653
1994/11/24,32.274,32.399,32.274,32.368,1000
1994/11/25,32.149,32.181,32.024,32.056,1018
1994/11/28,32.462,32.556,32.431,32.524,2227
1994/11/29,31.649,31.962,31.524,31.555,760
1994/11/30,31.993,31.993,31.962,31.962,1184
1994/12/1,31.868,32.055,31.868,32.055,730
1994/12/2,31.743,31.868,31.712,31.837,1530
1994/12/5,31.462,31.493,31.337,31.337,1742
1994/12/6,31.055,31.149,31.024,31.149,1697
1994/12/7,31.368,31.462,31.368,31.43,1614
1994/12/8,31.43,31.555,31.399,31.493,2378
1994/12/9,32.118,32.118,31.962,32.055,1559
1994/12/12,31.618,31.649,31.524,31.587,1133
1994/12/13,31.18,31.212,30.962,30.993,1679
1994/12/14,31.805,31.805,31.524,31.555,1383
1994/12/15,31.837,31.837,31.68,31.743,1189
1994/12/16,31.805,31.868,31.649,31.774,436
1994/12/19,31.962,32.024,31.93,31.962,793
1994/12/20,31.837,31.837,31.743,31.805,183
1994/12/21,32.024,32.243,31.993,32.243,346
1994/12/22,31.93,31.962,31.805,31.805,387
1994/12/23,31.805,31.993,31.774,31.899,1867
1994/12/28,32.118,32.399,32.055,32.087,3990
1994/12/29,31.962,31.962,30.087,30.118,28549
1994/12/30,30.055,30.462,29.805,30.368,16089
1995/1/3,29.868,29.962,29.712,29.93,366
1995/1/4,30.337,30.399,30.274,30.368,529
1995/1/5,30.149,30.212,30.055,30.087,1842
1995/1/6,30.743,30.837,30.712,30.774,706
1995/1/9,30.274,30.274,30.024,30.055,2935
1995/1/10,30.305,30.305,30.274,30.274,830
1995/1/11,30.368,30.399,30.337,30.399,663
1995/1/12,30.43,30.649,30.399,30.649,2003
1995/1/13,31.024,31.055,30.899,30.899,3248
1995/1/16,30.993,30.993,30.93,30.962,655
1995/1/17,30.837,30.868,30.774,30.805,1672
1995/1/18,30.837,30.899,30.805,30.868,1942
1995/1/19,30.899,30.93,30.743,30.805,1864
1995/1/20,30.649,30.774,30.649,30.712,569
1995/1/23,30.274,30.368,30.243,30.305,1134
1995/1/24,30.305,30.305,30.087,30.18,921
1995/1/25,30.337,30.587,30.337,30.524,1372
1995/1/26,30.93,31.118,30.899,31.087,401
1995/1/27,31.368,31.43,31.337,31.43,1161
1995/1/30,31.274,31.337,31.274,31.274,1208
1995/1/31,31.587,31.587,31.493,31.587,1443
1995/2/1,31.743,31.868,31.743,31.805,1376
1995/2/2,31.68,31.774,31.587,31.68,1683
1995/2/3,31.368,31.649,31.368,31.618,1873
1995/2/6,31.462,31.555,31.43,31.43,1345
1995/2/7,32.212,32.399,32.18,32.368,1461
1995/2/8,32.087,32.149,32.055,32.118,1345
1995/2/9,32.18,32.18,32.087,32.118,1344
1995/2/10,31.337,31.43,31.243,31.305,3358
1995/2/13,30.618,30.712,30.618,30.649,1517
1995/2/14,30.649,30.805,30.618,30.743,1501
1995/2/15,31.524,31.743,31.493,31.649,5107
1995/2/16,31.305,31.43,31.212,31.305,1252
1995/2/17,31.18,31.274,31.18,31.212,624
1995/2/20,30.962,30.993,30.962,30.993,562
1995/2/21,30.68,30.712,30.649,30.68,1718
1995/2/22,31.087,31.243,31.087,31.18,2444
1995/2/23,31.837,31.837,31.618,31.743,3873
1995/2/24,30.962,31.024,30.805,30.899,4297
1995/2/27,31.024,31.18,31.024,31.18,611
1995/2/28,31.211,31.243,31.18,31.18,445
1995/3/1,31.899,31.93,31.836,31.836,984
1995/3/2,31.68,31.68,31.461,31.493,2475
1995/3/3,31.243,31.274,31.18,31.243,2133
1995/3/6,30.899,30.899,30.68,30.711,3288
1995/3/7,29.618,29.774,29.586,29.68,2618
1995/3/8,30.368,30.68,30.368,30.618,1902
1995/3/9,30.399,30.461,30.336,30.399,1115
1995/3/10,30.743,30.899,30.743,30.899,1338
1995/3/13,30.805,30.961,30.805,30.93,1054
1995/3/14,31.868,31.93,31.774,31.93,1073
1995/3/15,32.086,32.305,32.024,32.305,1281
1995/3/16,32.68,32.899,32.68,32.836,1542
