Date,Open,High,Low,Close,Vol
2010/3/30,7981.51,7981.51,7981.51,7981.51,0
2010/8/20,8026.51,8061.51,7971.51,7981.51,92
2010/8/23,8006.51,8076.51,7946.51,8036.51,5
2010/8/24,8006.51,8041.51,7871.51,7956.51,952
2010/8/25,7931.51,7951.51,7786.51,7786.51,752
2010/8/26,7891.51,7891.51,7751.51,7776.51,545
2010/8/27,7801.51,7846.51,7711.51,7766.51,1158
2010/8/30,7851.51,7851.51,7851.51,7851.51,1
2010/8/31,7851.51,7851.51,7766.51,7791.51,265
2010/9/1,7816.51,7906.51,7736.51,7791.51,1346
2010/9/2,7886.51,7906.51,7856.51,7876.51,621
2010/9/3,7861.51,7896.51,7806.51,7861.51,874
2010/9/6,8571.51,8671.51,7921.51,8096.51,1248
2010/9/7,8071.51,8111.51,8021.51,8056.51,1639
2010/9/8,8006.51,8021.51,7941.51,7976.51,796
2010/9/9,8006.51,8006.51,7791.51,7811.51,1164
2010/9/10,7881.51,7881.51,7721.51,7761.51,1387
2010/9/13,7806.51,7866.51,7736.51,7821.51,993
2010/9/14,7861.51,7896.51,7806.51,7826.51,722
2010/9/15,7631.51,7671.51,7631.51,7671.51,10
2010/9/16,7631.51,7756.51,7436.51,7531.51,2562
2010/9/17,7541.51,7551.51,7476.51,7506.51,1700
2010/9/20,7511.51,7571.51,7451.51,7506.51,1051
2010/9/21,7556.51,7576.51,7511.51,7511.51,1466
2010/9/22,7556.51,7576.51,7511.51,7511.51,1466
2010/9/23,7556.51,7576.51,7511.51,7511.51,0
2010/9/24,7556.51,7576.51,7511.51,7511.51,0
2010/9/27,7576.51,7576.51,7516.51,7561.51,3064
2010/9/28,7561.51,7561.51,7466.51,7476.51,2877
2010/9/29,7531.51,7581.51,7456.51,7486.51,3454
2010/9/30,7516.51,7706.51,7426.51,7701.51,4222
2010/10/1,7516.51,7706.51,7426.51,7701.51,4212
2010/10/4,7516.51,7706.51,7426.51,7701.51,0
2010/10/5,7516.51,7706.51,7426.51,7701.51,0
2010/10/6,7516.51,7706.51,7426.51,7701.51,0
2010/10/7,7516.51,7706.51,7426.51,7701.51,0
2010/10/8,7816.51,8371.51,7756.51,8016.51,4422
2010/10/11,8081.51,8456.51,8026.51,8376.51,6456
2010/10/12,8211.51,8546.51,8211.51,8446.51,4984
2010/10/13,8486.51,8596.51,8446.51,8596.51,4648
2010/10/14,8631.51,8916.51,8631.51,8741.51,4115
2010/10/15,8686.51,9116.51,8666.51,9106.51,3598
2010/10/18,9186.51,9551.51,9051.51,9086.51,5702
2010/10/19,9111.51,9226.51,8986.51,9216.51,4651
2010/10/20,9016.51,9471.51,9016.51,9356.51,5377
2010/10/21,9401.51,9401.51,9096.51,9181.51,5503
2010/10/22,9116.51,9226.51,9041.51,9116.51,1
2010/10/25,9386.51,9386.51,9386.51,9386.51,1
2010/10/26,9386.51,9426.51,9171.51,9211.51,10051
2010/10/27,9016.51,9016.51,9011.51,9016.51,8
2010/10/28,9001.51,9041.51,9001.51,9041.51,6
2010/10/29,8896.51,9041.51,8816.51,8866.51,6
2010/11/1,9196.51,9196.51,8971.51,8971.51,12
2010/11/2,9096.51,9126.51,8751.51,9026.51,20
2010/11/3,9186.51,9186.51,9186.51,9186.51,1
2010/11/4,9251.51,9281.51,9251.51,9281.51,3
2010/11/5,9251.51,9481.51,9251.51,9321.51,5778
2010/11/8,9376.51,9376.51,9201.51,9201.51,28
2010/11/9,9376.51,9376.51,9156.51,9211.51,3471
2010/11/10,9181.51,9181.51,8926.51,8991.51,5876
2010/11/11,9041.51,9216.51,8951.51,9096.51,3219
2010/11/12,9071.51,9081.51,8551.51,8551.51,8705
2010/11/15,8576.51,8576.51,8576.51,8576.51,1
2010/11/16,8161.51,8161.51,8156.51,8156.51,12
2010/11/17,7951.51,7951.51,7946.51,7946.51,2
2010/11/18,8141.51,8141.51,8141.51,8141.51,1
2010/11/19,8051.51,8206.51,7901.51,8051.51,3
2010/11/22,8051.51,8201.51,8051.51,8101.51,8236
2010/11/23,7851.51,7861.51,7851.51,7861.51,2
2010/11/24,8111.51,8241.51,8111.51,8241.51,6
2010/11/25,8111.51,8241.51,7956.51,8151.51,14514
2010/11/26,7546.51,8146.51,7546.51,7546.51,2
2010/11/29,7646.51,7646.51,7646.51,7646.51,1
2010/11/30,7646.51,7671.51,7286.51,7446.51,7606
2010/12/1,7511.51,7511.51,7511.51,7511.51,1
2010/12/2,7511.51,7656.51,7511.51,7556.51,2977
2010/12/3,7681.51,7681.51,7511.51,7556.51,1953
2010/12/6,7591.51,7591.51,7591.51,7591.51,1
2010/12/7,7686.51,7796.51,7686.51,7776.51,22
2010/12/8,7516.51,7516.51,7516.51,7516.51,1
2010/12/9,7516.51,7616.51,7426.51,7491.51,4297
2010/12/10,7456.51,7586.51,7446.51,7521.51,4601
2010/12/13,7561.51,7786.51,7541.51,7786.51,5861
2010/12/14,7841.51,7841.51,7746.51,7806.51,3016
2010/12/15,6751.51,7616.51,6751.51,7616.51,33
2010/12/16,6751.51,7696.51,6751.51,7586.51,1535
2010/12/17,7611.51,7621.51,7546.51,7576.51,1823
2010/12/20,7656.51,7671.51,7291.51,7441.51,4000
2010/12/21,7626.51,7626.51,7626.51,7626.51,25
2010/12/22,7626.51,7646.51,7476.51,7521.51,4998
2010/12/23,7566.51,7621.51,7441.51,7466.51,6000
2010/12/24,7421.51,7506.51,7366.51,7431.51,5084
2010/12/27,7256.51,7256.51,7256.51,7256.51,100
2010/12/28,7256.51,7341.51,7166.51,7181.51,9682
2010/12/29,7156.51,7186.51,7116.51,7156.51,8117
2010/12/30,7046.51,7046.51,7046.51,7046.51,50
2010/12/31,7046.51,7236.51,7046.51,7191.51,1636
2011/1/3,7251.51,7271.51,7251.51,7271.51,3
2011/1/4,7461.51,7461.51,7461.51,7461.51,1
2011/1/5,7271.51,7371.51,7271.51,7371.51,22
2011/1/6,7236.51,7241.51,7206.51,7206.51,75
2011/1/7,7321.51,7466.51,7201.51,7321.51,2
2011/1/10,7321.51,7431.51,7216.51,7221.51,4359
2011/1/11,7281.51,7306.51,7226.51,7301.51,14
2011/1/12,7281.51,7381.51,7226.51,7376.51,8867
2011/1/13,7416.51,7436.51,7351.51,7386.51,3899
2011/1/14,7276.51,7371.51,7251.51,7276.51,1
2011/1/17,6996.51,6996.51,6996.51,6996.51,20
2011/1/18,6961.51,6981.51,6961.51,6981.51,12
2011/1/19,7116.51,7201.51,7071.51,7071.51,115
