Date,Open,High,Low,Close,Vol
1998/09/07,34.96,46.86,34.96,45.06,181
1998/09/08,45.46,46.96,39.46,41.36,115
1998/09/09,44.46,46.36,39.96,40.15,91
1998/09/10,42.76,43.96,38.96,39.15,217
1998/09/11,37.46,38.76,34.96,37.96,12
1998/09/14,39.96,40.86,38.76,39.56,129
1998/09/15,40.96,45.46,40.46,43.76,181
1998/09/16,44.46,53.36,43.96,51.96,130
1998/09/17,53.96,53.96,45.96,47.96,237
1998/09/18,45.46,46.46,43.96,45.26,204
1998/09/21,44.46,44.76,39.06,40.46,164
1998/09/22,41.46,43.96,40.76,42.15,69
1998/09/23,42.46,43.36,41.46,43.36,168
1998/09/24,44.46,47.76,44.46,46.96,175
1998/09/25,42.46,47.46,41.96,47.46,80
1998/09/28,46.96,51.76,46.96,51.76,68
1998/09/29,51.86,52.86,49.76,51.96,118
1998/09/30,50.46,50.96,49.76,50.46,113
1998/10/01,47.06,50.96,47.06,47.46,176
1998/10/02,44.46,46.26,44.46,45.26,85
1998/10/05,47.26,47.26,44.06,44.96,133
1998/10/06,44.96,46.15,44.36,46.15,260
1998/10/07,46.96,51.86,46.86,51.06,287
1998/10/08,49.96,55.96,49.96,55.76,221
1998/10/09,54.46,58.96,54.15,57.06,195
1998/10/12,60.96,65.96,60.65,62.06,293
1998/10/13,64.96,65.96,59.96,63.46,121
1998/10/14,63.46,63.46,59.26,60.26,345
1998/10/15,63.96,67.26,60.26,66.96,345
1998/10/16,72.26,84.46,72.26,83.96,345
1998/10/20,85.96,87.86,79.16,80.36,159
1998/10/21,81.16,83.96,81.16,83.46,164
1998/10/22,84.46,84.96,77.06,79.76,176
1998/10/23,79.36,79.36,73.16,78.76,118
1998/10/26,75.96,78.16,75.26,76.16,269
1998/10/27,76.96,83.96,76.66,83.96,242
1998/10/28,84.46,88.46,82.06,88.36,337
1998/10/29,87.56,89.36,86.76,88.76,352
1998/10/30,86.56,93.46,86.56,90.16,195
1998/11/02,90.06,94.96,90.06,94.06,276
1998/11/03,98.26,100.06,93.06,93.76,304
1998/11/04,93.56,102.26,91.56,102.06,293
1998/11/05,102.56,107.56,97.76,99.26,406
1998/11/06,99.76,102.36,96.06,97.46,232
1998/11/09,97.46,97.56,90.56,91.56,559
1998/11/10,87.56,88.06,82.06,84.16,385
1998/11/11,86.06,93.16,84.36,93.16,375
1998/11/12,91.56,94.26,84.86,85.16,521
1998/11/13,84.06,89.96,84.06,87.56,509
1998/11/16,89.56,94.56,88.56,94.16,629
1998/11/17,95.56,95.86,89.56,93.86,436
1998/11/18,97.06,101.86,96.36,101.76,385
1998/11/19,103.06,111.06,100.26,110.76,519
1998/11/20,110.76,117.16,110.76,114.06,315
1998/11/23,114.56,119.06,114.56,117.66,339
1998/11/24,121.06,127.06,121.06,125.36,619
1998/11/25,120.56,122.16,116.56,117.76,421
1998/11/26,119.36,120.56,118.06,118.86,302
1998/11/27,118.46,121.46,116.16,121.16,360
1998/11/30,121.16,127.36,121.16,123.66,504
1998/12/01,117.96,118.86,111.96,113.16,258
1998/12/02,116.46,118.06,113.96,114.06,419
1998/12/03,112.16,113.16,108.96,108.96,412
1998/12/04,105.96,113.46,103.06,112.56,338
1998/12/07,115.96,119.46,115.96,117.86,248
1998/12/08,119.46,121.76,118.86,119.16,364
1998/12/09,116.96,126.56,116.46,126.56,484
1998/12/10,129.96,132.46,124.26,124.86,520
1998/12/11,121.46,122.66,117.56,118.26,504
1998/12/14,122.96,122.96,113.96,115.46,533
1998/12/15,112.46,116.96,111.16,116.86,568
1998/12/16,120.96,120.96,112.96,114.36,432
1998/12/17,111.46,116.56,109.96,115.66,411
1998/12/18,118.46,123.36,116.46,123.16,158
1998/12/21,125.56,125.56,118.96,120.16,411
1998/12/22,123.96,126.96,121.96,124.96,271
1998/12/23,125.46,125.46,121.46,121.76,134
1998/12/24,124.46,124.76,122.96,123.86,0
1998/12/28,124.06,124.26,121.16,121.96,327
1998/12/29,119.96,122.46,119.46,121.36,329
1998/12/30,123.76,123.76,120.46,120.86,29
1998/12/31,121.46,121.46,120.66,121.06,291
1999/01/04,121.16,124.26,120.66,121.36,283
1999/01/05,121.46,121.46,114.96,115.06,523
1999/01/06,119.26,126.76,117.06,126.56,844
1999/01/07,130.26,136.76,130.26,133.36,578
1999/01/08,132.06,136.56,131.86,136.26,555
1999/01/11,138.16,138.16,131.56,132.66,337
1999/01/12,132.26,133.66,129.36,133.26,519
1999/01/13,129.76,132.96,127.36,127.76,765
1999/01/14,126.76,127.66,123.76,124.16,620
1999/01/15,120.26,128.26,118.76,127.96,657
1999/01/18,131.46,136.16,131.46,135.96,0
1999/01/20,136.26,139.86,135.56,138.76,656
1999/01/21,138.96,138.96,128.16,128.36,662
1999/01/22,122.26,127.16,122.26,125.26,891
1999/01/25,120.26,123.26,114.76,115.16,751
1999/01/26,120.26,122.56,115.26,118.26,581
1999/01/27,122.46,122.76,119.16,121.86,559
1999/01/28,117.86,119.16,114.86,115.06,554
1999/01/29,119.86,119.86,116.36,116.56,460
1999/02/01,118.36,118.56,112.56,113.66,579
1999/02/02,112.36,116.56,110.36,110.46,697
1999/02/03,108.36,110.36,106.56,107.36,507
1999/02/04,110.36,111.16,106.86,111.16,659
1999/02/05,108.96,110.46,105.66,106.56,473
1999/02/08,105.86,105.86,103.36,104.86,551
1999/02/09,103.96,103.96,100.36,100.86,831
1999/02/10,97.86,98.36,92.46,94.36,1291
1999/02/11,95.86,104.26,95.86,103.86,1001
1999/02/12,108.36,111.16,105.16,107.36,151
1999/02/15,105.16,106.46,103.36,106.36,0
1999/02/18,106.36,106.36,100.36,100.76,905
1999/02/19,102.16,107.16,100.16,106.76,859
1999/02/22,105.86,114.46,104.26,112.16,916
1999/02/23,117.36,117.86,113.06,113.36,954
1999/02/24,111.36,118.86,111.36,118.36,574
1999/02/25,115.26,121.66,115.26,121.06,555
1999/02/26,120.16,122.86,117.76,117.96,541
1999/03/01,117.86,122.26,116.56,121.76,461
1999/03/02,121.26,122.26,119.06,120.46,228
1999/03/03,119.96,121.56,118.86,120.06,350
1999/03/04,119.76,122.56,118.86,122.56,800
1999/03/05,128.76,128.76,125.06,125.86,604
1999/03/08,130.26,130.76,121.96,122.46,429
1999/03/09,122.26,123.36,120.06,122.36,312
1999/03/10,121.76,126.86,121.66,126.36,597
1999/03/11,127.76,128.36,124.56,125.26,486
1999/03/12,123.36,128.76,123.36,128.66,506
1999/03/15,127.76,130.96,126.66,130.76,0
1999/03/17,128.76,128.76,125.56,125.56,722
1999/03/18,124.96,127.16,123.06,124.36,640
1999/03/19,124.76,126.76,123.06,125.46,631
1999/03/22,124.76,126.06,122.96,125.36,449
1999/03/23,125.26,126.16,124.06,124.46,521
