Date,Open,High,Low,Close,Vol
2000/09/26,1267,1267,1226,1232,73
2000/09/27,1227.5,1241.5,1215,1227.5,6
2000/09/28,1244,1249,1231.5,1231.5,23
2000/09/29,1266.5,1270,1239,1247,0
2000/10/03,1229,1254,1187,1250,10
2000/10/04,1261.5,1262,1261.5,1262,60
2000/10/05,1269,1271,1249,1251,252
2000/10/06,1233,1253,1224.5,1252,142
2000/10/09,1249,1257,1214,1245.5,59
2000/10/10,1232.5,1232.5,1189,1194,37
2000/10/11,1126.5,1127.5,1095.5,1109.5,3
2000/10/12,1144,1154.5,1049,1148,227
2000/10/13,1131.5,1143,1119,1119,0
2000/10/16,1120,1120,1120,1120,0
2000/10/17,1116.5,1116.5,1116.5,1116.5,0
2000/10/18,1096,1096,1096,1096,1
2000/10/19,1099,1134,1099,1134,10
2000/10/20,1164,1164,1154,1154,152
2000/10/23,1169,1177.5,1124,1135,0
2000/10/24,1146,1146,1146,1146,105
2000/10/25,1164,1164,1164,1164,0
2000/10/27,1160,1160,1160,1160,0
2000/10/30,1148.5,1148.5,1148.5,1148.5,0
2000/10/31,1154,1154,1154,1154,1
2000/11/01,1198,1198,1182,1182,0
2000/11/02,1206,1206,1206,1206,0
2000/11/03,1223,1223,1223,1223,0
2000/11/06,1221,1221,1221,1221,0
2000/11/07,1227.5,1227.5,1227.5,1227.5,50
2000/11/08,1265,1265.5,1265,1265,735
2000/11/09,1235,1250,1233,1236.5,925
2000/11/10,1230,1230,1211.5,1217.5,680
2000/11/13,1187,1193,1180,1180.5,669
2000/11/14,1210,1248.5,1203,1248.5,913
2000/11/15,1254.5,1254.5,1222,1222,747
2000/11/16,1222,1231,1201.5,1202,378
2000/11/17,1203,1215,1198.5,1215,658
2000/11/20,1210,1225,1204,1207.5,31
2000/11/21,1215,1215,1205,1205,215
2000/11/22,1214.5,1217.5,1203.5,1203.5,819
2000/11/23,1199.5,1211.5,1195,1200,1050
2000/11/24,1210,1214.5,1203.5,1211,0
2000/11/27,1238.5,1238.5,1238.5,1238.5,0
2000/11/28,1258.5,1258.5,1258.5,1258.5,58
2000/11/29,1252,1252,1246,1249.5,824
2000/11/30,1236.5,1250,1235.5,1245,551
2000/12/01,1239.5,1260.5,1234.5,1255.5,86
2000/12/04,1261.5,1266.5,1256,1266.5,0
2000/12/05,1275.5,1275.5,1275.5,1275.5,0
2000/12/06,1286.5,1286.5,1286.5,1286.5,9
2000/12/07,1275.5,1278.5,1275.5,1278.5,27
2000/12/08,1286.5,1292,1286.5,1290.5,232
2000/12/11,1306.5,1318,1305.5,1314.5,288
2000/12/12,1331.5,1334,1315,1319,108
2000/12/13,1346.5,1348.5,1328,1338.5,418
2000/12/14,1339,1350,1333.5,1333.5,606
2000/12/15,1329.5,1330.5,1296.5,1306,396
2000/12/18,1306,1306,1277,1299.5,1163
2000/12/19,1303.5,1303.5,1289,1292,659
2000/12/20,1296.5,1296.5,1277.5,1286,917
2000/12/21,1268.5,1270.5,1257.5,1269,489
2000/12/22,1271.5,1278,1231.5,1238.5,0
2000/12/26,1206.5,1206.5,1206.5,1206.5,4
2000/12/27,1205.5,1241,1205.5,1230,205
2000/12/28,1239,1241,1238,1241,1541
2000/12/29,1226.5,1263,1226.5,1263,8
2001/01/02,1272.5,1286,1272.5,1286,80
2001/01/03,1285.5,1288.5,1272,1287.5,8
2001/01/04,1326.5,1331,1321.5,1321.5,43
2001/01/05,1311.5,1323,1310,1320.5,6
2001/01/08,1318.5,1318.5,1311,1311,0
2001/01/09,1313.5,1313.5,1313.5,1313.5,17
2001/01/10,1287.5,1296.5,1287.5,1291.5,0
2001/01/11,1291,1291,1291,1291,0
2001/01/12,1284.5,1284.5,1284.5,1284.5,0
2001/01/15,1284.5,1284.5,1284.5,1284.5,22
2001/01/16,1294.5,1300.5,1294.5,1297,0
2001/01/17,1301.5,1301.5,1301.5,1301.5,1
2001/01/18,1296.5,1296.5,1296.5,1296.5,0
2001/01/19,1306.5,1322,1306.5,1306.5,0
2001/01/22,1341.5,1341.5,1341.5,1341.5,0
2001/01/23,1354.5,1354.5,1354.5,1354.5,0
2001/01/24,1365.5,1365.5,1365.5,1365.5,0
2001/01/25,1373,1373,1373,1373,0
2001/01/29,1336.5,1351.5,1336.5,1347.5,8
2001/01/30,1356,1361.5,1356,1361.5,0
