Date,Open,High,Low,Close,Vol
1998/01/14,12910,12930,12865,12930,0
1998/01/16,12850,13895,12840,13850,0
1998/01/19,14010,14300,13940,14020,0
1998/01/20,13910,14240,13850,14150,0
1998/01/21,14510,14565,14325,14480,0
1998/01/22,14260,14510,14180,14190,0
1998/01/23,14260,14845,14225,14580,0
1998/01/26,14700,15190,14660,14855,0
1998/01/27,14910,14930,14675,14795,0
1998/01/28,14970,15090,14680,14790,0
1998/01/30,14780,14790,14350,14475,0
1998/02/02,14600,14760,14450,14605,0
1998/02/03,15250,15260,14740,14800,0
1998/02/04,14855,14880,14570,14720,0
1998/02/05,14470,14920,14470,14795,0
1998/02/06,14810,14920,14750,14910,0
1998/02/09,15060,15140,14805,14995,0
1998/02/10,15130,15130,14930,14980,0
1998/02/12,15040,15060,14835,14965,0
1998/02/13,14840,14900,14455,14485,0
1998/02/16,14490,14555,14330,14535,0
1998/02/17,14420,14650,14290,14595,0
1998/02/18,14530,14650,14405,14455,0
1998/02/19,14380,14650,14310,14320,0
1998/02/20,14305,14590,14250,14500,0
1998/02/23,14330,14480,14330,14390,0
1998/02/24,14360,14375,13880,13950,0
1998/02/25,13980,14155,13665,14090,0
1998/02/26,14150,14310,14010,14260,0
1998/02/27,14460,14890,14405,14785,0
1998/03/02,14770,15070,14770,14985,0
1998/03/03,14860,15080,14830,14875,0
1998/03/04,14880,14990,14770,14800,0
1998/03/05,14740,14750,14510,14585,0
1998/03/06,14580,14980,14580,14950,0
1998/03/09,14985,15170,14710,14750,0
1998/03/10,14730,14870,14680,14765,0
1998/03/11,14655,14735,14505,14570,0
1998/03/12,14605,14605,14325,14435,0
1998/03/13,14435,14935,14275,14760,0
1998/03/16,14735,14805,14530,14640,0
1998/03/17,14735,14865,14585,14785,0
1998/03/18,14845,14870,14255,14405,0
1998/03/19,14435,14575,13835,14515,0
1998/03/20,14395,14685,14205,14575,0
1998/03/23,14615,14835,14515,14640,0
1998/03/24,14555,14595,14305,14395,0
1998/03/25,14505,14755,14235,14275,0
1998/03/26,14495,15295,14445,14700,0
1998/03/27,14805,14925,14545,14680,0
1998/03/30,14555,14905,13885,13925,0
1998/03/31,13995,14375,13985,14115,0
1998/04/01,13855,14225,13855,13925,0
1998/04/02,13785,13995,13455,13560,0
1998/04/03,13515,13745,13265,13325,0
1998/04/06,13435,13585,13285,13510,0
1998/04/07,13565,13865,13385,13810,0
1998/04/08,13795,14300,13755,14180,0
1998/04/09,14355,14460,14075,14395,0
1998/04/10,14335,14335,14065,14265,0
1998/04/13,14275,14285,14095,14155,0
1998/04/14,14105,14275,13985,14130,0
1998/04/15,14135,14235,14115,14140,0
1998/04/16,14165,14280,13625,13655,0
1998/04/17,13585,13675,13275,13540,0
1998/04/20,13515,13605,13405,13600,0
1998/04/21,13585,13755,13405,13630,0
1998/04/22,13615,13620,13385,13525,0
1998/04/23,13575,13725,13440,13505,0
1998/04/24,13585,14020,13555,13835,0
1998/04/27,13655,13675,13365,13420,0
1998/04/28,13255,13390,13100,13185,0
1998/04/30,13290,13405,13265,13360,0
1998/05/01,13485,13485,13225,13360,0
1998/05/06,13305,13345,12865,12955,0
1998/05/07,12875,12990,12775,12935,0
1998/05/08,12880,13005,12835,12925,0
1998/05/11,13015,13205,12995,13130,0
1998/05/12,13155,13215,13050,13080,0
1998/05/13,12965,13155,12925,13135,0
1998/05/14,13075,13225,12935,12970,0
1998/05/15,12995,13175,12945,13025,0
1998/05/18,14025,14045,12825,13190,0
1998/05/19,13155,13570,13085,13495,0
1998/05/20,13465,13565,13350,13445,0
1998/05/21,13505,13790,13495,13650,0
1998/05/22,13705,13745,13505,13550,0
1998/05/25,13515,13625,13495,13615,0
1998/05/26,13540,13725,13530,13675,0
1998/05/27,13585,13605,13330,13435,0
1998/05/28,13435,13700,13415,13550,0
1998/05/29,13505,13575,13365,13485,0
1998/06/01,13455,13510,13095,13145,0
1998/06/02,13145,13310,13120,13265,0
1998/06/03,13325,13335,13015,13135,0
1998/06/04,13145,13340,13045,13220,0
1998/06/05,13175,13205,13045,13130,0
1998/06/08,13135,13145,13035,13110,0
1998/06/09,13065,13325,13055,13300,0
1998/06/10,13305,13315,13045,13135,0
1998/06/11,13055,13075,12755,12880,0
1998/06/12,12775,12825,12565,12730,0
1998/06/15,12755,12755,12510,12530,0
1998/06/16,12395,12695,12360,12430,0
1998/06/17,12585,12655,12435,12570,0
1998/06/18,13605,13615,13090,13255,0
1998/06/19,13155,13165,12985,13150,0
1998/06/22,13065,13225,13035,13095,0
1998/06/23,13130,13130,12815,12880,0
1998/06/24,12905,13025,12765,12890,0
1998/06/25,12965,13005,12845,12930,0
1998/06/26,12875,13085,12705,13055,0
1998/06/29,12985,13195,12955,13165,0
1998/06/30,13220,13595,13220,13535,0
1998/07/01,13525,14245,13510,14205,0
1998/07/02,14305,14585,14205,14285,0
1998/07/03,14085,14455,14055,14310,0
1998/07/06,14115,14275,14115,14200,0
1998/07/07,14235,14345,14165,14285,0
1998/07/08,14385,14445,14290,14300,0
1998/07/09,14205,14305,14140,14240,0
1998/07/10,14165,14355,13805,13870,0
1998/07/13,13605,14155,13505,14095,0
1998/07/14,14095,14290,14085,14285,19947
1998/07/15,14415,14445,14195,14385,17019
1998/07/16,14385,14525,14255,14420,12473
1998/07/17,14485,14495,14325,14380,12473
1998/07/21,14375,14485,14145,14295,17115
1998/07/22,14225,14225,13935,13965,21451
1998/07/23,13960,14110,13845,13940,15771
1998/07/24,13845,14175,13785,14025,18466
1998/07/27,13975,14070,13665,13715,16046
1998/07/28,13755,13965,13705,13895,14930
1998/07/29,13805,14055,13785,13980,11823
1998/07/30,13875,14105,13855,13970,9820
1998/07/31,14045,14185,14045,14145,12340
1998/08/03,14065,14125,13855,13890,21321
1998/08/04,13815,13975,13725,13750,22192
1998/08/05,13675,13815,13575,13750,14454
1998/08/06,13865,13865,13595,13670,14908
1998/08/07,13725,13825,13565,13585,16169
1998/08/10,13595,13595,13335,13400,25959
1998/08/11,13385,13400,13055,13190,17745
1998/08/12,13005,13315,13005,13220,17035
1998/08/13,13165,13285,13010,13160,22118
1998/08/14,13140,13140,12805,12900,24953
1998/08/17,12900,12900,12375,12485,17704
1998/08/18,12690,12895,12600,12850,20327
1998/08/19,13005,13265,12945,13245,15263
1998/08/20,13185,13275,12980,13235,12897
1998/08/21,13095,13185,12985,13035,21168
1998/08/24,12825,12845,12625,12820,0
1998/08/25,12905,13025,12835,12885,11206
1998/08/26,12915,12925,12610,12650,33710
1998/08/27,12505,12585,12125,12200,32669
1998/08/28,11785,11935,11455,11500,30292
1998/08/31,11705,12015,11615,11865,30843
1998/09/01,11385,12235,11355,12165,34874
1998/09/02,12165,12390,12025,12160,26453
1998/09/03,12125,12210,11965,11980,17476
1998/09/04,11925,11975,11740,11825,49603
1998/09/07,11825,12765,11685,12725,42293
1998/09/08,12705,13125,12575,12690,33434
1998/09/09,12870,12950,12415,12520,25964
1998/09/10,12600,12740,12290,12300,26947
1998/09/11,12240,12250,11445,11635,17440
1998/09/14,11830,12210,11595,12175,17440
1998/09/16,12170,12220,11940,11965,15499
1998/09/17,12050,12085,11560,11695,15252
1998/09/18,11470,11830,11470,11755,18680
1998/09/21,11570,11640,11325,11415,15035
1998/09/22,11320,11690,11315,11640,15035
1998/09/24,11920,12130,11800,12115,15495
1998/09/25,11920,11925,11510,11640,16993
1998/09/28,11650,12000,11510,11795,17963
1998/09/29,11820,11835,11400,11635,22667
1998/09/30,11670,11800,11200,11245,26692
1998/10/01,11100,11410,10850,11010,20255
1998/10/02,10850,11180,10820,11090,19466
1998/10/05,11050,11070,10755,10775,16984
1998/10/06,10800,11110,10730,10815,30232
1998/10/07,10965,11740,10950,11720,28879
1998/10/08,11570,11570,10810,10900,27285
1998/10/09,10720,11210,10610,10760,30342
1998/10/12,10970,11465,10950,11345,26198
1998/10/13,11470,11500,11110,11185,22698
1998/10/14,11120,11350,10940,11015,16513
1998/10/15,11120,11140,10790,10890,16040
1998/10/16,11195,11320,11000,11120,30803
1998/10/19,11120,11680,11085,11435,22373
1998/10/20,11510,11850,11365,11780,28115
1998/10/21,12010,12290,11960,12140,27900
1998/10/22,12400,12670,12145,12165,20219
1998/10/23,12340,12410,11920,11925,17139
1998/10/26,11870,11910,11690,11765,18788
1998/10/27,11740,11960,11630,11755,16624
1998/10/28,11750,11800,11385,11465,18223
1998/10/29,11470,11625,11310,11580,21294
1998/10/30,11610,11750,11320,11385,16131
1998/11/02,11565,11870,11545,11865,0
1998/11/04,12360,12395,12205,12365,23559
1998/11/05,12570,12590,12065,12160,11619
1998/11/06,12265,12265,12000,12065,12263
1998/11/09,12160,12260,11950,12115,12002
1998/11/10,12050,12165,11930,12005,12839
1998/11/11,12000,12345,11940,12330,16875
1998/11/12,12310,12340,11960,12000,15659
1998/11/13,12070,12235,11860,12185,15506
1998/11/16,12250,12350,12075,12340,15979
1998/11/17,12400,12440,12120,12230,20211
1998/11/18,12200,12570,12180,12345,17121
1998/11/19,12390,12535,12180,12260,22116
1998/11/20,12480,12700,12410,12670,22116
1998/11/24,13030,13055,12790,13010,13714
1998/11/25,13020,13020,12800,12945,14525
1998/11/26,12990,13070,12910,13040,15218
1998/11/27,13100,13210,12930,13025,14974
1998/11/30,13040,13050,12760,12840,22105
1998/12/01,12610,12810,12600,12745,20490
1998/12/02,12770,12900,12645,12875,25525
1998/12/03,12750,12760,12450,12565,27574
1998/12/04,12430,12540,12420,12500,25227
1998/12/07,12590,12670,12545,12665,26008
1998/12/08,12660,12805,12630,12640,30331
1998/12/09,12550,12890,12550,12850,25122
1998/12/10,12790,12920,12590,12605,22828
1998/12/11,12660,12670,12230,12245,22291
1998/12/14,12310,12340,11930,11940,18521
1998/12/15,11880,12080,11820,11845,8182
1998/12/16,11920,12030,11880,11960,13729
1998/12/17,11930,12050,11780,12005,10375
1998/12/18,12070,12160,11940,12050,8270
1998/12/21,11980,12020,11860,11895,20251
1998/12/22,12060,12060,11485,11520,0
1998/12/24,11620,11650,11510,11630,5191
1998/12/25,11660,11820,11630,11780,7923
1998/12/28,11790,11790,11555,11600,6592
1998/12/29,11580,11750,11520,11730,4268
1998/12/30,11730,11790,11590,11605,0
1999/01/04,11570,11610,11240,11275,22035
1999/01/05,11250,11300,10970,11070,15725
1999/01/06,11160,11420,11070,11375,20247
1999/01/07,11565,11740,11355,11385,13040
1999/01/08,11350,11450,11185,11240,12823
1999/01/11,11180,11345,11080,11320,20297
1999/01/12,11055,11430,11035,11230,13929
1999/01/13,11250,11335,11170,11320,16144
1999/01/14,11170,11625,11160,11585,0
1999/01/15,11170,11625,11160,11585,19302
1999/01/18,11630,11830,11580,11655,16411
1999/01/19,11740,11790,11640,11715,15128
1999/01/20,11640,11885,11620,11855,22791
1999/01/21,11870,12230,11870,12190,19444
1999/01/22,12070,12310,11980,12025,11698
1999/01/25,12000,12150,11950,12050,16545
1999/01/26,12100,12405,12080,12240,13819
1999/01/27,12270,12430,12230,12350,15597
1999/01/28,12370,12420,12140,12175,18200
1999/01/29,12280,12580,12280,12565,13492
1999/02/01,12560,12570,12230,12335,16243
1999/02/02,12405,12405,12100,12120,12505
1999/02/03,12070,12105,11960,12075,17714
1999/02/04,12100,12150,11790,12030,19677
1999/02/05,11980,11980,11630,11675,16535
1999/02/08,11830,11935,11640,11930,13400
1999/02/09,11960,11960,11745,11785,14716
1999/02/10,11700,11870,11670,11845,0
1999/02/12,11930,11955,11760,11865,11377
1999/02/15,11810,12000,11810,11895,15509
