Date,Open,High,Low,Close,Vol
1998/05/05,184.8,186.1,179,179.4,0
1998/05/06,178.2,180,172.2,178.8,0
1998/05/07,177.6,181.1,175.9,176.8,0
1998/05/08,176.1,182.4,171.1,182.1,0
1998/05/09,176.1,182.4,171.1,181.2,0
1998/05/11,182.5,191.1,182.2,188.5,0
1998/05/12,187.5,197.6,178.6,181,0
1998/05/13,180.9,183.8,175.4,176.9,0
1998/05/14,177.1,180.2,175.1,176.4,0
1998/05/15,176.6,179.6,175.4,176.9,0
1998/05/16,176.6,179.6,173.9,174.6,0
1998/05/18,172.5,175.6,170.3,174.1,0
1998/05/19,172.5,177.7,171.8,174.7,0
1998/05/20,178.6,182.5,176.9,180.9,0
1998/05/21,182.6,186.1,181.6,185.5,0
1998/05/22,183.8,185.4,182.1,184.7,0
1998/05/23,183.8,185.4,182.1,184.7,0
1998/05/25,182.6,184.4,171.2,179.8,0
1998/05/26,177.6,179.2,174.4,176.3,0
1998/05/27,173.2,174.1,168.6,169.1,0
1998/05/28,171.7,178.4,171.4,177.5,0
1998/05/29,176.2,177.2,165.7,166.9,0
1998/05/30,176.2,177.2,165.7,166.9,0
1998/06/01,166.2,167.9,161.1,161.8,0
1998/06/02,162.1,166.5,160.8,162.5,0
1998/06/03,163,167,162.3,164.7,0
1998/06/04,163.9,164.2,156.5,158,0
1998/06/05,162.7,163.7,152.2,159.9,0
1998/06/06,162.7,163.7,152.2,163.3,0
1998/06/08,162.2,162.3,158.4,161,0
1998/06/09,160.4,160.4,153,155.5,0
1998/06/10,152.1,154,138.2,141.5,0
1998/06/11,137,146.2,136.7,143.9,0
1998/06/12,138,143.2,136.7,142.3,0
1998/06/13,138,143.2,136.7,142.3,0
1998/06/15,142.2,149.2,141,148.4,0
1998/06/16,142.7,159.2,141.7,157.3,0
1998/06/17,159.8,162.2,157.9,159.9,0
1998/06/18,169.2,172.7,165.2,170.2,0
1998/06/19,167.8,175,166.8,168.6,0
1998/06/20,167.8,175,166.8,171.8,0
1998/06/22,171.7,172,164.5,166.2,0
1998/06/23,167,167,163.7,165.7,0
1998/06/24,164.2,169.9,164.2,164.9,0
1998/06/25,166.7,171,166.7,170,0
1998/06/26,165.6,171.1,165.6,169.3,0
1998/06/27,165.6,171.1,165.6,169.8,0
1998/06/29,171.7,172,164.6,166.3,0
1998/06/30,166.2,170.1,165.9,168.9,0
1998/07/02,173.7,186.7,173.5,186.4,0
1998/07/03,182.8,184.6,177.8,179.4,0
1998/07/04,182.8,184.6,177.8,183.9,0
1998/07/06,181.5,185.7,181.2,182.2,0
1998/07/07,182.7,184.5,179.9,181.1,0
1998/07/08,181.7,184.7,181.7,183,0
1998/07/09,185.6,189.9,185.2,186.8,0
1998/07/10,186.2,186.2,179.9,182.3,0
1998/07/11,186.2,186.2,179.9,182.3,0
1998/07/13,179,179.5,174,176.9,0
1998/07/14,177.6,179.2,172.4,173.8,3710
1998/07/15,176.5,177.7,173.8,176.9,5782
1998/07/16,176.9,183.5,176.9,181.6,6358
1998/07/17,183.7,191.2,183.3,190.7,3380
1998/07/18,183.7,192.6,183.3,188.1,3861
1998/07/20,186.9,188.7,183.5,184.9,4468
1998/07/21,185.4,186.2,178,178.7,6286
1998/07/22,174.5,175.7,171.2,174,5127
1998/07/23,173.2,176.2,171.9,174.1,6169
1998/07/24,169.2,178.3,168.7,178.3,6169
1998/07/25,169.2,178.3,168.7,176.5,3781
1998/07/27,177.1,177.2,172.2,172.9,3816
1998/07/28,174.7,176.5,171.5,172.9,105
1998/07/29,170.9,174,169.3,171.9,3290
1998/07/30,171,173,169.2,173,186
1998/07/31,174,175.5,165.9,166.9,3996
1998/08/01,174,175.5,163,166.1,253
1998/08/03,168,169,162.4,163,4113
1998/08/04,162.5,166.9,162,163.7,7178
1998/08/05,160,161.2,157.5,159.5,4205
1998/08/06,161,161.5,157.7,158.7,4295
1998/08/07,160.3,161.6,158.3,160.8,4295
1998/08/08,160.3,161.6,158.3,160.8,3084
1998/08/10,157.2,159.5,156.2,157.9,2879
1998/08/11,155.6,157.9,152.5,152.5,3153
1998/08/12,154.8,158.6,153.2,155.6,4226
1998/08/13,158,158,153.5,155.1,4740
1998/08/14,153.6,159,151,157.1,1763
1998/08/15,153.6,159,151,155.9,3329
1998/08/17,154.3,156,153.5,154.2,5827
1998/08/18,156,156.7,150,152.7,178
1998/08/19,155,158,155,157,3277
1998/08/20,156,157.6,155.5,156.3,3071
1998/08/21,154,154.7,150.5,152.9,3071
1998/08/22,154,154.7,150.5,152.9,6068
1998/08/24,149.9,150.7,137.6,138.8,0
1998/08/25,140.1,142.6,137.3,142.2,3250
1998/08/26,144,145,132.5,132.9,4941
1998/08/27,132.2,137,129.4,135.2,2696
1998/08/28,125,137.5,125,133.7,2696
1998/08/29,130,143.5,129.5,137.3,5643
1998/08/31,139.5,139.5,127.6,129.5,9058
1998/09/01,123.4,127.3,116.5,124.8,7306
1998/09/02,129.2,130,123.5,125.7,8654
1998/09/03,123.5,123.5,110.5,114.9,12214
1998/09/04,111.1,134.1,110.8,127.8,6317
1998/09/05,111.1,141,110.8,140.6,7907
1998/09/07,145,148,136.7,144.7,6381
1998/09/08,146.4,150.5,142.5,149.7,7377
1998/09/09,153.3,153.5,143,143.6,6211
1998/09/10,141.8,145.4,139.4,140,8024
1998/09/11,137.1,144.3,134.7,142.7,8024
1998/09/12,137.1,144.3,134.7,143.1,5851
1998/09/14,144.5,149.5,143.6,147.5,6296
1998/09/15,149,150,146,147.4,6105
1998/09/16,148.3,156,146.1,153.6,5944
1998/09/17,154.5,156.3,150.5,152.1,5953
1998/09/18,148.5,153,148.5,150.7,3987
1998/09/19,148.5,158.5,148.5,158.4,7499
1998/09/21,157.5,159.3,150.5,152.7,8654
1998/09/22,153.6,157.4,152.6,156.9,6515
1998/09/23,155.5,157.2,151.3,153.5,6511
1998/09/24,155.5,156.3,153.1,153.9,5660
1998/09/25,151.5,153.5,148.3,153.4,5660
1998/09/26,151.5,153.5,148.3,153.4,6489
1998/09/28,152.9,155,150.3,152.3,4394
1998/09/29,154.8,155.5,148.8,150.6,5239
1998/09/30,150.6,151.8,145.4,145.5,6757
1998/10/01,146.3,146.3,138.2,140.4,5929
1998/10/02,137.3,138.1,129.6,132.6,4782
1998/10/03,137.3,142,129.6,141.3,4782
1998/10/06,137.6,140.3,134.1,139.6,6142
1998/10/07,140.3,150.2,138.7,147.4,10272
1998/10/08,146.6,162.7,144.6,160.5,8644
1998/10/09,160.3,164,156.6,160.4,8644
1998/10/10,160.3,164,156.6,158.6,4422
1998/10/12,164.9,165.2,159,159.7,6577
1998/10/13,160.1,163.9,155.2,156.1,5620
1998/10/14,155.9,157,151.1,153.1,4943
1998/10/15,153.5,155.6,151.4,154.1,1173
1998/10/16,159.1,162.5,157.6,161.6,3535
1998/10/17,159.1,163.9,157.6,160.8,4681
1998/10/19,161.6,161.9,158.4,159.5,4380
1998/10/20,159.6,160.7,154.9,155.1,9126
1998/10/21,156.6,169,155.2,167.9,5476
1998/10/22,169.3,170.1,164.3,166,6487
1998/10/23,167.1,169.5,165.1,166.8,6487
1998/10/24,167.1,169.5,165.1,166.8,4752
1998/10/26,166.2,168.8,164.7,167.5,8093
1998/10/27,167.7,171.7,164.2,168.1,5154
1998/10/28,167.1,168.1,161.8,162.8,1772
1998/10/29,162.1,166.1,161.5,166.1,6670
1998/10/30,168.8,173.4,165.4,171.1,4717
1998/10/31,168.8,173.9,165.4,173,5839
1998/11/02,172.4,176.2,171.4,174.8,7989
1998/11/03,175.4,175.4,167.9,169.9,7520
1998/11/04,168.4,169.4,161,163.9,5605
1998/11/05,163.9,166.8,162.1,165.4,220
1998/11/06,165.2,167.4,161.3,162,3832
1998/11/07,165.2,168.8,161.3,168.2,4350
1998/11/09,167.7,169,164.9,164.9,7424
1998/11/10,162.7,163.8,157.2,158.9,5236
1998/11/11,158.5,158.9,155,158.5,0
1998/11/13,160.9,166.1,159.9,165,6046
1998/11/14,160.9,166.1,159.9,165,6439
1998/11/16,168.3,177.2,166.9,174.4,6149
1998/11/17,176.3,181.4,175.4,180.3,6389
1998/11/18,182.4,184.3,178.7,179.9,7599
1998/11/19,181.7,189.9,181,187.8,6235
1998/11/20,188.7,190.9,185.5,190,4726
1998/11/21,188.7,191.4,185.5,188.2,6310
1998/11/23,186.9,188.4,185.4,186.9,8550
1998/11/24,189.9,195.2,189.2,190.8,9955
1998/11/25,189.2,189.2,182.4,187.3,4547
1998/11/26,186.4,192.9,185,190.7,2804
1998/11/27,192.2,193.8,188.2,190.5,6064
1998/11/28,192.2,193.8,188.2,190.5,6412
1998/11/30,192.1,192.1,182.9,183.9,7057
1998/12/01,181.2,185.7,180.1,181.4,5537
1998/12/02,184,187.2,183.7,184.4,4145
1998/12/03,182.8,185,182.3,183.2,4657
1998/12/04,182.7,187.8,182.3,186.3,4657
1998/12/05,182.7,187.8,182.3,186.3,7554
1998/12/07,194.2,194.2,188.7,188.9,6683
1998/12/08,191.2,192.3,180.4,182.3,6813
1998/12/09,181.2,181.2,174,176.4,5061
1998/12/10,176,176.9,172.8,175,7988
1998/12/11,174,176.2,161.9,163.9,7988
1998/12/12,174,176.2,161.9,164.7,5892
1998/12/14,165.2,170.1,165,166,303
1998/12/15,183.5,183.7,157.2,169.9,6717
1998/12/16,171.2,171.6,154.8,155.9,9397
1998/12/17,151.7,159.2,150.2,151.7,8078
1998/12/18,156.7,159.2,151.2,156,4347
1998/12/19,156.7,159.2,145.8,147.8,5915
1998/12/21,150.9,156.6,150,152.6,9050
1998/12/22,155.2,162.9,154.5,161.9,6742
1998/12/23,162.2,162.4,156.4,157,5677
1998/12/24,160.2,162,156.6,157.1,0
1998/12/28,155.5,156,143.2,144,4409
1998/12/29,140.5,150.3,139.3,149.7,2676
1998/12/30,150.1,152.4,144.3,145.7,5101
1998/12/31,146.9,148.9,143.1,143.7,0
1999/01/05,140.5,141.7,128.4,130.7,8762
1999/01/06,130.9,140.9,126.9,136.6,10230
1999/01/07,139.9,151.8,135.2,148.4,8043
1999/01/08,148.6,151.4,143.4,147.6,8043
1999/01/09,148.6,151.4,143.4,147.6,6318
1999/01/11,150.3,178.9,144.9,147.6,6508
1999/01/12,146.5,149.4,143.9,145.6,6294
1999/01/13,141.7,145.4,140.4,140.5,5362
1999/01/14,141.1,144.6,139.1,144.3,9309
1999/01/15,141.6,159.1,139.6,158.3,5841
1999/01/16,141.6,160.9,139.6,156,6069
1999/01/18,156.5,156.9,149.6,150.2,6506
1999/01/19,149.6,153.4,149.1,150.1,6181
1999/01/20,150.1,152,145.7,147.2,8543
1999/01/21,145.4,155.8,145.4,149.5,11513
1999/01/22,146.9,147.9,141.9,144.4,380
1999/01/23,146.9,147.9,139,144.4,7929
1999/01/25,141.1,142.7,132.5,135.4,9362
1999/01/26,138.8,143.7,129,142.8,9123
1999/01/27,145.1,146.9,141.4,141.8,3770
1999/01/28,141,142.8,138.4,139.5,6762
1999/01/29,142,142.1,137.3,138.6,6201
1999/01/30,142,147.4,137.3,140.4,6481
1999/02/01,139.7,139.7,132.3,132.7,7004
1999/02/02,132.8,138.1,129.5,131.2,8004
1999/02/03,127.8,134.8,126.1,132.7,9463
1999/02/04,133.9,134.3,120.7,121.1,10287
1999/02/05,119.9,130.8,117.8,120.1,6813
1999/02/06,119.9,130.8,117.8,128.2,7988
1999/02/08,127.9,133.2,127.6,130.8,5800
1999/02/09,130.1,130.1,126.9,128.9,6925
1999/02/10,126.8,133.1,126.4,129.8,0
1999/02/20,138.5,146.2,137.3,146,11727
1999/02/22,147.8,162.8,147.4,161.7,10871
1999/02/23,163.5,164.4,151,151.3,5485
1999/02/24,153.8,157.8,150.5,157.2,3471
1999/02/25,157.5,160.5,154.9,156,8173
1999/02/26,155.4,160.1,150.6,159.3,8173
1999/02/27,155.4,160.1,150.6,159.3,6495
1999/03/01,160,160,155.6,158.1,7529
1999/03/02,159.2,159.8,151.7,153.4,8475
1999/03/03,151.6,161.1,150.8,158.5,7957
1999/03/04,159.6,159.6,154.6,154.9,8019
1999/03/05,156.6,160.3,152.6,158.3,5448
1999/03/06,156.6,165.1,152.6,159.5,6458
1999/03/08,160.3,162.7,159.3,161.8,7012
1999/03/09,162,166,161.7,164.1,4205
1999/03/10,163.1,166.1,162.1,165.2,5967
1999/03/11,166.2,167.9,160.2,161,5316
1999/03/12,161.7,164.8,160.6,164.4,5316
1999/03/13,161.7,164.8,160.6,163.7,6211
1999/03/15,163.3,173.4,161.9,172.2,0
1999/03/16,174.1,174.6,168.8,173.3,7410
1999/03/17,173.2,180.6,172.7,179.1,8173
1999/03/18,177.4,186.1,176.8,183.3,10002
1999/03/19,186.1,192.8,184.6,191.6,4612
1999/03/20,186.1,192.8,184.6,191,5934
1999/03/22,190.3,192.5,188.3,190.9,10929
1999/03/23,190.1,194.1,184.1,185.1,6688
1999/03/24,181.6,184.9,180.9,183.6,7385
1999/03/25,183.1,186.8,182.3,185.3,6346
1999/03/26,187.6,192.1,186.1,190,6346
1999/03/27,187.6,192.1,186.1,190,6574
1999/03/29,189.6,191.6,180.6,182,3117
1999/03/30,184.7,187,182.3,185.2,5508
1999/03/31,183.7,185.4,180.1,183.9,10055
1999/04/01,183.2,197,183,195.8,8185
1999/04/02,195.7,206.7,195.6,204.6,5796
1999/04/03,195.7,206.7,195.6,202.6,5796
1999/04/06,203.2,205.9,199.2,202.9,5561
1999/04/07,202.2,203.7,197.8,201.5,8805
1999/04/08,202.9,210.5,202.4,207.5,5839
1999/04/09,210.2,210.5,206.7,207.6,5839
1999/04/10,210.2,210.5,206.7,207.6,7408
1999/04/12,204.7,206.9,201.6,203.5,6186
1999/04/13,204.7,211.4,204.5,210.5,6854
1999/04/14,210.2,212.9,207.7,209.9,7402
1999/04/15,208.7,219.7,207,217,7552
