Date,Open,High,Low,Close,Vol
2012/5/16,5310,5377,5295,5358,107382
2012/5/17,5208,5274,5172,5179,137508
2012/5/21,5294,5304,5246,5280,84457
2012/5/22,5195,5214,5134,5179,104162
2012/5/23,5200,5222,5126,5173,110432
2012/5/24,5199,5203,5092,5102,112160
2012/5/28,5168,5380,5149,5338,133522
2012/5/29,5314,5317,5240,5278,106158
2012/5/30,5186,5299,5129,5261,133197
2012/5/31,5244,5254,5119,5140,148958
2012/6/4,4993,5049,4969,5014,119982
2012/6/5,5033,5099,5002,5059,119994
2012/6/6,5179,5190,5064,5091,109350
2012/6/7,5051,5084,4990,4999,113544
2012/6/11,5020,5082,5006,5063,91231
2012/6/13,5093,5114,5046,5092,92489
2012/6/14,5086,5151,5077,5107,92161
2012/6/15,5094,5204,5086,5198,105833
2012/6/18,5344,5367,5288,5309,92004
2012/6/19,5310,5314,5278,5309,80407
2012/6/20,5339,5368,5325,5355,45126
2012/6/21,5346,5349,5279,5303,87665
2012/6/22,5188,5233,5181,5220,86796
2012/6/25,5138,5164,5124,5134,79925
2012/6/26,5130,5146,5109,5125,61535
2012/6/27,5104,5191,5084,5172,89541
2012/6/28,5207,5223,5148,5187,93508
2012/6/29,5168,5314,5167,5300,125080
2012/7/2,5319,5338,5293,5322,61181
2012/7/3,5363,5466,5347,5414,100095
2012/7/4,5454,5513,5437,5476,83106
2012/7/5,5489,5507,5463,5483,61592
2012/7/6,5474,5505,5423,5458,88904
2012/7/9,5390,5458,5388,5422,78681
2012/7/10,5437,5456,5348,5367,111304
2012/7/11,5324,5390,5319,5372,84861
2012/7/12,5372,5374,5253,5265,120546
2012/7/13,5256,5294,5231,5257,96058
2012/7/16,5275,5296,5206,5243,98746
2012/7/17,5234,5322,5216,5293,123931
2012/7/18,5284,5294,5197,5199,56820
2012/7/19,5286,5344,5257,5334,105346
2012/7/20,5334,5351,5308,5325,72895
2012/7/23,5227,5244,5157,5185,89331
2012/7/24,5174,5201,5162,5186,70435
2012/7/25,5094,5224,5087,5158,109485
2012/7/26,5168,5217,5144,5187,89439
2012/7/27,5281,5343,5258,5340,101947
2012/7/30,5394,5414,5367,5390,73940
2012/7/31,5414,5491,5373,5469,111301
2012/8/1,5451,5524,5447,5506,91583
2012/8/3,5452,5476,5428,5452,77401
2012/8/6,5590,5626,5548,5549,87031
2012/8/7,5545,5575,5535,5548,62956
2012/8/8,5618,5648,5589,5612,103055
2012/8/9,5683,5764,5658,5750,125910
2012/8/10,5765,5777,5737,5756,68582
2012/8/13,5756,5787,5742,5765,67806
2012/8/14,5796,5857,5763,5807,113777
2012/8/15,5802,5806,5751,5753,41895
2012/8/16,5783,5843,5764,5816,91628
2012/8/17,5826,5834,5790,5797,66804
2012/8/20,5787,5798,5721,5764,85890
2012/8/21,5788,5876,5781,5838,104595
2012/8/22,5817,5831,5776,5813,73832
2012/8/23,5799,5857,5791,5836,92576
2012/8/24,5773,5813,5765,5810,63615
2012/8/27,5858,5874,5775,5777,85683
2012/8/28,5758,5766,5698,5722,90608
2012/8/29,5727,5736,5704,5726,48276
2012/8/30,5683,5718,5664,5690,84738
2012/8/31,5698,5743,5686,5705,75810
2012/9/3,5693,5788,5675,5765,95691
2012/9/4,5766,5793,5753,5771,49798
2012/9/5,5724,5734,5664,5667,89655
2012/9/6,5655,5691,5609,5655,88818
2012/9/7,5794,5802,5727,5742,86302
2012/9/10,5744,5792,5737,5779,67675
2012/9/11,5760,5813,5759,5788,59702
2012/9/12,5848,5909,5833,5906,92821
2012/9/13,5915,5932,5894,5899,65782
2012/9/14,6021,6081,5994,6061,103221
2012/9/17,6062,6090,6049,6073,70895
2012/9/18,6065,6091,6036,6072,76925
2012/9/19,6081,6121,6065,6112,50201
2012/9/20,6106,6110,6040,6073,81485
2012/9/21,6089,6107,6072,6085,61018
2012/9/24,6071,6129,6009,6099,98891
2012/9/25,6116,6134,6068,6080,68390
2012/9/26,6015,6049,5994,6024,74746
2012/9/27,6007,6054,6003,6052,67769
2012/9/28,6050,6072,5990,6043,88739
2012/10/1,6014,6030,5990,6008,50167
2012/10/2,6040,6072,6017,6053,67005
2012/10/3,6064,6066,6011,6028,58958
2012/10/4,6031,6039,5957,6030,103623
2012/10/5,6035,6057,6004,6025,74558
2012/10/8,6001,6016,5936,5949,84411
2012/10/9,5953,5971,5920,5920,86468
2012/10/11,5807,5830,5766,5768,95582
2012/10/12,5758,5787,5709,5737,92390
2012/10/15,5720,5758,5709,5749,74135
2012/10/16,5784,5786,5759,5782,62568
