Date,Open,High,Low,Close,Vol
1997/01/15,-0.5682,-0.5542,-0.5862,-0.5577,19711
1997/01/16,-0.5647,-0.5537,-0.5652,-0.5593,12202
1997/01/17,-0.5632,-0.5562,-0.5732,-0.5653,11166
1997/01/20,-0.5693,-0.5623,-0.5733,-0.572,5412
1997/01/21,-0.5748,-0.5593,-0.5753,-0.5718,10149
1997/01/22,-0.5658,-0.5608,-0.5758,-0.5632,9305
1997/01/23,-0.5653,-0.5543,-0.5663,-0.5637,8095
1997/01/24,-0.5653,-0.5603,-0.5728,-0.5691,7718
1997/01/27,-0.5763,-0.5623,-0.5793,-0.5718,12327
1997/01/28,-0.5693,-0.5673,-0.5783,-0.5758,8618
1997/01/29,-0.5713,-0.5633,-0.5758,-0.5652,11629
1997/01/30,-0.5643,-0.5488,-0.5653,-0.5518,14821
1997/01/31,-0.5533,-0.5533,-0.5673,-0.5657,16504
1997/02/03,-0.5683,-0.5593,-0.5708,-0.5648,11902
1997/02/04,-0.5643,-0.5593,-0.5733,-0.5652,10229
1997/02/05,-0.5683,-0.5613,-0.5753,-0.5729,12995
1997/02/06,-0.5803,-0.5803,-0.6013,-0.5953,18290
1997/02/07,-0.5953,-0.5898,-0.6203,-0.6177,19936
1997/02/10,-0.6143,-0.6113,-0.6343,-0.613,20826
1997/02/11,-0.6113,-0.6043,-0.6133,-0.6087,14639
1997/02/12,-0.6183,-0.5993,-0.6233,-0.6194,16623
1997/02/13,-0.6203,-0.6143,-0.6293,-0.6165,14051
1997/02/14,-0.6133,-0.6053,-0.6153,-0.6058,9807
1997/02/18,-0.6116,-0.6041,-0.6166,-0.6089,5134
1997/02/19,-0.6091,-0.6016,-0.6101,-0.6025,4131
1997/02/20,-0.6051,-0.6041,-0.6211,-0.6185,8943
1997/02/21,-0.6231,-0.6151,-0.6281,-0.6267,9050
1997/02/24,-0.6271,-0.6261,-0.6481,-0.6458,12746
1997/02/25,-0.6441,-0.6256,-0.6441,-0.6296,13522
1997/02/26,-0.6256,-0.6166,-0.6391,-0.6272,17901
1997/02/27,-0.6281,-0.6221,-0.6351,-0.6269,16606
1997/02/28,-0.6321,-0.6296,-0.6421,-0.6385,19247
1997/03/03,-0.6371,-0.6361,-0.6516,-0.6464,13460
1997/03/04,-0.6401,-0.6331,-0.6521,-0.6352,13384
1997/03/05,-0.6296,-0.6261,-0.6406,-0.6308,13146
1997/03/06,-0.6346,-0.6151,-0.6361,-0.6193,15066
1997/03/07,-0.6221,-0.6061,-0.6236,-0.6074,20300
1997/03/10,-0.6121,-0.6011,-0.6216,-0.6205,16527
1997/03/11,-0.6221,-0.6211,-0.6286,-0.6255,11080
1997/03/12,-0.6286,-0.6116,-0.6301,-0.6178,13187
1997/03/13,-0.6156,-0.6116,-0.6231,-0.6218,12939
1997/03/14,-0.6161,-0.6051,-0.6191,-0.6064,13540
1997/03/17,-0.6051,-0.6016,-0.6181,-0.6115,10945
1997/03/18,-0.6111,-0.5881,-0.6131,-0.5893,16251
1997/03/19,-0.589,-0.572,-0.591,-0.5826,13236
1997/03/20,-0.5875,-0.577,-0.5905,-0.5856,12184
1997/03/21,-0.5845,-0.582,-0.592,-0.5871,9909
1997/03/24,-0.59,-0.589,-0.599,-0.5979,11032
1997/03/25,-0.5985,-0.593,-0.601,-0.5981,9556
1997/03/26,-0.599,-0.59,-0.617,-0.6159,21337
