Date,Open,High,Low,Close,Vol
1994/12/09,88.155,88.2,88.145,88.19,0
1994/12/12,88.255,88.26,88.165,88.215,0
1994/12/13,88.16,88.16,88.01,88.01,0
1994/12/14,88.075,88.185,88.005,88.125,0
1994/12/15,88.165,88.255,88.135,88.255,0
1994/12/16,88.26,88.315,88.155,88.2,0
1994/12/19,88.19,88.22,88.17,88.22,0
1994/12/20,88.23,88.29,88.23,88.29,0
1994/12/21,88.24,88.325,88.24,88.325,0
1994/12/22,88.295,88.31,88.225,88.25,0
1994/12/23,88.24,88.24,88.24,88.24,0
1994/12/27,88.315,88.47,88.315,88.47,0
1994/12/28,88.315,88.47,88.315,88.47,0
1994/12/29,88.34,88.49,88.33,88.46,0
1994/12/30,88.41,88.41,88.41,88.41,0
1995/01/02,88.39,88.43,88.355,88.405,0
1995/01/03,88.39,88.43,88.355,88.405,0
1995/01/04,88.3,88.3,88.19,88.29,0
1995/01/05,88.36,88.365,88.14,88.155,0
1995/01/06,88.125,88.16,88.075,88.115,0
1995/01/09,88.15,88.18,88.03,88.04,0
1995/01/10,88.01,88.075,87.995,88.05,0
1995/01/11,88.05,88.1,87.98,88.095,0
1995/01/12,88.17,88.18,88.09,88.16,0
1995/01/13,88.105,88.12,88.035,88.05,0
1995/01/16,88.17,88.21,88.125,88.17,0
1995/01/17,88.16,88.18,88.135,88.18,0
1995/01/18,88.14,88.205,88.1,88.18,0
1995/01/19,88.155,88.18,88.115,88.13,0
1995/01/20,88.085,88.1,88.025,88.05,0
1995/01/23,87.94,88.01,87.885,87.9,0
1995/01/24,87.91,87.965,87.88,87.96,0
1995/01/25,87.94,88.125,87.885,88.08,0
1995/01/27,88.16,88.235,88.145,88.235,0
1995/01/30,88.36,88.37,88.265,88.305,0
1995/01/31,88.24,88.24,88.06,88.08,0
1995/02/01,88.16,88.32,88.105,88.285,0
1995/02/02,88.2,88.28,88.195,88.27,0
1995/02/03,88.26,88.34,88.26,88.33,0
1995/02/06,88.51,88.535,88.445,88.475,0
1995/02/07,88.405,88.405,88.275,88.325,0
1995/02/08,88.28,88.4,88.245,88.365,0
1995/02/09,88.36,88.47,88.335,88.365,0
1995/02/10,88.325,88.365,88.31,88.35,0
1995/02/13,88.27,88.3,88.25,88.27,0
1995/02/14,88.255,88.26,88.195,88.22,0
1995/02/15,88.33,88.345,88.29,88.345,0
1995/02/16,88.41,88.445,88.345,88.37,0
1995/02/17,88.365,88.365,88.255,88.305,0
1995/02/20,88.27,88.29,88.235,88.28,0
1995/02/21,88.28,88.36,88.26,88.35,0
1995/02/22,88.285,88.36,88.255,88.3,0
1995/02/23,88.415,88.475,88.33,88.33,0
1995/02/24,88.3,88.36,88.29,88.35,0
1995/02/27,88.35,88.45,88.35,88.44,0
1995/02/28,88.53,88.68,88.51,88.65,0
1995/03/01,88.63,88.69,88.58,88.615,0
1995/03/02,88.63,88.645,88.52,88.56,0
1995/03/03,88.46,88.505,88.425,88.445,0
1995/03/06,88.39,88.39,88.13,88.15,0
1995/03/07,88.205,88.235,88.16,88.2,0
1995/03/08,88.095,88.185,88.095,88.15,0
1995/03/09,88.305,88.31,88.1,88.275,0
1995/03/10,88.31,88.315,88.23,88.25,0
1995/03/13,88.345,88.39,88.285,88.38,0
1995/03/14,88.39,88.42,88.335,88.42,0
1995/03/15,88.52,88.585,88.445,88.565,0
1995/03/16,88.56,88.56,88.49,88.51,0
1995/03/17,88.515,88.515,88.35,88.355,0
1995/03/20,88.32,88.34,88.25,88.295,0
1995/03/21,88.24,88.33,88.21,88.33,0
1995/03/22,88.225,88.255,88.185,88.21,0
1995/03/23,88.18,88.32,88.175,88.285,0
1995/03/24,88.27,88.32,88.26,88.305,0
1995/03/27,88.415,88.455,88.35,88.44,0
1995/03/28,88.46,88.47,88.385,88.45,0
1995/03/29,88.345,88.375,88.33,88.335,0
1995/03/30,88.31,88.435,88.31,88.39,0
1995/03/31,88.395,88.735,88.385,88.695,0
1995/04/03,88.58,88.645,88.55,88.63,0
1995/04/04,88.66,88.79,88.65,88.74,0
1995/04/05,88.745,88.77,88.69,88.7,0
1995/04/06,88.72,88.84,88.69,88.75,0
1995/04/07,88.77,88.795,88.7,88.71,0
1995/04/10,88.67,88.685,88.58,88.64,0
1995/04/11,88.665,88.75,88.63,88.75,0
1995/04/12,88.77,88.82,88.755,88.775,0
1995/04/13,88.79,88.805,88.765,88.805,0
1995/04/18,88.78,88.885,88.75,88.87,0
1995/04/19,88.84,88.855,88.735,88.77,0
1995/04/20,88.78,88.825,88.755,88.795,0
1995/04/21,88.84,88.87,88.66,88.71,0
1995/04/24,88.7,88.71,88.655,88.7,0
1995/04/26,88.69,88.735,88.66,88.725,0
1995/04/27,88.725,88.895,88.715,88.87,0
1995/04/28,88.855,88.885,88.84,88.875,0
1995/05/01,88.9,88.915,88.845,88.87,0
1995/05/02,88.855,88.86,88.825,88.86,0
1995/05/03,88.875,88.9,88.86,88.885,0
1995/05/04,88.975,89.115,88.945,89.1,0
1995/05/05,89.175,89.22,89.14,89.19,0
1995/05/08,89.31,89.5,89.27,89.475,0
1995/05/09,89.485,89.61,89.44,89.445,0
1995/05/10,89.46,89.82,89.46,89.55,0
1995/05/11,89.44,89.58,89.4,89.525,0
1995/05/12,89.5,89.51,89.44,89.48,0
1995/05/15,89.45,89.595,89.445,89.575,0
1995/05/16,89.61,89.645,89.52,89.58,0
1995/05/17,89.64,89.74,89.64,89.735,0
1995/05/18,89.7,89.7,89.55,89.605,0
1995/05/19,89.5,89.525,89.44,89.505,0
1995/05/22,89.495,89.52,89.47,89.5,0
1995/05/23,89.5,89.555,89.49,89.545,0
1995/05/24,89.6,89.695,89.6,89.66,0
1995/05/25,89.835,89.9,89.825,89.86,0
1995/05/26,89.805,89.805,89.73,89.795,0
1995/05/29,89.715,89.83,89.7,89.79,0
1995/05/30,89.805,89.82,89.74,89.79,0
1995/05/31,89.895,89.93,89.57,89.69,0
1995/06/01,89.695,89.755,89.56,89.59,0
1995/06/02,89.725,89.73,89.57,89.64,0
1995/06/05,89.89,90.03,89.865,90.025,0
1995/06/06,90,90.05,89.975,90,0
1995/06/07,89.97,89.97,89.85,89.92,0
1995/06/08,89.775,89.83,89.715,89.745,0
