Date,Open,High,Low,Close,Vol
2002/04/05,8758,8852,8734,8802,2339
2002/04/08,8789,8792,8617,8780,4234
2002/04/09,8802,8823,8717,8734,4407
2002/04/10,8741,8911,8727,8895,6189
2002/04/11,8890,8890,8670,8682,6372
2002/04/12,8722,8752,8652,8706,5387
2002/04/15,8708,8742,8580,8605,6740
2002/04/16,8653,8856,8644,8816,4122
2002/04/17,8821,8850,8697,8740,5340
2002/04/18,8750,8784,8552,8687,4857
2002/04/19,8652,8786,8652,8764,4241
2002/04/22,8759,8775,8623,8647,3306
2002/04/23,8660,8689,8577,8607,7043
2002/04/24,8627,8673,8527,8532,6065
2002/04/25,8527,8557,8431,8554,8117
2002/04/26,8548,8589,8372,8377,4615
2002/04/29,8419,8445,8318,8330,5401
2002/04/30,8348,8515,8329,8442,6327
2002/05/01,8475,8593,8332,8582,6247
2002/05/02,8588,8626,8541,8602,4509
2002/05/03,8586,8620,8432,8498,5546
2002/05/06,8516,8530,8293,8302,5290
2002/05/07,8312,8432,8302,8312,6603
2002/05/08,8387,8660,8383,8627,8012
2002/05/09,8639,8646,8520,8545,6699
2002/05/10,8445,8445,8442,8442,5086
2002/05/13,8450,8623,8427,8617,5584
2002/05/14,8622,8809,8601,8803,5805
2002/05/15,8803,8861,8732,8777,7445
2002/05/16,8779,8831,8740,8805,6459
2002/05/17,8845,8876,8768,8849,3860
2002/05/20,8847,8847,8722,8752,5071
2002/05/21,8744,8797,8599,8635,5373
2002/05/22,8647,8671,8574,8664,6804
2002/05/23,8639,8740,8598,8732,5867
2002/05/24,8733,8757,8597,8605,4769
2002/05/28,8637,8655,8477,8515,7196
2002/05/29,8507,8510,8427,8437,6608
2002/05/30,8452,8479,8313,8433,8621
2002/05/31,8447,8559,8401,8417,5173
2002/06/03,8411,8502,8190,8195,7626
2002/06/04,8212,8262,8105,8212,10168
2002/06/05,8247,8324,8200,8317,6210
2002/06/06,8312,8333,8022,8142,6595
2002/06/07,8058,8153,7980,8102,6285
2002/06/10,8126,8230,8072,8166,7694
2002/06/11,8154,8276,8017,8037,7581
2002/06/12,8058,8145,7960,8134,8481
2002/06/13,8164,8167,8000,8026,1710
2002/06/14,8017,8017,7762,7992,667
2002/06/17,8002,8207,7992,8192,7199
2002/06/18,8192,8272,8137,8267,6337
2002/06/19,8232,8248,8044,8072,8008
2002/06/20,8087,8107,7931,7940,8168
2002/06/21,7932,7992,7717,7779,8120
2002/06/24,7782,7894,7582,7822,13579
2002/06/25,7850,7917,7612,7617,9588
2002/06/26,7512,7683,7376,7627,8572
2002/06/27,7652,7790,7537,7778,7884
2002/06/28,7801,7872,7734,7742,3833
2002/07/01,7737,7836,7600,7608,5200
2002/07/02,7588,7653,7470,7522,5132
2002/07/03,7537,7582,7405,7559,5684
2002/07/05,7564,7924,7562,7904,2965
2002/07/08,7905,7905,7749,7790,4999
2002/07/09,7807,7836,7589,7610,5063
2002/07/10,7608,7684,7287,7307,6867
2002/07/11,7315,7370,7109,7309,8689
2002/07/12,7342,7391,7102,7160,6930
2002/07/15,7148,7201,6744,7174,11583
2002/07/16,7174,7176,6907,6985,7363
2002/07/17,6951,7233,6914,7037,9272
2002/07/18,7032,7142,6853,6877,7452
2002/07/19,6863,6868,6460,6510,8843
2002/07/22,6432,6625,6210,6297,13743
2002/07/23,6327,6462,6158,6210,10119
2002/07/24,6197,6742,5972,6717,12974
2002/07/25,6712,6818,6430,6682,11207
2002/07/26,6682,6785,6596,6779,6928
2002/07/29,6802,7223,6789,7177,8746
2002/07/30,7157,7269,7042,7206,9778
2002/07/31,7172,7282,7035,7217,10510
2002/08/01,7199,7218,6964,6990,10082
2002/08/02,6972,7005,6697,6812,9153
2002/08/05,6807,6814,6523,6549,10592
2002/08/06,6534,6925,6492,6797,10584
2002/08/07,6837,6972,6717,6952,11966
2002/08/08,6952,7221,6926,7207,11639
2002/08/09,7187,7303,7074,7237,8097
2002/08/12,7233,7233,7079,7182,6530
2002/08/13,7187,7250,6966,6992,6899
2002/08/14,6994,7263,6862,7232,10920
2002/08/15,7232,7370,7194,7319,12381
2002/08/16,7287,7349,7217,7277,6414
2002/08/19,7342,7509,7212,7479,7477
2002/08/20,7463,7486,7327,7397,6202
2002/08/21,7396,7497,7311,7487,10128
2002/08/22,7499,7593,7439,7552,7896
2002/08/23,7587,7587,7335,7380,6746
2002/08/26,7387,7467,7265,7422,8119
2002/08/27,7412,7536,7291,7347,9385
2002/08/28,7357,7366,7151,7194,6879
2002/08/29,7202,7256,7069,7165,7858
2002/08/30,7162,7296,7106,7145,6415
2002/09/03,7080,7092,6801,6810,13957
2002/09/04,6809,6967,6791,6902,10378
2002/09/05,6890,6898,6721,6825,10561
2002/09/06,6804,6992,6804,6945,9706
2002/09/09,6940,7071,6825,7004,10758
2002/09/10,7010,7140,7008,7132,12006
2002/09/11,7142,7272,7052,7064,8989
2002/09/12,7070,7082,6862,6905,2872
2002/09/13,6871,6900,6761,6839,2506
2002/09/16,6859,6911,6774,6904,10313
2002/09/17,7019,7109,6619,6707,15021
2002/09/18,6679,6774,6561,6624,19406
2002/09/19,6619,6633,6433,6442,17480
2002/09/20,6451,6523,6422,6474,11185
2002/09/23,6444,6499,6289,6394,14919
2002/09/24,6382,6389,6165,6207,15174
2002/09/25,6169,6408,6133,6376,16823
2002/09/26,6361,6523,6349,6481,13772
2002/09/27,6472,6489,6185,6192,13189
2002/09/30,6179,6196,5958,6099,19696
2002/10/01,6092,6514,6059,6501,18422
2002/10/02,6481,6486,6239,6294,19016
2002/10/03,6264,6432,6196,6237,17830
2002/10/04,6262,6342,5976,6079,18696
2002/10/07,6050,6150,5917,5972,19524
2002/10/08,5990,6139,5839,6039,27046
2002/10/09,6041,6054,5782,5809,28684
2002/10/10,5792,6072,5703,6034,26273
2002/10/11,6015,6414,5990,6391,21781
2002/10/14,6354,6427,6263,6387,16256
2002/10/15,6401,6789,6392,6781,25833
2002/10/16,6693,6789,6519,6567,22541
2002/10/17,6682,6889,6669,6784,17626
2002/10/18,6850,6879,6655,6824,16736
2002/10/21,6814,7068,6739,7044,18177
2002/10/22,7006,7007,6885,6974,18561
2002/10/23,6953,7051,6805,7021,21982
2002/10/24,7049,7087,6781,6804,19728
2002/10/25,6796,6971,6766,6969,15899
2002/10/28,6979,7072,6834,6907,17989
2002/10/29,6903,6912,6692,6875,22063
2002/10/30,6881,6975,6817,6939,20707
2002/10/31,6919,7014,6844,6879,19724
2002/11/01,6865,7079,6812,7019,15858
2002/11/04,7104,7249,7061,7071,17020
2002/11/05,7074,7205,7046,7177,18394
2002/11/06,7211,7314,7095,7296,20877
2002/11/07,7258,7258,7055,7103,18414
2002/11/08,7117,7187,7009,7024,16820
2002/11/11,7019,7030,6855,6884,10794
2002/11/12,6877,7025,6876,6926,20434
2002/11/13,6891,7014,6809,6954,23734
2002/11/14,6933,7075,6919,7049,21554
2002/11/15,7039,7108,6975,7095,16711
2002/11/18,7091,7167,7000,7009,15641
2002/11/19,7003,7070,6927,7014,19999
2002/11/20,7028,7223,6963,7201,17961
2002/11/21,7194,7398,7174,7388,20880
2002/11/22,7372,7405,7317,7325,14874
2002/11/25,7349,7399,7283,7356,15082
2002/11/26,7348,7373,7189,7194,21563
2002/11/27,7218,7468,7194,7456,16290
2002/11/29,7449,7489,7379,7399,4811
2002/12/02,7399,7573,7309,7399,20750
2002/12/03,7414,7423,7247,7294,20807
2002/12/04,7265,7338,7175,7272,23246
2002/12/05,7271,7357,7134,7169,22277
2002/12/06,7169,7211,7015,7186,21810
2002/12/09,7204,7204,6970,6982,20667
2002/12/10,7010,7107,6996,7084,20388
2002/12/11,7079,7156,7014,7099,16717
2002/12/12,7125,7145,7038,7070,6096
2002/12/13,7064,7064,6927,6945,3135
2002/12/16,6953,7170,6928,7162,14397
2002/12/17,7164,7174,7049,7063,16720
2002/12/18,7066,7070,6933,6980,15986
2002/12/19,6971,7040,6852,6900,21832
2002/12/20,6923,7090,6910,7057,15330
2002/12/23,7047,7082,6987,7035,9822
2002/12/24,7035,7049,6965,6975,3663
2002/12/26,6990,7090,6930,6980,8904
2002/12/27,6970,6982,6806,6815,11985
2002/12/30,6806,6894,6780,6852,15439
2002/12/31,6845,6889,6766,6876,12970
2003/01/02,6865,7155,6861,7136,22036
2003/01/03,7131,7166,7080,7149,19570
2003/01/06,7175,7332,7106,7282,18817
2003/01/07,7272,7333,7236,7295,23716
2003/01/08,7275,7290,7106,7128,22104
2003/01/09,7147,7319,7120,7286,22671
2003/01/10,7287,7347,7184,7312,26266
2003/01/13,7306,7409,7274,7322,24558
2003/01/14,7320,7380,7272,7355,17999
2003/01/15,7364,7400,7227,7276,21432
2003/01/16,7267,7335,7200,7245,22764
2003/01/17,7212,7214,7083,7128,17088
2003/01/21,7138,7155,6958,6980,26077
2003/01/22,6980,7018,6831,6845,27207
2003/01/23,6868,6920,6784,6865,29332
2003/01/24,6871,6879,6632,6658,29916
2003/01/27,6661,6686,6480,6528,33020
2003/01/28,6540,6639,6509,6590,26839
2003/01/29,6585,6685,6425,6619,30611
2003/01/30,6625,6671,6409,6445,30195
2003/01/31,6443,6619,6393,6592,31632
2003/02/03,6625,6674,6595,6622,21839
2003/02/04,6627,6627,6450,6565,26434
2003/02/05,6560,6678,6489,6525,32520
2003/02/06,6506,6542,6408,6485,35249
2003/02/07,6494,6566,6354,6398,29581
2003/02/10,6420,6462,6325,6454,32036
2003/02/11,6469,6512,6329,6384,31896
2003/02/12,6373,6390,6274,6280,29194
2003/02/13,6281,6326,6162,6305,31448
2003/02/14,6302,6593,6257,6470,35565
2003/02/18,6494,6611,6449,6592,27627
2003/02/19,6582,6582,6474,6558,23983
2003/02/20,6550,6610,6432,6470,28634
2003/02/21,6470,6584,6389,6545,30866
2003/02/24,6569,6586,6389,6405,26466
2003/02/25,6388,6474,6251,6465,33775
2003/02/26,6475,6485,6333,6355,28708
2003/02/27,6348,6467,6319,6437,34560
2003/02/28,6435,6507,6392,6465,27556
2003/03/03,6483,6525,6360,6388,26365
2003/03/04,6376,6393,6247,6257,26617
2003/03/05,6241,6318,6205,6312,32898
2003/03/06,6316,6318,6175,6220,34246
2003/03/07,6219,6300,6101,6280,33261
2003/03/10,6272,6274,6095,6105,27862
2003/03/11,6099,6185,6061,6064,34795
2003/03/12,6072,6113,5963,6106,40740
2003/03/13,6119,6380,6093,6374,13236
2003/03/14,6370,6477,6344,6421,6317
2003/03/17,6348,6699,6286,6673,39011
2003/03/18,6663,6789,6638,6741,34337
2003/03/19,6706,6827,6687,6811,31024
2003/03/20,6848,6873,6671,6833,32839
2003/03/21,6831,7070,6810,7051,34358
2003/03/24,6962,6975,6725,6761,34321
2003/03/25,6755,6883,6693,6813,36262
2003/03/26,6813,6848,6732,6769,35288
2003/03/27,6757,6796,6651,6741,35976
2003/03/28,6756,6762,6653,6691,28290
