Date,Open,High,Low,Close,Vol
1994/12/13,86.17,86.19,86.11,86.13,0
1994/12/14,86.15,86.19,85.88,85.93,0
1994/12/15,86.02,86.08,85.9,86.07,0
1994/12/16,86.11,86.18,86.04,86.1,0
1994/12/19,86.1,86.11,86.05,86.09,0
1994/12/20,86.11,86.12,86.08,86.11,0
1994/12/21,86.13,86.13,86.1,86.11,0
1994/12/22,86.08,86.09,86.01,86.04,0
1994/12/23,86.01,86.01,86.01,86.01,0
1994/12/27,86.07,86.26,86.07,86.25,0
1994/12/28,86.07,86.26,86.07,86.25,0
1994/12/29,86.17,86.25,86.11,86.23,0
1994/12/30,86.21,86.21,86.21,86.21,0
1995/01/02,86.19,86.19,86.06,86.08,0
1995/01/03,86.19,86.19,86.06,86.08,0
1995/01/04,85.99,86,85.85,85.98,0
1995/01/05,86.05,86.06,85.9,85.92,0
1995/01/06,85.89,85.95,85.87,85.91,0
1995/01/09,85.93,85.98,85.9,85.92,0
1995/01/10,85.88,85.94,85.85,85.89,0
1995/01/11,85.93,85.93,85.84,85.91,0
1995/01/12,86.02,86.02,85.85,85.99,0
1995/01/13,85.97,85.98,85.9,85.93,0
1995/01/16,86.09,86.17,86.07,86.13,0
1995/01/17,86.11,86.17,86.07,86.17,0
1995/01/18,86.07,86.14,86.04,86.12,0
1995/01/19,86.05,86.08,85.98,86,0
1995/01/20,85.96,85.97,85.92,85.95,0
1995/01/23,85.86,85.93,85.85,85.88,0
1995/01/24,85.89,85.94,85.88,85.92,0
1995/01/25,85.91,86.14,85.88,86.09,0
1995/01/27,86.19,86.36,86.19,86.28,0
1995/01/30,86.43,86.43,86.32,86.36,0
1995/01/31,86.28,86.3,86.11,86.12,0
1995/02/01,86.16,86.47,86.13,86.39,0
1995/02/02,86.28,86.43,86.27,86.39,0
1995/02/03,86.38,86.48,86.38,86.44,0
1995/02/06,86.71,86.78,86.64,86.7,0
1995/02/07,86.63,86.65,86.55,86.61,0
1995/02/08,86.55,86.67,86.52,86.64,0
1995/02/09,86.63,86.71,86.56,86.6,0
1995/02/10,86.56,86.61,86.51,86.61,0
1995/02/13,86.52,86.58,86.51,86.57,0
1995/02/14,86.55,86.58,86.52,86.56,0
1995/02/15,86.68,86.72,86.66,86.72,0
1995/02/16,86.83,86.87,86.73,86.78,0
1995/02/17,86.8,86.83,86.68,86.78,0
1995/02/20,86.71,86.72,86.64,86.7,0
