Date,Open,High,Low,Close,Vol
1998/11/04,63.25015,63.65635,63.25015,63.62515,29238
1998/11/05,63.62515,63.65635,63.31265,63.46885,27129
1998/11/06,63.59385,63.87515,61.84385,62.37515,48398
1998/11/09,63.71885,64.03135,63.59385,64.03135,27355
1998/11/10,63.75015,64.46885,63.59385,64.09385,23159
1998/11/11,64.03135,64.15635,64.00015,64.12515,43475
1998/11/12,64.59385,64.81265,64.50015,64.71885,43475
1998/11/13,64.59385,64.84385,64.15635,64.53135,32144
1998/11/16,64.06265,64.28135,63.84385,64.18765,24169
1998/11/17,63.59385,63.78135,63.53135,63.56265,14986
1998/11/18,64.68765,64.68765,64.43765,64.65635,27130
1998/11/19,64.59385,64.87515,64.53135,64.71885,37015
1998/11/20,64.62515,65.50015,64.53135,65.03135,32956
1998/11/23,64.31265,64.31265,63.96885,64.03135,27903
1998/11/24,64.65635,64.81265,64.65635,64.68765,15017
1998/11/25,64.53135,65.06265,64.53135,65.06265,31384
1998/11/27,65.15635,65.34385,65.15635,65.25015,17431
1998/11/30,66.65635,66.81265,66.65635,66.71885,315
1998/12/01,66.96885,67.06265,66.87515,66.93765,12202
1998/12/02,67.25015,67.71885,67.18765,67.59385,34818
1998/12/03,67.34385,67.56265,67.21885,67.34385,5506
1998/12/04,67.34385,67.56265,66.43765,66.53135,49964
1998/12/07,66.46885,66.90635,66.31265,66.68765,11025
1998/12/08,67.03135,67.50015,66.93765,67.37515,15821
1998/12/09,67.56265,67.56265,67.31265,67.56265,20161
1998/12/10,67.59385,67.75015,67.53135,67.62515,37691
1998/12/11,67.65635,67.93765,66.53135,66.68765,25899
1998/12/14,67.37515,67.40635,67.00015,67.18765,25256
1998/12/15,66.25015,66.40635,66.25015,66.37515,18101
1998/12/16,66.71885,67.03135,66.65635,66.84385,22722
1998/12/17,66.71885,66.71885,66.46885,66.62515,24585
1998/12/18,66.71885,66.71885,66.31265,66.56265,25846
1998/12/22,64.56265,64.59385,64.56265,64.59385,3896
1998/12/23,63.65635,63.65635,63.56265,63.62515,33314
1998/12/24,63.65635,64.00015,63.09385,63.09385,11024
1998/12/28,64.18765,64.31265,64.18765,64.31265,6509
1998/12/29,64.78135,64.84385,64.78135,64.84385,3473
1998/12/30,64.93765,65.03135,64.84385,64.84385,6373
1998/12/31,64.93765,65.15635,64.43765,64.81265,8090
1999/01/04,64.50015,64.68765,64.28135,64.37515,1991
1999/01/06,64.56265,64.62515,64.56265,64.62515,25380
1999/01/07,63.53135,63.53135,63.50015,63.50015,22245
1999/01/08,63.53135,63.62515,62.12515,62.12515,39271
1999/01/11,61.65635,61.68765,61.59385,61.65635,26476
1999/01/12,62.59385,62.59385,62.59385,62.59385,40763
1999/01/13,63.09385,63.15635,63.03135,63.15635,44351
1999/01/14,64.31265,64.31265,64.28135,64.31265,111954
1999/01/15,64.28135,64.96885,63.37515,63.56265,39916
1999/01/19,63.65635,63.75015,63.65635,63.68765,56450
1999/01/20,63.12515,63.21885,63.09385,63.18765,18264
1999/01/21,63.90635,64.00015,63.90635,63.96885,33472
1999/01/22,63.90635,64.84385,63.84385,64.75015,36570
1999/01/25,64.37515,64.43765,64.37515,64.40635,45377
