Date,Open,High,Low,Close,Vol
2000/08/31,648.25,649.5,648.25,649,475
2000/09/01,650.5,651,650,650.75,671
2000/09/05,651.75,652.75,649.75,651.25,1628
2000/09/06,651.75,651.75,651,651.5,606
2000/09/07,648.25,648.5,647.5,647.5,331
2000/09/08,647.75,649.25,647.75,648.25,239
2000/09/11,649.75,649.75,648.75,649,496
2000/09/12,651.25,652.75,650.75,652,1007
2000/09/13,648.75,649.5,648,649.5,215
2000/09/14,646.25,647,645.75,646,424
2000/09/15,644.25,644.25,643.75,644.25,298
2000/09/18,642.25,642.75,641.75,641.75,583
2000/09/19,643.25,643.25,642.75,642.75,354
2000/09/20,642,642.5,641.75,642,246
2000/09/21,642.75,642.75,642.25,642.75,467
2000/09/22,644.75,645,644,644.75,496
2000/09/25,648.25,648.75,647.25,648.25,718
2000/09/26,648.5,649.5,648,648.75,661
2000/09/27,648.75,649,647.25,647.75,223
2000/09/28,648.75,649.75,648.75,649.75,153
2000/09/29,650.25,651.75,649.75,651,715
2000/10/02,651.5,652.75,651.5,651.5,818
2000/10/03,653.5,655.25,653.5,655,803
2000/10/04,657.75,658.25,656.75,657.25,689
2000/10/05,658.75,658.75,657.75,658.5,977
2000/10/06,657.75,658.25,657.75,657.75,283
2000/10/09,657.5,657.75,657.25,657.25,325
2000/10/10,655.75,656,655.25,655.75,505
2000/10/11,658,658.25,657.75,657.75,599
2000/10/12,658.75,659.25,657.75,659.25,1117
2000/10/13,662.25,662.5,661.75,662.25,562
2000/10/16,662.25,663.25,662.25,663.25,458
2000/10/17,661.5,661.75,661.25,661.5,489
2000/10/18,661.75,662,661.5,661.5,193
2000/10/19,660.75,661.5,660.75,661,269
2000/10/20,661,661.5,661,661.25,373
2000/10/23,659.75,659.75,659,659,512
2000/10/24,657.75,658.25,657.75,658,349
2000/10/25,658.5,658.5,658.25,658.25,525
2000/10/26,657.75,658.25,657.75,657.75,583
2000/10/27,656.75,657,656.5,656.5,658
2000/10/30,655.5,655.75,655,655.25,1149
2000/10/31,655,655.5,654.5,654.5,1438
2000/11/02,661.25,664.5,661.25,663.25,1517
2000/11/03,666.5,667.25,666.5,666.75,431
2000/11/06,667.75,668.5,667.75,668,268
2000/11/07,668.25,668.25,668,668.25,324
2000/11/08,669.5,669.75,669.25,669.75,351
2000/11/09,670.5,670.75,670,670,472
2000/11/10,668.25,668.5,668,668,159
2000/11/13,666.75,666.75,666.25,666.5,113
2000/11/14,665.75,666.25,665.75,666.25,249
2000/11/15,663.5,663.75,663.25,663.25,313
2000/11/16,662.25,663,662,663,357
2000/11/17,663.25,665.25,663.25,664,637
2000/11/20,665.75,667,665.25,667,475
2000/11/21,665.25,665.75,665,665,593
2000/11/22,665.25,665.5,665,665,289
2000/11/24,665.75,665.75,665.25,665.5,396
2000/11/27,666,667.25,665.5,667.25,357
2000/11/28,665.25,665.25,664.5,664.5,139
2000/12/01,662.25,662.25,662.25,662.25,1
2000/12/04,662.25,662.25,662,662,1
2000/12/14,660.75,660.75,660.75,660.75,3
2000/12/18,660.75,664.75,660.75,664.75,3
2000/12/21,667.25,667.25,667.25,667.25,1
2000/12/28,670.25,671.5,670.25,671,1249
2000/12/29,671.75,671.75,671.25,671.75,396
2001/01/02,673.25,673.5,672.25,673.5,768
2001/01/03,668.75,669.25,668.75,669,147
2001/01/04,671.75,672.75,671.75,671.75,435
2001/01/05,671.75,671.75,670.75,671.5,191
2001/01/08,667.5,667.5,666.25,666.5,398
2001/01/09,667.25,667.75,666.75,667.75,656
2001/01/10,669.25,669.75,669.25,669.75,213
2001/01/11,671.25,672.75,671,672.25,922
2001/01/12,664,664.75,663.75,664.75,1061
2001/01/16,660.75,660.75,659.25,660.25,1466
2001/01/17,657.75,658.75,657.25,658,957
2001/01/18,659.25,660.75,659.25,660.5,519
2001/01/19,660,661.25,659.75,660.25,940
