Date,Open,High,Low,Close,Vol
2002/1/7,38.43,38.6,38.43,38.6,467
2002/1/8,38.79,38.81,38.76,38.76,41
2002/1/9,38.92,38.95,38.79,38.79,467
2002/1/10,38.66,38.66,38.65,38.66,52
2002/1/11,38.36,38.46,38.36,38.41,22
2002/1/14,38.38,38.55,38.36,38.44,412
2002/1/15,38.11,38.11,38.05,38.05,22
2002/1/16,37.9,38.04,37.9,38.03,75
2002/1/17,37.94,38,37.91,37.92,152
2002/1/18,37.95,37.95,37.95,37.95,152
2002/1/22,38.06,38.07,37.94,37.94,3
2002/1/23,37.96,37.98,37.95,37.98,15
2002/1/24,37.97,37.97,37.96,37.97,3
2002/1/25,37.9,37.9,37.89,37.89,8
2002/1/28,37.45,37.49,37.38,37.49,139
2002/1/29,37.49,37.49,37.49,37.49,19
2002/1/30,37.63,37.66,37.59,37.59,10
2002/1/31,37.64,37.68,37.64,37.66,61
2002/2/1,37.53,37.54,37.53,37.54,17
2002/2/4,37.7,37.76,37.64,37.65,43
2002/2/5,37.93,37.96,37.87,37.92,174
2002/2/6,37.96,38.04,37.96,38.04,10
2002/2/7,37.67,37.67,37.6,37.63,110
2002/2/8,37.76,37.84,37.76,37.84,132
2002/2/11,37.61,37.72,37.61,37.72,4
2002/2/12,37.87,37.87,37.87,37.87,4
2002/2/14,38.04,38.04,37.96,38.04,84
2002/2/15,37.69,37.76,37.69,37.74,37
2002/2/19,37.97,37.99,37.9,37.91,32
2002/2/20,38.19,38.19,38.16,38.16,37
2002/2/21,38.19,38.34,38.16,38.34,60
2002/2/22,38.17,38.24,38.17,38.24,84
2002/2/24,38.17,38.24,38.08,38.08,84
2002/2/26,38.08,38.08,38.08,38.08,84
2002/2/27,37.93,37.93,37.9,37.93,5
2002/2/28,37.69,37.74,37.66,37.74,71
2002/3/1,37.68,37.73,37.63,37.63,53
2002/3/4,38.23,38.23,38.09,38.11,265
2002/3/5,38.1,38.13,38.1,38.11,25
2002/3/6,38.38,38.38,38.33,38.34,265
2002/3/7,38.34,38.53,38.18,38.46,77
2002/3/8,38.48,38.48,38.43,38.43,25
2002/3/11,38.58,38.64,38.58,38.58,44
2002/3/12,38.64,38.64,38.57,38.57,10
2002/3/13,38.7,38.73,38.68,38.73,30
2002/3/14,38.67,38.73,38.67,38.73,45
2002/3/15,39.06,39.09,39.04,39.09,30
2002/3/18,39.2,39.24,39.18,39.18,9
2002/3/19,38.63,38.63,38.58,38.58,52
2002/3/20,38.63,38.63,38.58,38.59,8
2002/3/21,38.27,38.31,38.27,38.31,43
2002/3/22,38.29,38.29,38.29,38.29,43
2002/3/25,38.25,38.33,38.25,38.26,32
2002/3/26,38.1,38.23,38.1,38.23,54
2002/3/27,38.2,38.2,38.2,38.2,1
2002/3/28,38.26,38.32,38.21,38.32,21
2002/4/1,38.65,38.65,38.63,38.64,35
