Date,Open,High,Low,Close,Vol
2002/1/7,-382.3,-379.2,-382.4,-380.5,33
2002/1/8,-381.7,-381.6,-381.7,-381.7,21
2002/1/9,-380.5,-380.1,-380.9,-380.9,33
2002/1/10,-377.6,-377.2,-378,-377.6,159
2002/1/11,-378.7,-378.7,-378.7,-378.7,11
2002/1/14,-371.4,-370.6,-371.4,-370.9,158
2002/1/15,-368.4,-368.1,-368.6,-368.1,11
2002/1/16,-368.2,-368.2,-368.9,-368.9,17
2002/1/17,-363.4,-362.9,-364,-363.3,339
2002/1/18,-364.5,-364.3,-364.5,-364.3,5
2002/1/22,-368.3,-366.9,-368.3,-366.9,47
2002/1/23,-371,-370.8,-371.1,-371.1,119
2002/1/24,-375,-374.4,-375,-374.4,47
2002/1/25,-373.2,-372.6,-373.2,-373.2,18
2002/1/28,-376.9,-375.9,-377.4,-377.4,10
2002/1/29,-372.7,-372.6,-373.2,-373.2,85
2002/1/30,-376.2,-376.2,-376.2,-376.2,14
2002/1/31,-376.2,-375.9,-376.2,-376.2,10
2002/2/1,-374.5,-374.4,-375.1,-375.1,230
2002/2/4,-377,-376.2,-377,-376.2,80
2002/2/5,-375.6,-375.6,-375.6,-375.6,6
2002/2/6,-375.7,-375.3,-375.7,-375.3,3
2002/2/7,-376.9,-376.9,-377.3,-377.3,3
2002/2/8,-376.3,-376.3,-376.3,-376.3,21
2002/2/11,-378.1,-377.6,-378.6,-378.5,31
2002/2/12,-378.5,-378.1,-378.5,-378.1,23
2002/2/13,-376.4,-376.2,-376.4,-376.2,9
2002/2/14,-376.1,-376.1,-376.6,-376.6,23
2002/2/15,-377.4,-377.4,-377.4,-377.4,1
2002/2/18,-377.4,-377.4,-377.4,-377.4,1
2002/2/20,-378.2,-378.2,-378.2,-378.2,1
2002/2/21,-375.1,-375,-375.1,-375.1,7
2002/2/22,-374,-373.6,-374.3,-373.6,13
2002/2/25,-375.1,-375.1,-375.1,-375.1,2
2002/2/26,-375.1,-375.1,-377,-377,13
2002/2/27,-376.2,-376.2,-376.2,-376.2,13
2002/2/28,-371.5,-371.5,-372.5,-372.5,35
2002/3/1,-374.1,-373.9,-374.4,-374.4,48
2002/3/4,-372.2,-372.2,-373.7,-373.7,32
2002/3/5,-371.4,-370.2,-371.7,-370.2,87
2002/3/6,-370.7,-370.4,-371.2,-370.5,32
2002/3/7,-372.2,-369.4,-373.2,-369.4,41
2002/3/8,-371,-371,-371.7,-371.1,45
2002/3/11,-368.7,-368.7,-369.4,-369.4,18
2002/3/12,-369.1,-368.9,-369.2,-369.2,66
2002/3/13,-370.5,-369.8,-370.5,-369.8,15
2002/3/14,-369,-368.9,-369,-369,10
