Date,Open,High,Low,Close,Vol
2000/05/22,39.10915,39.10915,39.10915,39.10915,5
2000/05/23,39.3904,39.42165,39.34353,39.42165,1
2000/05/24,39.49978,39.6404,39.49978,39.5779,63
2000/05/25,39.15603,39.23415,38.8904,39.2029,3619
2000/05/26,39.81228,39.98415,39.81228,39.85915,3077
2000/05/30,40.03103,40.06228,40.03103,40.06228,2504
2000/05/31,40.59353,40.62478,40.59353,40.62478,12116
2000/06/01,41.0779,41.1404,41.0779,41.12478,14113
2000/06/02,41.0779,42.48415,41.0154,41.17165,14168
2000/06/05,41.65603,41.65603,41.6404,41.6404,19866
2000/06/06,41.56228,41.56228,41.54665,41.54665,12289
2000/06/07,41.54665,41.54665,41.53103,41.54665,13054
2000/06/08,41.56228,41.56228,41.49978,41.53103,11694
2000/06/09,41.56228,41.6404,41.48415,41.56228,14403
2000/06/12,41.81228,41.81228,41.79665,41.79665,12722
2000/06/13,41.60915,41.62478,41.60915,41.62478,2656
2000/06/14,42.09353,42.09353,42.09353,42.09353,17850
2000/06/15,42.06228,42.06228,42.06228,42.06228,16701
2000/06/16,42.06228,42.12478,41.92165,42.10915,17843
2000/06/19,42.31228,42.3279,42.31228,42.31228,11042
2000/06/20,42.17165,42.18728,42.17165,42.18728,7128
2000/06/21,41.60915,41.60915,41.60915,41.60915,11774
2000/06/22,41.54665,41.56228,41.54665,41.54665,18299
2000/06/23,41.54665,41.7029,41.5154,41.60915,13987
2000/06/26,41.71853,41.71853,41.7029,41.7029,12913
2000/06/27,41.7654,41.7654,41.7654,41.7654,8218
2000/06/28,41.7029,41.71853,41.68728,41.71853,16460
2000/06/29,42.1404,42.2029,42.1404,42.18728,12134
2000/06/30,42.1404,42.34353,42.1404,42.29665,16891
2000/07/03,42.23415,42.29665,42.04665,42.15603,10535
2000/07/05,42.7654,42.7654,42.7654,42.7654,6089
2000/07/06,42.34353,42.34353,42.3279,42.3279,19740
2000/07/07,42.34353,42.74978,42.2029,42.42165,21157
2000/07/10,42.48415,42.49978,42.48415,42.49978,17330
2000/07/11,42.37478,42.3904,42.37478,42.3904,8771
2000/07/12,42.15603,42.17165,42.15603,42.17165,11544
2000/07/13,42.71853,42.7654,42.71853,42.73415,13300
2000/07/14,42.71853,42.92165,41.96853,41.96853,12064
2000/07/17,41.59353,41.59353,41.5779,41.5779,16117
2000/07/18,41.67165,41.67165,41.67165,41.67165,14091
2000/07/19,41.6404,41.65603,41.6404,41.65603,21571
2000/07/20,42.65603,42.65603,42.6404,42.65603,14855
2000/07/21,42.65603,42.7029,42.49978,42.6404,8427
2000/07/24,42.4529,42.5154,42.4529,42.49978,19250
