Date,Open,High,Low,Close,Vol
2000/08/31,1328.25,1330,1328.25,1328.5,71
2000/09/01,1332,1335,1332,1334.5,165
2000/09/05,1332.5,1336,1332.5,1335,334
2000/09/06,1333,1333.5,1332,1333.5,157
2000/09/07,1328,1328.5,1327.75,1327.75,41
2000/09/08,1329.75,1331,1329.5,1331,98
2000/09/11,1330.25,1330.25,1328.25,1328.5,145
2000/09/12,1329,1330.25,1329,1330.25,178
2000/09/13,1325.5,1326.75,1325,1326.75,146
2000/09/14,1320.5,1320.75,1320.25,1320.25,79
2000/09/15,1318,1318.5,1317.5,1318.5,100
2000/09/18,1317.5,1317.5,1316,1316.25,199
2000/09/19,1320,1320.5,1319.25,1320.5,112
2000/09/20,1312.75,1313.25,1312,1312,173
2000/09/21,1312.75,1314,1311,1311,384
2000/09/22,1311.25,1312.25,1310.75,1311.5,101
2000/09/25,1315.5,1319,1315.5,1319,278
2000/09/26,1317.75,1318.5,1317.25,1318.25,55
2000/09/27,1318.75,1319,1317,1317,122
2000/09/28,1322.75,1323.75,1322.5,1323.75,269
2000/09/29,1323.25,1323.5,1322,1322,229
2000/10/02,1329.5,1336,1329.5,1334.5,843
2000/10/03,1331.25,1333,1330,1333,142
2000/10/04,1332,1332.5,1330.75,1330.75,176
2000/10/05,1330.5,1331.5,1329.25,1329.25,306
2000/10/06,1331,1331.5,1330,1330.5,48
2000/10/09,1333.25,1333.25,1331.5,1331.5,436
2000/10/10,1331.5,1332,1330.5,1331,61
2000/10/11,1339.25,1339.5,1337.5,1337.5,252
2000/10/12,1340.75,1341.25,1339,1341.25,292
2000/10/13,1336.5,1337.25,1336,1336.75,218
2000/10/16,1331,1334,1329.5,1330,301
2000/10/17,1335,1338,1335,1335.5,210
2000/10/18,1332,1334,1330.75,1330.75,55
2000/10/19,1328,1328.75,1327.5,1328.75,176
2000/10/20,1323.75,1325,1322.5,1323.5,195
2000/10/23,1324,1324,1323,1324,114
2000/10/24,1321.75,1322.5,1321.25,1322.5,51
2000/10/25,1321.5,1321.75,1320.5,1320.5,72
2000/10/26,1319,1320,1318.75,1319.5,52
2000/10/27,1320.5,1321.5,1320.25,1320.25,44
2000/10/30,1323,1324.5,1322.25,1324.5,137
2000/10/31,1320,1320,1317.5,1317.5,110
2000/11/02,1319,1322,1319,1320.75,154
2000/11/03,1324,1326,1324,1325.5,91
2000/11/06,1328,1329.5,1327.75,1329.5,113
2000/11/07,1327,1327,1325.5,1325.5,127
2000/11/08,1327.25,1327.5,1326.25,1327.25,71
2000/11/09,1329.75,1330.25,1329.75,1330.25,153
2000/11/10,1322.25,1322.25,1320,1320.25,210
2000/11/13,1322,1322,1319.5,1321,98
2000/11/14,1322,1322,1320.75,1322,69
2000/11/15,1320,1322,1319.5,1319.5,90
2000/11/16,1318.5,1319.25,1317,1317,158
2000/11/17,1319,1320.25,1319,1320.25,52
2000/11/20,1320.5,1322,1320.5,1321.75,94
2000/11/21,1319,1320.5,1318.5,1319.75,134
2000/11/22,1319.25,1322,1317.75,1321.5,140
2000/11/24,1323,1327,1322,1324.25,166
2000/11/27,1325,1325.75,1324.75,1325,57
2000/11/28,1321.25,1321.25,1319.5,1320.5,102
2000/11/29,1320.25,1321,1319.75,1321,90
2000/11/30,1316.75,1318,1316.5,1317,355
2000/12/01,1321,1321.75,1321,1321,131
2000/12/04,1325.5,1325.5,1323,1323,194
2000/12/05,1326.5,1327,1326.5,1326.5,90
2000/12/06,1324,1324,1322.75,1323.25,112
2000/12/07,1324.25,1327,1324,1324.25,209
2000/12/08,1317,1317.5,1313.5,1314.5,567
2000/12/11,1321.5,1321.5,1318,1318,132
2000/12/12,1317.5,1318.5,1317,1317,60
2000/12/13,1316.5,1319,1316.5,1318,120
2000/12/14,1317,1319,1317,1319,117
2000/12/15,1315,1316,1314.5,1314.5,40
2000/12/18,1312.5,1315,1312,1313.75,259
2000/12/19,1316,1316.5,1314,1316.5,40
2000/12/20,1321,1321.25,1319.75,1320.5,82
2000/12/21,1318,1318.75,1317.5,1318.75,45
2000/12/22,1320,1322.75,1320,1322.75,258
2000/12/27,1321,1321.5,1320,1321,57
2000/12/28,1319.5,1320.5,1319,1319,56
2000/12/29,1318.5,1320,1318.5,1319.75,37
2001/01/02,1325.5,1325.5,1324,1324.25,295
2001/01/03,1323.25,1323.75,1322.5,1322.75,90
2001/01/04,1330,1330.25,1329.5,1330,352
2001/01/05,1331.5,1331.5,1331,1331.25,218
2001/01/08,1330.5,1330.5,1328.25,1328.25,138
2001/01/09,1329.5,1330,1328,1328,276
2001/01/10,1331.5,1333,1331.5,1332.5,152
2001/01/11,1335.5,1336,1335,1335.25,237
2001/01/12,1336,1336.5,1335,1335,243
2001/01/16,1334.75,1335,1334,1334,181
2001/01/17,1331.5,1331.5,1330,1330,269
2001/01/18,1330.5,1331.25,1330,1331.25,127
2001/01/19,1331.5,1333,1331.25,1332.5,79
2001/01/22,1333,1333.25,1332,1333,127
2001/01/23,1332.5,1333,1331.5,1332.25,79
2001/01/24,1333,1333.5,1332.75,1333.5,36
2001/01/25,1332.5,1332.5,1332,1332,40
2001/01/26,1326,1327.5,1325.75,1325.75,184
2001/01/29,1323,1323.25,1321.75,1321.75,40
2001/01/30,1316.25,1318,1316,1318,144
2001/01/31,1317.5,1318,1315,1318,129
2001/02/01,1320.5,1320.5,1319.5,1320,49
2001/02/02,1318,1318,1316.25,1316.25,106
2001/02/05,1319.5,1323,1318.5,1318.5,114
2001/02/06,1314.5,1315.5,1312.75,1314.5,462
2001/02/07,1314,1314,1313.25,1314,23
2001/02/08,1314,1314.75,1314,1314.5,49
2001/02/09,1314,1314.5,1314,1314.25,23
2001/02/12,1313,1314.25,1312.75,1313,52
2001/02/14,1310.5,1312,1310,1312,141
2001/02/15,1315,1315.5,1314.75,1315.5,162
2001/02/16,1314,1316,1314,1316,174
2001/02/20,1312.25,1315,1312.25,1314,162
2001/02/21,1314,1314,1313.25,1314,28
2001/02/22,1309.5,1310,1309.25,1310,83
2001/02/26,1307,1307,1306.5,1306.75,62
2001/02/27,1304.75,1306.25,1304.75,1306.25,53
2001/02/28,1304.75,1306,1304,1304,195
2001/03/01,1312,1314.75,1311.75,1314.25,176
2001/03/02,1312,1318.75,1312,1315.25,139
2001/03/06,1319.25,1319.75,1318.75,1319.75,259
2001/03/07,1317.75,1318.25,1316.5,1317.75,67
2001/03/08,1315.25,1317.5,1314.25,1317.5,161
2001/03/09,1314.75,1316.25,1314.25,1314.75,46
2001/03/12,1313.75,1316.25,1313.75,1315.75,81
2001/03/13,1321,1322.75,1320.25,1321.75,393
2001/03/14,1320.25,1322,1319.5,1322,140
2001/03/15,1319.5,1319.75,1318.25,1318.75,133
2001/03/16,1308.5,1309.25,1307.75,1307.75,266
2001/03/19,1304.75,1306,1304.75,1306,97
2001/03/20,1304.25,1304.25,1302.25,1303.5,68
2001/03/21,1306,1306,1304.5,1304.5,108
2001/03/22,1301.75,1302.75,1300.75,1302.25,58
2001/03/23,1295,1296.5,1295,1296.25,196
2001/03/26,1298,1299.75,1298,1299.25,70
2001/03/27,1302.75,1304.25,1302,1304,178
2001/03/28,1301.5,1303.75,1301.25,1303.75,50
2001/03/29,1300.75,1300.75,1298.5,1299.75,101
2001/04/02,1294.75,1295.25,1293.75,1295.25,22
2001/04/04,1297,1298,1297,1298,29
2001/04/05,1301.25,1302.75,1301,1302.25,60
2001/04/06,1300.75,1301.5,1300.25,1301.5,16
2001/04/09,1297.25,1299.25,1297.25,1298.75,25
2001/04/10,1296.25,1297.75,1296.25,1296.5,64
2001/04/11,1292.5,1292.5,1291.25,1291.75,160
2001/04/12,1296,1297.75,1296,1297.75,89
2001/04/16,1302,1305.25,1302,1305.25,87
2001/04/17,1304.25,1305.25,1302.75,1304.25,55
2001/04/18,1300.5,1302.25,1300.25,1300.5,45
2001/04/19,1303.75,1304.25,1302.75,1304.25,43
2001/04/20,1301.75,1302.5,1301.75,1302.5,10
2001/04/23,1302,1303,1302,1302.75,66
2001/04/24,1298.5,1300,1298.5,1299.5,6
2001/04/25,1299.25,1299.75,1299.25,1299.75,25
2001/04/26,1303,1305,1303,1305,6
2001/04/27,1305,1305.25,1303.5,1303.5,42
2001/04/30,1302,1303,1300.5,1302.5,137
2001/05/01,1309.25,1310.75,1308.75,1309.5,548
2001/05/02,1305.5,1305.5,1304.5,1304.75,193
2001/05/03,1301.75,1302.5,1301.75,1301.75,178
2001/05/04,1297.75,1298,1296.75,1297.25,102
2001/05/07,1297.5,1300,1296.75,1298.75,178
2001/05/08,1294.5,1295.25,1293.25,1294.5,138
2001/05/09,1291,1292,1291,1291.25,79
2001/05/10,1289.75,1290.25,1288.25,1289.25,156
2001/05/11,1293.75,1294.75,1293,1293.25,95
2001/05/14,1295.5,1299.75,1295.5,1299.25,181
2001/05/15,1303.5,1306,1303.25,1303.75,401
2001/05/16,1301.25,1301.75,1300.75,1301.25,203
2001/05/17,1300,1300,1299,1299.25,121
2001/05/18,1300.25,1301.25,1299.25,1299.75,102
2001/05/21,1295,1295,1293.25,1294,169
2001/05/22,1288.75,1289.25,1287.25,1287.25,293
2001/05/23,1284.25,1286.25,1284.25,1286.25,87
2001/05/24,1284.75,1286,1284.75,1286,72
2001/05/25,1286,1286.75,1286,1286.75,34
2001/05/29,1284.75,1286.5,1284.5,1284.75,272
2001/05/30,1290,1291.75,1290,1291.75,149
2001/05/31,1288.5,1289,1288.25,1289,277
2001/06/01,1291,1293.25,1291,1293.25,149
2001/06/04,1293.75,1294,1289.25,1293.75,227
2001/06/05,1287.25,1287.75,1287.25,1287.75,195
2001/06/06,1284.25,1284.75,1283.75,1283.75,93
2001/06/07,1286.25,1287.75,1286.25,1287,153
2001/06/08,1288.5,1289.25,1287.5,1289.25,63
2001/06/12,1285.75,1286,1284.75,1284.75,119
2001/06/13,1287,1288.75,1287,1288.75,94
2001/06/14,1286,1286.25,1283.5,1283.5,323
2001/06/15,1282.25,1283,1282.25,1282.5,94
2001/06/18,1280.25,1280.75,1279.25,1280.75,328
2001/06/19,1287.25,1288.25,1287.25,1288.25,279
2001/06/20,1285.25,1286.25,1285.25,1286.25,328
2001/06/21,1278.75,1280.25,1278.75,1279.25,69
2001/06/22,1279.25,1280.25,1279,1279,71
2001/06/25,1275.25,1276.25,1275.25,1275.25,62
2001/06/26,1269.5,1272.25,1269.25,1272.25,119
2001/06/27,1272,1272.75,1272,1272.75,50
2001/06/28,1271.5,1273.25,1271.5,1273,111
2001/06/29,1268,1269.25,1268,1268.75,105
2001/07/02,1269.5,1271,1269.5,1271,54
2001/07/03,1274.25,1275.25,1274,1274.5,67
2001/07/05,1278,1278,1276.5,1277.25,95
2001/07/06,1280.25,1280.5,1279.75,1280.5,67
2001/07/09,1281,1281,1280,1280.5,269
2001/07/10,1281,1284,1280.5,1283,224
2001/07/11,1283.75,1286,1283.75,1286,242
2001/07/12,1285.25,1292,1285.25,1291,224
2001/07/13,1302.75,1304.75,1300,1300.75,581
2001/07/16,1297.5,1297.5,1295,1296,234
2001/07/17,1295.25,1305.75,1295.25,1303,581
2001/07/18,1302,1303,1296,1298.75,234
2001/07/19,1302,1306.25,1301.25,1304,427
2001/07/20,1303,1304,1301.25,1302,238
2001/07/23,1292.25,1296,1292,1294,427
2001/07/24,1298,1301.5,1298,1301,246
2001/07/25,1294.5,1297.75,1294.5,1297.75,95
2001/07/26,1297,1297.5,1295.5,1296.5,149
2001/07/27,1292.5,1294.5,1292.5,1294.5,95
2001/07/30,1292.75,1294,1292,1292.5,137
2001/07/31,1288,1289,1287.5,1288,117
2001/08/01,1290.5,1292.5,1290,1292.25,71
2001/08/02,1287,1290,1287,1289.5,117
2001/08/03,1282.5,1284.5,1282.5,1283.25,71
2001/08/06,1277.75,1279.5,1277.5,1278,15
2001/08/07,1279.25,1281.25,1279.25,1280.5,59
2001/08/08,1281,1282.5,1281,1282.5,24
2001/08/09,1281.75,1283,1281.75,1283,69
2001/08/10,1284,1285.25,1284,1284.5,24
2001/08/13,1283,1284,1282.5,1284,59
2001/08/14,1285,1285.25,1283,1283,56
2001/08/15,1281.75,1282.25,1281,1282,87
2001/08/16,1279.75,1280,1279.25,1280,56
2001/08/17,1280.25,1282,1280.25,1281,33
2001/08/20,1278,1278,1276.5,1277,13
2001/08/21,1279,1280.5,1279,1280,27
2001/08/22,1281,1281.5,1280.5,1281.5,59
2001/08/23,1284.25,1284.75,1284.25,1284.25,110
2001/08/24,1288.25,1289.75,1288.25,1289,160
2001/08/27,1284.25,1286,1284,1285.75,110
2001/08/28,1286.5,1288.25,1286.5,1288.25,87
2001/08/29,1283,1283,1282,1283,6
2001/08/30,1288,1289,1288,1289,182
2001/08/31,1285.75,1287,1285.5,1287,77
2001/09/04,1289,1289,1286.5,1286.75,29
2001/09/05,1288,1288,1287,1288,48
2001/09/06,1286,1286,1284.5,1285,29
2001/09/07,1281,1281.75,1280,1280,225
2001/09/10,1281.25,1281.25,1279.75,1280,43
2001/09/11,1281,1281,1280.25,1281,225
2001/09/12,1280.75,1280.75,1280.75,1280.75,67
2001/09/14,1283.25,1284,1283,1283.5,77
2001/09/17,1271,1272.25,1269,1272.25,170
2001/09/18,1275.25,1277,1275,1276.5,129
2001/09/19,1268,1268.75,1267,1268,141
2001/09/20,1263.25,1263.75,1261.5,1261.5,129
2001/09/21,1265.75,1267,1265.25,1266.5,66
2001/09/24,1267,1267,1265.75,1266.75,122
2001/09/25,1267,1267.5,1266,1267.25,66
2001/09/26,1270.75,1272,1270.75,1270.75,32
2001/09/27,1276,1277,1275.25,1276,75
2001/09/28,1274.25,1275,1273.75,1275,88
2001/10/01,1270.75,1270.75,1269.75,1270.5,75
2001/10/02,1266,1267.5,1265.5,1266,88
2001/10/03,1264,1264,1262.75,1263.75,88
2001/10/04,1269.75,1271.5,1269.5,1270.5,104
2001/10/05,1273,1273.5,1272.5,1272.5,83
2001/10/08,1273.5,1275.75,1273.5,1275,120
2001/10/09,1272,1272.75,1271.25,1272.75,83
2001/10/10,1275,1275.5,1274,1274.75,38
2001/10/11,1279,1279.5,1279,1279.25,64
2001/10/12,1279.25,1279.75,1278,1278.25,151
2001/10/15,1275.5,1276.25,1274.5,1274.5,117
2001/10/16,1274,1274,1273.25,1273.5,36
2001/10/17,1278.5,1278.5,1277.25,1277.25,112
2001/10/18,1285,1286,1285,1286,161
2001/10/19,1283,1289,1282.25,1285.5,203
2001/10/22,1287.25,1287.5,1286,1287.5,136
2001/10/23,1281.5,1282.5,1281.5,1281.5,65
2001/10/24,1286,1286.75,1286,1286.25,135
2001/10/25,1285.25,1285.25,1283,1283.5,65
2001/10/26,1290,1291,1289.25,1290.75,302
2001/10/29,1295,1295,1293.5,1293.5,24
2001/10/30,1291,1297,1290.5,1296.75,302
2001/10/31,1295.5,1296,1295,1295.25,103
2001/11/01,1291.5,1292.75,1290.75,1292.25,284
2001/11/02,1288.25,1289,1288.25,1289,34
2001/11/05,1285.25,1285.25,1283,1283,166
2001/11/06,1284.5,1286,1284,1284,154
2001/11/07,1286,1287,1286,1287,70
2001/11/08,1287,1288,1287,1287.75,82
2001/11/09,1283.5,1283.75,1283,1283.5,108
2001/11/12,1286,1287.5,1285.5,1285.5,100
2001/11/13,1283,1283,1281,1281,108
2001/11/14,1278,1278.5,1277.25,1277.5,128
2001/11/15,1280.75,1282,1280.75,1282,108
2001/11/16,1280,1280,1279.25,1280,69
2001/11/19,1288.25,1290.75,1288.25,1289.25,117
2001/11/20,1290.25,1290.25,1289.25,1289.25,114
2001/11/21,1286.5,1287.25,1286.5,1287,251
2001/11/23,1287,1289.5,1286.75,1289.5,52
2001/11/26,1289,1289.75,1288.5,1289.5,61
2001/11/27,1277.5,1278.75,1277.5,1278,157
2001/11/28,1279.5,1279.5,1279.25,1279.5,61
2001/11/29,1275.75,1276.5,1274.5,1276,31
2001/11/30,1275.5,1278.5,1275.5,1278.5,94
2001/12/03,1283.5,1283.5,1282.5,1283.5,59
2001/12/04,1280.25,1282,1279.5,1281,84
2001/12/05,1277.25,1278.75,1277,1278.75,44
2001/12/06,1278.75,1279.25,1278,1278,101
2001/12/07,1275.5,1275.5,1274.5,1275.25,85
2001/12/10,1278.75,1280.5,1278.5,1278.5,79
2001/12/11,1276.75,1277,1275.5,1276.5,71
2001/12/12,1280,1280,1279.25,1280,27
2001/12/13,1279.5,1280.5,1278.5,1280.5,82
2001/12/14,1275.75,1275.75,1275.5,1275.75,38
2001/12/17,1280.5,1280.5,1279,1280.25,34
2001/12/18,1279.25,1281,1279.25,1281,60
2001/12/19,1279.5,1280,1277.75,1278.75,95
2001/12/20,1286.75,1287,1286,1286.75,61
2001/12/21,1281,1281.25,1280.5,1281.25,230
2001/12/24,1282.25,1282.25,1282.25,1282.25,230
2001/12/27,1278.5,1284.5,1278.5,1282,170
2001/12/28,1284.5,1286,1284,1286,95
2001/12/31,1283.25,1284.5,1283.25,1284.5,170
2002/01/02,1284,1286,1283.5,1285.5,58
2002/01/03,1286.25,1286.25,1285.25,1285.75,14
2002/01/04,1293.5,1294.75,1293.5,1294.5,253
2002/01/07,1300.5,1301.5,1298.75,1301.5,250
2002/01/08,1298.5,1299,1298,1298,117
2002/01/09,1298.25,1299.5,1298.25,1299.5,250
2002/01/10,1297.25,1297.5,1294.5,1295.5,1153
2002/01/11,1297.5,1298.5,1297,1297,70
2002/01/14,1302.25,1304.5,1301.75,1301.75,194
2002/01/15,1300,1300.5,1299,1299.25,70
