Date,Open,High,Low,Close,Vol
2000/11/08,0.5305,0.5305,0.53,0.53,2
2000/11/10,0.5305,0.5305,0.5236,0.5236,0
2000/11/15,0.5235,0.5235,0.5235,0.5235,0
2000/11/17,0.5235,0.5235,0.5206,0.5214,0
2000/11/22,0.5235,0.5296,0.5132,0.5296,3
2000/11/24,0.5235,0.5296,0.5235,0.526,0
2000/12/08,0.5235,0.5494,0.5235,0.5482,0
2000/12/15,0.55,0.55,0.55,0.55,2
2000/12/22,0.55,0.5571,0.55,0.5567,0
2000/12/29,0.55,0.5602,0.55,0.5602,0
2001/01/03,0.5641,0.5641,0.5641,0.5641,5
2001/01/05,0.5641,0.5715,0.5641,0.5715,0
2001/01/12,0.5641,0.5641,0.5556,0.5556,0
2001/01/19,0.5641,0.5641,0.5561,0.5561,0
2001/01/26,0.5641,0.5641,0.5437,0.5437,0
2001/02/01,0.5437,0.5543,0.5437,0.5543,2
2001/02/02,0.5543,0.5543,0.5519,0.5519,12
2001/02/07,0.5519,0.5519,0.5475,0.5475,0
2001/02/08,0.541,0.541,0.535,0.541,1
2001/02/09,0.541,0.541,0.5334,0.5358,1
2001/02/16,0.541,0.541,0.5229,0.5292,0
2001/02/22,0.522,0.522,0.522,0.522,1
2001/02/23,0.5225,0.524,0.5225,0.5225,5
2001/02/26,0.525,0.525,0.523,0.525,1
2001/03/02,0.528,0.528,0.5251,0.528,0
2001/03/05,0.528,0.5283,0.528,0.5283,5
2001/03/06,0.5182,0.5182,0.5182,0.5182,1
2001/03/09,0.5182,0.5182,0.5082,0.5082,0
2001/03/12,0.5095,0.5095,0.5095,0.5095,1
2001/03/14,0.4955,0.5087,0.4955,0.4955,5
2001/03/16,0.4955,0.4955,0.4922,0.4938,0
2001/03/19,0.5015,0.5015,0.5015,0.5015,1
2001/03/23,0.5015,0.5015,0.4921,0.4962,0
2001/04/03,0.4962,0.4962,0.4871,0.4871,50
2001/04/04,0.4871,0.489,0.4871,0.489,50
2001/04/05,0.489,0.4906,0.489,0.4906,50
2001/04/06,0.4906,0.4977,0.4906,0.4977,50
2001/04/09,0.4977,0.4977,0.4937,0.4937,50
2001/04/10,0.4937,0.4957,0.4937,0.4957,50
