Date,Open,High,Low,Close,Vol
1980/01/25,3202,3202,3202,3202,0
1980/01/28,3228,3228,3228,3228,0
1980/01/29,3268,3293,3268,3293,0
1980/01/30,3294,3294,3294,3294,0
1980/01/31,3253,3253,3253,3253,0
1980/02/01,3260,3260,3241,3241,0
1980/02/04,3328,3328,3328,3328,0
1980/02/05,3314,3314,3314,3314,0
1980/02/06,3305,3305,3305,3305,0
1980/02/07,3271,3271,3271,3271,0
1980/02/08,3266,3266,3266,3266,0
1980/02/11,3321,3321,3321,3321,0
1980/02/13,3350,3350,3349,3349,0
1980/02/14,3350,3350,3340,3340,0
1980/02/15,3253,3253,3253,3253,0
1980/02/19,3180,3275,3165,3165,0
1980/02/20,3120,3120,3120,3120,0
1980/02/21,3138,3138,3138,3138,0
1980/02/22,3200,3200,3085,3120,0
1980/02/25,3130,3162,3130,3162,0
1980/02/26,3180,3190,3140,3145,0
1980/02/27,3175,3186,3175,3186,0
1980/02/28,3180,3195,3145,3145,0
1980/02/29,3144,3160,3110,3110,0
1980/03/03,3187,3190,3184,3184,0
1980/03/04,3180,3180,3175,3175,0
1980/03/05,3200,3245,3200,3224,0
1980/03/06,3220,3220,3165,3165,0
1980/03/07,3150,3150,3100,3135,0
1980/03/10,3125,3155,3125,3155,0
1980/03/11,3160,3160,3130,3130,0
1980/03/12,3145,3148,3116,3116,0
1980/03/13,3100,3100,3050,3063,0
1980/03/14,3110,3110,3105,3105,0
1980/03/17,3040,3070,3040,3040,0
1980/03/18,3127,3128,3127,3127,0
1980/03/19,3151,3155,3139,3140,0
1980/03/20,3160,3160,3105,3105,0
1980/03/21,3190,3200,3190,3200,0
1980/03/24,3170,3200,3170,3180,0
1980/03/25,3120,3160,3099,3099,0
1980/03/26,3100,3115,3100,3100,0
1980/03/27,3020,3050,3020,3045,0
1980/03/28,3015,3015,2970,2970,0
1980/03/31,2975,2975,2940,2960,0
1980/04/01,2960,2960,2945,2945,0
1980/04/02,2980,2980,2960,2980,0
1980/04/03,3000,3005,3000,3005,0
1980/04/07,3011,3011,3011,3011,0
1980/04/08,3010,3030,3010,3030,0
1980/04/09,3002,3008,3002,3008,0
1980/04/10,2990,2995,2970,2988,0
1980/04/11,2997,2997,2986,2986,0
1980/04/14,2986,2990,2940,2942,0
1980/04/15,2930,2945,2924,2924,0
1980/04/16,2950,2950,2949,2949,0
1980/04/17,2950,2959,2945,2945,0
1980/04/18,2915,2930,2898,2898,0
1980/04/21,2890,2890,2850,2868,0
1980/04/22,2863,2895,2863,2895,0
1980/04/23,2882,2900,2868,2900,0
1980/04/24,2893,2900,2885,2900,0
1980/04/25,2987,2987,2915,2915,0
1980/04/28,2860,2860,2840,2855,0
1980/04/29,2850,2855,2834,2855,0
1980/04/30,2830,2830,2785,2792,0
1980/05/01,2750,2790,2728,2740,0
1980/05/02,2735,2753,2680,2753,0
1980/05/05,2734,2735,2730,2731,0
1980/05/06,2737,2740,2720,2720,0
1980/05/07,2750,2750,2750,2750,0
1980/05/08,2830,2830,2780,2780,0
1980/05/09,2760,2775,2760,2775,0
1980/05/12,2790,2790,2731,2731,0
1980/05/13,2687,2687,2670,2670,0
1980/05/14,2673,2675,2660,2675,0
1980/05/15,2650,2650,2630,2640,0
1980/05/16,2639,2678,2639,2678,0
1980/05/19,2630,2630,2594,2598,0
1980/05/20,2530,2530,2510,2512,0
1980/05/21,2512,2538,2512,2531,0
1980/05/22,2520,2520,2508,2508,0
1980/05/23,2490,2500,2469,2480,0
1980/05/27,2475,2475,2463,2463,0
1980/05/28,2500,2500,2455,2469,0
1980/05/29,2488,2513,2488,2510,0
1980/05/30,2450,2550,2422,2425,0
1980/06/02,2410,2455,2410,2445,0
1980/06/03,2450,2476,2450,2470,0
1980/06/04,2490,2525,2490,2501,0
1980/06/05,2510,2588,2510,2588,0
1980/06/06,2525,2625,2525,2625,0
1980/06/09,2630,2650,2565,2595,0
1980/06/10,2555,2600,2550,2600,0
1980/06/11,2579,2606,2579,2590,0
1980/06/12,2590,2590,2520,2521,0
1980/06/13,2510,2528,2510,2528,0
1980/06/16,2540,2570,2540,2560,0
1980/06/17,2545,2570,2533,2533,0
1980/06/18,2520,2520,2500,2502,0
1980/06/19,2502,2565,2502,2565,0
1980/06/20,2540,2540,2535,2535,0
1980/06/23,2540,2585,2540,2574,0
1980/06/24,2570,2578,2560,2578,0
1980/06/25,2558,2558,2501,2516,0
1980/06/26,2450,2570,2450,2465,0
1980/06/27,2465,2465,2426,2426,0
1980/06/30,2415,2420,2370,2393,0
1980/07/01,2415,2425,2410,2425,0
1980/07/02,2400,2460,2400,2436,0
1980/07/03,2440,2457,2440,2457,0
1980/07/07,2420,2475,2420,2470,0
1980/07/08,2475,2480,2420,2425,0
1980/07/09,2420,2445,2420,2445,0
1980/07/10,2455,2455,2440,2448,0
1980/07/11,2430,2460,2415,2445,0
1980/07/14,2435,2533,2435,2529,0
1980/07/15,2515,2562,2515,2550,0
1980/07/16,2537,2540,2515,2530,0
1980/07/17,2520,2520,2450,2512,0
1980/07/18,2475,2515,2475,2490,0
1980/07/21,2485,2527,2485,2502,0
1980/07/22,2520,2540,2520,2525,0
1980/07/23,2530,2550,2510,2535,0
1980/07/24,2525,2530,2447,2447,0
1980/07/25,2416,2440,2400,2420,0
1980/07/28,2415,2416,2370,2386,0
1980/07/29,2355,2424,2355,2411,0
1980/07/30,2370,2370,2323,2323,0
1980/07/31,2280,2320,2260,2275,0
1980/08/01,2270,2310,2245,2285,0
1980/08/04,2285,2285,2241,2246,0
1980/08/05,2246,2300,2245,2300,0
1980/08/06,2295,2309,2275,2285,0
1980/08/07,2275,2323,2265,2300,0
1980/08/08,2285,2305,2276,2278,0
1980/08/11,2290,2325,2290,2307,0
1980/08/12,2325,2350,2320,2340,0
1980/08/13,2340,2345,2270,2280,0
1980/08/14,2290,2295,2276,2280,0
1980/08/15,2290,2302,2275,2280,0
1980/08/18,2285,2290,2255,2260,0
1980/08/19,2240,2252,2215,2232,0
1980/08/20,2225,2245,2210,2218,0
1980/08/21,2220,2238,2215,2238,0
1980/08/22,2241,2248,2225,2231,0
1980/08/25,2240,2248,2235,2235,0
1980/08/26,2235,2250,2235,2250,0
1980/08/27,2258,2270,2250,2253,0
1980/08/28,2250,2250,2216,2230,0
1980/08/29,2220,2240,2220,2226,0
1980/09/02,2226,2226,2205,2210,0
1980/09/03,2208,2242,2208,2226,0
1980/09/04,2240,2240,2216,2225,0
1980/09/05,2230,2285,2229,2278,0
1980/09/08,2284,2350,2282,2345,0
1980/09/09,2325,2355,2312,2318,0
1980/09/10,2320,2348,2318,2335,0
1980/09/11,2316,2330,2300,2325,0
1980/09/12,2370,2410,2370,2405,0
1980/09/15,2369,2438,2365,2400,0
1980/09/16,2375,2425,2370,2382,0
1980/09/17,2380,2390,2355,2355,0
1980/09/18,2356,2380,2292,2370,0
1980/09/19,2363,2392,2356,2383,0
1980/09/22,2395,2454,2395,2440,0
1980/09/23,2412,2445,2355,2410,0
1980/09/24,2377,2395,2365,2388,0
1980/09/25,2405,2405,2371,2372,0
1980/09/26,2290,2330,2284,2284,0
1980/09/29,2211,2245,2197,2198,0
1980/09/30,2205,2235,2195,2220,0
1980/10/01,2240,2255,2226,2233,0
1980/10/02,2235,2250,2215,2248,0
1980/10/03,2245,2280,2245,2267,0
1980/10/06,2280,2290,2237,2245,0
1980/10/07,2235,2250,2225,2247,0
1980/10/08,2225,2241,2225,2240,0
1980/10/09,2265,2295,2260,2270,0
1980/10/10,2280,2294,2224,2248,0
1980/10/13,2258,2289,2256,2275,0
1980/10/14,2272,2296,2270,2290,0
1980/10/15,2296,2305,2261,2270,0
1980/10/16,2279,2279,2236,2236,0
1980/10/17,2220,2249,2205,2241,0
1980/10/20,2226,2240,2210,2227,0
1980/10/21,2236,2268,2230,2249,0
1980/10/22,2255,2268,2240,2240,0
1980/10/23,2249,2257,2229,2235,0
1980/10/24,2237,2245,2230,2245,0
1980/10/27,2245,2255,2218,2228,0
1980/10/28,2180,2199,2140,2140,0
1980/10/29,2150,2163,2121,2140,0
1980/10/30,2155,2175,2140,2170,0
1980/10/31,2190,2230,2190,2226,0
1980/11/03,2210,2217,2166,2179,0
1980/11/05,2125,2129,2106,2126,0
1980/11/06,2090,2105,2070,2080,0
1980/11/07,2072,2107,2067,2100,0
1980/11/10,2085,2098,2062,2066,0
1980/11/11,2052,2079,2040,2055,0
1980/11/12,2115,2134,2100,2125,0
1980/11/13,2180,2190,2134,2138,0
1980/11/14,2120,2155,2050,2075,0
1980/11/17,2072,2110,2072,2087,0
1980/11/18,2085,2087,2046,2085,0
1980/11/19,2115,2152,2115,2149,0
1980/11/20,2131,2145,2120,2134,0
1980/11/21,2100,2118,2085,2103,0
1980/11/24,2098,2113,2070,2071,0
1980/11/25,2079,2090,2075,2082,0
1980/11/26,2080,2080,2050,2050,0
1980/11/28,2026,2034,2007,2015,0
1980/12/01,2015,2034,1995,2008,0
1980/12/02,2050,2068,2040,2065,0
1980/12/03,2060,2080,2030,2043,0
1980/12/04,2043,2049,2030,2033,0
1980/12/05,2040,2050,2023,2049,0
1980/12/08,2015,2030,2010,2011,0
1980/12/09,2005,2019,1995,2019,0
1980/12/10,2040,2058,2007,2010,0
1980/12/11,1970,1980,1961,1965,0
1980/12/12,1975,2030,1963,2020,0
1980/12/15,2040,2055,2036,2036,0
1980/12/16,2005,2006,1994,1998,0
1980/12/17,2010,2020,2008,2010,0
1980/12/18,2016,2023,2009,2023,0
1980/12/19,2025,2045,2025,2025,0
1980/12/22,2035,2049,2020,2030,0
1980/12/23,2055,2080,2055,2078,0
1980/12/24,2080,2120,2075,2105,0
1980/12/29,2100,2130,2091,2120,0
1980/12/30,2120,2125,2081,2085,0
1980/12/31,2080,2080,2070,2080,0
1981/01/05,2070,2108,2070,2080,0
1981/01/06,2092,2100,2080,2085,0
1981/01/07,2056,2060,2035,2042,0
1981/01/08,2030,2032,2000,2011,0
1981/01/09,2020,2029,2014,2028,0
1981/01/12,2030,2043,2029,2034,0
1981/01/13,1990,2000,1975,1980,0
1981/01/14,1990,2034,1981,2030,0
1981/01/15,2039,2055,2020,2025,0
1981/01/16,2035,2054,2030,2043,0
1981/01/19,2050,2075,2050,2053,0
1981/01/20,2046,2058,2038,2056,0
1981/01/21,2048,2065,2025,2030,0
1981/01/22,2016,2017,1995,2008,0
1981/01/23,2015,2020,2000,2010,0
1981/01/26,2005,2007,1991,2005,0
1981/01/27,1988,2000,1985,1992,0
1981/01/28,1989,2017,1987,2010,0
1981/01/29,2003,2014,2002,2010,0
1981/01/30,1985,2005,1985,2000,0
1981/02/02,1998,2012,1920,1920,0
1981/02/03,1934,1950,1921,1945,0
1981/02/04,1955,1964,1933,1942,0
1981/02/05,1943,1948,1935,1940,0
1981/02/06,1930,1990,1927,1980,0
1981/02/09,1975,1989,1967,1987,0
1981/02/10,1980,1997,1976,1979,0
1981/02/11,1967,1970,1946,1952,0
1981/02/12,1930,1935,1912,1921,0
1981/02/13,1916,1930,1903,1918,0
1981/02/17,1905,1917,1890,1892,0
1981/02/18,1921,1930,1888,1890,0
1981/02/19,1980,1992,1975,1987,0
1981/02/20,2025,2039,2011,2030,0
1981/02/23,2010,2032,2006,2030,0
1981/02/24,2032,2110,2032,2075,0
1981/02/25,2068,2110,2060,2098,0
1981/02/26,2070,2085,2056,2076,0
1981/02/27,2040,2048,2035,2036,0
1981/03/02,2025,2035,2005,2006,0
1981/03/03,1993,2035,1990,2025,0
1981/03/04,2040,2050,2015,2025,0
1981/03/05,2020,2020,1986,2010,0
1981/03/06,2000,2022,2000,2022,0
1981/03/09,2015,2035,2014,2025,0
1981/03/10,2035,2090,2035,2039,0
1981/03/11,2045,2045,2031,2031,0
1981/03/12,2064,2100,2056,2088,0
1981/03/13,2094,2135,2094,2101,0
1981/03/16,2115,2131,2091,2115,0
1981/03/17,2116,2125,2100,2100,0
1981/03/18,2120,2140,2117,2140,0
1981/03/19,2145,2160,2140,2154,0
1981/03/20,2130,2135,2107,2116,0
1981/03/23,2082,2103,2065,2093,0
1981/03/24,2080,2104,2080,2090,0
1981/03/25,2085,2100,2071,2100,0
1981/03/26,2115,2124,2094,2095,0
1981/03/27,2060,2080,2055,2075,0
1981/03/30,2070,2070,2042,2050,0
1981/03/31,2063,2087,2048,2075,0
1981/04/01,2075,2098,2075,2098,0
1981/04/02,2098,2115,2086,2106,0
1981/04/03,2094,2105,2087,2097,0
1981/04/06,2097,2100,2072,2075,0
1981/04/07,2067,2073,2007,2009,0
1981/04/08,2030,2039,2007,2010,0
1981/04/09,2016,2035,2015,2035,0
1981/04/10,2026,2049,2026,2030,0
1981/04/13,2015,2015,1991,1995,0
1981/04/14,2000,2028,1995,2026,0
1981/04/15,2022,2079,2022,2070,0
1981/04/16,2078,2108,2076,2080,0
1981/04/20,2130,2133,2097,2100,0
1981/04/21,2108,2115,2091,2094,0
1981/04/22,2103,2124,2103,2107,0
1981/04/23,2115,2128,2080,2085,0
