Date,Open,High,Low,Close,Vol
2000/05/23,0.6758,0.6758,0.6725,0.6725,1
2000/05/24,0.6725,0.6735,0.6707,0.6707,4
2000/05/26,0.6725,0.6741,0.6725,0.6741,2
2000/06/02,0.6725,0.6852,0.6725,0.6852,0
2000/06/09,0.6725,0.6857,0.6725,0.6857,0
2000/06/13,0.689,0.689,0.6887,0.6887,5
2000/06/16,0.689,0.6896,0.6856,0.6896,0
2000/06/23,0.689,0.689,0.6819,0.6819,0
2000/06/30,0.689,0.689,0.6819,0.683,0
2000/07/03,0.689,0.689,0.683,0.683,0
2000/07/07,0.689,0.689,0.6811,0.6827,0
2000/07/14,0.689,0.689,0.6821,0.6821,0
2000/07/21,0.689,0.689,0.6866,0.6872,0
2000/07/27,0.6875,0.6875,0.687,0.687,4
2000/07/28,0.6875,0.6875,0.6848,0.6848,4
2000/08/04,0.679,0.679,0.6785,0.6785,1
2000/08/10,0.6815,0.6823,0.6815,0.6823,1
2000/08/11,0.6815,0.6823,0.6815,0.682,1
2000/08/18,0.6815,0.6855,0.6815,0.685,0
2000/08/22,0.6855,0.6855,0.6842,0.6842,1
2000/08/23,0.6795,0.6798,0.6795,0.6798,4
2000/08/24,0.6798,0.6798,0.679,0.679,1
2000/08/25,0.6798,0.6801,0.679,0.6801,2
2000/09/01,0.6801,0.6861,0.6801,0.6853,0
2000/09/08,0.6853,0.6853,0.6833,0.6835,0
2000/09/11,0.6825,0.6835,0.6825,0.6825,0
2000/09/12,0.6815,0.6815,0.6815,0.6815,5
2000/09/15,0.6815,0.6815,0.6786,0.6801,0
2000/09/20,0.68,0.6815,0.68,0.6803,2
2000/09/22,0.68,0.68,0.6768,0.6777,0
2000/09/25,0.68,0.68,0.6771,0.6777,0
2000/09/26,0.678,0.6786,0.678,0.678,1
2000/09/27,0.675,0.675,0.675,0.675,5
2000/09/28,0.672,0.672,0.6715,0.6715,20
2000/09/29,0.6709,0.6715,0.6693,0.6709,5
2000/10/03,0.6687,0.671,0.6687,0.6709,80
2000/10/04,0.672,0.674,0.672,0.673,111
2000/10/06,0.673,0.673,0.673,0.673,10
2000/10/11,0.6705,0.6705,0.6705,0.6705,5
2000/10/12,0.6675,0.6675,0.6675,0.6675,33
2000/10/13,0.6645,0.6685,0.6645,0.6668,3
2000/10/16,0.6645,0.6645,0.663,0.663,3
2000/10/17,0.6645,0.666,0.663,0.6633,12
