Date,Open,High,Low,Close,Vol
1990/09/04,90.56,90.56,90.56,90.56,0
1990/09/05,90.53,90.53,90.53,90.53,0
1990/09/06,90.65,90.65,90.65,90.65,0
1990/09/07,90.35,90.35,90.35,90.35,0
1990/09/10,90.37,90.37,90.37,90.37,0
1990/09/11,90.49,90.49,90.49,90.49,0
1990/09/12,90.66,90.66,90.66,90.66,0
1990/09/13,90.63,90.63,90.63,90.63,0
1990/09/14,90.53,90.53,90.53,90.53,0
1990/09/18,89.38,89.38,89.38,89.38,0
1990/09/19,89.45,89.45,89.45,89.45,0
1990/09/20,88.92,88.92,88.92,88.92,0
1990/09/21,88.5,88.5,88.06,88.06,0
1990/09/24,86.62,86.62,86.6,86.6,0
1990/09/26,86.41,86.41,86.41,86.41,0
1990/09/27,86.8,87.21,86.8,87.21,0
1990/10/02,88.61,88.61,88.61,88.61,0
1990/10/04,88.08,88.08,88.08,88.08,0
1990/10/09,87.3,87.3,86.78,86.78,0
1990/10/10,86.82,86.82,86.81,86.82,0
1990/10/11,86.75,86.75,86.75,86.75,0
1990/10/12,87.1,87.34,87.05,87.34,0
1990/10/15,87.2,87.2,87.2,87.2,0
1990/10/16,86.78,86.83,86.77,86.77,0
1990/10/17,87.25,87.36,87.25,87.36,0
1990/10/18,87.66,87.66,87.66,87.66,0
1990/10/19,88.25,88.25,87.9,87.9,0
1990/10/22,87.48,87.48,87.48,87.48,0
1990/10/23,87.05,87.42,87.05,87.23,0
1990/10/24,87.53,87.53,87.51,87.51,0
1990/10/25,87.75,88.02,87.75,88.02,0
1990/10/26,87.9,88.31,87.9,88.31,0
1990/10/29,87.9,87.9,87.89,87.89,0
1990/10/30,87.71,87.77,87.71,87.77,0
1990/10/31,88,88.46,88,88.46,0
1990/11/01,88.6,88.65,88.52,88.64,0
1990/11/02,88.9,88.9,88.9,88.9,0
1990/11/05,89.1,89.23,89.1,89.23,0
1990/11/06,89.4,89.5,89.4,89.42,0
1990/11/07,89.65,89.75,89.35,89.4,0
1990/11/08,89.35,89.35,89.13,89.27,0
1990/11/09,90.06,90.06,90.06,90.06,0
