Date,Open,High,Low,Close,Vol
1983/03/30,29.25,29.56,29.01,29.4,0
1983/03/31,29.4,29.6,29.25,29.27,0
1983/04/04,29.3,29.7,29.29,29.44,0
1983/04/05,29.5,29.8,29.5,29.71,0
1983/04/06,29.9,29.92,29.65,29.9,0
1983/04/07,29.92,30.2,29.86,30.17,0
1983/04/08,30.65,30.65,30.25,30.38,0
1983/04/11,30.4,30.41,30,30.25,0
1983/04/12,30.5,31,30.5,30.83,0
1983/04/13,30.6,30.95,30.6,30.82,0
1983/04/14,30.7,30.86,30.65,30.82,0
1983/04/15,30.57,30.6,30.35,30.48,0
1983/04/18,30.56,30.8,30.55,30.75,0
1983/04/19,30.7,30.85,30.7,30.75,0
1983/04/20,30.65,30.77,30.6,30.7,0
1983/04/21,30.75,30.75,30.58,30.68,0
1983/04/22,30.62,30.85,30.62,30.75,0
1983/04/25,30.78,30.89,30.78,30.84,0
1983/04/26,30.81,30.85,30.69,30.71,0
1983/04/27,30.8,30.82,30.78,30.78,0
1983/04/28,30.73,30.9,30.68,30.74,0
1983/04/29,30.7,30.74,30.63,30.63,0
1983/05/02,30.66,30.72,30.57,30.61,0
1983/05/03,30.7,30.7,30.45,30.5,0
1983/05/04,30.5,30.55,30.39,30.42,0
1983/05/05,30.47,30.47,30.2,30.2,0
1983/05/06,30.4,30.43,29.95,30.12,0
1983/05/09,30.43,30.43,29.95,30.1,0
1983/05/10,30.1,30.4,30.1,30.31,0
1983/05/11,30.15,30.15,29.95,29.97,0
1983/05/12,29.75,29.85,29.64,29.72,0
1983/05/13,29.65,29.8,29.53,29.8,0
1983/05/16,29.6,30.05,29.6,29.99,0
1983/05/17,29.91,30.15,29.85,29.97,0
1983/05/18,29.85,29.91,29.7,29.9,0
1983/05/19,29.91,30,29.91,29.95,0
1983/05/20,30.1,30.66,30.1,30.3,0
1983/05/23,30.25,30.5,30.25,30.27,0
1983/05/24,30.05,30.07,29.95,30.05,0
1983/05/25,29.95,30.25,29.95,30.25,0
1983/05/26,30.3,30.5,30.3,30.31,0
1983/05/27,30.25,30.48,30.15,30.19,0
1983/05/31,30.05,30.45,30.05,30.25,0
1983/06/01,30.35,30.35,30.2,30.33,0
1983/06/02,30.45,30.45,30.4,30.4,0
1983/06/03,30.35,30.45,30.3,30.36,0
1983/06/06,30.3,30.35,30.3,30.35,0
1983/06/07,30.1,30.6,30.1,30.58,0
1983/06/08,30.59,30.71,30.59,30.6,0
1983/06/09,30.6,30.65,30.45,30.49,0
1983/06/10,30.55,30.8,30.55,30.77,0
1983/06/13,30.86,31.05,30.85,31,0
1983/06/14,30.87,31.15,30.85,30.91,0
1983/06/15,31.05,31.2,31.05,31.2,0
1983/06/16,31.12,31.4,31.02,31.29,0
1983/06/17,31.2,31.36,31.1,31.29,0
1983/06/20,31.37,31.58,31.37,31.42,0
1983/06/21,31.33,31.35,31.15,31.18,0
1983/06/22,31.2,31.2,30.85,30.95,0
1983/06/23,31.17,31.3,31.1,31.1,0
1983/06/24,31.09,31.24,31.05,31.2,0
1983/06/27,31.2,31.3,31.15,31.2,0
1983/06/28,31.05,31.25,31.05,31.24,0
1983/06/29,31.2,31.2,31.15,31.2,0
1983/06/30,31.25,31.4,31.25,31.38,0
1983/07/01,31.42,31.45,31.3,31.35,0
1983/07/05,31.3,31.3,31.23,31.27,0
1983/07/06,31.12,31.2,31,31.2,0
1983/07/07,31.25,31.4,31.25,31.4,0
1983/07/08,31.4,31.45,31.38,31.4,0
1983/07/11,31.5,31.64,31.5,31.64,0
1983/07/12,31.71,31.9,31.71,31.72,0
1983/07/13,31.89,31.92,31.8,31.87,0
1983/07/14,31.8,31.85,31.77,31.85,0
1983/07/15,31.66,31.8,31.66,31.67,0
