Date,Open,High,Low,Close,Vol
1985/11/20,127.85,129.05,127.8,128.86,0
1985/11/21,127.8,128.03,127.48,127.56,0
1985/11/22,127.52,127.68,126.58,126.63,0
1985/11/25,126.7,126.91,126.43,126.64,0
1985/11/26,126.92,126.98,125.85,126.17,0
1985/11/27,126.25,126.55,125.73,126.16,0
1985/11/29,125.25,125.46,124.93,125.18,0
1985/12/02,124.8,125.8,124.69,125.58,0
1985/12/03,126.28,126.55,125.91,126.04,0
1985/12/04,125.5,125.66,125.32,125.44,0
1985/12/05,126.08,126.17,125.45,125.52,0
1985/12/06,125.83,126.3,125.69,126.08,0
1985/12/09,126.3,126.77,126.21,126.52,0
1985/12/10,126.87,127.22,126.78,127.03,0
1985/12/11,127.65,128.18,126.95,127.09,0
1985/12/12,126.51,126.75,126.08,126.58,0
1985/12/13,126.25,126.75,126.11,126.75,0
1985/12/16,126.7,126.83,125.91,126.08,0
1985/12/17,126.05,126.27,125.64,126.23,0
1985/12/18,126.6,127.2,126.6,127.13,0
1985/12/19,126.95,127.05,126.45,126.62,0
1985/12/20,126.7,126.94,126.26,126.44,0
1985/12/23,126.5,126.62,126.05,126.25,0
1985/12/24,126.3,126.32,126,126.04,0
1985/12/26,126.15,126.23,125.8,126.07,0
1985/12/27,125.15,125.19,124.34,124.58,0
1985/12/30,124.4,124.6,123.99,124.25,0
1985/12/31,123.98,124.02,123.5,123.55,0
1986/01/02,123.63,124.06,122.99,123.11,0
1986/01/03,124.35,124.9,124.25,124.77,0
1986/01/06,124.85,124.9,124.05,124.13,0
1986/01/07,123.65,124.15,123.5,123.89,0
1986/01/08,123.87,125.1,123.87,124.93,0
1986/01/09,124.85,125.36,122.85,123.25,0
1986/01/10,124.1,124.9,123.6,124.53,0
1986/01/13,125.1,125.62,124.47,124.89,0
1986/01/14,125.05,125.3,124.68,125.18,0
1986/01/15,125,125,124.35,124.5,0
1986/01/16,124.25,124.98,124.22,124.83,0
1986/01/17,124.82,124.95,124.4,124.93,0
1986/01/20,125.15,125.39,124.65,124.83,0
1986/01/21,124.75,125.12,124.45,124.85,0
1986/01/22,125.1,125.25,124.1,125,0
1986/01/23,124.8,124.98,124.6,124.61,0
1986/01/24,123.6,123.8,122.91,123.12,0
1986/01/27,122.9,123,122.57,122.7,0
1986/01/28,122.5,122.89,122.25,122.41,0
1986/01/29,122.08,122.35,121.95,122.23,0
1986/01/30,122.26,122.26,121.4,121.5,0
1986/01/31,121.9,122.3,121.7,121.91,0
1986/02/03,122.1,122.75,122.05,122.35,0
1986/02/04,123.4,123.55,122.81,123.08,0
1986/02/05,122.8,122.8,121.61,121.75,0
1986/02/06,121.61,122.6,121.32,122.2,0
1986/02/07,122,122.75,121.95,122.12,0
1986/02/10,121.27,121.36,120.62,120.81,0
1986/02/11,120.75,120.95,120.41,120.68,0
1986/02/12,119.95,120.54,119.94,120.2,0
1986/02/13,120.3,120.5,119.15,119.33,0
1986/02/14,119.55,119.6,118.78,118.82,0
1986/02/18,119.2,119.25,118.05,118.11,0
1986/02/19,117.5,118.2,115.93,117.3,0
1986/02/20,117.1,117.91,116.85,117.2,0
1986/02/21,118.2,118.3,117.1,117.15,0
1986/02/24,116.65,117.3,116.05,116.2,0
1986/02/25,115.25,116,114.9,115.65,0
1986/02/26,115.35,115.8,114.4,114.89,0
1986/02/27,113.65,115.4,113.48,114.35,0
1986/02/28,114.66,115.4,114.15,115.15,0
1986/03/03,115.06,115.15,114.2,114.22,0
1986/03/04,114.3,114.35,113.65,113.74,0
1986/03/05,114.68,116.75,114.68,116.1,0
1986/03/06,115.55,115.9,115.09,115.27,0
1986/03/07,115.4,115.5,114.5,115.07,0
1986/03/10,116.22,116.9,115.95,116.21,0
1986/03/11,116.17,116.3,115.6,115.75,0
1986/03/12,115.78,116.5,115.65,116.1,0
1986/03/13,116.5,117,116.35,116.9,0
1986/03/14,115.2,115.5,114.99,115.5,0
1986/03/17,115.4,115.6,115,115.35,0
1986/03/18,115.15,115.6,114.77,114.97,0
1986/03/19,115.6,115.9,115.3,115.62,0
1986/03/20,115.25,115.45,114.85,114.88,0
1986/03/21,114.9,115,114.28,114.67,0
1986/03/24,117,117.4,116.3,117.39,0
1986/03/25,117.8,119.05,117.8,118.62,0
1986/03/26,118.9,119.45,118.2,118.7,0
1986/03/27,117.8,118.4,117.65,118.22,0
1986/03/31,119.1,119.5,118.05,118.08,0
1986/04/01,118.1,118.7,117.65,118.37,0
1986/04/02,119.2,119.65,119.1,119.25,0
1986/04/03,119.68,120.8,119.6,120.38,0
1986/04/04,120.75,121.3,120.55,121.1,0
1986/04/07,121.4,121.7,120.51,120.7,0
1986/04/08,118.8,119.18,118.55,118.55,0
1986/04/09,118.55,119,118.25,118.85,0
1986/04/10,118.65,118.81,116.9,117.13,0
1986/04/11,117.15,117.8,116.94,117.65,0
1986/04/14,118,118.15,117.5,117.69,0
1986/04/15,118.05,118.15,117.3,117.77,0
1986/04/16,115.87,116.06,115.4,115.48,0
