Date,Open,High,Low,Close,Vol
2000/11/22,0.858,0.858,0.8575,0.8575,1
2000/11/24,0.858,0.858,0.8529,0.8529,1
2000/11/27,0.858,0.8635,0.85,0.8635,1
2000/11/28,0.858,0.869,0.857,0.869,1
2000/11/29,0.875,0.875,0.8715,0.875,1
2000/11/30,0.875,0.8795,0.8715,0.8795,1
2000/12/01,0.875,0.8865,0.8715,0.8865,1
2000/12/04,0.875,0.8912,0.875,0.8912,1
2000/12/05,0.875,0.8955,0.875,0.8955,0
2000/12/06,0.875,0.8935,0.875,0.8935,0
2000/12/07,0.875,0.9038,0.875,0.9038,0
2000/12/08,0.9,0.9,0.8956,0.8956,1
2000/12/11,0.9,0.9,0.892,0.892,1
2000/12/12,0.9,0.9,0.8896,0.8896,1
2000/12/13,0.8925,0.8925,0.8885,0.8925,1
2000/12/14,0.8925,0.901,0.8885,0.901,1
2000/12/15,0.8925,0.9095,0.8885,0.9095,1
2000/12/18,0.8925,0.9078,0.8925,0.9078,1
2000/12/20,0.8925,0.917,0.8925,0.917,0
2000/12/21,0.9271,0.9271,0.9259,0.9271,10
2000/12/22,0.9355,0.9355,0.9355,0.9355,36
2000/12/26,0.9355,0.9355,0.9349,0.9349,36
2000/12/27,0.942,0.942,0.942,0.942,2
2000/12/29,0.942,0.942,0.9397,0.9397,2
2001/01/02,0.9615,0.9615,0.9615,0.9615,50
2001/01/03,0.9613,0.9632,0.941,0.9613,35
2001/01/04,0.9613,0.9613,0.941,0.958,35
2001/01/05,0.9613,0.962,0.941,0.962,35
2001/01/08,0.9613,0.962,0.9565,0.9565,35
2001/01/09,0.9613,0.962,0.9485,0.9515,35
2001/01/10,0.9613,0.962,0.95,0.95,35
2001/01/11,0.9613,0.9613,0.95,0.9575,35
2001/01/12,0.9613,0.9613,0.95,0.959,35
2001/01/16,0.9613,0.9613,0.9465,0.9465,35
2001/01/17,0.9613,0.9613,0.939,0.9484,35
2001/01/18,0.9613,0.9613,0.939,0.95,35
2001/01/19,0.9613,0.9613,0.9415,0.9415,35
2001/01/22,0.9613,0.9613,0.9355,0.944,35
2001/01/23,0.9613,0.9613,0.9444,0.9444,35
2001/01/24,0.9613,0.9613,0.93,0.93,0
2001/01/25,0.922,0.928,0.922,0.922,50
2001/01/26,0.922,0.9305,0.922,0.9285,50
2001/01/29,0.922,0.9297,0.922,0.9297,50
2001/01/30,0.922,0.9238,0.922,0.9238,0
2001/01/31,0.938,0.938,0.938,0.938,5
2001/02/01,0.938,0.9465,0.938,0.9458,4
2001/02/02,0.938,0.9465,0.938,0.938,4
2001/02/05,0.938,0.945,0.938,0.945,1
2001/02/06,0.938,0.945,0.9357,0.9357,1
2001/02/07,0.938,0.938,0.9354,0.9354,1
2001/02/08,0.927,0.927,0.9235,0.9235,2
2001/02/09,0.9291,0.9295,0.9291,0.9291,5
2001/02/12,0.9291,0.9365,0.9291,0.9365,5
2001/02/13,0.9291,0.9365,0.922,0.925,5
2001/02/14,0.9291,0.9291,0.923,0.923,5
2001/02/15,0.9291,0.9291,0.913,0.913,5
2001/02/16,0.9291,0.9291,0.913,0.9186,5
2001/02/20,0.9291,0.9291,0.9105,0.9204,5
2001/02/21,0.9291,0.9291,0.9129,0.9129,5
2001/02/22,0.9291,0.9291,0.9074,0.9085,5
2001/02/23,0.9291,0.9291,0.9074,0.9215,5
2001/02/26,0.9291,0.9291,0.9115,0.9145,5
2001/02/27,0.9291,0.9291,0.9115,0.9205,5
2001/02/28,0.9291,0.9291,0.9115,0.9245,5
2001/03/01,0.9291,0.9327,0.9115,0.9327,5
2001/03/02,0.939,0.939,0.9115,0.939,1
2001/03/05,0.939,0.939,0.933,0.933,5
2001/03/06,0.939,0.939,0.933,0.933,5
2001/03/07,0.9358,0.9358,0.9358,0.9358,0
2001/03/08,0.9308,0.9308,0.9308,0.9308,3
2001/03/09,0.939,0.939,0.934,0.934,3
2001/03/12,0.9302,0.9302,0.9302,0.9302,1
2001/03/13,0.9302,0.9302,0.917,0.917,10
2001/03/14,0.9135,0.9135,0.9135,0.9135,100
2001/03/15,0.9135,0.9135,0.9113,0.9113,100
2001/03/16,0.9113,0.9113,0.9019,0.9019,100
2001/03/19,0.9001,0.9001,0.9001,0.9001,0
2001/03/20,0.902,0.9067,0.902,0.902,1
2001/03/21,0.902,0.902,0.896,0.8991,301
2001/03/22,0.902,0.902,0.8872,0.8872,1
2001/03/23,0.8872,0.8955,0.8872,0.8953,8
2001/03/26,0.8955,0.8973,0.8952,0.8973,3
2001/03/27,0.8952,0.8973,0.894,0.894,3
2001/03/28,0.8952,0.8952,0.8895,0.89,1
2001/03/29,0.89,0.89,0.883,0.885,2
2001/03/30,0.89,0.89,0.88,0.881,2
2001/04/03,0.881,0.8973,0.881,0.8973,3
2001/04/04,0.8973,0.9035,0.8973,0.9035,3
2001/04/05,0.9035,0.9035,0.8975,0.8975,3
2001/04/06,0.8975,0.9035,0.8975,0.9035,3
2001/04/09,0.9035,0.9035,0.8989,0.8989,3
2001/04/10,0.8989,0.8989,0.8889,0.8889,3
2001/04/11,0.8889,0.8889,0.8875,0.8875,3
2001/04/12,0.8875,0.8919,0.8875,0.8919,3
2001/04/16,0.8919,0.8919,0.8863,0.8863,3
2001/04/17,0.8863,0.8863,0.8821,0.8821,3
2001/04/19,0.8821,0.8925,0.8821,0.8925,3
