Date,Open,High,Low,Close,Vol
1997/09/09,943.5,951,941.5,944,460
1997/09/10,942.75,943.25,917,925,436
1997/09/11,924,929.75,910.25,918.25,12421
1997/09/12,918,936.5,913.5,933.75,9945
1997/09/19,971,971,971,971,0
1997/09/22,974.5,980,974.25,976.75,5
1997/09/23,975,975,967.25,972.75,5
1997/09/24,979.25,979.25,963.25,964.75,6
1997/09/25,965,966.5,956.75,956.75,7
1997/09/26,962.75,964.5,960.5,963.5,16
1997/09/29,969.75,975.75,969.75,972,8
1997/09/30,969.75,973,964.75,964.75,2
1997/10/01,975,975.5,971,973.75,7
1997/10/02,970.75,980,970.75,979.5,6
1997/10/03,996,996,976.75,986,14
1997/10/06,989.25,995,989,992,6
1997/10/07,993.5,1001,991.5,1000,15
1997/10/08,990,1000.25,989.5,992.75,1
1997/10/09,989,992,985.5,988.5,5
1997/10/10,982.5,989.5,981,987.25,3
1997/10/13,987,987,987,987,0
1997/10/14,988,988,988,988,0
1997/10/15,984,984,984,984,0
1997/10/16,970.25,970.25,970.25,970.25,5
1997/10/17,966.75,966.75,955,959.25,33
1997/10/20,972.75,972.75,972.75,972.75,75
1997/10/21,974.25,991.25,974.25,990.25,41
1997/10/22,989.5,994,982.25,985.25,16
1997/10/23,970.5,970.5,958.25,966,82
1997/10/24,964,979,953.75,954.5,128
1997/10/27,952,952,884.5,884.5,87
1997/10/28,871,943.25,854.5,934.25,279
1997/10/29,945,951.75,926.5,934,94
1997/10/30,934.25,939.5,904,912.25,192
1997/10/31,897.5,933.5,897.5,933.5,82
1997/11/03,929.25,961,929.25,955.5,81
1997/11/04,956.5,956.5,946,955.5,37
1997/11/05,951.25,963.5,949,957,64
1997/11/06,952.5,956,947.5,952.25,21
1997/11/07,953,953,923,941,78
1997/11/10,948,948.5,934.25,936,6
1997/11/11,940,942.75,933,936.5,32
1997/11/12,929.5,934.5,916.75,917.75,23
1997/11/13,916.75,932,914,929,92
1997/11/14,933,944.5,928.75,942.5,42
1997/11/17,942.75,965,942.75,960,69
1997/11/18,960.25,964.25,951.25,952.5,59
1997/11/19,952,960,946.75,958,79
1997/11/20,963.5,975.75,962.5,973.25,108
1997/11/21,974,980.75,966.75,980,105
1997/11/24,976.25,976.25,956.5,960,109
1997/11/25,957,968,956.5,962,64
1997/11/26,963,969.75,963,965.5,24
1997/11/28,965.5,972.5,964.5,965.25,19
1997/12/01,967.25,990.5,967.25,990.25,128
1997/12/02,989.75,990.25,983.25,986,134
1997/12/03,987.75,995,979,988.5,165
1997/12/04,988,996,983,988,157
1997/12/05,988.5,1000,973,997.75,261
1997/12/08,997,1000.75,992,995.75,253
