Date,Open,High,Low,Close,Vol
1990/11/23,1501,1503.5,1483,1488.5,0
1990/11/26,1458,1458,1444,1444.5,0
1990/11/27,1440,1441,1424,1426,0
1990/11/28,1405,1431,1400,1417,0
1990/11/29,1420,1422.5,1411,1418,0
1990/11/30,1423,1442,1423,1440,0
1990/12/03,1470,1478,1455,1462,0
1990/12/04,1443,1445,1432,1440,0
1990/12/05,1464.5,1472.5,1453.5,1470,0
1990/12/06,1494.5,1519,1480,1514,0
1990/12/07,1502,1524,1502,1523,0
1990/12/10,1510.5,1524,1502,1502.5,0
1990/12/11,1495,1496,1488,1488.5,0
1990/12/12,1505.5,1519,1505.5,1516.5,0
1990/12/13,1537,1539,1515,1515,0
1990/12/14,1500,1529,1500,1529,0
1990/12/17,1517,1517,1473.5,1476,0
1990/12/18,1476,1485,1469,1472,0
1990/12/19,1483,1485,1447.5,1452,0
1990/12/20,1421,1426,1404,1406,0
1990/12/21,1437,1437,1420,1424.5,0
1990/12/27,1412,1412,1412,1412,0
1990/12/28,1416,1416,1390,1411,0
1991/01/02,1390,1392,1361,1366,0
1991/01/03,1370,1379.5,1370,1377,0
1991/01/04,1385,1419,1384,1418.5,0
1991/01/07,1371,1375,1355,1365,0
1991/01/08,1345,1374,1345,1369.5,0
1991/01/09,1378,1399,1370,1387,0
1991/01/10,1365.5,1397,1360,1393,0
1991/01/11,1410,1420,1380,1380,0
1991/01/14,1350,1355,1327,1328.5,0
1991/01/15,1335,1335,1313.5,1333.5,0
1991/01/16,1314.5,1332,1310,1327,0
1991/01/17,1395,1443.5,1394,1443,0
1991/01/18,1407,1425,1402.5,1420,0
1991/01/21,1405,1410,1401,1405,0
1991/01/22,1385,1394,1376,1386,0
1991/01/23,1374,1384,1367,1371,0
1991/01/24,1395,1398,1382,1382.5,0
1991/01/25,1391.5,1398,1386.5,1391,0
1991/01/28,1386,1393,1382,1392,0
1991/01/29,1397,1402,1385,1389,0
1991/01/30,1396,1414,1394,1413,0
1991/01/31,1427.5,1437,1415,1415,0
1991/02/01,1420,1435,1415,1430.5,0
1991/02/04,1440,1459,1440,1444.5,0
1991/02/05,1469,1469,1441,1445.5,0
1991/02/06,1433,1435,1425,1434.5,0
1991/02/07,1451,1457,1441.5,1444,0
1991/02/08,1480,1480,1480,1480,0
1991/02/11,1500,1508,1495,1505,0
1991/02/12,1517.5,1517.5,1470.5,1482,0
1991/02/13,1488,1501,1484,1492,0
1991/02/14,1512,1518,1487,1494,0
1991/02/15,1510,1550,1497,1539,0
1991/02/18,1549,1591,1537.5,1591,0
1991/02/19,1606,1619,1590,1595.5,0
1991/02/20,1570,1588,1566,1567.5,0
1991/02/21,1580,1583.5,1569,1581.5,0
1991/02/22,1583,1593,1575,1591,0
1991/02/25,1619,1623,1603.5,1613,0
1991/02/26,1575,1577.5,1555,1558,0
1991/02/27,1550,1580,1546,1575.5,0
1991/02/28,1578,1585.5,1544,1551.5,0
1991/03/01,1535,1535,1518,1518,0
1991/03/04,1519,1538.5,1519,1530.5,0
1991/03/05,1545,1553,1540,1552,0
1991/03/06,1585,1613.5,1580,1600.5,0
1991/03/07,1589,1598,1580.5,1584,0
1991/03/08,1610,1613,1602,1610,0
1991/03/11,1589.5,1594,1566.5,1568.5,0
1991/03/12,1578,1583,1563,1579,0
1991/03/13,1558,1564,1545,1550,0
1991/03/14,1558,1583.5,1558,1583.5,0
1991/03/15,1597,1601.5,1584,1588,0
1991/03/18,1598,1600,1571,1572,0
1991/03/19,1553,1573,1550,1550,0
1991/03/20,1540,1554,1531,1538,0
1991/03/21,1556.5,1558.5,1541,1548,0
1991/03/22,1525,1545,1524,1539,0
1991/03/25,1531,1535,1523,1532.5,0
1991/03/26,1521,1525.5,1515,1518,0
1991/03/27,1528,1537,1527,1537,0
1991/03/28,1534.5,1550.5,1531,1548,0
1991/04/02,1540,1560.5,1540,1555,0
1991/04/03,1580,1607.5,1578,1607.5,0
1991/04/04,1600,1612,1584,1588.5,0
1991/04/05,1607.5,1614,1590.5,1610.5,0
1991/04/08,1595,1603,1592.5,1603,0
1991/04/09,1610,1614,1592,1594,0
1991/04/10,1582.5,1588,1574.5,1585,0
1991/04/11,1594,1594,1576,1587.5,0
1991/04/12,1611,1640,1611,1611,0
1991/04/15,1614,1624.5,1611.5,1621,0
1991/04/16,1615,1622.5,1608,1611.5,0
1991/04/17,1634,1649,1626.5,1645,0
1991/04/18,1645,1648,1624,1624.5,0
1991/04/19,1607,1621,1602,1609.5,0
1991/04/22,1595,1595,1581.5,1583,0
1991/04/23,1594.5,1614.5,1594.5,1614,0
1991/04/24,1620,1625,1607.5,1625,0
1991/04/25,1625,1643.5,1623,1627,0
1991/04/26,1640.5,1648,1628.5,1632.5,0
1991/04/29,1648.5,1651.5,1632,1637.5,0
1991/04/30,1619,1622.5,1613,1618,0
1991/05/02,1627,1647,1627,1646.5,0
1991/05/03,1650,1650,1638,1645,0
1991/05/06,1628,1636.5,1625,1635,0
1991/05/07,1644,1645,1636,1640,0
1991/05/08,1627,1629.5,1617,1618,0
1991/05/10,1629,1634,1626,1633.5,0
1991/05/13,1614,1621.5,1612,1620.5,0
1991/05/14,1621.5,1622,1601,1601,0
1991/05/15,1593,1602.5,1590,1600,0
1991/05/16,1605,1608.5,1596,1607.5,0
1991/05/17,1606,1608,1596,1598,0
1991/05/21,1608,1622.5,1607,1622,0
1991/05/22,1638,1650,1634,1641,0
1991/05/23,1648,1657.5,1639,1655.5,0
1991/05/24,1659.5,1679,1654.5,1670,0
1991/05/27,1670,1691,1667,1682,0
1991/05/28,1681,1692,1672,1691,0
1991/05/29,1702,1702,1683,1686,0
1991/05/31,1707,1719,1705,1716,0
1991/06/03,1715,1715.5,1690,1695,0
1991/06/04,1691.5,1696,1680,1684,0
1991/06/05,1693,1724,1692,1721,0
1991/06/06,1727,1734.5,1706,1712,0
1991/06/07,1716.5,1724,1705.5,1711,0
1991/06/10,1699,1713,1694,1713,0
1991/06/11,1725,1728,1714,1725.5,0
1991/06/12,1718,1718,1696.5,1697.5,0
1991/06/13,1700,1705,1692.2,1701,0
1991/06/14,1708,1712,1700,1709.5,0
1991/06/17,1715,1720.5,1696,1697.5,0
1991/06/18,1695,1705,1690.5,1701,0
1991/06/19,1696,1696,1677,1679,0
1991/06/20,1713,1723.5,1712.5,1718.5,0
1991/06/21,1725.5,1749,1722.5,1748,0
1991/06/24,1742,1743.5,1716,1720.5,0
1991/06/25,1712,1723.5,1707,1715,0
1991/06/26,1724,1727,1691.5,1693.5,0
1991/06/27,1695,1702,1670,1678,0
