Date,Open,High,Low,Close,Vol
1998/07/15,3630,3665,3630,3646,1119
1998/07/16,3560,3665,3560,3642,952
1998/07/17,3665,3715,3660,3703,837
1998/07/20,3700,3723,3700,3720,1118
1998/07/21,3718,3718,3676,3700,583
1998/07/22,3685,3685,3550,3611,471
1998/07/23,3606,3629,3595,3615,822
1998/07/24,3576,3623,3576,3595,433
1998/07/27,3594,3617,3530,3530,1482
1998/07/28,3575,3580,3500,3515,819
1998/07/29,3490,3543,3490,3520,549
1998/07/30,3540,3567,3530,3567,815
1998/07/31,3580,3580,3515,3530,1439
1998/08/03,3450,3465,3440,3448,427
1998/08/04,3445,3490,3445,3448,122
1998/08/05,3370,3385,3330,3368,1143
1998/08/06,3346,3360,3255,3285,973
1998/08/07,3314,3370,3312,3370,1346
1998/08/10,3340,3350,3290,3290,1420
1998/08/11,3250,3250,3168,3198,1450
1998/08/12,3248,3265,3220,3254,2002
1998/08/13,3210,3261,3190,3245,1472
1998/08/14,3280,3325,3280,3315,2096
1998/08/17,3250,3300,3243,3280,1124
1998/08/18,3350,3399,3345,3399,1162
1998/08/19,3430,3434,3402,3421,806
1998/08/20,3435,3435,3352,3370,531
1998/08/21,3330,3342,3215,3220,2386
1998/08/24,3242,3259,3170,3210,605
1998/08/26,3280,3280,3195,3210,630
1998/08/27,3140,3140,3080,3080,1699
1998/08/28,3031,3031,2995,3000,1670
1998/08/31,3035,3035,2967,2975,873
1998/09/01,2892,2978,2825,2954,1733
1998/09/02,3035,3060,3020,3038,1735
1998/09/03,2985,3015,2935,2960,1664
1998/09/04,2995,3040,2985,3030,2059
1998/09/07,3075,3075,3025,3046,751
1998/09/08,3048,3130,3045,3125,1940
1998/09/09,3080,3103,3050,3050,1403
1998/09/10,2995,3011,2880,2904,1861
1998/09/11,2880,2925,2810,2885,1581
1998/09/14,2945,2985,2920,2971,2202
1998/09/15,2965,2965,2910,2950,3471
1998/09/16,2995,3005,2964,2973,5594
1998/09/18,2781,2835,2770,2805,2843
1998/09/21,2745,2750,2625,2686,1779
1998/09/22,2775,2780,2740,2751,1340
1998/09/23,2810,2845,2778,2845,1953
1998/09/24,2900,2925,2813,2813,893
1998/09/25,2750,2770,2700,2768,1311
1998/09/28,2788,2815,2735,2808,0
1998/09/29,2777,2810,2770,2796,709
1998/09/30,2750,2755,2695,2695,3210
1998/10/01,2610,2615,2520,2530,1625
1998/10/02,2485,2530,2415,2500,2614
1998/10/05,2510,2545,2450,2450,1583
1998/10/06,2523,2600,2510,2600,4583
1998/10/07,2655,2655,2505,2565,2468
1998/10/08,2550,2556,2406,2452,2515
1998/10/09,2480,2525,2472,2501,949
1998/10/12,2595,2660,2588,2660,1683
1998/10/13,2620,2711,2612,2695,0
1998/10/14,2694,2775,2673,2765,1675
1998/10/15,2825,2830,2715,2773,1841
1998/10/16,2841,2841,2780,2815,2693
1998/10/19,2804,2804,2775,2800,1524
1998/10/20,2800,2905,2800,2905,1386
1998/10/21,2870,2872,2830,2840,2960
1998/10/22,2850,2885,2810,2815,2335
1998/10/23,2810,2845,2795,2825,889
1998/10/26,2862,2879,2845,2855,1394
1998/10/27,2890,2948,2888,2941,1891
1998/10/28,2880,2885,2849,2867,1824
1998/10/29,2839,2872,2830,2861,1376
1998/10/30,2904,2935,2884,2914,1629
1998/11/02,2955,2990,2948,2978,1348
