Date,Open,High,Low,Close,Vol
1990/11/23,83.17,83.2,82.97,83.03,0
1990/11/26,83.12,83.29,82.78,82.93,0
1990/11/27,83,83.1,82.8,82.91,0
1990/11/28,82.76,82.85,82.63,82.75,0
1990/11/29,82.77,82.8,82.66,82.75,0
1990/11/30,82.6,82.99,82.58,82.99,0
1990/12/03,83.49,83.62,83.07,83.11,0
1990/12/04,83.01,83.03,82.75,82.75,0
1990/12/05,82.77,82.77,82.77,82.77,0
1990/12/06,83.1,83.19,83.1,83.19,0
1990/12/07,83.4,83.4,83.4,83.4,0
1990/12/10,83.32,83.32,83.32,83.32,0
1990/12/11,83.55,83.74,83.55,83.74,0
1990/12/12,83.98,83.98,83.98,83.98,0
1990/12/13,84.15,84.15,84.15,84.15,0
1990/12/14,84.11,84.11,84.11,84.11,0
1990/12/17,83.73,83.73,83.73,83.73,0
1990/12/18,83.72,83.72,83.72,83.72,0
1990/12/19,83.8,83.8,83.8,83.8,0
1990/12/20,83.3,83.3,83.08,83.08,0
1990/12/21,82.72,82.72,82.5,82.5,0
1990/12/27,82.4,82.4,82.4,82.4,0
1990/12/28,82.25,82.25,82.25,82.25,0
1990/12/31,82.25,82.25,82.25,82.25,0
1991/01/02,82.02,82.02,81.88,81.88,0
1991/01/03,82.55,82.55,82.55,82.55,0
1991/01/04,82.67,82.67,82.67,82.67,0
1991/01/07,82.1,82.1,82.1,82.1,0
1991/01/08,82.22,82.22,82.22,82.22,0
1991/01/09,82.76,82.76,82.76,82.76,0
1991/01/10,82.41,82.41,82.41,82.41,0
1991/01/11,82.5,82.5,82.5,82.5,0
1991/01/14,82,82,82,82,0
1991/01/15,82.28,82.28,82.28,82.28,0
1991/01/16,82.1,82.1,82.1,82.1,0
1991/01/17,83.05,83.05,83.05,83.05,0
1991/01/21,82.86,82.88,82.84,82.88,0
1991/01/22,82.86,82.86,82.86,82.86,0
1991/01/23,82.96,82.96,82.96,82.96,0
1991/01/24,83.47,83.51,83.47,83.51,0
1991/01/25,83.61,83.61,83.61,83.61,0
1991/01/28,83.51,83.51,83.51,83.51,0
1991/01/29,83.86,83.86,83.86,83.86,0
1991/01/30,84,84,83.76,83.76,0
1991/01/31,83.95,84.18,83.95,84.18,0
1991/02/01,84.1,84.24,84.1,84.24,0
1991/02/04,84.5,84.5,84.3,84.3,0
1991/02/05,84.8,85.05,84.78,85.05,0
1991/02/06,85.1,85.15,84.88,85.15,0
1991/02/07,85.28,85.49,85.25,85.49,0
1991/02/08,84.97,85.25,84.9,85.17,0
1991/02/11,85.4,85.54,85.37,85.37,0
1991/02/12,85.16,85.16,84.88,85.06,0
1991/02/13,85.21,85.25,85.17,85.19,0
1991/02/14,85.17,86.13,85.17,86.13,0
1991/02/15,86.06,86.5,86,86,0
1991/02/18,86.45,86.47,86.17,86.22,0
