Date,Open,High,Low,Close,Vol
2005/9/8,106.74,106.74,106.74,106.74,0
2005/9/9,106.74,107.14,106.4,107.06,11179
2005/9/12,106.98,107.02,105.48,105.54,8447
2005/9/13,105.7,106.04,105.06,106,9189
2005/9/14,105.8,106.42,105.76,106.12,8569
2005/9/15,105.8,106.24,105.52,105.52,7191
2005/9/16,105.6,105.7,105.22,105.26,6821
2005/9/19,105.58,106.32,105.48,106.24,4355
2005/9/20,106.1,106.48,106.1,106.46,4186
2005/9/21,106.82,107.54,106.72,107.46,7515
2005/9/22,107.62,107.88,107.1,107.48,5805
2005/9/23,107.38,107.44,106.84,106.9,5829
2005/9/26,106.58,106.66,105.58,105.7,6826
2005/9/27,105.68,106.14,105.08,105.92,6725
2005/9/28,105.76,106.34,105.34,106.32,6206
2005/9/29,106.28,106.8,105.7,105.82,9837
2005/9/30,106.02,106.42,105.9,105.9,5390
2005/10/3,106.12,106.3,105.14,105.48,4725
2005/10/4,106,106,105.04,105.6,4837
2005/10/5,105.74,106.14,105.7,105.76,5030
2005/10/6,106.02,106.1,105.38,105.5,9708
2005/10/7,105.3,106.1,105.3,105.88,5956
2005/10/10,105.78,106.22,105.78,106.1,6333
2005/10/11,106.04,106.18,105.44,105.52,5752
2005/10/12,105.44,105.48,104.9,104.98,11948
2005/10/13,104.82,104.86,103.82,103.88,7684
2005/10/14,104.14,104.62,103.6,103.66,5662
2005/10/17,103.88,104.32,103.86,104,4262
2005/10/18,104,104.18,103.64,104.16,5092
2005/10/19,104.46,104.66,104.22,104.44,11532
2005/10/20,104.5,104.5,103.62,104.32,8525
2005/10/21,104.42,105.34,104.4,105.22,7790
2005/10/24,105.1,105.28,104.66,104.78,3141
2005/10/25,104.84,104.92,103.66,103.82,6819
2005/10/26,103.52,103.62,102.9,103.1,7509
2005/10/27,103.26,103.4,102.54,102.6,9828
2005/10/28,102.8,103.26,102.44,102.68,8146
2005/10/31,102.72,103.4,102.7,103.14,3861
2005/11/1,103.14,103.72,102.68,102.96,9925
2005/11/2,103,103.2,102.34,102.6,8456
2005/11/3,102.24,102.86,102.16,102.34,5751
2005/11/4,102.18,102.62,101.7,102.04,6219
2005/11/7,102,102,102,102,0
2005/11/8,102.14,102.7,101.82,102.64,7998
2005/11/9,102.7,102.76,101.74,101.92,5405
2005/11/10,102.52,102.52,101.76,101.98,4289
2005/11/11,102.22,102.38,102.08,102.14,1595
2005/11/14,102.26,102.66,101.66,101.78,3958
2005/11/15,103.04,103.04,101.64,102.22,7454
2005/11/16,102.24,103.34,102.02,103.22,6968
2005/11/17,103.3,103.32,102.42,103,6437
2005/11/18,102.88,103.22,101.6,101.96,6022
2005/11/21,101.98,102.62,101.72,102.54,4707
2005/11/22,102.5,102.72,102.26,102.52,3706
2005/11/23,102.86,102.88,102.56,102.8,3347
2005/11/24,102.82,103.86,102.7,103.8,3405
2005/11/25,103.78,104,103.46,103.62,3804
2005/11/28,103.48,103.74,103.18,103.62,4356
2005/11/29,103.68,104.06,102.7,102.9,4197
2005/11/30,102.98,103.3,102.86,103.28,4237
2005/12/1,103.3,104.16,103.02,103.7,4714
2005/12/2,103.74,104.06,103.38,103.98,4751
2005/12/5,103.72,103.86,103.3,103.6,11355
2005/12/6,103.52,104.36,103.52,104.24,8849
2005/12/7,103.86,103.86,103.34,103.42,8239
2005/12/8,103.56,103.98,103.5,103.82,4028
2005/12/9,103.66,104.02,103.02,103.08,3175
2005/12/12,103.16,103.58,103.16,103.56,782
2005/12/13,103.48,104.04,103.24,103.8,2665
2005/12/14,104.2,104.5,104.08,104.3,2196
2005/12/15,104.46,104.68,104.14,104.3,2756
2005/12/16,104.6,105.04,104.34,104.8,3950
2005/12/19,104.88,105.22,104.84,105.16,1686
2005/12/20,105.12,105.28,104.74,105.12,2632
2005/12/21,105.08,105.12,104.48,104.54,1917
2005/12/22,104.68,105.38,104.4,104.96,1733
2005/12/23,105.2,105.84,105.02,105.8,855
2005/12/27,105.48,105.6,105.14,105.38,346
2005/12/28,105.46,106.1,105.28,105.94,1454
2005/12/29,105.78,105.9,105.54,105.86,2027
2005/12/30,106,106.5,106,106.32,989
2006/1/2,106.2,106.2,105.38,105.78,1066
2006/1/3,105.72,106,105.2,105.86,2987
2006/1/4,105.94,106.28,105.76,106.22,3422
2006/1/5,106.16,106.52,105.96,106.38,3239
2006/1/6,106.36,106.94,106.3,106.78,1585
2006/1/9,106.68,107.26,106.68,107.18,2873
2006/1/10,107,107.3,106.76,106.78,2808
2006/1/11,106.62,107.02,106.52,106.76,4777
2006/1/12,106.7,107.28,106.56,107.16,3597
2006/1/13,107.04,107.26,106.68,107.14,4206
2006/1/16,107.22,107.22,106.86,106.86,2585
2006/1/17,107.04,107.2,106.88,107,4562
2006/1/18,107.38,107.46,106.64,106.88,4044
2006/1/19,106.6,106.6,105.68,105.86,6271
2006/1/20,105.86,106.08,105.28,105.46,2208
2006/1/23,105.68,105.78,105.02,105.14,3163
2006/1/24,105.4,105.5,105.04,105.28,2145
2006/1/25,105.1,105.16,104.12,104.26,4572
2006/1/26,104.3,104.32,102.92,103.24,8008
2006/1/27,103.16,103.62,102.9,103.18,4852
2006/1/30,103.1,103.58,103.08,103.52,4285
2006/1/31,103.64,103.88,103.24,103.8,3201
2006/2/1,103.78,104.14,102.96,103.18,4014
2006/2/2,103.1,103.52,102.98,103.26,4473
2006/2/3,103.26,103.78,103.16,103.76,3680
2006/2/6,103.86,104.02,103.62,103.72,2313
2006/2/7,103.64,103.98,103.1,103.12,3196
2006/2/8,103.4,103.5,103.1,103.4,3401
2006/2/9,103.28,103.94,102.94,103.82,4705
2006/2/10,103.72,104.44,103.52,104.02,3707
2006/2/13,103.66,103.78,103.24,103.38,2210
2006/2/14,103.6,103.6,103.08,103.56,2666
2006/2/15,103.34,103.72,103.08,103.34,3607
2006/2/16,103.18,103.24,102.7,103.1,2810
2006/2/17,103.3,103.9,103.28,103.72,4403
2006/2/20,103.88,104.3,103.88,103.96,1459
2006/2/21,104.08,104.3,103.78,103.96,2685
2006/2/22,103.88,104.56,103.88,104.44,3767
2006/2/23,104.5,104.54,103.62,103.7,2852
2006/2/24,103.68,103.94,103.5,103.66,4522
2006/2/27,103.44,103.68,103.26,103.36,3492
2006/2/28,103.36,104.2,103.34,104.06,4056
2006/3/1,104,104.14,103.5,103.6,10418
2006/3/2,103.58,103.66,102.82,102.94,15297
2006/3/3,102.94,103.22,102.76,102.78,8287
2006/3/6,102.82,103.18,102.74,103.12,10281
2006/3/7,102.5,102.58,102.1,102.3,16392
2006/3/8,102.36,102.66,101.24,101.48,11244
2006/3/9,101.46,101.74,100.78,101.06,6744
2006/3/10,101.1,101.1,100.22,100.4,6960
2006/3/13,100.4,100.62,99.94,100.24,5649
