Date,Open,High,Low,Close,Vol
1980/03/26,504,509.5,504,504,0
1980/03/27,502,502,496,496,0
1980/03/28,500,533.5,491,525,0
1980/03/31,505.1,530,504,519,0
1980/04/01,525,528.5,504,515,0
1980/04/02,516,517,499,506,0
1980/04/03,495,503,483,501.5,0
1980/04/07,505,526.5,502,526.5,0
1980/04/08,538,551.5,535,551.5,0
1980/04/09,567,570,546,550,0
1980/04/10,538,556.5,535,544.5,0
1980/04/11,545,547,535,544,0
1980/04/14,542,542,519,519.5,0
1980/04/15,505,534,501,530,0
1980/04/16,534.5,547,514,516,0
1980/04/17,522,527,511,522,0
1980/04/18,526.5,527,518,520,0
1980/04/21,512,515,495,497,0
1980/04/22,510,516,506,510,0
1980/04/23,515,518,512.5,515,0
1980/04/24,523,539,522,538,0
1980/04/25,563,563,537,547,0
1980/04/28,535,536,522,522,0
1980/04/29,524,535,517,529,0
1980/04/30,525,525,504,507,0
1980/05/01,500,521,482,520,0
1980/05/02,515,526.5,511,516,0
1980/05/05,524.5,524.5,516,523,0
1980/05/06,517,517,508,510,0
1980/05/07,508,522,506,517,0
1980/05/08,519.5,521,512,512.5,0
1980/05/09,509,516.5,504.5,515.7,0
1980/05/12,514,518,509,510,0
1980/05/13,515,523,512.7,520,0
1980/05/14,525,530,522.5,524.5,0
1980/05/15,518,521,511.2,514.5,0
1980/05/16,517,519.5,513.5,514.8,0
1980/05/19,516,516.3,505,511,0
1980/05/20,508,512.5,502.5,512,0
1980/05/21,513,516.5,505.5,506.5,0
1980/05/22,500,517,495,515,0
1980/05/23,512,515.5,509,510,0
1980/05/27,522,535,521,533.5,0
1980/05/28,538,538,526,529,0
1980/05/29,529,538.5,526.5,537.5,0
1980/05/30,542,562.5,541,555,0
1980/06/02,580,580,566.5,576.5,0
1980/06/03,564,572,560,569,0
1980/06/04,582,594,581,592.5,0
1980/06/05,595,611,588.5,597,0
1980/06/06,607,617.5,604,616,0
1980/06/09,634,640,630.5,633.5,0
1980/06/10,616,617.5,608.5,608.5,0
1980/06/11,600,616,593,594.5,0
1980/06/12,593.5,611,593,609,0
1980/06/13,619.5,621,610,613,0
1980/06/16,606,606.5,597,598,0
1980/06/17,597,608.5,597,606.5,0
1980/06/18,608.5,617,602,603,0
1980/06/19,606.5,614,603,613,0
1980/06/20,614,615,608.5,609.5,0
1980/06/23,603.8,611,602,610,0
1980/06/24,606,625,606,624,0
1980/06/25,631,635.5,622,623.5,0
1980/06/26,631,635,627,633,0
1980/06/27,647,658,643.5,657.5,0
1980/06/30,665,666,652.5,654,0
1980/07/01,670,677,665.5,676,0
1980/07/02,674.5,674.5,662,667.5,0
1980/07/03,664,680.5,663,676,0
1980/07/07,671,690,670,684,0
1980/07/08,694,696,677,678.5,0
1980/07/09,682,683,662,666.5,0
1980/07/10,668,674,653,672,0
1980/07/11,668,676,667,670.5,0
1980/07/14,649,656,645.5,645.5,0
1980/07/15,620.5,624.5,620.5,620.5,0
1980/07/16,630,632,622,628.5,0
1980/07/17,632,632,619,620.2,0
1980/07/18,609,617.1,604,614,0
1980/07/21,622,622,611.5,613.5,0
1980/07/22,610,638.5,609,638,0
1980/07/23,634,647,627,631.5,0
1980/07/24,635,647.5,633,639.5,0
1980/07/25,651,655,648,653,0
1980/07/28,655,662,650.5,660.2,0
1980/07/29,657,664,647,648.5,0
1980/07/30,648,648,623.5,623.5,0
1980/07/31,627,633,614,629.5,0
1980/08/01,630,632.5,623.5,627.3,0
1980/08/04,634,639.5,631,637.1,0
1980/08/05,644.5,644.5,632,637,0
1980/08/06,639,643,633.5,641.4,0
1980/08/07,637,644,635.5,643.5,0
1980/08/08,640.7,642.4,633.5,634.8,0
1980/08/11,620,625.5,609.8,611.2,0
1980/08/12,612,624.5,610,621.4,0
1980/08/13,623,625.9,616,623.4,0
1980/08/14,626,637,624.5,635.5,0
1980/08/15,633,634,622,623.2,0
1980/08/18,613,630,612,628.8,0
1980/08/19,632.5,634.3,626,630.1,0
1980/08/20,636,655.1,635.1,655.1,0
1980/08/21,652,659,644.5,646.4,0
1980/08/22,642,650,642,644.8,0
1980/08/25,642,643,629,629.7,0
1980/08/26,634,638.5,634,636.8,0
1980/08/27,639,643,638,639.2,0
1980/08/28,643,643,635.5,639.7,0
1980/08/29,639,643.5,636.2,641.8,0
1980/09/02,643,649.5,642,645.3,0
1980/09/03,643,646,641,643.3,0
1980/09/04,649.5,660,648.5,657.5,0
1980/09/05,660,661.5,654,654.5,0
1980/09/08,673,679.5,673,679.5,0
1980/09/09,682,682.5,672,676,0
1980/09/10,690,698,685,685.7,0
1980/09/11,678,697.5,678,694.7,0
1980/09/12,700,701,683,686,0
1980/09/15,675,676.5,662.5,667.9,0
1980/09/16,670,683,669,682.5,0
1980/09/17,685,686.5,674,674.4,0
1980/09/18,676,678.5,672,675.9,0
1980/09/19,673,692,673,690.2,0
1980/09/22,714.2,715.2,710,715.2,0
1980/09/23,719,729,710,712.5,0
1980/09/24,715,716,705,710,0
1980/09/25,710,710,694,708,0
1980/09/26,703,703,663,669.5,0
1980/09/29,703,703,678.5,678.5,0
1980/09/30,683,689.5,678,688.5,0
1980/10/01,699,700,693.1,696.5,0
1980/10/02,689,689,673,685,0
1980/10/03,675,686,669,684.5,0
1980/10/06,688,698,686.5,693.5,0
1980/10/07,689,696,686,688,0
1980/10/08,688,692.5,686,690,0
1980/10/09,700,708.5,697,699.5,0
1980/10/10,698,701.5,695.5,700,0
1980/10/13,696,696.5,686,691.7,0
1980/10/14,676,692,675,691.5,0
1980/10/15,687,694,685,686,0
1980/10/16,684,688.5,676,677.5,0
