Date,Open,High,Low,Close,Vol
1981/12/09,86.38,86.41,86.15,86.18,0
1981/12/10,86.02,86.05,85.65,85.71,0
1981/12/11,85.6,85.75,85.57,85.64,0
1981/12/14,85.25,85.71,85.25,85.68,0
1981/12/15,85.93,85.95,85.79,85.83,0
1981/12/16,85.78,85.85,85.65,85.65,0
1981/12/17,85.62,85.62,85.11,85.11,0
1981/12/18,85.1,85.71,85.09,85.65,0
1981/12/21,85.21,85.26,85.1,85.1,0
1981/12/22,85.09,85.18,84.92,85.06,0
1981/12/23,84.73,84.85,84.67,84.69,0
1981/12/24,84.91,85.06,84.83,84.88,0
1981/12/28,84.97,85.04,84.68,84.68,0
1981/12/29,84.83,84.9,84.54,84.8,0
1981/12/30,84.79,85.05,84.76,85,0
1981/12/31,85.2,85.49,85.2,85.42,0
1982/01/04,85.6,85.62,85.25,85.27,0
1982/01/05,84.68,84.96,84.6,84.9,0
1982/01/06,85.13,85.24,84.7,84.74,0
1982/01/07,84.7,84.86,84.62,84.84,0
1982/01/08,84.89,85.05,84.86,84.95,0
1982/01/11,84.65,84.67,84.23,84.29,0
1982/01/12,84.39,84.52,84.33,84.52,0
1982/01/13,84.61,84.66,84.11,84.11,0
1982/01/14,84.04,84.34,84.02,84.34,0
1982/01/15,84.45,84.5,84.11,84.19,0
1982/01/18,83.99,84.32,83.99,84.29,0
1982/01/19,84.34,84.46,84.13,84.13,0
1982/01/20,84.13,84.16,83.97,84.05,0
1982/01/21,84.24,84.34,83.92,83.99,0
1982/01/22,84.04,84.06,83.81,83.81,0
1982/01/25,83.45,83.9,83.4,83.79,0
1982/01/26,83.83,84.28,83.82,84.07,0
1982/01/27,84.22,84.27,84.07,84.15,0
1982/01/28,84.06,84.61,84.05,84.61,0
1982/01/29,84.65,84.67,84.5,84.55,0
1982/02/01,83.95,84,83.69,83.69,0
1982/02/02,83.79,84.1,83.76,83.85,0
1982/02/03,83.97,84.03,83.85,83.89,0
1982/02/04,84.03,84.08,83.86,83.93,0
1982/02/05,84,84.03,83.83,83.93,0
1982/02/08,83.96,83.97,83.73,83.73,0
1982/02/09,83.73,83.76,83.6,83.64,0
1982/02/10,83.74,83.74,83.66,83.72,0
1982/02/11,83.77,83.82,83.6,83.7,0
1982/02/12,83.64,83.69,83.64,83.64,0
1982/02/16,83.35,83.67,83.23,83.66,0
1982/02/17,83.67,84,83.63,83.75,0
1982/02/18,83.85,84.35,83.85,84.26,0
1982/02/19,84.25,84.49,84.22,84.25,0
1982/02/22,85,85.15,84.86,85.08,0
1982/02/23,85.26,85.3,85.09,85.1,0
1982/02/24,85.2,85.21,85.1,85.15,0
1982/02/25,85.13,85.24,85.13,85.19,0
1982/02/26,85.05,85.22,84.8,84.8,0
1982/03/01,85.16,85.18,85.04,85.18,0
1982/03/02,85.27,85.4,85.25,85.25,0
1982/03/03,85.3,85.45,85.1,85.45,0
1982/03/04,85.55,85.6,85.48,85.6,0
1982/03/05,85.75,85.75,85.5,85.57,0
1982/03/08,86.05,86.05,85.68,85.7,0
1982/03/09,85.51,85.52,85.4,85.44,0
1982/03/10,85.4,85.51,85.34,85.41,0
1982/03/11,85.35,85.35,85.15,85.15,0
1982/03/12,85.05,85.15,84.81,84.95,0
1982/03/15,85,85.02,84.74,84.87,0
1982/03/16,84.76,84.97,84.69,84.79,0
1982/03/17,84.95,85.07,84.87,84.88,0
1982/03/18,84.93,85.03,84.73,84.74,0
1982/03/19,84.69,84.77,84.58,84.59,0
1982/03/22,84.82,84.98,84.82,84.97,0
1982/03/23,85.08,85.25,85.05,85.13,0
1982/03/24,85.28,85.3,84.9,84.9,0
1982/03/25,84.83,84.91,84.79,84.8,0
1982/03/26,84.75,84.82,84.6,84.6,0
1982/03/29,84.5,84.52,84.35,84.37,0
1982/03/30,84.5,84.58,84.3,84.3,0
1982/03/31,84.23,84.58,84.23,84.58,0
1982/04/01,84.58,84.73,84.57,84.7,0
1982/04/02,84.53,84.56,84.44,84.49,0
1982/04/05,84.71,84.71,84.53,84.55,0
1982/04/06,84.65,84.65,84.42,84.48,0
1982/04/07,84.55,84.57,84.34,84.36,0
1982/04/08,84.31,84.55,84.26,84.53,0
1982/04/12,84.74,85,84.67,84.98,0
1982/04/13,84.98,85,84.84,84.86,0
1982/04/14,84.71,84.85,84.7,84.81,0
