Date,Open,High,Low,Close,Vol
1992/11/13,0.9505,0.959,0.946,0.947,0
1992/11/16,0.944,0.96,0.944,0.959,0
1992/11/17,0.955,0.9585,0.9515,0.9565,0
1992/11/18,0.959,0.963,0.955,0.9555,0
1992/11/19,0.955,0.959,0.9525,0.955,0
1992/11/20,0.955,0.958,0.9535,0.954,0
1992/11/23,0.949,0.9575,0.949,0.9555,0
1992/11/24,0.9565,0.9595,0.954,0.9555,0
1992/11/25,0.959,0.9615,0.957,0.9585,0
1992/11/27,0.972,0.984,0.968,0.982,0
1992/11/30,0.9995,1.0025,0.9895,0.99,0
1992/12/01,0.98,0.9885,0.978,0.9785,0
1992/12/02,0.9795,0.9865,0.977,0.983,0
1992/12/03,0.981,0.983,0.977,0.9775,0
1992/12/04,0.984,0.989,0.979,0.9815,0
1992/12/07,0.986,1.004,0.986,0.9995,0
1992/12/08,1.001,1.0025,0.994,0.9945,0
1992/12/09,0.9935,0.9945,0.9885,0.9905,0
1992/12/10,0.991,0.995,0.9835,0.984,0
1992/12/11,0.98,0.99,0.9785,0.987,0
1992/12/14,0.992,0.995,0.988,0.9895,0
1992/12/15,0.9935,0.9995,0.992,0.9985,0
1992/12/16,1.0005,1.0025,0.996,0.9965,0
1992/12/17,0.995,1,0.9925,0.9955,0
1992/12/18,0.9925,1.007,0.9915,1.0045,0
1992/12/21,1.011,1.021,1.011,1.0205,0
1992/12/22,1.0195,1.027,1.0185,1.023,0
1992/12/23,1.014,1.0175,1.011,1.0115,0
1992/12/24,1.016,1.025,1.016,1.024,0
1992/12/28,1.0235,1.0265,1.018,1.02,0
1992/12/29,1.024,1.03,1.021,1.027,0
1992/12/30,1.026,1.0315,1.026,1.0285,0
1992/12/31,1.034,1.04,1.032,1.036,0
1993/01/04,1.044,1.071,1.0435,1.064,0
1993/01/05,1.067,1.068,1.0575,1.0605,0
1993/01/06,1.055,1.062,1.053,1.0595,0
1993/01/07,1.0685,1.071,1.034,1.0615,0
1993/01/08,1.0675,1.08,1.0615,1.076,0
