Date,Open,High,Low,Close,Vol
1987/04/21,2745,2750,2703,2704,0
1987/04/22,2713,2726,2713,2725,0
1987/04/23,2724,2736,2720,2735,0
1987/04/24,2730,2735,2709,2709,0
1987/04/27,2695,2700,2639,2639,0
1987/04/28,2609,2622,2600,2621,0
1987/04/29,2631,2632,2622,2622,0
1987/04/30,2646,2675,2646,2674,0
1987/05/01,2684,2688,2683,2687,0
1987/05/04,2683,2776,2682,2775,0
1987/05/05,2672,2734,2671,2733,0
1987/05/06,2745,2800,2745,2799,0
1987/05/07,2784,2785,2772,2772,0
1987/05/08,2783,2795,2780,2794,0
1987/05/11,2792,2855,2785,2854,0
1987/05/12,2843,2846,2840,2843,0
1987/05/13,2843,2846,2820,2820,0
1987/05/14,2832,2843,2830,2842,0
1987/05/15,2832,2843,2830,2842,0
1987/05/18,2842,2872,2840,2870,0
1987/05/19,2875,2880,2870,2873,0
1987/05/20,2900,2905,2864,2864,0
1987/05/21,2855,2869,2850,2868,0
1987/05/22,2877,2889,2875,2888,0
1987/05/25,2902,2914,2900,2913,0
1987/05/26,2912,2927,2910,2926,0
1987/05/27,2932,2935,2926,2926,0
1987/05/28,2944,2964,2943,2963,0
1987/05/29,2967,2968,2932,2932,0
1987/06/02,2929,2943,2929,2942,0
1987/06/03,2938,2989,2938,2988,0
1987/06/04,3004,3023,3004,3022,0
1987/06/05,3020,3048,3020,3047,0
1987/06/08,3072,3073,3053,3053,0
1987/06/09,3047,3102,3047,3100,0
1987/06/10,3109,3110,3086,3086,0
1987/06/11,3072,3077,3070,3076,0
1987/06/12,3084,3125,3084,3124,0
1987/06/16,3146,3166,3145,3165,0
1987/06/17,3169,3180,3168,3179,0
1987/06/18,3167,3168,3128,3129,0
1987/06/19,3128,3149,3127,3148,0
1987/06/22,3148,3155,3125,3125,0
1987/06/23,3114,3117,3109,3109,0
1987/06/24,3117,3162,3114,3161,0
1987/06/25,3165,3166,3133,3135,0
1987/06/26,3124,3138,3120,3137,0
1987/06/29,3156,3170,3152,3169,0
1987/06/30,3179,3183,3175,3179,0
1987/07/01,3178,3179,3173,3173,0
1987/07/02,3183,3235,3183,3234,0
1987/07/03,3236,3236,3236,3236,0
1987/07/06,3229,3236,3228,3235,0
1987/07/07,3235,3245,3230,3244,0
1987/07/08,3251,3255,3250,3254,0
1987/07/09,3249,3250,3236,3236,0
1987/07/10,3226,3227,3215,3215,0
1987/07/13,3210,3227,3210,3226,0
1987/07/14,3244,3255,3244,3254,0
1987/07/15,3265,3266,3252,3252,0
1987/07/16,3258,3287,3258,3286,0
1987/07/17,3299,3313,3299,3312,0
1987/07/20,3323,3365,3321,3364,0
1987/07/21,3360,3361,3333,3334,0
1987/07/22,3332,3378,3332,3377,0
1987/07/23,3398,3399,3373,3374,0
1987/07/24,3381,3382,3351,3351,0
1987/07/27,3341,3345,3341,3344,0
1987/07/28,3362,3365,3337,3337,0
1987/07/29,3342,3386,3340,3385,0
1987/07/30,3405,3421,3404,3420,0
1987/07/31,3525,3565,3520,3564,0
1987/08/03,3568,3569,3568,3568,0
1987/08/04,3554,3602,3554,3601,0
1987/08/05,3601,3602,3564,3564,0
1987/08/06,3576,3577,3558,3558,0
1987/08/07,3547,3612,3547,3611,0
1987/08/10,3611,3617,3611,3616,0
1987/08/11,3627,3628,3604,3604,0
1987/08/12,3616,3617,3612,3612,0
1987/08/13,3618,3619,3576,3576,0
1987/08/14,3563,3564,3561,3562,0
1987/08/17,3555,3574,3554,3573,0
1987/08/18,3572,3573,3543,3543,0
1987/08/19,3558,3563,3470,3470,0
1987/08/20,3471,3475,3429,3429,0
1987/08/21,3437,3488,3437,3487,0
1987/08/24,3492,3495,3420,3420,0
1987/08/25,3418,3461,3415,3460,0
1987/08/26,3475,3538,3473,3537,0
1987/08/27,3548,3582,3547,3581,0
1987/08/28,3693,3736,3688,3735,0
1987/09/01,3693,3729,3693,3728,0
1987/09/02,3705,3706,3699,3699,0
1987/09/03,3700,3747,3700,3746,0
1987/09/04,3750,3751,3720,3720,0
1987/09/07,3688,3689,3673,3673,0
1987/09/08,3688,3690,3611,3611,0
1987/09/09,3594,3609,3594,3608,0
1987/09/10,3616,3637,3616,3636,0
