Date,Open,High,Low,Close,Vol
2000/09/13,0.995,0.995,0.994,0.994,154
2000/09/15,0.992,0.992,0.992,0.992,34
2000/09/22,0.992,0.9951,0.982,0.982,0
2000/09/29,0.982,0.9858,0.9805,0.9805,0
2000/10/06,0.9805,0.9805,0.9704,0.9731,0
2000/10/10,0.98,0.98,0.98,0.98,1
2000/10/13,0.98,0.9835,0.98,0.9808,0
2000/10/27,0.9808,0.9808,0.9711,0.9711,0
2000/11/03,0.98,0.9848,0.9736,0.9848,0
2000/11/10,0.9848,0.9848,0.9749,0.9749,0
2000/11/17,0.9749,0.9749,0.9642,0.9651,0
2000/11/22,0.9651,0.9651,0.952,0.952,0
2000/11/24,0.9462,0.9462,0.9428,0.9428,1
2000/12/01,0.9462,0.9494,0.9416,0.9416,0
2000/12/08,0.936,0.9365,0.936,0.936,1
2000/12/13,0.9375,0.9375,0.9373,0.9373,1
2000/12/15,0.9375,0.9375,0.9272,0.9272,0
2000/12/22,0.9375,0.9375,0.923,0.9232,15
2000/12/29,0.9375,0.9375,0.9063,0.9063,0
2001/01/04,0.9375,0.9375,0.9,0.9,0
2001/01/05,0.9375,0.9375,0.8879,0.8879,0
2001/01/10,0.9375,0.9375,0.888,0.888,1
2001/01/11,0.888,0.888,0.879,0.879,2
2001/01/12,0.88,0.88,0.8769,0.8769,4
2001/01/19,0.88,0.88,0.88,0.88,2
2001/01/23,0.88,0.8825,0.88,0.8825,1
2001/01/24,0.8825,0.8825,0.8823,0.8823,1
2001/01/26,0.8825,0.8853,0.879,0.879,0
2001/01/31,0.879,0.884,0.879,0.884,0
2001/02/02,0.884,0.8904,0.884,0.8899,0
2001/02/07,0.8899,0.8899,0.8845,0.8845,1
2001/02/09,0.8845,0.8845,0.874,0.8751,0
2001/02/12,0.8845,0.8845,0.8745,0.8745,1
2001/02/15,0.8905,0.8905,0.8905,0.8905,1
2001/02/16,0.8905,0.8907,0.8897,0.8907,1
2001/02/21,0.8905,0.8907,0.8853,0.8853,0
2001/02/22,0.8905,0.8905,0.8814,0.8814,0
2001/02/27,0.882,0.8876,0.8818,0.8818,0
2001/02/28,0.877,0.8824,0.877,0.8824,2
2001/03/01,0.877,0.877,0.8735,0.874,424
2001/03/02,0.8755,0.8755,0.8607,0.8612,71
2001/03/05,0.8607,0.861,0.8607,0.8607,47
2001/03/06,0.861,0.8623,0.861,0.8623,1
2001/03/07,0.8623,0.8623,0.855,0.855,20
2001/03/08,0.855,0.8575,0.855,0.8555,20
2001/03/09,0.8562,0.8575,0.8554,0.8554,4
2001/03/12,0.8554,0.8554,0.85,0.851,24
2001/03/13,0.85,0.8548,0.85,0.8548,50
2001/03/14,0.846,0.849,0.8445,0.845,14
2001/03/15,0.8475,0.8475,0.8345,0.835,13
2001/03/16,0.8475,0.8475,0.83,0.8327,149
2001/03/19,0.8342,0.838,0.8322,0.8328,7
2001/03/20,0.8342,0.8355,0.834,0.834,36
2001/03/21,0.8349,0.8355,0.827,0.8278,35
2001/03/22,0.8282,0.8282,0.8225,0.826,22
2001/03/23,0.8282,0.8348,0.8282,0.834,157
2001/03/26,0.8282,0.8348,0.828,0.8314,44
2001/03/27,0.8282,0.8395,0.828,0.8389,567
2001/03/28,0.8315,0.8365,0.8315,0.8335,39
2001/03/29,0.8365,0.8365,0.8261,0.8266,20
2001/03/30,0.828,0.828,0.8089,0.809,56
2001/04/02,0.8098,0.828,0.807,0.8105,6
2001/04/03,0.807,0.8129,0.807,0.8124,7
2001/04/04,0.807,0.814,0.807,0.814,7
